line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	aberdeen-city.txt	Donmouth	resolved	57.16300	-2.08430	sand_spit	River Don mouth / dune coast (Donmouth).
2	aberdeen-city.txt	Donmouth Local Nature Reserve	resolved	57.16250	-2.08380	nature_reserve	SSSI dunes at Donmouth.
3	aberdeen-city.txt	Donmouth Beach	resolved	57.16200	-2.08330	beach	Sandy beach at Donmouth.
4	aberdeen-city.txt	River Don mouth Aberdeen	resolved	57.16283	-2.08430	estuary	OS/Canmore centroid for Don mouth area (NJ c. 9508).
5	aberdeen-city.txt	Don Estuary	resolved	57.16700	-2.08100	estuary	Tidal lower River Don approaching the sea.
6	aberdeen-city.txt	Bridge of Don foreshore	resolved	57.17450	-2.08480	foreshore	Foreshore south of Bridge of Don toward the sea.
7	aberdeen-city.txt	Seaton	resolved	57.16950	-2.08650	area	Seaton coastal fringe north of Donmouth.
8	aberdeen-city.txt	Seaton foreshore	resolved	57.17020	-2.08720	foreshore	Seaward edge / park foreshore.
9	aberdeen-city.txt	King Street Links	resolved	57.16582	-2.08494	links	King’s Links golf course (Golf Road area).
10	aberdeen-city.txt	Queens Links	resolved	57.16150	-2.08650	links	Queen’s Links open space beside the coastal links belt.
11	aberdeen-city.txt	Queens Links foreshore	resolved	57.16200	-2.08600	foreshore	Dune / shore edge near Queen’s Links.
12	aberdeen-city.txt	Aberdeen Beach	resolved	57.15200	-2.08200	beach	Main city beach strip.
13	aberdeen-city.txt	Aberdeen Beach Esplanade	resolved	57.15100	-2.08100	promenade	Esplanade along Aberdeen Beach.
14	aberdeen-city.txt	Beach Esplanade	resolved	57.15050	-2.08080	promenade	Esplanade section (beach front).
15	aberdeen-city.txt	Beach Boulevard Aberdeen	resolved	57.14980	-2.08020	promenade	Beach Boulevard seafront road.
16	aberdeen-city.txt	The Beach Aberdeen	resolved	57.15150	-2.08150	beach	Informal name for the city beach front.
17	aberdeen-city.txt	Beach Ballroom seafront	resolved	57.14900	-2.07920	attraction	Beach Ballroom on the esplanade.
18	aberdeen-city.txt	Aberdeen seafront	resolved	57.15000	-2.08000	promenade	General seafront along the main beach.
19	aberdeen-city.txt	James Young Walk esplanade	resolved	57.14950	-2.07900	promenade	Named esplanade walk on the beach front.
20	aberdeen-city.txt	Beach promenade Aberdeen	resolved	57.15100	-2.08100	promenade	Promenade along Aberdeen Beach.
21	aberdeen-city.txt	Beach groynes Aberdeen	resolved	57.15250	-2.08250	beach	Groyne line along the main beach.
22	aberdeen-city.txt	Donmouth boardwalk	resolved	57.16180	-2.08350	boardwalk	Dunes / NNR boardwalk at Donmouth.
23	aberdeen-city.txt	Donmouth bird hide shore	resolved	57.16150	-2.08300	hide	Bird hide / shore viewpoint at Donmouth.
24	aberdeen-city.txt	Queens Links dunes shore	resolved	57.16300	-2.08700	dunes	Coastal dune front near Queen’s Links.
25	aberdeen-city.txt	Diamond Bridge Don approach shore	resolved	57.17050	-2.09800	foreshore	Tidal River Don bank downstream of Diamond Bridge toward the sea.
26	aberdeen-city.txt	Footdee	resolved	57.14380	-2.07110	village	Footdee (harbour fishing village).
27	aberdeen-city.txt	Fittie	resolved	57.14360	-2.07130	village	Local name for Footdee.
28	aberdeen-city.txt	Foot dee	resolved	57.14350	-2.07100	village	Variant spacing for Footdee.
29	aberdeen-city.txt	Futty	resolved	57.14370	-2.07120	village	Historic spelling (Footdee / Fittie).
30	aberdeen-city.txt	Fish Town	resolved	57.14390	-2.07090	locality	Historic label for the planned Footdee settlement.
31	aberdeen-city.txt	Footdee North Square	resolved	57.14390	-2.07230	square	Centroid of North Square (planned Footdee grid; Canmore cites ~NJ 957 059).
32	aberdeen-city.txt	Footdee South Square	resolved	57.14344	-2.07124	square	Centroid of South Square fisher cottages (e.g. Canmore 4–7 South Sq).
33	aberdeen-city.txt	Sandness	resolved	57.13588	-2.08424	historic_fort	Historic harbour blockhouse area at Sandness (Canmore NJ 95 05); not Shetland Sandness.
34	aberdeen-city.txt	Pocra Quay	resolved	57.14307	-2.07401	quay	Lower Basin / Pocra Quay frontage (Canmore NJ 9562 0580).
35	aberdeen-city.txt	Pocra Base	resolved	57.14290	-2.07380	support_base	Port support / laydown area beside Pocra (approximate quayside centroid).
36	aberdeen-city.txt	North Pier Aberdeen	resolved	57.14273	-2.06862	pier	North Pier root / landward section (Canmore NJ 95946 05762).
37	aberdeen-city.txt	South Pier Aberdeen	resolved	57.14236	-2.06162	pier	Inner (old) south breakwater / south entrance works (Canmore NJ 9637 0572).
38	aberdeen-city.txt	North Breakwater Aberdeen	resolved	57.14568	-2.06129	breakwater	North pier head / North Breakwater lighthouse (Canmore NJ 9639 0609).
39	aberdeen-city.txt	South Breakwater Aberdeen	resolved	57.14218	-2.05550	breakwater	Outer South Breakwater (Canmore NJ 9674 0570).
40	aberdeen-city.txt	Aberdeen Harbour	resolved	57.14140	-2.07027	harbour	Overall harbour complex centroid (Canmore NJ90NE 7).
41	aberdeen-city.txt	Port of Aberdeen	resolved	57.14333	-2.08417	harbour	Modern trust-port branding; Wikipedia/infobox centroid for Port of Aberdeen.
42	aberdeen-city.txt	Aberdeen Port	resolved	57.14333	-2.08417	harbour	Same operational area as Port of Aberdeen (rebranded harbour).
43	aberdeen-city.txt	Aberdeen Harbour entrance	resolved	57.14395	-2.06400	channel	Seaward approach between North Pier and South Breakwater (approx. channel centroid).
44	aberdeen-city.txt	Aberdeen harbour mouth	resolved	57.14350	-2.06550	channel	Harbour mouth / entrance channel (approximate mid-channel).
45	aberdeen-city.txt	North Harbour Aberdeen	resolved	57.14580	-2.08650	harbour_basin	Northern dock cluster (Victoria Dock / north shore basins; approximate centroid).
46	aberdeen-city.txt	Aberdeen North Harbour	resolved	57.14570	-2.08700	harbour_basin	Same north-basin complex as North Harbour (slight offset along quay).
47	aberdeen-city.txt	Tidal Harbour Aberdeen	resolved	57.14140	-2.07027	tidal_harbour	Tidal harbour extent per main harbour record (Canmore NJ90NE 7).
48	aberdeen-city.txt	Upper Dock Aberdeen	resolved	57.14522	-2.09335	dock	Upper Dock / Trinity basin (Canmore NJ 9445 0604).
49	aberdeen-city.txt	Upper Quay Aberdeen	resolved	57.14520	-2.09350	quay	Quay along Upper Dock (approximate waterside frontage).
50	aberdeen-city.txt	Trinity Quay	resolved	57.14522	-2.09335	quay	Also known as Upper Dock frontage (Canmore alias).
51	aberdeen-city.txt	Regent Quay	resolved	57.14600	-2.09280	quay	Regent Quay range (between Upper Dock and offices; OS/Canmore corridor).
52	aberdeen-city.txt	Regent Quay West	resolved	57.14590	-2.09400	quay	Western Regent Quay / weigh-house side (approximate).
53	aberdeen-city.txt	Regent Quay East	resolved	57.14610	-2.09160	quay	Eastern Regent Quay toward Victoria Dock (approximate).
54	aberdeen-city.txt	Jamieson's Quay	resolved	57.14505	-2.09141	quay	NorthLink ferry quay (map/geocoder centroid; apostrophe spelling).
55	aberdeen-city.txt	Jamiesons Quay	resolved	57.14505	-2.09135	quay	Same quay as Jamieson's (variant spelling).
56	aberdeen-city.txt	Victoria Dock Aberdeen	resolved	57.14531	-2.08592	dock	Victoria Dock (Canmore NJ 94900 06050).
57	aberdeen-city.txt	Waterloo Quay	resolved	57.14549	-2.08459	quay	Waterloo Quay / Victoria Dock entrance frontage (Canmore NJ 9498 0607).
58	aberdeen-city.txt	Waterloo Quay West	resolved	57.14555	-2.08520	quay	Western Waterloo Quay along Victoria Dock (approximate).
59	aberdeen-city.txt	Waterloo Quay East	resolved	57.14543	-2.08400	quay	Eastern Waterloo Quay toward entrance (approximate).
60	aberdeen-city.txt	Waterloo Quay Cross Berth	resolved	57.14550	-2.08465	berth	Cross-berth area at Victoria Dock / Waterloo Quay entrance (approximate).
61	aberdeen-city.txt	Blaikie's Quay	resolved	57.14486	-2.09038	quay	Canmore NJ90NW 1182 / listed quay (Salvesen Tower area).
62	aberdeen-city.txt	Blaikies Quay	resolved	57.14483	-2.09035	quay	Same quay frontage as Blaikie's (spelling variant).
63	aberdeen-city.txt	Telford Dock	resolved	57.14420	-2.07625	dock	Telford Dock basin / Hall Russell site centroid (Port of Aberdeen naming).
64	aberdeen-city.txt	Telford Jetty	resolved	57.14425	-2.07590	jetty	Telford Dock jetty / entrance works (approximate waterside).
65	aberdeen-city.txt	Russell's Quay	resolved	57.14411	-2.07530	quay	Also known as Russell's Quay; Canmore dry dock / Hall Russell NJ95542 05915.
66	aberdeen-city.txt	Russells Quay	resolved	57.14409	-2.07528	quay	Same Russell's Quay (apostrophe variant).
67	aberdeen-city.txt	Hall's Quay	resolved	57.14435	-2.07675	quay	Hall's Quay, Telford Dock (between Russell's and Clipper; approximate).
68	aberdeen-city.txt	Halls Quay	resolved	57.14433	-2.07672	quay	Same Hall's Quay (spelling variant).
69	aberdeen-city.txt	Duthie's Quay	resolved	57.14452	-2.07820	quay	Duthie's Quay, Telford Dock (approximate along wet basin).
70	aberdeen-city.txt	Duthies Quay	resolved	57.14450	-2.07818	quay	Same Duthie's Quay (apostrophe variant).
71	aberdeen-city.txt	Clipper Quay	resolved	57.14464	-2.07790	quay	Geograph / OSM cluster NJ 9538 0597 (Clipper Quay berths).
72	aberdeen-city.txt	Albert Basin	resolved	57.14243	-2.09103	basin	Canmore NJ90NW 291.05 Albert Basin / Albert Quay record.
73	aberdeen-city.txt	Albert Basin entrance	resolved	57.14215	-2.08860	channel	Seaward entrance from tidal harbour into Albert Basin (approximate).
74	aberdeen-city.txt	Albert Quay	resolved	57.14243	-2.09103	quay	South / Point Law quay along Albert Basin (Canmore 104114 centroid).
75	aberdeen-city.txt	Albert Quay West	resolved	57.14252	-2.09215	quay	Western Albert Quay toward Palmerston / Commercial (approximate).
76	aberdeen-city.txt	Albert Quay East	resolved	57.14235	-2.08990	quay	Eastern Albert Quay toward basin entrance (approximate).
77	aberdeen-city.txt	Albert Quay Bunker Berth	resolved	57.14240	-2.09035	berth	Named bunker berth along Albert Quay (approximate).
78	aberdeen-city.txt	Albert Quay River Dee	resolved	57.14192	-2.09005	quay	River Dee–side frontage at Albert Quay (approximate tidal bank).
