line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	aberdeenshire.txt	Portsoy	resolved	57.68155	-2.69074	town	OSM place=town (Nominatim).
2	aberdeenshire.txt	Portsoy Harbour	resolved	57.68578	-2.68749	harbour	OSM “Portsoy New Harbour” polygon centroid (Nominatim).
3	aberdeenshire.txt	Old Portsoy	resolved	57.68504	-2.69082	harbour	OSM “Portsoy Old Harbour” marina (Nominatim).
4	aberdeenshire.txt	Tillynaught	resolved	57.64329	-2.67782	hamlet	OSM named farmyard/hamlet (Nominatim); slightly inland of the immediate foreshore.
5	aberdeenshire.txt	Whitehills	resolved	57.67736	-2.57979	village	OSM place=village (Nominatim).
6	aberdeenshire.txt	Boyndie	resolved	57.66288	-2.60440	hamlet	OSM place=hamlet (Nominatim).
7	aberdeenshire.txt	Inverboyndie	resolved	57.66850	-2.56017	village	OSM place=village (Nominatim).
8	aberdeenshire.txt	Banff	resolved	57.66455	-2.52175	town	OSM place=town (Nominatim).
9	aberdeenshire.txt	Banff Bay	resolved	57.67047	-2.51351	bay	OSM named bay (Nominatim).
10	aberdeenshire.txt	Banff Bridge	resolved	57.66285	-2.51327	bridge	OSM “Bridge of Banff” (Nominatim).
11	aberdeenshire.txt	Macduff	resolved	57.67021	-2.49444	town	OSM place=town (Nominatim).
12	aberdeenshire.txt	Macduff Harbour	resolved	57.67239	-2.49802	harbour	OSM “Princess Royal Basin” centroid (no direct “Macduff Harbour” hit in Nominatim).
13	aberdeenshire.txt	West Beach Macduff	resolved	57.67065	-2.47107	beach	OSM Tarlair lido on the west/Moray Firth foreshore used as west-beach anchor (Nominatim).
14	aberdeenshire.txt	Doune	resolved	57.65989	-2.51142	historic_place	Historic settlement name for Macduff; Canmore/trove “Doune, Fairs Cottage” (NJ 69583 63448).
15	aberdeenshire.txt	Gardenstown	resolved	57.67156	-2.33853	village	OSM place=village (Nominatim).
16	aberdeenshire.txt	Gardenstown Harbour	resolved	57.67307	-2.33791	harbour	OSM Gardenstown Harbour marina (Nominatim).
17	aberdeenshire.txt	Gamrie	resolved	57.67156	-2.33853	parish	OSM resolves parish label to Gardenstown (main settlement of the parish of Gamrie).
18	aberdeenshire.txt	Gamrie Bay	resolved	57.67860	-2.34045	bay	OSM named “Gamrie Bay” (Nominatim); not the nearby apartment block hit.
19	aberdeenshire.txt	Crovie	resolved	57.67897	-2.32406	village	OSM place=village (Nominatim).
20	aberdeenshire.txt	Crovie Harbour	resolved	57.67910	-2.32390	harbour	No OSM harbour object; pin placed on Crovie shore/harbour frontage just seaward of the village node.
21	aberdeenshire.txt	Pennan	resolved	57.67881	-2.26053	village	OSM place=village (Nominatim).
22	aberdeenshire.txt	Pennan Harbour	resolved	57.67942	-2.25868	dock	OSM waterway=dock “Pennan Harbour” (Nominatim).
23	aberdeenshire.txt	Rosehearty	resolved	57.69677	-2.11435	village	OSM place=village (Nominatim).
24	aberdeenshire.txt	Rosehearty Harbour	resolved	57.69984	-2.11677	harbour	OSM Rosehearty Harbour marina (Nominatim).
25	aberdeenshire.txt	Pitsligo	resolved	57.59227	-2.19721	village	OSM resolves to “New Pitsligo” (Nominatim); list label is Pitsligo.
26	aberdeenshire.txt	Cairnbulg	resolved	57.67707	-1.93372	village	OSM place=village (Nominatim).
27	aberdeenshire.txt	Cairnbulg Harbour	resolved	57.67750	-1.93480	harbour	No OSM harbour name hit; pin on Shore Street / harbour pocket at Cairnbulg (street geometry from Nominatim).
28	aberdeenshire.txt	Inverallochy	resolved	57.67482	-1.92936	village	OSM place=village (Nominatim).
29	aberdeenshire.txt	St Combs	resolved	57.65707	-1.91105	village	OSM place=village (Nominatim).
30	aberdeenshire.txt	St Combs Point	resolved	57.65000	-1.90500	headland	No named OSM feature; approximate southern foreshore/point toward Loch of Strathbeg from St Combs (human-map pin).
31	aberdeenshire.txt	Broadsea	resolved	57.6948184	-2.0176652	neighbourhood	OSM Broadsea, Fraserburgh (Nominatim).
32	aberdeenshire.txt	Sandhaven	resolved	57.6972588	-2.0636460	village	OSM place context Sandhaven (Nominatim).
33	aberdeenshire.txt	Philorth	resolved	57.6846062	-1.9999945	beach	OSM stop “Fraserburgh (Tiger Hill)” on Harbour Road; Philorth Burn / west beach sector of Fraserburgh (Nominatim).
34	aberdeenshire.txt	Fraserburgh	resolved	57.6935974	-2.0051497	town	OSM place=town (Nominatim).
35	aberdeenshire.txt	Fraserburgh Harbour	resolved	57.6946365	-2.0011669	harbour	OSM “Balaclava Harbour”, Port of Fraserburgh (Nominatim).
36	aberdeenshire.txt	Fraserburgh Beach	resolved	57.68850	-2.01950	beach	No named OSM beach; approximate sandy foreshore west of town (Tiger Hill / Coral Beach sector; human-map pin).
37	aberdeenshire.txt	Faithlie	resolved	57.6907632	-1.9994645	harbour	Faithlie is historic name for Fraserburgh harbour; OSM “Faithlie Harbour”, Port of Fraserburgh (Nominatim).
38	aberdeenshire.txt	Memsie	resolved	57.6500434	-2.0504590	village	OSM Memsie (Nominatim).
39	aberdeenshire.txt	Rattray	resolved	57.6100450	-1.8552301	hamlet	OSM building name “Old Rattray”, St Fergus — coastal Buchan hamlet S of Rattray Head (Nominatim).
40	aberdeenshire.txt	Rattray Head	resolved	57.6100591	-1.8162928	headland	OSM Rattray Head, St Fergus (Nominatim).
41	aberdeenshire.txt	Lonmay	resolved	57.6317102	-1.9374868	village	No place=village node; OSM “Lonmay Parish Church”, Fiddler’s Green used as village centre proxy (Nominatim).
42	aberdeenshire.txt	Crimond	resolved	57.6005059	-1.9153548	village	OSM Crimond (Nominatim).
43	aberdeenshire.txt	Longhaven	resolved	57.4467301	-1.8201802	hamlet	OSM Longhaven (Nominatim).
44	aberdeenshire.txt	Invernettie	resolved	57.4901485	-1.7972914	neighbourhood	OSM Invernettie, Peterhead (Nominatim).
