line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	anglesey.txt	Holyhead	resolved	53.309	-4.633	town	Largest settlement on Holy Island; port town (Caergybi).
2	anglesey.txt	Holyhead Harbour	resolved	53.316	-4.624	harbour	Ferry port / Salt Island terminal area (Stena & Irish Ferries).
3	anglesey.txt	Kingsland	resolved	53.301109	-4.629258	suburb	Holyhead ward (Penllechnêst); south of town centre.
4	anglesey.txt	Penrhos	resolved	53.2976	-4.5974	area	Penrhos coastal country park / Holyhead suburb (SH2781 area).
5	anglesey.txt	Penrhos Beach	resolved	53.301209	-4.614646	beach	Sandy bay east of Holyhead (OS SH 2640 8154).
6	anglesey.txt	Newry Beach	resolved	53.316865	-4.634864	beach	Promenade beach by inner harbour (Traeth Newry).
7	anglesey.txt	Holy Island	resolved	53.283	-4.617	island	West Anglesey island (Holyhead Island); Wikipedia centroid.
8	anglesey.txt	Ynys Gybi	resolved	53.283	-4.617	island	Welsh name for Holy Island; same landmass as line 7.
9	anglesey.txt	Holyhead Mountain	resolved	53.31341	-4.675573	hill	Mynydd Twr; county top (trig/DBIH).
10	anglesey.txt	South Stack	resolved	53.306667	-4.699444	headland	Ynys Lawd / South Stack lighthouse islet off Holy Island.
11	anglesey.txt	North Stack	resolved	53.333332	-4.683333	stack	Ynys Arw; fog-signal islet/headland north of Holyhead Mountain.
12	anglesey.txt	Porth Dafarch	resolved	53.2867	-4.6521	beach	Sheltered west-coast cove west of Holyhead.
13	anglesey.txt	Trearddur Bay	resolved	53.28215	-4.61724	bay	Main bay/beach of the Trearddur community.
14	anglesey.txt	Trearddur	resolved	53.283	-4.617	village	Coastal village (Bae Trearddur) south-west of Holyhead.
15	anglesey.txt	Rhoscolyn	resolved	53.250	-4.600	village	Southerly Holy Island village (community centre coords).
16	anglesey.txt	Rhoscolyn Bay	resolved	53.244147	-4.588428	bay	Borthwen/Borth Wen crescent (Geograph SH 2738 7503).
17	anglesey.txt	Silver Bay	resolved	53.2459	-4.5605	beach	Traeth Llydan; Rhoscolyn holiday-park bay (BOTA/Streetmap).
18	anglesey.txt	Four Mile Bridge	resolved	53.27316	-4.58357	village	Pontrhydybont over Cymyran Strait (OS Open Names centre).
19	anglesey.txt	Cymyran	resolved	53.242458	-4.541562	beach	Traeth Cymyran by Cymyran Strait / RAF Valley (Geograph).
20	anglesey.txt	Valley	resolved	53.28401	-4.56203	village	Y Fali village (not the airfield centroid).
21	anglesey.txt	Rhosneigr	resolved	53.228203	-4.521239	village	West Anglesey coastal village (Wikipedia/GeoHack).
22	anglesey.txt	Traeth Crigyll	resolved	53.2282	-4.521	beach	Main town beach (Traeth Crigyll) at Rhosneigr.
23	anglesey.txt	Rhosneigr Broad Beach	resolved	53.2235	-4.510	beach	Broad sandy beach south-east of the village centre.
24	anglesey.txt	Cable Bay	resolved	53.2069	-4.4986	bay	English name for Porth Trecastell (Geograph SH 332706).
25	anglesey.txt	Porth Trecastell	resolved	53.20686	-4.49857	bay	Welsh name; same bay as Cable Bay (Geograph).
26	anglesey.txt	Aberffraw	resolved	53.188	-4.463	village	South-west coast by Afon Ffraw (Wikipedia coords).
27	anglesey.txt	Llangwyfan	resolved	53.1855	-4.4919	church	St Cwyfan's / 'church in the sea' locality (Cribinau).
28	anglesey.txt	Porth Cwyfan	resolved	53.1862	-4.4925	bay	Bay beside St Cwyfan's tidal islet.
29	anglesey.txt	Soar	resolved	53.221178	-4.419235	hamlet	Soar, Aberffraw community (Wikipedia stub coords).
30	anglesey.txt	Newborough	resolved	53.16479	-4.359	village	Niwbwrch; access to Warren/Llanddwyn (Wikipedia coords).
31	anglesey.txt	Newborough Warren	resolved	53.15223	-4.35608	nature_reserve	Tywyn Niwbwrch NNR; Wikipedia centroid (dune system / Llanddwyn bay).
32	anglesey.txt	Newborough Forest	resolved	53.155	-4.368	forest	Forestry plantation on east side of Warren; approximate visitor-forest centroid.
33	anglesey.txt	Ynys Llanddwyn	resolved	53.1375	-4.4125	island	Tidal island / NNR; Wikipedia coords (Twr Mawr lighthouse area).
34	anglesey.txt	Llanddwyn Island	resolved	53.1375	-4.4125	island	English name for Ynys Llanddwyn; same island as line 33.
35	anglesey.txt	Traeth Llanddwyn	resolved	53.148	-4.401	beach	Main sandy beach from forest to island; approximate mid-beach (coastal path).
36	anglesey.txt	Malltraeth	resolved	53.1931	-4.3868	village	Village at head of Malltraeth Bay (Wikipedia coords).
37	anglesey.txt	Malltraeth Cob	resolved	53.198	-4.384	embankment	Cob carrying road/rail across Afon Cefni estuary; approximate centre of causeway.
38	anglesey.txt	Dwyran	resolved	53.1644	-4.3169	village	Inland of west Menai shore; Wikipedia/GeoHack centroid.
39	anglesey.txt	Brynsiencyn	resolved	53.181	-4.267	village	Community west of Menai Strait (Wikipedia-class coords).
40	anglesey.txt	Britannia Bridge	resolved	53.1825	-4.209	bridge	A55 Britannia Bridge over Menai Strait (OS/widely published centroid).
41	anglesey.txt	Menai Bridge	resolved	53.221	-4.163	town	Porthaethwy town on Menai Strait (Wikipedia-class centroid).
42	anglesey.txt	Porthaethwy	resolved	53.221	-4.163	town	Welsh name for Menai Bridge settlement; same as line 41.
43	anglesey.txt	Belgian Promenade	resolved	53.224	-4.161	promenade	Seafront path at Menai Bridge built by Belgian refugees (WWI); strait-side.
44	anglesey.txt	Garth	resolved	53.224	-4.158	area	Garth / Penrhos Garth locality by Menai shore near promenade (approximate).
45	anglesey.txt	Llanfairpwll	resolved	53.221	-4.198	village	Llanfairpwllgwyngyll (short form); strait-side village (Wikipedia-class).
46	anglesey.txt	Llanfairpwllgwyngyllgogerychwyrndrobwyllllantysiliogogogoch	resolved	53.221	-4.198	village	Official long name; same settlement as Llanfairpwll (line 45).
47	anglesey.txt	Llanfair PG	resolved	53.221	-4.198	village	Common abbreviation; same settlement as lines 45-46.
48	anglesey.txt	Llandegfan	resolved	53.238	-4.207	village	Across strait from Bangor; Wikipedia-class coords.
49	anglesey.txt	Beaumaris	resolved	53.276	-4.092	town	Historic town and castle on Menai Strait (Wikipedia centroid).
50	anglesey.txt	Beaumaris Pier	resolved	53.277	-4.088	pier	Town pier on Strait (approximate pier head).
51	anglesey.txt	Beaumaris Castle	resolved	53.277778	-4.090278	castle	Edward I-era castle; Wikipedia/GeoHack coords.
52	anglesey.txt	Gallows Point	resolved	53.278	-4.086	headland	East of Beaumaris; approximate coastal tip (map reading).
53	anglesey.txt	Penmon	resolved	53.298	-4.035	village	Penmon peninsula settlement (Wikipedia-class).
54	anglesey.txt	Penmon Priory	resolved	53.298611	-4.0325	priory	St Seiriol's Priory; listed-building centroid area.
55	anglesey.txt	Penmon Point	resolved	53.304	-4.042	headland	Tip of Penmon peninsula toward Trwyn Du (approximate).
56	anglesey.txt	Trwyn Du	resolved	53.312994	-4.04063	lighthouse	Trwyn Du / Penmon lighthouse; Wikipedia coords.
57	anglesey.txt	Puffin Island	resolved	53.31854	-4.02958	island	Ynys Seiriol; uninhabited island east of Penmon (Wikipedia coords).
58	anglesey.txt	Ynys Seiriol	resolved	53.31854	-4.02958	island	Welsh name for Puffin Island; same landmass as line 57.
59	anglesey.txt	Black Point	resolved	53.3129	-4.0407	headland	English name for Trwyn Du lighthouse locality; Cadw/listing centroid.
60	anglesey.txt	Llangoed	resolved	53.283	-4.067	village	Inland east of Beaumaris toward Penmon (Wikipedia-class).
61	anglesey.txt	Llanddona	resolved	53.288601	-4.14669	village	Sandy east-coast village; Wikipedia/GeoHack coords (SH5779 area).
62	anglesey.txt	Red Wharf Bay	resolved	53.304	-4.19	bay	Traeth Coch / Red Wharf Bay; Wikipedia centroid (large intertidal bay).
63	anglesey.txt	Traeth Coch	resolved	53.304	-4.19	beach	Welsh name for Red Wharf Bay; same coastal feature as line 62.
64	anglesey.txt	Pentraeth	resolved	53.283716	-4.216954	village	Village at head of Red Wharf Bay (Wikipedia/GeoHack).
65	anglesey.txt	Marian-glas	resolved	53.3346	-4.2478	village	Small village between Benllech and Moelfre (Wikipedia coords).
66	anglesey.txt	Benllech	resolved	53.3216	-4.2257	village	Large east-coast seaside village (Wikipedia/GeoHack).
67	anglesey.txt	Benllech Beach	resolved	53.321	-4.226	beach	Main resort beach at Benllech; approximate mid-beach (shore A5025).
68	anglesey.txt	Traeth Lligwy	resolved	53.36204	-4.2601	beach	Lligwy Bay sandy beach N of Moelfre (Lligwy Bay Wikipedia beach coords).
69	anglesey.txt	Lligwy Bay	resolved	53.36204	-4.2601	bay	Bay / Traeth Lligwy; same centroid as beach (Wikipedia).
70	anglesey.txt	Moelfre	resolved	53.35351	-4.2356	village	Northeast-coast harbour village (Moelfre, Anglesey Wikipedia).
71	anglesey.txt	Moelfre Beach	resolved	53.354	-4.232	beach	Sandy shore by Moelfre harbour / seawall; approximate visitor beach centroid.
72	anglesey.txt	Dinmor Point	resolved	53.3167	-4.05	headland	Trwyn Dinmor; east-coast headland between Moelfre and Penmon (published chart-style coords).
73	anglesey.txt	Dulas	resolved	53.363947	-4.301532	village	City Dulas on A5025 near Dulas Bay (Dulas, Anglesey Wikipedia).
74	anglesey.txt	Dulas Bay	resolved	53.37531	-4.27132	bay	Bae Dulas NE coast; Wikipedia location map coords (several beaches).
75	anglesey.txt	Llys Dulas	resolved	53.403	-4.292	estate	Historic Llys Dulas manor area / Llysdulas locality N of Dulas Bay (community-map reading).
76	anglesey.txt	Traeth yr Ora	resolved	53.37305	-4.27235	beach	Sandy beach in Dulas Bay (Geograph SH489886 camera/subject area).
77	anglesey.txt	Amlwch	resolved	53.406	-4.341	town	North-coast port town (Wikipedia/GeoHack centroid).
78	anglesey.txt	Amlwch Port	resolved	53.415323	-4.332973	harbour	Harbour / outer pier area (Amlwch Lighthouse Wikipedia coords).
79	anglesey.txt	Gadlys	resolved	53.4005	-4.348	area	Gadlys suburb W of Amlwch centre (approximate built-up centroid).
80	anglesey.txt	Bull Bay	resolved	53.417	-4.35	village	Porth Llechog / Bull Bay hamlet and bay N of Amlwch (Wikipedia coords).
81	anglesey.txt	Porthllechog	resolved	53.417	-4.35	bay	Welsh form for Bull Bay; same harbour/village centroid as line 80.
82	anglesey.txt	Point Lynas	resolved	53.416287	-4.289198	headland	NE Anglesey headland; lighthouse coords used as point (Wikipedia).
83	anglesey.txt	Porth Eilian	resolved	53.4145	-4.287	harbour	Sheltered harbour E of Llaneilian under Point Lynas (approximate harbour mouth).
84	anglesey.txt	Llaneilian	resolved	53.407	-4.296	village	Coastal community village near Porth Eilian (Wikipedia/infobox coords).
85	anglesey.txt	Cemaes	resolved	53.411	-4.453	village	North-coast fishing village by River Wygyr (Wikipedia coords).
86	anglesey.txt	Cemaes Bay	resolved	53.418	-4.465	bay	Bay inlet W of Llanbadrig Point; approximate mid-bay (Traeth Mawr / harbour area).
87	anglesey.txt	Porth Padrig	resolved	53.421	-4.446	cove	St Patrick’s cove (White Lady Bay); UK Beach Guide SH375944 midpoint.
