line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	angus.txt	St Cyrus	resolved	56.775000	-2.415800	village	Coastal village; Wikipedia/infobox centroid (Angus coastal list; admin Aberdeenshire).
2	angus.txt	St Cyrus village	resolved	56.775000	-2.415800	village	Same settlement as St Cyrus.
3	angus.txt	St Cyrus beach	resolved	56.764000	-2.417000	beach	Sandy beach on the NNR foreshore seaward of the village.
4	angus.txt	St Cyrus foreshore	resolved	56.763500	-2.417500	beach	Foreshore strip within St Cyrus NNR.
5	angus.txt	St Cyrus National Nature Reserve	resolved	56.763801	-2.418300	nature reserve	Wikipedia centroid (visitor centre / old lifeboat station area).
6	angus.txt	St Cyrus NNR	resolved	56.763801	-2.418300	nature reserve	Same protected area as line 5.
7	angus.txt	NatureScot St Cyrus	resolved	56.763801	-2.418300	attraction	NatureScot visitor centre in former lifeboat station (reserve HQ).
8	angus.txt	North Esk mouth	resolved	56.751670	-2.431670	estuary	River North Esk → North Sea; Wikipedia mouth coordinates (position shifts over time).
9	angus.txt	River North Esk mouth	resolved	56.751670	-2.431670	estuary	Same mouth as line 8.
10	angus.txt	Kinnaber	resolved	56.755900	-2.475890	hamlet	Canmore/trove-style coords for Kinnaber (North Esk south bank, near Montrose).
11	angus.txt	Kinnaber shore	resolved	56.756200	-2.476200	beach	Shoreline along the river/estuary near Kinnaber (approximate foreshore pin).
12	angus.txt	Montrose	resolved	56.708324	-2.467118	town	Wikipedia / GeoHack town centroid.
13	angus.txt	Montrose Seafront	resolved	56.707400	-2.445000	beach	Promenade / bathing water seafront (Traill Drive area).
14	angus.txt	Montrose Beach	resolved	56.705710	-2.445037	beach	Geograph subject location for Montrose Beach (NO7257).
15	angus.txt	Montrose Bay	resolved	56.746800	-2.416900	bay	GeoHack Montrose Bay waterbody centroid.
16	angus.txt	Montrose sands	resolved	56.706500	-2.446000	beach	Sandy shore at town beach / bay head.
17	angus.txt	Montrose Harbour	resolved	56.705700	-2.471500	harbour	Canmore / trove record for Montrose Harbour (South Esk mouth works).
18	angus.txt	Montrose port	resolved	56.712816	-2.449502	harbour	Montrose Port Authority South Quay, Ferryden (UN/LOCODE style coords).
19	angus.txt	Montrose waterfront	resolved	56.707000	-2.465000	unknown	General coastal/built waterfront between town centre and basin/sea.
20	angus.txt	Montrose links	resolved	56.715367	-2.453395	attraction	Montrose Golf Links clubhouse area (Where2Golf); coastal links.
21	angus.txt	Traill Drive Montrose	resolved	56.707000	-2.444500	unknown	Seafront access / Traill Drive coastal facilities (distinct from links clubhouse coords).
22	angus.txt	Elephant Rock Montrose	resolved	56.671000	-2.468900	headland	Natural arch near Boddin Point south of Montrose (VisitAngus / coastal guides).
23	angus.txt	Montrose Air Station Heritage Centre shore	resolved	56.726000	-2.462000	attraction	Heritage centre site (Wikipedia); inland former airfield—not an open coast feature.
24	angus.txt	River South Esk mouth	resolved	56.703030	-2.440922	estuary	Wikipedia mouth at Montrose Harbour / basin outlet.
25	angus.txt	South Esk estuary Montrose	resolved	56.708180	-2.503050	estuary	Montrose Basin (tidal estuary) centroid from Wikipedia.
26	angus.txt	Montrose Basin	resolved	56.708180	-2.503050	bay	Enclosed tidal basin of the South Esk (Wikipedia map centroid).
27	angus.txt	Montrose Basin Local Nature Reserve	resolved	56.708180	-2.503050	nature reserve	LNR covers the Montrose Basin; SWT-managed core overlaps basin area.
28	angus.txt	Montrose Basin nature reserve	resolved	56.708180	-2.503050	nature reserve	Same general reserve footprint as lines 26–27 (whole-basin reading).
29	angus.txt	Montrose Basin Visitor Centre	resolved	56.698933	-2.490550	attraction	SWT visitor centre, Rossie Braes (published GPS).
30	angus.txt	Scottish Wildlife Trust Montrose Basin	resolved	56.698933	-2.490550	nature reserve	SWT reserve operations centred on the Rossie Braes visitor centre.
31	angus.txt	SWT Montrose Basin	resolved	56.698933	-2.490550	nature reserve	Same SWT Montrose Basin presence as visitor centre / lines 29–30 (reserve HQ at Rossie Braes).
32	angus.txt	Rossie Island	resolved	56.702900	-2.478500	island	Gazetteer for Scotland; former Inchbraoch / Montrose Harbour south (filled channel).
33	angus.txt	Ferryden	resolved	56.699039	-2.477074	village	Wikipedia / common gazetteer coords; south bank of South Esk by Montrose.
34	angus.txt	Ferryden shore	resolved	56.699400	-2.476800	beach	Foreshore on South Esk / tidal margin near Ferryden (approximate coastal pin).
35	angus.txt	Ferryden pier	resolved	56.700500	-2.475500	harbour	Historic fishing pier / harbour works on Ferryden waterfront (approximate).
36	angus.txt	Hillside	resolved	56.741944	-2.480000	village	Wikipedia infobox (56°44′31″N 2°28′48″W); Angus village N of Montrose.
37	angus.txt	Hillside shore	resolved	56.734000	-2.482000	unknown	Approximate Montrose Basin / tidal margin reachable from Hillside (not open sea).
38	angus.txt	Bridge of Dun	resolved	56.716290	-2.552580	bridge	Canmore NRHE: Bridge of Dun over River South Esk (W end of Montrose Basin).
39	angus.txt	Scurdie Ness	resolved	56.701769	-2.437275	headland	Wikipedia / NLB lighthouse position on Montrose Point.
40	angus.txt	Scurdie Ness Lighthouse	resolved	56.701769	-2.437275	lighthouse	NLB published position; same tower as line 39.
41	angus.txt	Usan	resolved	56.682320	-2.453740	hamlet	Canmore centroid for Fishtown of Usan fishing station (coastal “Usan”).
42	angus.txt	Usan shore	resolved	56.682600	-2.454000	beach	Foreshore beside Fishtown of Usan (approximate open-coast pin).
43	angus.txt	Mains of Usan	resolved	56.679000	-2.452000	farm	Farmstead inland of Fishtown (OS grid square NO7255 area; approximate).
44	angus.txt	Boddin	resolved	56.674163	-2.473223	village	Wikipedia Boddin, Angus (coastal hamlet S of Montrose).
45	angus.txt	Boddin Point	resolved	56.670943	-2.469267	headland	Geograph WGS84 for lime kiln on Boddin Point promontory.
46	angus.txt	Boddin Point lime kilns	resolved	56.671010	-2.469270	historic	Trove.scot / Canmore coords for Boddin Point lime kilns.
47	angus.txt	Boddin lime kilns	resolved	56.671010	-2.469270	historic	Same kiln group as line 46.
48	angus.txt	Lunan	resolved	56.654251	-2.510487	hamlet	Wikipedia Lunan, Angus (hamlet above Lunan Bay).
