line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	antrim.txt	Jordanstown	resolved	54.67991	-5.88867	village	Townland / ward on Belfast Lough (Wikipedia centroid).
2	antrim.txt	Jordanstown Shore	resolved	54.67650	-5.89020	foreshore	Seaward / Loughshore Park sector of Jordanstown frontage.
3	antrim.txt	Greenisland	resolved	54.69500	-5.85700	town	Coastal town on Belfast Lough (Wikipedia centroid).
4	antrim.txt	Whiteabbey	resolved	54.67778	-5.90694	village	Whiteabbey settlement centroid (Wikipedia coords).
5	antrim.txt	Newtownabbey Shore	resolved	54.68400	-5.87550	foreshore	Representative Belfast Lough shore within Antrim & Newtownabbey (Monkstown / coastal strip).
6	antrim.txt	Carrickfergus	resolved	54.71580	-5.80980	town	Town centroid (standard mapping).
7	antrim.txt	Carrickfergus Castle	resolved	54.71360	-5.80550	castle	Harbour head Norman castle pin.
8	antrim.txt	Carrickfergus Harbour	resolved	54.71550	-5.80500	harbour	Main harbour / marina area.
9	antrim.txt	Eden	resolved	54.72895	-5.77451	village	Eastern Carrickfergus coastal settlement (Wikipedia coords).
10	antrim.txt	Kilroot	resolved	54.72000	-5.76000	village	Kilroot east of Carrickfergus (coastal plain).
11	antrim.txt	Ballycarry	resolved	54.71500	-5.70800	village	Village toward Island Magee neck.
12	antrim.txt	Whitehead	resolved	54.76200	-5.70900	town	Coastal town east of Carrickfergus.
13	antrim.txt	Whitehead Promenade	resolved	54.76250	-5.71000	promenade	Seafront promenade at Whitehead.
14	antrim.txt	Blackhead Lighthouse	resolved	54.72639	-5.71833	lighthouse	Black Head / Island Magee lighthouse feature.
15	antrim.txt	Blackhead	resolved	54.72650	-5.71800	headland	Black Head headland (Island Magee); same coastal feature as lighthouse.
16	antrim.txt	Island Magee	resolved	54.78000	-5.72000	peninsula	Approximate centroid of the peninsula (long linear extent).
17	antrim.txt	Ballystrudder	resolved	54.83900	-5.73100	townland	North Island Magee settlement area.
18	antrim.txt	Mill Bay	resolved	54.82150	-5.72750	bay	Small bay on Island Magee north coast.
19	antrim.txt	Portmuck	resolved	54.82850	-5.72300	harbour	Small harbour / cove on Island Magee.
20	antrim.txt	Skernaghan Point	resolved	54.80300	-5.71200	headland	Point on Island Magee east coast.
21	antrim.txt	Browns Bay	resolved	54.79100	-5.71600	bay	Browns Bay north-east Island Magee.
22	antrim.txt	Browns Bay Beach	resolved	54.79120	-5.71620	beach	Sandy beach at Browns Bay.
23	antrim.txt	Brown's Bay Island Magee	resolved	54.79100	-5.71600	bay	Same named bay as Browns Bay (source spelling).
24	antrim.txt	Drains Bay	resolved	54.83100	-5.73500	bay	Bay north Island Magee toward Larne.
25	antrim.txt	Drumnagreagh Bay	resolved	54.84000	-5.72800	bay	North coast bay on Island Magee.
26	antrim.txt	Carnfunnock	resolved	54.89080	-5.84660	park	Carnfunnock Country Park visitor centroid (Wikipedia).
27	antrim.txt	Larne Lough	ambiguous			lough	Large sea lough / estuary system; no single representative coastal pin without over-precision.
28	antrim.txt	Larne	resolved	54.84589	-5.80572	town	Town centroid (GeoHack / Wikipedia).
29	antrim.txt	Larne Harbour	resolved	54.84806	-5.79861	harbour	Ferry port / harbour area (near Larne Harbour station coords).
30	antrim.txt	Inver	resolved	54.84983	-5.82694	area	Inver district of Larne (Inver Park / Inver Rd sector centroid).
31	antrim.txt	Glynn	resolved	54.81700	-5.81700	village	Wikipedia coords; Larne Lough shore south of Larne.
32	antrim.txt	Magheramorne	resolved	54.71670	-5.76780	townland	Coastal townland / former cement works area east of Larne (mapping centroid).
33	antrim.txt	Ballylumford	resolved	54.81900	-5.76700	industrial	Ballylumford power station / foreshore sector on Island Magee (mapping pin).
34	antrim.txt	Ballygally	resolved	54.86670	-5.86670	village	Ballygally on Antrim coast (Wikipedia-class centroid).
35	antrim.txt	Ballygalley	resolved	54.86670	-5.86670	village	Alternate spelling / same coastal settlement as Ballygally (same pin).
36	antrim.txt	Ballygally Castle	resolved	54.86750	-5.86700	castle	Ballygally Castle Hotel headland pin on Ballygally Bay.
37	antrim.txt	The Gobbins	resolved	54.75600	-5.70300	attraction	The Gobbins cliff walk / visitor access (Island Magee coast).
38	antrim.txt	Gobbins Cliff Path	resolved	54.75650	-5.70250	walk	Same coastal cliff-path feature as The Gobbins; path sector pin.
39	antrim.txt	Curran Point Larne	resolved	54.84050	-5.80600	point	Curran Point on Larne Lough south of Larne (coastal point).
40	antrim.txt	Chaine Memorial Tower	resolved	54.85454	-5.79798	lighthouse	Wikipedia coords; memorial lighthouse at Larne Lough harbour mouth.
41	antrim.txt	Sandy Bay Larne	resolved	54.85100	-5.81300	beach	Sandy Bay / Chaine Park foreshore near the memorial tower.
42	antrim.txt	Town Bay Larne	resolved	54.84700	-5.80200	bay	Open bay / foreshore sector of Larne town fronting the lough.
43	antrim.txt	Swan Island Larne Lough	resolved	54.82412	-5.78497	island	Wikipedia coords; small island SPA in Larne Lough near Glynn.
44	antrim.txt	Glenarm	resolved	54.93300	-5.95700	village	Glenarm village on Antrim coast (standard map centroid).
45	antrim.txt	Glenarm Bay	resolved	54.93450	-5.95550	bay	Bay in front of Glenarm on the North Channel.
46	antrim.txt	Glenarm Castle	resolved	54.93200	-5.95600	castle	Glenarm Castle estate / demesne coastal sector.
47	antrim.txt	Glenarm Harbour	resolved	54.93500	-5.95800	harbour	Stone harbour / marina at Glenarm mouth of river.
48	antrim.txt	Carnlough	resolved	54.98670	-5.98900	village	Carnlough village on Antrim coast (Wikipedia-class centroid).
49	antrim.txt	Carnlough Harbour	resolved	54.98800	-5.99000	harbour	Harbour basin at Carnlough (limestone harbour).
50	antrim.txt	Carnlough Pier	resolved	54.98820	-5.99100	pier	Pier head at Carnlough harbour entrance.
51	antrim.txt	Red Bay	resolved	55.01000	-6.02000	bay	Red Bay between Carnlough and Cushendall (coastal embayment).
52	antrim.txt	Red Bay Beach	resolved	55.01020	-6.02020	beach	Shingle/sand beach at Red Bay.
53	antrim.txt	Red Bay Pier	resolved	55.00980	-6.01980	pier	Small pier / slip at Red Bay.
54	antrim.txt	Waterfoot	resolved	55.00600	-6.03500	village	Waterfoot at foot of Glenariff on Red Bay coast.
55	antrim.txt	Cushendall	resolved	55.08800	-6.06600	village	Cushendall village centroid near coast (OSM/Wikipedia class).
56	antrim.txt	Cushendall Beach	resolved	55.08700	-6.06500	beach	Foreshore beach in front of Cushendall.
57	antrim.txt	Cushendun	resolved	55.12200	-6.05800	village	Cushendun village on Antrim coast (mapping centroid).
58	antrim.txt	Cushendun Bay	resolved	55.12300	-6.05500	bay	Bay south of Cushendun village.
59	antrim.txt	Cushendun Caves	resolved	55.12400	-6.05000	caves	Sea caves on Cushendun Bay west shore.
60	antrim.txt	Cushendun Beach	resolved	55.12000	-6.05500	beach	Main sandy beach at Cushendun fronting the bay.
61	antrim.txt	Torr Head	resolved	55.19740	-6.06270	headland	Wikipedia coord; Straits of Moyle headland E of Cushendun.
62	antrim.txt	Murlough Bay	resolved	55.21300	-6.12100	bay	Wikipedia coord; bay between Fair Head and Torr Head.
63	antrim.txt	Garron Point	resolved	55.04429	-5.96450	headland	Coastal headland N of Carnlough (Causeway Coast AONB); source list not strictly E→W order.
64	antrim.txt	Ballycastle	resolved	55.20500	-6.25800	town	Wikipedia-class town centroid.
65	antrim.txt	Ballycastle Strand	resolved	55.20700	-6.25450	beach	Main seafront / strand west of harbour mouth.
66	antrim.txt	Ballycastle Marina	resolved	55.20630	-6.25300	marina	Marina basin beside town harbour.
67	antrim.txt	Ballycastle Harbour	resolved	55.20550	-6.25180	harbour	Ferry / working harbour (Rathlin) sector.
