line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	argyll-and-bute.txt	Helensburgh	resolved	56.00600	-4.72900	town	Firth of Clyde / Gare Loch entrance; town centroid (Wikipedia).
2	argyll-and-bute.txt	Rhu	resolved	56.01785	-4.77851	village	Gare Loch east shore (OS Open Names via getthedata).
3	argyll-and-bute.txt	Ardencaple	resolved	56.00913	-4.75697	landmark	Ardencaple Castle tower / Ardencaple area above Clyde shore (Wikipedia).
4	argyll-and-bute.txt	Craigendoran	resolved	55.99700	-4.70800	area	Helensburgh–Craigendoran waterfront locality (GeoHack).
5	argyll-and-bute.txt	Cardross	resolved	55.96250	-4.65278	village	North Clyde coast between Dumbarton and Helensburgh (Wikipedia).
6	argyll-and-bute.txt	Geilston	resolved	55.96873	-4.66108	attraction	Geilston House / NTS Geilston Garden (Canmore NGR).
7	argyll-and-bute.txt	Rosneath	resolved	56.00995	-4.80139	village	West shore Gare Loch (Wikipedia).
8	argyll-and-bute.txt	Blairmore	resolved	56.00126	-4.90098	village	Loch Long west shore north of Strone (Wikipedia).
9	argyll-and-bute.txt	Strone	resolved	55.98515	-4.89817	village	Holy Loch north shore / Clyde transition (Wikipedia).
10	argyll-and-bute.txt	Clynder	resolved	56.01860	-4.81400	village	Rosneath Peninsula west shore Gare Loch (Gazetteer for Scotland).
11	argyll-and-bute.txt	Kilmun	resolved	55.99413	-4.93386	village	Holy Loch north shore linear settlement (Wikipedia).
12	argyll-and-bute.txt	Garelochhead	resolved	56.08111	-4.83028	town	Head of Gare Loch (Wikipedia).
13	argyll-and-bute.txt	Cove	resolved	55.99800	-4.85200	village	Cove on Rosneath Peninsula, Loch Long (Wikipedia).
14	argyll-and-bute.txt	Kilcreggan	resolved	55.98463	-4.82132	village	South Rosneath on Clyde (OS Open Names).
15	argyll-and-bute.txt	Peaton	resolved	56.03196	-4.85673	area	Peaton Hill / Peaton Road locality near Cove (Canmore NS22108580).
16	argyll-and-bute.txt	Ardpeaton	resolved	56.02811	-4.86565	settlement	East shore Loch Long north of Kilcreggan (Wikipedia).
17	argyll-and-bute.txt	Dunoon	resolved	55.95090	-4.92620	town	Main Cowal town; upper Clyde shore (Wikipedia / GeoHack).
18	argyll-and-bute.txt	Kirn	resolved	55.96226	-4.91569	village	West Clyde shore west of Dunoon (Wikipedia).
19	argyll-and-bute.txt	Sandbank	resolved	55.97900	-4.94600	village	South Holy Loch shore (Wikipedia).
20	argyll-and-bute.txt	Hunters Quay	resolved	55.97013	-4.91051	suburb	West Clyde at Holy Loch entrance (GeoHack / Canmore).
21	argyll-and-bute.txt	Holy Loch	resolved	55.98500	-4.93000	sea_loch	Representative mid-loch point for tidal sea loch (Kilmun–Sandbank axis).
22	argyll-and-bute.txt	Innellan	resolved	55.88904	-4.96778	village	South of Dunoon on Clyde west shore (GeoHack).
23	argyll-and-bute.txt	Toward	resolved	55.86445	-4.98348	village	South Cowal near Toward Point (Wikipedia).
24	argyll-and-bute.txt	Toward Point	resolved	55.86028	-4.97806	headland	Toward Point Lighthouse position (Wikipedia).
25	argyll-and-bute.txt	Bullwood	resolved	55.93336	-4.94026	hamlet	Hillside settlement south of Dunoon (Canmore township).
26	argyll-and-bute.txt	Castle Toward	resolved	55.86955	-5.01401	attraction	19th-century country house estate (Wikipedia); distinct from medieval Toward Castle ruin.
27	argyll-and-bute.txt	Ardenslate	resolved	55.96204	-4.92434	area	Kirn / Ardenslate Road coastal fringe (Streetmap centroid).
28	argyll-and-bute.txt	Inverchaolain	resolved	55.96520	-5.08900	hamlet	East shore Loch Striven; parish centroid (Gazetteer for Scotland parish).
29	argyll-and-bute.txt	Strachur	resolved	56.16705	-5.06815	village	Loch Fyne east shore Cowal (GeoHack / Wikipedia).
30	argyll-and-bute.txt	Strathlachlan	resolved	56.10850	-5.20945	village	Strathlachlan / Old Castle Lachlan on Loch Fyne shore (Canmore).
31	argyll-and-bute.txt	St Catherines	resolved	56.22108	-5.03052	village	Loch Fyne east shore opposite Inveraray (Wikipedia).
32	argyll-and-bute.txt	Otter Ferry	resolved	56.00588	-5.31871	village	Former Loch Fyne ferry; OS Open Names centre (getthedata).
33	argyll-and-bute.txt	Kilfinan	resolved	55.95757	-5.31116	hamlet	Loch Fyne east shore hamlet / parish church area (GeoHack / Wikidata).
34	argyll-and-bute.txt	Portavadie	resolved	55.87394	-5.31453	marina	Portavadie Marina / ferry; operator “getting here” coordinates.
35	argyll-and-bute.txt	Ardlamont Point	resolved	55.82595	-5.20727	headland	Southern tip of Cowal; Wikipedia headland coordinates.
36	argyll-and-bute.txt	Ellary	resolved	55.92285	-5.62129	estate	Ellary House; Loch Caolisport / South Knapdale coast (Canmore NGR).
37	argyll-and-bute.txt	Tighnabruaich	resolved	55.90669	-5.23319	village	Kyles of Bute west shore; Wikipedia / OS grid NR980729.
38	argyll-and-bute.txt	Stonefield	resolved	55.89139	-5.41611	attraction	Stonefield Castle (Loch Fyne); coastal estate north of Tarbert (Wikipedia).
39	argyll-and-bute.txt	Kilbride	resolved	55.84806	-5.26000	bay	Kilbride Bay / Ostel Bay sandy shore south Cowal (Wikipedia).
40	argyll-and-bute.txt	Glendaruel	resolved	56.00851	-5.21740	village	Clachan of Glendaruel; Kilmodan Church coords (Wikipedia / listed building).
41	argyll-and-bute.txt	Ormidale	resolved	55.95343	-5.19986	area	Ormidale Lodge / head of Loch Riddon, Kyles coast (Canmore).
42	argyll-and-bute.txt	Millhouse	resolved	55.88283	-5.26847	village	B8000 village Kilfinan parish; Canmore township centroid.
43	argyll-and-bute.txt	Port Bannatyne	resolved	55.85960	-5.06940	village	Kames Bay north Bute; Gazetteer for Scotland coords.
44	argyll-and-bute.txt	Rothesay	resolved	55.83648	-5.05508	town	Bute county town; seafront centroid (common gazetteer).
45	argyll-and-bute.txt	Kingarth	resolved	55.76255	-5.03489	parish	South Bute parish / Kingarth village area (listed buildings grid).
46	argyll-and-bute.txt	Ettrick Bay	resolved	55.84433	-5.14250	bay	West Bute sandy bay; Wikipedia waterbody coordinates.
47	argyll-and-bute.txt	Kilchattan Bay	resolved	55.75106	-5.02354	village	South Bute village; quay coords from listed buildings list.
48	argyll-and-bute.txt	Ascog	resolved	55.82594	-5.02448	village	Ascog southeast of Rothesay; The Old Manse listed building coords.
49	argyll-and-bute.txt	St Ninians	resolved	55.80926	-5.13410	bay	Interpreted as St Ninian's Bay head; standing stones site (Canmore).
50	argyll-and-bute.txt	Straad	resolved	55.81220	-5.12532	farmstead	West Bute settlement; Canmore NS042662080.
51	argyll-and-bute.txt	Scoulag	resolved	55.79154	-5.02417	area	Scoulag / Mount Stuart west approach; Streetmap centroid.
52	argyll-and-bute.txt	Kerry Bute	resolved	55.80718	-5.02391	village	Kerrycroy model village east Bute; GENUKI grid centre.
53	argyll-and-bute.txt	Ardbeg Bute	resolved	55.85674	-5.06674	hamlet	Ardbeg north of Rothesay; Canmore Ardbeg Road terrace block NGR.
54	argyll-and-bute.txt	Colintraive	resolved	55.92361	-5.15250	village	Kyles ferry Cowal side; Wikipedia.
55	argyll-and-bute.txt	Rhubodach	resolved	55.92143	-5.15848	ferry_terminal	Rhubodach slip WGS84 (CMAL notice to mariners).
56	argyll-and-bute.txt	Kyles of Bute	resolved	55.87800	-5.15200	sea_loch	Representative mid-narrows point East Kyle (tidal channel).
57	argyll-and-bute.txt	Lochgilphead	resolved	56.03829	-5.43235	town	Head of Loch Gilp / Crinan Canal; Wikipedia.
58	argyll-and-bute.txt	Ardrishaig	resolved	56.01092	-5.45004	village	Loch Gilp south; Crinan Canal sea lock; Wikipedia.
59	argyll-and-bute.txt	Crinan	resolved	56.09077	-5.55838	village	Canal basin / Loch Crinan; Wikipedia Crinan Argyll.
60	argyll-and-bute.txt	Bellanoch	resolved	56.07300	-5.52800	hamlet	Crinan Canal southwest Loch Crinan; BBC Scotland’s Landscape coords.
61	argyll-and-bute.txt	Ardfern	resolved	56.18111	-5.53667	village	Loch Craignish / Craignish Peninsula; Wikipedia coord.
62	argyll-and-bute.txt	Kilmelford	resolved	56.25586	-5.48064	village	Head of Loch Melfort; GeoHack / OS-style centre.
63	argyll-and-bute.txt	Craobh Haven	resolved	56.20881	-5.55381	village	Marina village Loch Craignish; GeoHack.
64	argyll-and-bute.txt	Achahoish	resolved	55.93944	-5.54722	village	Head of Loch Killisport; Wikipedia.
65	argyll-and-bute.txt	Tayvallich	resolved	56.02750	-5.62827	village	Loch Sween inlet; OS Open Names centre (getthedata).
66	argyll-and-bute.txt	Carsaig Bay	resolved	56.03300	-5.64240	bay	West of Tayvallich isthmus; GeoHack waterbody (Knapdale).
67	argyll-and-bute.txt	Keills Knapdale	resolved	55.96189	-5.70208	attraction	Keills Chapel & cross; Wikipedia / HES coord.
68	argyll-and-bute.txt	Achnamara	resolved	56.02569	-5.56559	village	Head of Loch Sween; Wikipedia.
