line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	bristol.txt	Severnside	resolved	51.5220	-2.6820	industrial_area	Informal Severnside enterprise belt along A403 / estuary margin N of Avonmouth
2	bristol.txt	Severnside Industrial Estate	resolved	51.5290	-2.6750	industrial_estate	Chittening / Severnside industrial zone by A403
3	bristol.txt	Smoke Lane	resolved	51.5140	-2.6945	street	Smoke Lane industrial access near St Andrews Road area
4	bristol.txt	Chittening	resolved	51.5290	-2.6750	industrial_hamlet	Wikipedia centroid; industrial estate by River Severn
5	bristol.txt	Chittening Industrial Estate	resolved	51.5285	-2.6745	industrial_estate	Same wider Chittening industrial complex as line 4
6	bristol.txt	Severnside Works	resolved	51.5160	-2.6920	works	Generic industrial works label in Avonmouth / St Andrews Road corridor
7	bristol.txt	Avonmouth Pier	resolved	51.5045	-2.7025	pier	Avonmouth dock / harbour pier frontage
8	bristol.txt	Avonmouth	resolved	51.50335	-2.69871	suburb	GeoHack / Wikipedia settlement centroid
9	bristol.txt	Avonmouth Village	resolved	51.5080	-2.6995	residential	West-of-docks residential part of Avonmouth
10	bristol.txt	Avonmouth Docks	resolved	51.5065	-2.7035	docks	Avonmouth dock system (Royal Edward etc.)
11	bristol.txt	Avonmouth Dock	resolved	51.5063	-2.7033	dock	Same dock complex as line 10
12	bristol.txt	Royal Edward Dock	resolved	51.50696	-2.70416	dock	OSM dock polygon centroid
13	bristol.txt	Port of Avonmouth	resolved	51.5055	-2.7020	port	Port of Bristol Avonmouth facilities (dock cluster)
14	bristol.txt	St Andrew's Road	resolved	51.5132	-2.6962	street	Centred near St Andrews Road railway station
15	bristol.txt	Merebank Road	resolved	51.5048	-2.7035	street	Quayside road in Avonmouth docks
16	bristol.txt	Avonmouth Industrial Estate	resolved	51.5120	-2.6920	industrial_estate	Broad Avonmouth industrial zone E of M5
17	bristol.txt	Avonmouth Bridge	resolved	51.4887	-2.6928	bridge	M5 River Avon crossing (Avonmouth Bridge)
18	bristol.txt	M5 Avonmouth Bridge	resolved	51.4890	-2.6928	bridge	Same M5 crossing; GeoHack titles both names
19	bristol.txt	Central Park Avonmouth	resolved	51.5310	-2.6360	distribution_park	Central Park logistics scheme by M49 (BS35 4GG area)
20	bristol.txt	Avonmouth Sewage Works Nature Reserve	resolved	51.5232	-2.6944	nature_reserve	Wessex Water lagoons at Avonmouth WRC; EA grid ST 51922 80709
21	bristol.txt	Kings Weston	resolved	51.4944	-2.6615	parkland	Kings Weston historic landscape (estate prior)
22	bristol.txt	Kings Weston Estate	resolved	51.4942	-2.6618	parkland	Registered park & garden around Kings Weston House
23	bristol.txt	Kings Weston House	resolved	51.494382	-2.661541	house	Grade I listed Vanbrugh house
24	bristol.txt	Kings Weston Hill	resolved	51.4930	-2.6650	hill	Limestone ridge / Kings Weston Down west of house
25	bristol.txt	Penpole	resolved	51.49245	-2.67702	locality	Penpole Lane / woodland fringe of Kings Weston Estate
26	bristol.txt	Penpole Point	resolved	51.4920	-2.6780	viewpoint	Ridge viewpoint / dial site at W end of Penpole Wood
27	bristol.txt	Lawrence Weston	resolved	51.5020	-2.6590	suburb	Wikipedia OS-grid-derived housing estate centroid
28	bristol.txt	Shirehampton	resolved	51.4945	-2.6712	suburb	Wikipedia / GeoHack settlement
29	bristol.txt	Shirehampton Park	resolved	51.4910	-2.6750	park	NT Shirehampton Park / golf course portion of Kings Weston landscape
30	bristol.txt	Shirehampton Village	resolved	51.4952	-2.6708	village	High Street / church core slightly E of ward centroid
31	bristol.txt	Shirehampton Station	resolved	51.4844	-2.6792	railway_station	Wikipedia / GeoHack (Severn Beach line)
32	bristol.txt	Sea Mills	resolved	51.4856	-2.6422	suburb	Wikipedia settlement centroid (Trym / Avon)
33	bristol.txt	Sea Mills Station	resolved	51.4799	-2.6498	railway_station	Wikipedia / GeoHack (Severn Beach line)
34	bristol.txt	Old Sea Mills Harbour	resolved	51.4815	-2.644	harbour	Small historic harbour basin at Trym mouth / Sea Mills frontage
35	bristol.txt	Sea Mills Square	resolved	51.4860	-2.6405	local_square	Local square / crossroads core in Sea Mills (approx.)
36	bristol.txt	Abona	resolved	51.4856	-2.6422	roman_site	Roman port name associated with Sea Mills / Trym mouth area; pinned at Sea Mills
37	bristol.txt	River Trym mouth	resolved	51.4805	-2.645	river_mouth	Confluence with Avon at Sea Mills (approx. open water line)
38	bristol.txt	The Dingle	resolved	51.4940	-2.6455	valley	Historic wooded road / gorge lane in Coombe Dingle (Wikipedia: The Dingle)
