line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	cambridgeshire.txt	Sutton St Edmund	resolved	52.6983	0.0230	village	Wikipedia/GeoHack centroid; Lincolnshire parish on Cambs coastal list margin
2	cambridgeshire.txt	Sutton Corner	resolved	52.8259	0.1283	hamlet	Streetmap/OS place near Long Sutton (PE12); fen edge north-east of Wisbech
3	cambridgeshire.txt	Tydd St Giles	resolved	52.7270	0.1080	village	Wikipedia parish centre
4	cambridgeshire.txt	Four Gotes	resolved	52.7271	0.1465	hamlet	OS open-names style centroid (Find that Postcode/IPN)
5	cambridgeshire.txt	Tydd Gote	resolved	52.7392	0.1523	hamlet	GeoHack/Wikipedia; straddles Lincs/Cambs
6	cambridgeshire.txt	Foul Anchor	resolved	52.7380	0.1663	hamlet	Find that Postcode locality centroid
7	cambridgeshire.txt	Foul Anchor Sluice	resolved	52.7355	0.1684	sluice	Lincolnshire HER grid TF 46771 18155 (bridge/sluice structure)
8	cambridgeshire.txt	Eau Dyke	resolved	52.7300	0.1010	drain	Natural watercourse forming north side of Tydd St Giles per Wikipedia; approximate mid-reach
9	cambridgeshire.txt	Tydd Fen	resolved	52.7102	0.0635	marsh	Streetmap "Tydd St Giles Fen" label centroid
10	cambridgeshire.txt	Shire Drain	resolved	52.7180	0.0550	drain	Shire Drain on Tydd St Giles north/west boundary (VCH); point along reach
11	cambridgeshire.txt	North Level Main Drain	resolved	52.7350	0.1745	drain	Representative point near Nene outfall/Foul Anchor end of main drain (long linear)
12	cambridgeshire.txt	Lady Nunn's Old Eau	resolved	52.7120	0.0480	drain	Upper Shire Drain reach (VCH naming); approximate western Tydd corridor
13	cambridgeshire.txt	Guyhirn	resolved	52.6120	0.0659	village	Streetmap village centroid; A141/A47 and River Nene
14	cambridgeshire.txt	Guyhirn Wash	resolved	52.6020	0.0545	washland	Nene Washes flood meadow sector named for Guyhirn (EA wash naming); near Morton's Leam
15	cambridgeshire.txt	Guyhirn Chapel	resolved	52.6158	0.0710	chapel	Guyhirn Chapel of Ease (Grade II*); Wikipedia coords
16	cambridgeshire.txt	Rings End	ambiguous			hamlet	Orthography matches Ring's End hamlet (line 17); not given separate pin in pass 1
17	cambridgeshire.txt	Ring's End	resolved	52.6050	0.0636	hamlet	Wikipedia hamlet centroid; same cluster as line 16
18	cambridgeshire.txt	Mortons Leam	resolved	52.6023	0.0560	drain	Ancient leam through Nene Washes; Geograph photo location near Ring's End
19	cambridgeshire.txt	Morton's Leam	resolved	52.6035	0.0575	drain	Same historic leam; point a short distance along channel from line 18
20	cambridgeshire.txt	Murrow	resolved	52.6330	0.0330	village	Wikipedia OS grid TF376059
21	cambridgeshire.txt	Murrow Bank	resolved	52.6345	0.0345	road	B1187 ridge through Murrow; centred slightly N of village nucleus
22	cambridgeshire.txt	Gull Drove	resolved	52.6185	0.0580	drove	Road from Guyhirn archaeology notes (historic "gull"/breach alignment)
23	cambridgeshire.txt	Selwyn Corner	resolved	52.6085	0.0690	locality	Named area Guyhirn PE13 4EG (StreetCheck); approximate postcode hub
24	cambridgeshire.txt	Great Gull	resolved	52.6195	0.0570	historic_feature	Historic "gull"/breach locale linked to Gull Drove (OS "Horse Shoe Gull"); approximate
25	cambridgeshire.txt	Wisbech St Mary	resolved	52.6331	0.0983	parish	GeoHack parish settlement centroid
26	cambridgeshire.txt	Thorney Toll	resolved	52.6169	-0.0211	hamlet	Wikipedia/GeoHack; A47 Guyhirn–Peterborough corridor
27	cambridgeshire.txt	Walnut Tree	ambiguous			unknown	Several Walnut Tree farms and newer school sites near Wisbech/Leverington; no single mappable settlement
28	cambridgeshire.txt	Wisbech	resolved	52.6591	0.1572	town	GeoHack/Wikipedia town centroid
29	cambridgeshire.txt	Wisbech St Peter	resolved	52.6640	0.1619	parish_church	St Peter and St Paul's (Wisbech St Peter parish church)
30	cambridgeshire.txt	Walsoken	resolved	52.6719	0.1894	village	Wikipedia centroid; Norfolk parish conjoined to Wisbech
