line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	cardiff.txt	Grangetown	resolved	51.4675	-3.1853	suburb	Wikipedia / GeoHack ward centroid (Grangetown, Cardiff)
2	cardiff.txt	Grangetown foreshore	resolved	51.4620	-3.1765	foreshore	Taff / Cardiff Bay margin off Grangetown (approx. open-water line)
3	cardiff.txt	Grangemoor Park	resolved	51.4566	-3.1900	park	Wikipedia coordinates; park on former Penarth Moors landfill between Ely and bay retail park
4	cardiff.txt	St Mary's Bay	ambiguous			bay	Informal shoreline label in this corpus; no clear separate mapped bay in Grangetown (distinct from St Marys Well Bay, VoG)
5	cardiff.txt	St Marys Bay	ambiguous			bay	Variant spelling of line 4; same disambiguation issue
6	cardiff.txt	Cardiff West Moors	resolved	51.4540	-3.1880	wetland_reclamation	Western bay moor / reclamation belt (Penarth Moors–Grangemoor–CSI corridor); not a single named centroid
7	cardiff.txt	Channel View	resolved	51.4580	-3.1808	neighbourhood	Centred on Channel View Road spine (Channel View estate, Grangetown)
8	cardiff.txt	Channel View Centre	resolved	51.4580	-3.1805	community_hub	No dedicated OSM name match; pinned with Channel View estate spine (regeneration masterplan area)
9	cardiff.txt	Clarence Embankment	resolved	51.4636	-3.1741	street	OSM residential highway centroid (Butetown / Tiger Bay)
10	cardiff.txt	Hamadryad Park	resolved	51.4608	-3.1757	park	OSM park polygon label (Windsor Quay / Cardiff Bay)
11	cardiff.txt	Taff Embankment	resolved	51.4662	-3.1754	street	OSM road along River Taff (Grangetown)
12	cardiff.txt	River Taff mouth	resolved	51.4632	-3.1771	river_mouth	Wikidata mouth coordinate (Taff into Cardiff Bay; barrage-era impoundment)
13	cardiff.txt	Ely River mouth	resolved	51.4560	-3.1740	river_mouth	Wikipedia mouth coordinate (Ely into Cardiff Bay near Penarth Marina area)
14	cardiff.txt	River Ely mouth	resolved	51.4560	-3.1740	river_mouth	Same mouth as line 13 (duplicate wording in source list)
15	cardiff.txt	Cardiff Bay	resolved	51.4640	-3.1641	bay	OSM place=suburb node “Cardiff Bay”
16	cardiff.txt	Bae Caerdydd	resolved	51.4640	-3.1641	bay	Welsh name for Cardiff Bay; same OSM bay area as line 15
17	cardiff.txt	Butetown	resolved	51.4698	-3.1702	suburb	OSM place node (historic docks community)
18	cardiff.txt	Tiger Bay	resolved	51.4659	-3.1673	neighbourhood	OSM neighbourhood (waterfront Butetown)
19	cardiff.txt	Roald Dahl Plass	resolved	51.4639	-3.1642	plaza	Wikipedia coordinate; former West Bute Dock basin
20	cardiff.txt	The Flourish	resolved	51.4656	-3.1644	water	OSM named dock basin feature (“The Flourish”)
21	cardiff.txt	Mermaid Quay	resolved	51.4634	-3.1652	retail_waterfront	OSM retail landuse (Cardiff Bay shops/dining)
22	cardiff.txt	Mount Stuart Square	resolved	51.4659	-3.1684	square	OSM square / highway loop in Tiger Bay conservation area
23	cardiff.txt	Bute Street waterfront	resolved	51.4652	-3.1668	street_waterfront	South Bute Street approach to the bay (not the northern OSM highway sample point)
24	cardiff.txt	Atlantic Wharf	resolved	51.4764	-3.1665	street	OSM Atlantic Wharf (Newtown / Butetown) — note set back from main bay docks
25	cardiff.txt	Roath Basin	resolved	51.4631	-3.1587	dock	OSM dock polygon centroid (marina basin)
26	cardiff.txt	Roath Dock	resolved	51.4673	-3.1502	dock	OSM dock extent centroid
27	cardiff.txt	Bute East Dock	resolved	51.4730	-3.1635	dock	OSM dock polygon centroid (northern dock arm)
28	cardiff.txt	Bute West Dock	resolved	51.4639	-3.1642	dock	Redeveloped as Roald Dahl Plass; same focal coordinate as line 19
29	cardiff.txt	Porth Teigr	resolved	51.4619	-3.1574	quarter	OSM highway / redevelopment frontage (east Cardiff Bay)
30	cardiff.txt	Lloyd George Avenue waterfront	resolved	51.4634	-3.1630	street_waterfront	Southern bay-linked section (not the northern primary-road OSM samples)
31	cardiff.txt	James Street waterfront	resolved	51.4642	-3.1718	street_waterfront	James Street (Grangetown–bay link); bay-side segment between Clarence Bridge and Roald Dahl Plass
32	cardiff.txt	Schooner Way waterfront	resolved	51.4669	-3.1634	street_waterfront	Schooner Way (Atlantic Wharf / leisure quarter); waterfront-facing office spine
33	cardiff.txt	Havannah Street waterfront	resolved	51.4738	-3.1486	street_waterfront	Havannah Street corridor (East Moors / Pengam edge); approximate street centroid to water
34	cardiff.txt	Wales Millennium Centre	resolved	51.46504	-3.16353	attraction	Wikipedia / GeoHack landmark coordinate
35	cardiff.txt	Pierhead Building	resolved	51.46353	-3.16341	building	Wikipedia coordinate; Grade I Pierhead (Adeilad y Pierhead)
36	cardiff.txt	Pierhead	resolved	51.46353	-3.16341	building	Short form of Pierhead Building; same building as line 35
37	cardiff.txt	Senedd	resolved	51.463889	-3.162111	building	Wikidata coordinate; Welsh Parliament building
38	cardiff.txt	Senedd Cymru	resolved	51.463889	-3.162111	building	Welsh name for Senedd building; same coordinate as line 37
39	cardiff.txt	Norwegian Church Arts Centre	resolved	51.46143	-3.16192	attraction	Wikipedia coordinate; rebuilt church on Harbour Drive / Roath Basin margin
40	cardiff.txt	Techniquest	resolved	51.4628	-3.1680	museum	Wikidata / English Wikipedia coordinate; Stuart Street discovery centre
41	cardiff.txt	Custom House Cardiff Bay	resolved	51.4624	-3.1616	building	Former HM Customs and Excise (The Waterguard pub site) on Cardiff Bay front; not the canal-era Old Custom House
42	cardiff.txt	Craft in the Bay	resolved	51.4658	-3.16487	gallery	Wikipedia coordinate; Makers Guild at The Flourish / D Shed
43	cardiff.txt	Red Dragon Centre	resolved	51.4667	-3.1641	leisure_complex	Wikipedia coordinate; Hemingway Road / Atlantic Wharf leisure hub
44	cardiff.txt	Britannia Park	ambiguous			park	No park with this name found; corpus label may mean Britannia Quay / Atlantic Wharf green strips—left unset
45	cardiff.txt	Queen Alexandra Dock	resolved	51.45748	-3.15571	dock	Wikidata coordinate; operational dock east of barrage (East Moors)
