line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	carmarthenshire.txt	Laugharne	resolved	51.7694	-4.4631	town	Wikipedia / GeoHack town centroid on Tâf estuary
2	carmarthenshire.txt	Laugharne Beach	resolved	51.7710	-4.4700	beach	Sandy foreshore along estuary W of town centre
3	carmarthenshire.txt	Laugharne Castle	resolved	51.7685	-4.4572	castle	Latitude.to / Wikipedia landmark pin
4	carmarthenshire.txt	Laugharne Estuary	resolved	51.7665	-4.4720	estuary	Tâf estuary at Laugharne; mouth area for coastal context
5	carmarthenshire.txt	Laugharne Harbour	resolved	51.7715	-4.4635	harbour	Historic harbour inlet by castle / Grist area
6	carmarthenshire.txt	Laugharne Sands	resolved	51.7700	-4.4750	beach	Intertidal sands along Tâf east of Pendine Sands stretch
7	carmarthenshire.txt	Talacharn	resolved	51.7694	-4.4631	town	Welsh name for Laugharne; same settlement centroid
8	carmarthenshire.txt	Dylan Thomas Boathouse	resolved	51.7722	-4.4562	attraction	Wikipedia museum / cliff road frontage on estuary
9	carmarthenshire.txt	Grist	resolved	51.7695	-4.4625	settlement	Historic Grist Square / town centre cluster by castle
10	carmarthenshire.txt	Llansaint	resolved	51.7483	-4.3409	village	Wikipedia village centroid; Carmarthen Bay hinterland
11	carmarthenshire.txt	Brook	resolved	51.7578	-4.5122	hamlet	Postcodebyaddress / Geograph SN2609; A4066 coastal corridor hamlet
12	carmarthenshire.txt	Marros	resolved	51.7500	-4.5989	village	GENUKI parish centre SN207089
13	carmarthenshire.txt	Marros Beach	resolved	51.7380	-4.6000	beach	Sandy shore along Marros parish coast W of Pendine
14	carmarthenshire.txt	Marros Sands	resolved	51.7372	-4.6000	beach	GeoHack Marros Sands landmark
15	carmarthenshire.txt	Pendine	resolved	51.7472	-4.5639	village	Wikipedia / GeoHack community centroid
16	carmarthenshire.txt	Pendine Beach	resolved	51.7428	-4.5550	beach	Seafront below village by promenade / museum
17	carmarthenshire.txt	Pendine Morfa Bay	resolved	51.7400	-4.5700	bay	Bay W of Pendine toward Morfa Bychan / Gilman Point
18	carmarthenshire.txt	Pendine Sands	resolved	51.7427	-4.5347	beach	Wikipedia midpoint of long sand beach (Traeth Pentywyn)
19	carmarthenshire.txt	Morfa Bychan	resolved	51.7377	-4.5691	cove	Climbing wiki WGS84 for Morfa Bychan tidal cove (Pendine)
20	carmarthenshire.txt	Morfa Bychan Beach	resolved	51.7415	-4.5683	beach	UK Beach Guide OS grid SN22520753 beach access
21	carmarthenshire.txt	Morfa Bay	resolved	51.7390	-4.5680	bay	Same secluded bay as Morfa Bychan (Pendine)
22	carmarthenshire.txt	Gilman Point	resolved	51.7325	-4.4975	headland	Wikipedia Pendine Sands W end / Wales Coast Path
23	carmarthenshire.txt	Graig Ddu	ambiguous			headland	Several unrelated Graig Ddu labels; list position suggests Pendine–Morfa headland cliff but no single pin
24	carmarthenshire.txt	Ragwen Point	resolved	51.7386	-4.5718	headland	D-Day Story / Normandy War Guide Atlantic Wall trial site
25	carmarthenshire.txt	Red Roses	resolved	51.7756	-4.6040	village	Streetmap OS centroid; A477 crossroads village in coastal list
26	carmarthenshire.txt	Museum of Speed	resolved	51.7425	-4.5562	museum	Wikipedia Pendine Museum of Speed / Museum of Land Speed site
27	carmarthenshire.txt	Llansteffan	resolved	51.7721	-4.3910	village	Wikipedia community centroid on Tywi estuary
28	carmarthenshire.txt	Llansteffan Beach	resolved	51.7735	-4.3925	beach	Sandy shore below village by Tywi mouth
29	carmarthenshire.txt	Llansteffan Castle	resolved	51.7655	-4.3908	castle	Wikipedia / GeoHack Cadw headland fort
30	carmarthenshire.txt	Llanstephan Beach	resolved	51.7735	-4.3925	beach	Alternate spelling of Llansteffan; same beach frontage
31	carmarthenshire.txt	Traeth Mawr	resolved	51.7735	-4.3925	beach	Welsh big-beach name for main Llansteffan foreshore on Tywi estuary (UK Beach Guide SN355106 area)
32	carmarthenshire.txt	Wharley Point	resolved	51.7581	-4.4072	headland	Gazetteer.org.uk / NT headland on Wales Coast Path S of Llansteffan
33	carmarthenshire.txt	Scott's Bay	resolved	51.7637	-4.3946	beach	Geograph WGS84 SN34850992; secluded cove S of main Llansteffan beach
34	carmarthenshire.txt	St Anthony's Well	resolved	51.7636	-4.3981	well	Wikidata Q29503938; Cadw-listed holy well near Scott's Bay / WCP
35	carmarthenshire.txt	Ferryside	resolved	51.7678	-4.3693	village	Wikipedia community centroid on E shore of Tywi
36	carmarthenshire.txt	Ferryside Beach	resolved	51.7682	-4.3715	beach	Tidal foreshore below village along estuary (WCP / coastal strip)
37	carmarthenshire.txt	Glansteffan	resolved	51.7725	-4.3890	ferry	Carmarthen Bay Ferries landing context; pin at Llansteffan slip / The Green estuary front
