line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	ceredigion.txt	Poppit Sands	resolved	52.107	-4.696	beach	Sandy beach at Teifi estuary (Pembrokeshire side); usual visitor pin.
2	ceredigion.txt	Gwbert	resolved	52.086642	-4.665108	village	Coastal hamlet on east shore of Teifi estuary.
3	ceredigion.txt	Gwbert-on-Sea	resolved	52.086642	-4.665108	village	Common English label for the same Gwbert settlement.
4	ceredigion.txt	Patch	resolved	52.0921	-4.6683	beach	“The Patch” estuary beach at Gwbert (coast path); OS grid ~SN16364856.
5	ceredigion.txt	Patch Beach	resolved	52.0921	-4.6683	beach	Same Patch foreshore as line 4.
6	ceredigion.txt	Cardigan	resolved	52.08417	-4.65792	town	Town centre (Aberteifi).
7	ceredigion.txt	Aberteifi	resolved	52.08417	-4.65792	town	Welsh name for Cardigan; same community centroid.
8	ceredigion.txt	Cardigan Harbour	resolved	52.0812	-4.6595	harbour	Tidal harbour / river mouth area south of town centre.
9	ceredigion.txt	Cardigan Quay	resolved	52.0825	-4.6608	quay	Quayside on Afon Teifi in Cardigan.
10	ceredigion.txt	Cardigan Island	resolved	52.133331	-4.683333	island	Ynys Aberteifi in Teifi estuary.
11	ceredigion.txt	Cemaes Head	resolved	52.11477	-4.72947	headland	Pen Cemaes; Pembrokeshire headland at Teifi mouth (coastal context).
12	ceredigion.txt	Mwnt	resolved	52.13834	-4.63434	village	Coastal parish / NT beach car park area.
13	ceredigion.txt	Traeth y Mwnt	resolved	52.13834	-4.63434	beach	Sheltered bay beach below Foel y Mwnt.
14	ceredigion.txt	Foel y Mwnt	resolved	52.1372	-4.6338	headland	Conical hill above Traeth y Mwnt (summit ~SN193520).
15	ceredigion.txt	Aberporth	resolved	52.133398	-4.543686	village	Seaside village centroid.
16	ceredigion.txt	Aberporth West Beach	resolved	52.132	-4.556	beach	Western sandy beach of Aberporth bay.
17	ceredigion.txt	Aberporth East Beach	resolved	52.1345	-4.531	beach	Eastern sandy beach of Aberporth bay.
18	ceredigion.txt	Dolwen Beach	resolved	52.131	-4.539	beach	Traeth Dolwen (southern bay beach).
19	ceredigion.txt	Dyffryn Beach	resolved	52.1348	-4.545	beach	Traeth y Dyffryn (“Dyffryn” / ships beach area).
20	ceredigion.txt	Tan-y-groes	resolved	52.115945	-4.505632	hamlet	On A487 in Penbryn community; inland of coast but listed for tide context.
21	ceredigion.txt	Tresaith	resolved	52.13406	-4.5145	village	Coastal village centroid.
22	ceredigion.txt	Tresaith Beach	resolved	52.1345	-4.515	beach	Main sandy bay beach.
23	ceredigion.txt	Tresaith Waterfall	resolved	52.136577	-4.515661	waterfall	Afon Saith falls onto beach (Gwalia Falls).
24	ceredigion.txt	Gilfach yr Halen	resolved	52.22806	-4.29194	beach	Named shingle cove by Afon Cwinten (SN435613); list order differs from map order.
