line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	cheshire.txt	Dee Estuary	ambiguous			estuary	Spans Welsh and English shores; no single centroid for the whole tidal basin
2	cheshire.txt	Dee Marshes	resolved	53.2984	-3.0998	marsh	Saltmarsh sector Gayton Sands/Parkgate Marsh (BirdGuides site centroid neighbourhood)
3	cheshire.txt	Burton Marsh	resolved	53.2985	-3.0893	marsh	Dee Estuary saltmarsh (CAWOS Dee map ref SJ275785 → BNG)
4	cheshire.txt	Burton Point	resolved	53.2548	-3.0460	headland	Promontory fort / coastal point overlooking Dee (Wikipedia/GeoHack)
5	cheshire.txt	Burton Mere Wetlands	resolved	53.2620	-3.0449	nature_reserve	RSPB reserve visitor centre area (Wikipedia/GeoHack)
6	cheshire.txt	Inner Marsh Farm	resolved	53.2630	-3.0430	nature_reserve	Original RSPB Inner Marsh Farm pools/hides; now part of Burton Mere Wetlands
7	cheshire.txt	Puddington	resolved	53.2531	-3.0081	village	Wikidata/Wikipedia Puddington, Cheshire (Wirral)
8	cheshire.txt	Burton	resolved	53.2600	-3.0250	village	Wikipedia Burton (near Neston)
9	cheshire.txt	Denhall	resolved	53.2842	-3.0769	hamlet	Denhall Quay area (CAWOS grid SJ283769 → EPSG:27700→4326)
10	cheshire.txt	Denhall Lane	resolved	53.2845	-3.0760	lane	Denhall Lane approach to marsh; approximate midpoint along lane
11	cheshire.txt	Ness	resolved	53.2750	-3.0467	village	Wikipedia Ness, Cheshire
12	cheshire.txt	Little Neston	resolved	53.2799	-3.0573	village	GeoHack/Wikipedia Little Neston
13	cheshire.txt	Ness Botanic Gardens	resolved	53.2724	-3.0430	attraction	Wikipedia Ness Botanic Gardens
14	cheshire.txt	Neston	resolved	53.2896	-3.0740	town	GeoHack/Wikipedia Neston town centroid
15	cheshire.txt	Great Neston	resolved	53.2892	-3.0643	historic_centre	Great Neston township centred on parish church area (listed buildings coords)
16	cheshire.txt	Neston foreshore	resolved	53.2910	-3.0780	shore	Marshlands Road / reedbed shore sector toward the Dee (approximate)
17	cheshire.txt	Parkgate	resolved	53.2960	-3.0850	village	Wikipedia Parkgate, Cheshire
18	cheshire.txt	Parkgate Marsh	resolved	53.2933	-3.0952	marsh	RSPB Gayton Sands/Parkgate Marsh birding site centroid (BirdGuides)
19	cheshire.txt	Parkgate Parade	resolved	53.2959	-3.0839	street	The Parade seafront retail strip (Apple Maps/Wikipedia village coords)
20	cheshire.txt	Parkgate Promenade	resolved	53.2959	-3.0839	promenade	Sea-wall promenade contiguous with The Parade
21	cheshire.txt	Parkgate sea front	resolved	53.2959	-3.0839	shore	Public sea-wall frontage strip
22	cheshire.txt	Parkgate Quay	resolved	53.2905	-3.0885	harbour	Historic quay/Old Quay sector south of core Parade (approximate)
23	cheshire.txt	Leighton	resolved	53.3067	-3.0730	township	GENUKI Leighton (near Neston) map centroid SJ286794 → BNG
24	cheshire.txt	Woodfall	resolved	53.2814	-3.0468	locality	Woodfall Lane/Little Neston sector (DfE Woodfall Primary easting/northing → BNG)
25	cheshire.txt	Willaston	resolved	53.2919	-3.0050	village	Wikipedia Willaston, Cheshire West
26	cheshire.txt	Hinderton	resolved	53.2978	-3.0432	village	Hinderton settlement CH64 7TS postcode centroid (near Hinderton Hall estate)
27	cheshire.txt	Gayton	resolved	53.3005	-3.0886	hamlet	Gayton north of Parkgate (Visorando walk waypoint near Boathouse/Cottage Lane)
28	cheshire.txt	Ledsham	resolved	53.2639	-2.9631	village	Wikipedia Ledsham, Cheshire
29	cheshire.txt	Ledsham Bank	resolved	53.2620	-2.9650	bank	Raised bank / field edge NE of Ledsham village toward the Dee corridor (approximate)
30	cheshire.txt	Raby	resolved	53.3120	-3.0380	hamlet	Wikipedia Raby, Merseyside (Wirral; coastal-list context)
31	cheshire.txt	Saughall	resolved	53.2232	-2.9600	village	Wikipedia/GeoHack Saughall, Cheshire (former Dee-side fishing village; inland centroid)
32	cheshire.txt	Mollington	resolved	53.2260	-2.9230	village	Wikipedia Mollington, Cheshire (SJ385702)
33	cheshire.txt	Great Sutton	resolved	53.2728	-2.9327	suburb	findthatpostcode IPN Great Sutton / ONS-style locality centroid
34	cheshire.txt	Little Sutton	resolved	53.2850	-2.9400	village	Wikipedia Little Sutton, Cheshire (A41 suburb of Ellesmere Port)
35	cheshire.txt	Overpool	resolved	53.2918	-2.9226	suburb	Wikipedia/GeoHack Overpool, Ellesmere Port
36	cheshire.txt	Whitby	resolved	53.2695	-2.9045	suburb	Whitby locality (Ellesmere Port); centroid between Whitby Park and CH65 sectors (not North Yorkshire)
37	cheshire.txt	Whitby Park	resolved	53.2722	-2.9028	park	Wikipedia Whitby Park, Ellesmere Port
38	cheshire.txt	Whitby Groves	resolved	53.2630	-2.9039	suburb	ONS postcode CH65 6UF centroid (Whitby Groves ward)
39	cheshire.txt	Whitby Heath	resolved	53.2660	-2.9050	locality	Heath sector of Whitby, Ellesmere Port (approximate)
40	cheshire.txt	Whitbyheath	resolved	53.2635	-2.9030	suburb	Built-up name east of Whitby Park; approximate centroid near CH65 6
41	cheshire.txt	Rivacre	resolved	53.2910	-2.9290	locality	Rivacre area / bus corridor north of valley park (approximate)
42	cheshire.txt	Rivacre Valley	resolved	53.2930	-2.9308	country_park	Streetmap Rivacre Valley Country Park car-park grid (CH66 1SS area)
43	cheshire.txt	Childer Thornton	resolved	53.2919	-2.9489	village	Wikipedia Childer Thornton, Cheshire (A41 Wirral corridor)
44	cheshire.txt	Ellesmere Port	resolved	53.2798	-2.8974	town	Town centroid (e.g. opengovuk / common gazetteer coords for Ellesmere Port)
45	cheshire.txt	Ellesmere Port waterfront	resolved	53.2840	-2.8880	shore	Manchester Ship Canal / dock frontage sector north of town core (approximate)
46	cheshire.txt	Ellesmere Port Docks	resolved	53.2889	-2.8933	harbour	Wikipedia Ellesmere Port Dock (historic Telford docks / museum conservation area)
47	cheshire.txt	Ellesmere Port Junction	resolved	53.2892	-2.8928	canal_junction	Netherpool: Shropshire Union meets Manchester Ship Canal (approximate lock basin)
48	cheshire.txt	Ellesmere Port Visitor Moorings	resolved	53.2875	-2.8918	mooring	Canal & River Trust visitor moorings at National Waterways Museum (approximate)
49	cheshire.txt	Ellesmere Port canal	resolved	53.2870	-2.8905	canal	Shropshire Union Canal contour at top of museum locks (approximate)
50	cheshire.txt	Ellesmere Port promenade	resolved	53.2880	-2.8925	promenade	Public waterside walk in historic dock / museum zone (approximate)
51	cheshire.txt	Westminster	resolved	53.2850	-2.8980	suburb	Wikipedia Westminster, Ellesmere Port (ward by MSC)
52	cheshire.txt	Westminster Docks	resolved	53.2886	-2.8930	harbour	Westminster ward: Ellesmere Port historic dock complex (offset from museum centroid)
53	cheshire.txt	Westminster Wharf	resolved	53.2883	-2.8924	wharf	Wharf structures within Westminster / Netherpool dock area (approximate)
54	cheshire.txt	National Waterways Museum	resolved	53.2881	-2.8919	museum	Wikipedia/Wikidata NWM Ellesmere Port (South Pier Road CH65 4FW)
55	cheshire.txt	Dock Street	resolved	53.2876	-2.8941	street	CH65 4DH postcode centroid (Dock Street, Westminster)
56	cheshire.txt	Blue Planet Aquarium	resolved	53.2618	-2.8872	attraction	AroundUs/Wikipedia; Longlooms Rd Cheshire Oaks CH65 9LF
57	cheshire.txt	Canal Basin	resolved	53.2878	-2.8912	basin	Historic canal basin within National Waterways Museum / dock site (approximate)
58	cheshire.txt	Stanlow	resolved	53.2830	-2.8643	locality	GENUKI/GeoHack Stanlow township centroid (SJ425766 neighbourhood)
59	cheshire.txt	Stanlow Refinery	resolved	53.2742	-2.8630	industrial	Essar Stanlow refinery site approximate centroid (large secured site)
