line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	conwy.txt	Penmaenmawr	resolved	53.2698	-3.9298	village	Wikipedia/GeoHack town centroid (SH713876)
2	conwy.txt	Penmaenmawr Beach	resolved	53.2715	-3.9350	beach	Shingle foreshore west of town centre along North Wales coast
3	conwy.txt	Penmaenmawr Promenade	resolved	53.2705	-3.9310	promenade	Seafront promenade strip (town coastal frontage)
4	conwy.txt	Dwygyfylchi	resolved	53.2770	-3.8960	village	Wikipedia/GeoHack; Penmaenmawr community (SH735772)
5	conwy.txt	Capelulo	resolved	53.2713	-3.8852	hamlet	Hamlet at foot of Sychnant Pass; OS-style centroid near Ysgol Capelulo/postcode area
6	conwy.txt	Llanfairfechan	resolved	53.2529	-3.9755	town	GeoHack/Wikipedia (SH682197)
7	conwy.txt	Llanfairfechan Beach	resolved	53.2545	-3.9770	beach	Town foreshore on Traeth Llanfairfechan
8	conwy.txt	Llanfairfechan Promenade	resolved	53.2535	-3.9760	promenade	Seafront promenade by beach
9	conwy.txt	Morfa Madryn	resolved	53.2454	-4.0082	nature_reserve	Conwy CC grid SH 664 740; BirdGuides lat/lon for NR car-park area
10	conwy.txt	Traeth Lafan	resolved	53.2552	-4.0422	mudflat	KBA/SPA centroid for Traeth Lafan intertidal (Welsh name; Lavan Sands complex)
11	conwy.txt	Lavan Sands	resolved	53.2552	-4.0422	mudflat	English name for same Traeth Lafan mudflat system; representative central point
12	conwy.txt	Gyffin	resolved	53.2757	-3.8343	village	Gazetteer of British Place Names (SH 777 769); suburb south of Conwy
13	conwy.txt	Conwy	resolved	53.2803	-3.8388	town	GeoHack settlement centroid (SH774187)
14	conwy.txt	Conway	resolved	53.2803	-3.8388	town	Historic English spelling; same coastal town as Conwy
15	conwy.txt	Conwy Quay	resolved	53.2822	-3.8262	harbour	River Conwy quays by lower town/castle frontage
16	conwy.txt	Conwy Harbour	resolved	53.2820	-3.8256	harbour	Inner harbour mouth area (adjacent Cadw Conwy Castle coords)
17	conwy.txt	Conwy Morfa	resolved	53.2778	-3.8315	marsh	Saltmarsh/coastal strip west of walled town (OS coastal Morfa Conwy)
18	conwy.txt	Morfa Conwy	resolved	53.2778	-3.8315	marsh	Same coastal morfa as line 17; separate list label
19	conwy.txt	Conwy Morfa Beach	resolved	53.2765	-3.8340	beach	Sandy strip on Morfa Conwy toward Blue Bridge (approximate foreshore access)
20	conwy.txt	Conwy Estuary	resolved	53.2685	-3.8120	estuary	Representative mid-channel point of tidal Afon Conwy below Conwy–Deganwy crossing
21	conwy.txt	Conwy Mountain	resolved	53.2831	-3.8624	hill	Mynydd y Dref summit (Wikipedia; SH759778)
22	conwy.txt	Deganwy	resolved	53.2980	-3.8310	town	GeoHack (SH779867)
23	conwy.txt	Deganwy Marina	resolved	53.2955	-3.8305	marina	Marina basin at Deganwy Quay/hotel waterfront
24	conwy.txt	Deganwy Quay	resolved	53.2965	-3.8295	harbour	Quay Hotel / waterfront quay area
25	conwy.txt	Deganwy Beach	resolved	53.3035	-3.8285	beach	North Deganwy shingle foreshore toward Great Orme view
26	conwy.txt	Deganwy Castle	resolved	53.2978	-3.8285	castle	Scheduled monument coords on Y Vardre (Cadw/Wikipedia)
27	conwy.txt	Vardre	resolved	53.2975	-3.8290	hill	Y Vardre; twin-summit hill bearing Deganwy Castle earthworks (Wikipedia)
28	conwy.txt	Maesdu	resolved	53.3090	-3.8324	locality	Maesdu Avenue coastal locality west Llandudno (Streetmap centroid LL30)
29	conwy.txt	Maesdu Sands	resolved	53.3100	-3.8330	beach	West-shore beach/sands near Maesdu links coast (approximate foreshore)
30	conwy.txt	Llansanffraid Glan Conwy	resolved	53.2682	-3.7962	village	Glan Conwy; OS Open Names-style centroid (getthedata.com LL28)
31	conwy.txt	Llansanffraid Glan Conwy	resolved	53.2680	-3.7960	village	Same community as Glan Conwy; Wikipedia/GeoHack settlement centroid (SH8075)
32	conwy.txt	Glan Conwy	resolved	53.2680	-3.7960	village	Wikipedia/GeoHack; Llansanffraid Glan Conwy shortened name
33	conwy.txt	Llandudno	resolved	53.3250	-3.8250	town	GeoHack/Wikipedia town centroid (SH784628)
34	conwy.txt	Llandudno Junction	resolved	53.283402	-3.810399	town	GeoHack settlement/station centroid (SH793177)
35	conwy.txt	Craig-y-Don	resolved	53.3100	-3.7900	suburb	Wikipedia ward centroid (SH807518)
36	conwy.txt	Craig y Don	resolved	53.3100	-3.7900	suburb	Alternate spelling; same Craig-y-Don area
37	conwy.txt	West Shore	resolved	53.313889	-3.838889	beach	Wikipedia West Shore, Llandudno (Conwy Bay foreshore)
38	conwy.txt	West Shore Beach	resolved	53.3140	-3.8390	beach	Sand/shingle foreshore on West Shore (approx. shoreline access)
39	conwy.txt	West Shore Llandudno	resolved	53.313889	-3.838889	beach	Same coastal quarter as West Shore
40	conwy.txt	North Shore	resolved	53.328333	-3.819444	beach	Wikipedia North Shore, Llandudno (Irish Sea frontage)
