line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	cork.txt	Garnish Island	resolved	51.736389	-9.541111	island	Garinish / Ilnacullin; Glengarriff Bay.
2	cork.txt	Illnacullin	resolved	51.736389	-9.541111	attraction	Irish name for Garnish Island gardens.
3	cork.txt	Garinish	resolved	51.736389	-9.541111	island	Alternate spelling of Garnish Island.
4	cork.txt	Glengarriff	resolved	51.750	-9.552	village	Village head of Glengarriff Bay.
5	cork.txt	Glengarriff Harbour	resolved	51.748	-9.555	harbour	Sheltered harbour at village.
6	cork.txt	Glengarriff Bay	resolved	51.742	-9.528	bay	Inlet of Bantry Bay; centroid approximate.
7	cork.txt	Derryclancy	resolved	51.759	-9.935	peak	Caha summit (Doire Clainsi); inland but on Beara spine.
8	cork.txt	Adrigole	resolved	51.69278	-9.72583	village	Northwest shore Bantry Bay.
9	cork.txt	Ardgroom	resolved	51.7343	-9.8969	village	Kenmare River side of peninsula.
10	cork.txt	Ardgroom Outward	resolved	51.73598	-9.87003	attraction	Canfea stone circle E of village.
11	cork.txt	Milleens Bay	resolved	51.694	-9.958	bay	Small bay/inlet near Milleens farm NW of Eyeries.
12	cork.txt	Eyeries	resolved	51.69361	-9.95806	village	Above Coulagh Bay.
13	cork.txt	Kilcatherine	resolved	51.71556	-9.96917	attraction	Medieval Kilcatherine Church (Gortgarriff).
14	cork.txt	Kilmacabea	ambiguous			unknown	Name matches civil parish near Leap/Glandore (Carbery), far from this Beara sequence; likely list error or homonym.
15	cork.txt	Allihies	resolved	51.633	-10.033	village	West Beara.
16	cork.txt	Allihies Beach	resolved	51.631	-10.038	beach	Ballydonegan strand area W of village (approx).
17	cork.txt	Cod's Head	resolved	51.6683	-10.1061	headland	Cape NW of Allihies (Wikidata/GNS).
18	cork.txt	Dursey Island	resolved	51.600	-10.200	island	Wikipedia centroid.
19	cork.txt	Dursey Sound	resolved	51.5992	-10.157	strait	Mid-channel waypoint (eOceanic).
20	cork.txt	Ballaghbeama Gap Coast	ambiguous			unknown	Standard Ballaghbeama Gap is in Co. Kerry (Iveragh); not a clear Cork/Beara coastal feature.
21	cork.txt	Castletownbere	resolved	51.652	-9.909	town	Berehaven fishing port.
22	cork.txt	Castletownbere Haven	resolved	51.651	-9.907	harbour	Berehaven harbour by town (approx).
23	cork.txt	Bearhaven	resolved	51.648	-9.912	bay	Berehaven / Bear Haven anchorage (approx centroid).
24	cork.txt	Bear Island	resolved	51.633	-9.883	island	Bere Island (Wikipedia).
25	cork.txt	Beara Peninsula Coast	ambiguous			unknown	Non-specific; peninsula has a long indented coastline.
26	cork.txt	Rerrin	resolved	51.63417	-9.81861	village	Main village E Bere Island.
27	cork.txt	Lonehort Harbour	resolved	51.634445	-9.801774	harbour	Archaeological report coords; Viking-period harbour SE Bere Island.
28	cork.txt	Lawrence Cove	resolved	51.633	-9.817	harbour	N shore Bere Island; marina/ferry.
29	cork.txt	West Cove	resolved	51.618	-9.935	cove	Small south-coast inlet Bere Island (approx).
30	cork.txt	Bere Island North Shore	ambiguous			unknown	North shore extends most of island length; no single tide pin.
31	cork.txt	Shore Road Berehaven	resolved	51.653	-9.908	road	Coastal road along N side of Berehaven near Castletownbere (approx).
32	cork.txt	Kilcaskan	resolved	51.721349	-9.649389	parish	Kilcaskan civil parish centroid along Bantry Bay shore (GENUKI/GeoHack).
33	cork.txt	Bantry Bay West Reach	ambiguous			bay	Informal name for a long stretch of Bantry Bay; no single chart point.
34	cork.txt	Ballylickey	resolved	51.725	-9.436944	village	Wikipedia/GeoHack village on N71 at head of bay.
35	cork.txt	Coorycusheen	ambiguous			unknown	No verified townland/placename match near this Bantry sequence; likely typo or hyper-local label.
36	cork.txt	Bantry	resolved	51.680998	-9.45037	town	Town centroid (standard gazetteer).
37	cork.txt	Bantry Harbour	resolved	51.682	-9.449	harbour	Main harbour basin at head of Bantry Bay (approx).
38	cork.txt	Wolfe Tone Square Quay	resolved	51.6809	-9.453	quay	Town quay fronting Wolfe Tone Square / Bantry waterfront.
39	cork.txt	Snave Pier	resolved	51.7422	-9.4672	pier	Cé Snave, Ballylickey area (fallingrain/Evendo).
40	cork.txt	Whiddy Island	resolved	51.689411	-9.500297	island	Wikipedia/Wikidata centroid.
41	cork.txt	Whiddy Bay	ambiguous			bay	Name used for different shoreline segments around Whiddy; not one centroid.
42	cork.txt	Oil Jetty Bantry	resolved	51.674	-9.483	jetty	Gulf/strategic oil terminal jetty on Whiddy Island (Bantry Bay).
43	cork.txt	Church Cross Bantry Shore	resolved	51.68092	-9.45307	shore	Bantry waterfront by St Brendan’s / Wolfe Tone Square facing the bay (no separate “Church Cross” placename found).
44	cork.txt	Durrus	resolved	51.621158	-9.526927	village	Wikipedia/GeoHack.
45	cork.txt	Durrus Pier	resolved	51.6175	-9.527	pier	Main pier, Dunmanus Bay head (approx).
46	cork.txt	Ahakista	resolved	51.600853	-9.633053	village	Wikipedia/GeoHack harbour village.
47	cork.txt	Kilcrohane	resolved	51.58111	-9.70333	village	Wikipedia/GeoHack; Dunmanus Bay shore.
48	cork.txt	Sheep's Head	resolved	51.54293	-9.84847	headland	Sheep’s Head (Muntervary) lighthouse at peninsula tip (Irish Lights/Wikipedia).
49	cork.txt	Sheep's Head Drive Coast	ambiguous			unknown	Scenic route length; not a single coastal point.
50	cork.txt	Toormore	resolved	51.508	-9.638	bay	Toormore Bay / settlement area W of Schull on Mizen (approx centroid).
51	cork.txt	Rosskerrig Strand	resolved	51.5911	-9.6536	beach	Coastal townland Ros Caorach; townlands.ie map coords as strand locality.
52	cork.txt	Gortnakilly	resolved	51.582	-9.668	townland	Gortnakilly townland, Kilcrohane/Seefin ED (inland of Dunmanus shore; centroid approx).
53	cork.txt	Goleen	resolved	51.495	-9.711389	village	Wikipedia/GeoHack.
54	cork.txt	Barley Cove	resolved	51.4665	-9.7768	beach	Barleycove Blue Flag beach (Beaches On The Air / Wikipedia).
55	cork.txt	Crookhaven	resolved	51.463	-9.7202	village	Wikipedia village by harbour.
56	cork.txt	Crookhaven Harbour	resolved	51.46912	-9.7261	harbour	eOceanic pierhead waypoint.
57	cork.txt	Mizen Head	resolved	51.45028	-9.81944	headland	Wikipedia Irish Lights signal station area.
58	cork.txt	Mizen Signal Station	resolved	51.44985	-9.82042	signal_station	Mizen Head fog-signal / visitor complex (CIL position 51°26.991′N 09°49.225′W).
59	cork.txt	Three Castle Head	resolved	51.48278	-9.82944	attraction	Dunlough Castle / Three Castles Head (Wikipedia).
60	cork.txt	Crookhaven River Mouths	ambiguous			estuary	Several small river mouths around Crookhaven; not one pin.
61	cork.txt	Mullins Cove	not_found			unknown	No verified coastal feature of this name on charts or gazetteers in this Mizen sequence (cf. Mill Cove near Rosscarbery is a different coast).
62	cork.txt	Dunlough Bay	resolved	51.484	-9.828	bay	Small Atlantic-facing inlet at Three Castle Head / Dun Lough relative to Dunmanus Bay (approx. chart reading).
63	cork.txt	Dunmanus Bay	resolved	51.552	-9.72	bay	Wikipedia / Wikidata centroid for the bay.
64	cork.txt	Schull	resolved	51.5266	-9.5481	village	Wikipedia village coordinates.
65	cork.txt	Schull Harbour	resolved	51.524733	-9.542333	harbour	eOceanic haven position (pierhead).
