line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	cumberland.txt	Bowness-on-Solway	resolved	54.9518959	-3.2150939	village	OpenStreetMap/Nominatim
2	cumberland.txt	Glasson	resolved	54.9340425	-3.1700125	village	OpenStreetMap/Nominatim
3	cumberland.txt	Drumburgh	resolved	54.9264080	-3.1491328	village	OpenStreetMap/Nominatim
4	cumberland.txt	Port Carlisle	resolved	54.9479443	-3.1880451	village	OpenStreetMap/Nominatim
5	cumberland.txt	Burgh by Sands	resolved	54.9199994	-3.0611055	village	Used village node (relation hit also returned)
6	cumberland.txt	Burgh Marsh	resolved	54.9343943	-3.0720539	wetland	OpenStreetMap wetland polygon centroid
7	cumberland.txt	Beaumont	resolved	54.9244276	-3.0180588	village	Used village node (admin boundary also returned)
8	cumberland.txt	Monkhill	resolved	54.9179237	-3.0256397	hamlet	OpenStreetMap/Nominatim
9	cumberland.txt	Kirkandrews-on-Eden	resolved	54.9161513	-3.0101994	village	OpenStreetMap/Nominatim
10	cumberland.txt	Rockcliffe	resolved	54.9461728	-3.0022625	village	Administrative boundary centroid (village)
11	cumberland.txt	Rockcliffe Marsh	resolved	54.9644588	-3.0533865	wetland	OpenStreetMap/Nominatim
12	cumberland.txt	Cargo	resolved	54.9256733	-2.9869672	village	OpenStreetMap/Nominatim
13	cumberland.txt	Portling	not_found		unknown	No OpenStreetMap hit with Cumberland context; principal Portling is across the Solway in Dumfries and Galloway
14	cumberland.txt	Cardurnock	resolved	54.9179280	-3.2934669	hamlet	OpenStreetMap/Nominatim
15	cumberland.txt	Skinburness	resolved	54.8906676	-3.3611833	village	OpenStreetMap/Nominatim
16	cumberland.txt	Skinburness Marsh	resolved	54.8861639	-3.3286354	locality	OpenStreetMap/Nominatim
17	cumberland.txt	Causewayhead	resolved	54.8644147	-3.3625386	hamlet	Nominatim returned East Causewayhead (Holme Low, Silloth area)
18	cumberland.txt	Abbeytown	resolved	54.8445862	-3.2864576	village	OpenStreetMap/Nominatim
19	cumberland.txt	Blitterlees	resolved	54.8574579	-3.3887452	hamlet	Coastal Silloth-on-Solway hit (inland duplicate exists in OSM)
20	cumberland.txt	Pelutho	resolved	54.8289099	-3.3712899	hamlet	OpenStreetMap/Nominatim
21	cumberland.txt	Silloth	resolved	54.8692401	-3.3869124	town	OpenStreetMap/Nominatim
22	cumberland.txt	Silloth-on-Solway	resolved	54.8791042	-3.3718656	suburb	Used administrative area centroid (town node also matches Silloth)
23	cumberland.txt	Silloth Beach	resolved	54.8731	-3.399	beach	Approximate seafront pin; no dedicated OSM POI in search
24	cumberland.txt	Silloth Promenade	resolved	54.8720	-3.393	attraction	Approximate main seafront promenade; no dedicated OSM POI in search
25	cumberland.txt	Wolsty	resolved	54.8390347	-3.3959232	locality	OpenStreetMap/Nominatim
26	cumberland.txt	Wolsty Hall	resolved	54.8451716	-3.3943597	locality	OpenStreetMap/Nominatim
27	cumberland.txt	Beckfoot	resolved	54.8323169	-3.4130746	village	Solway Beckfoot (Holme St Cuthbert); not Eskdale Beckfoot
28	cumberland.txt	Anthorn	resolved	54.9112027	-3.2613519	village	OpenStreetMap/Nominatim
29	cumberland.txt	Anthorn Point	resolved	54.9118922	-3.2815697	headland	Used Anthorn Radio Station / coastal facility centroid (no name=Anthorn Point in OSM search)
30	cumberland.txt	Campfield Marsh	resolved	54.9473471	-3.2372342	wetland	OpenStreetMap/Nominatim
31	cumberland.txt	Mealrigg	resolved	54.8024465	-3.3508777	locality	Photon (komoot.io); Cumberland county match
32	cumberland.txt	Yearngill	resolved	54.7833877	-3.3371613	hamlet	Photon (komoot.io); Cumberland county match
33	cumberland.txt	Tarns	resolved	54.8182057	-3.3768178	locality	OSM name Low Tarns (Holme St Cuthbert); list label Tarns
34	cumberland.txt	Westnewton	resolved	54.7893543	-3.3389498	village	Photon administrative boundary (Westnewton, Cumberland)
35	cumberland.txt	Allonby	resolved	54.7729585	-3.4285665	village	Photon (komoot.io); Cumberland county match
36	cumberland.txt	Allonby Bay	resolved	54.7670	-3.4500	bay	Approximate bay centre (Wikipedia Allonby Bay); broad marine feature
37	cumberland.txt	Allonby Beach	resolved	54.7745	-3.4292	beach	Approximate main beach by UK Beach Guide grid NY079426
38	cumberland.txt	Allonby Marsh	resolved	54.7710	-3.4170	wetland	Approximate coastal marsh by Allonby; no single OSM named marsh
39	cumberland.txt	Horseshoe Point	ambiguous			headland	No Photon/OSM name match; informal coastal point on Allonby Bay — not pinned
40	cumberland.txt	Mawbray	resolved	54.8071625	-3.4282701	village	Photon (komoot.io); Cumberland county match
41	cumberland.txt	Dubmill	resolved	54.7986973	-3.437949	headland	Photon: OSM Dubmill Point locality (north Allonby Bay)
42	cumberland.txt	Crosscanonby	resolved	54.7378772	-3.4449441	village	Photon (komoot.io); Cumberland county match
43	cumberland.txt	Crosscanonby Salt Pans	resolved	54.7466622	-3.4504817	historic	Historic salt pans beside Roman milefortlet; OSM Swarthy Hill Roman Mile Fortlet 21 centroid
44	cumberland.txt	Gilcrux	resolved	54.7301538	-3.3744317	village	Photon (komoot.io); Cumberland county match
45	cumberland.txt	Crosby	resolved	54.9277835	-2.8588882	locality	Photon: Crosby-on-Eden (Solway, Cumberland)
46	cumberland.txt	Dearham	resolved	54.7094672	-3.4444571	village	Photon (komoot.io); Cumberland county match
47	cumberland.txt	Great Broughton	resolved	54.6681079	-3.4371583	village	Photon (komoot.io); Cumberland county match
48	cumberland.txt	Maryport	resolved	54.7142025	-3.4982669	town	Photon OSM place=town (skipped spurious POI ranks)
49	cumberland.txt	Maryport Harbour	resolved	54.7145	-3.5050	harbour	Approximate harbour basin near river mouth/marina (no dedicated OSM harbour area in search)
50	cumberland.txt	Maryport Marina	resolved	54.7141156	-3.5076535	marina	Photon (komoot.io); Cumberland county match
51	cumberland.txt	Maryport Beach	resolved	54.7135	-3.4970	beach	Approximate seafront; no dedicated OSM beach POI in search
52	cumberland.txt	Maryport Docks	resolved	54.7075	-3.5080	dock	Approximate dock/industrial waterfront (west of town centre)
53	cumberland.txt	Maryport Promenade	resolved	54.7195295	-3.4968188	promenade	Photon: The Promenade (residential along seafront)
54	cumberland.txt	Maryport Senhouse Museum	resolved	54.7212244	-3.4956897	museum	Photon: Senhouse Roman Museum
55	cumberland.txt	Ellenborough	resolved	54.7078295	-3.4853975	suburb	Photon: Ellenborough (Maryport)
56	cumberland.txt	Flimby	resolved	54.6874925	-3.5166175	village	Photon Flimby village (skipped spurious industrial first hit)
57	cumberland.txt	Flimby Beach	resolved	54.6835	-3.5255	beach	Approximate seafront south of village; no dedicated OSM beach POI
58	cumberland.txt	Flimby Marsh	resolved	54.6810	-3.5140	wetland	Approximate marsh east of coastal strip
59	cumberland.txt	Flimby Shore	resolved	54.6840	-3.5280	beach	Approximate shoreline south of village centre
60	cumberland.txt	Parton	resolved	54.5696004	-3.5802748	village	Photon administrative centroid (Parton, Cumberland)
61	cumberland.txt	Parton Beach	resolved	54.5700	-3.5845	beach	Approximate shoreline W of Parton; no dedicated OSM beach name in search
62	cumberland.txt	Lowca	resolved	54.5811981	-3.5710892	village	OpenStreetMap administrative boundary (Lowca, Cumberland)
63	cumberland.txt	Lowca Bay	resolved	54.5850	-3.5780	bay	Approximate Solway bay W/NW of Lowca; no named OSM bay
64	cumberland.txt	Salter and Brook	resolved	54.6218194	-3.5630007	locality	Judged as Salterbeck coastal area; no OSM hit for exact list string (brook/settlement context)
65	cumberland.txt	Harrington	resolved	54.6142104	-3.5633466	village	OpenStreetMap/Nominatim (Harrington, Workington)
66	cumberland.txt	High Harrington	resolved	54.6140603	-3.5456000	village	OpenStreetMap/Nominatim
67	cumberland.txt	Harrington Harbour	resolved	54.6150	-3.5660	harbour	Approximate small harbour by Harrington; no named OSM harbour area in search
68	cumberland.txt	Harrington Bay	resolved	54.6180	-3.5700	bay	Approximate inshore bay S of Moss Bay along Harrington coast; broad marine feature
69	cumberland.txt	Moss Bay	resolved	54.6270145	-3.5718969	bay	OpenStreetMap natural=bay (Moss Bay)
70	cumberland.txt	Moss Bay Beach	resolved	54.6280	-3.5730	beach	Approximate shingle shore along Moss Bay; no OSM beach POI
71	cumberland.txt	Workington	resolved	54.6439006	-3.5450756	town	OpenStreetMap administrative boundary
72	cumberland.txt	Workington Northside	resolved	54.6513559	-3.5504090	suburb	OpenStreetMap place=suburb North Side, Workington (list label Northside)
73	cumberland.txt	Northside	resolved	54.6513559	-3.5504090	suburb	Same North Side suburb as line 72; duplicate list label
74	cumberland.txt	Northside Beach	resolved	54.6525	-3.5520	beach	Approximate beach by North Side; no dedicated OSM beach
75	cumberland.txt	Workington Beach	resolved	54.6400	-3.5480	beach	Approximate main town seafront; no single OSM beach
76	cumberland.txt	Workington Harbour	resolved	54.6497186	-3.5647888	harbour	Prince of Wales Dock water polygon (inner harbour) from OpenStreetMap
77	cumberland.txt	Workington Dock	resolved	54.6497186	-3.5647888	dock	OpenStreetMap Prince of Wales Dock (natural=water)
78	cumberland.txt	Workington Port	resolved	54.6486398	-3.5640818	harbour	Port of Workington Harbourmaster building (Town Quay); proxy pin for port estate
79	cumberland.txt	Workington Promenade	resolved	54.6512	-3.5690	promenade	Approximate seafront near Workington Pier; no named promenade POI
80	cumberland.txt	Barepot	resolved	54.6501247	-3.5296426	suburb	OpenStreetMap/Nominatim
81	cumberland.txt	Barepot Marsh	resolved	54.6520	-3.5340	wetland	Approximate coastal marsh W of Barepot; no named OSM marsh
82	cumberland.txt	Siddick	resolved	54.6656144	-3.5511233	village	OpenStreetMap/Nominatim
83	cumberland.txt	Siddick Pond	resolved	54.6626138	-3.5521481	bird_hide	OpenStreetMap Siddick pond bird hide (pond feature)
84	cumberland.txt	Seaton	resolved	54.6621437	-3.5254473	village	Seaton Post Office (High Seaton); no place=village node in Nominatim for Seaton alone
85	cumberland.txt	Seaton Marsh	resolved	54.6485	-3.5285	wetland	Approximate marsh by coastal strip near former ironworks; no named OSM marsh
86	cumberland.txt	Stainburn	resolved	54.6458432	-3.5189474	village	OpenStreetMap/Nominatim
87	cumberland.txt	Stainburn Bay	ambiguous			bay	No reliable named feature; informal bay label near Stainburn — not pinned
88	cumberland.txt	Camerton	resolved	54.6640734	-3.4946968	village	OpenStreetMap administrative boundary (Camerton, Cumberland)
89	cumberland.txt	Camerton Marsh	resolved	54.6655	-3.4970	wetland	Approximate marshland E of Camerton toward Derwent corridor; no named OSM marsh
90	cumberland.txt	Great Clifton	resolved	54.6440662	-3.4890719	village	OpenStreetMap administrative boundary
91	cumberland.txt	Little Clifton	resolved	54.6443417	-3.4641799	village	OpenStreetMap/Nominatim
92	cumberland.txt	Clifton Marsh	resolved	54.6425	-3.4575	wetland	Approximate marsh/coastal strip E of Little Clifton; no named OSM marsh
93	cumberland.txt	Bridgefoot	resolved	54.6490121	-3.4646146	village	OpenStreetMap/Nominatim (Bridgefoot, Little Clifton)
94	cumberland.txt	Bridgefoot Marsh	resolved	54.6500	-3.4635	wetland	Approximate marsh by Bridgefoot; no named OSM marsh
95	cumberland.txt	Howgate	resolved	54.5766703	-3.5608134	locality	OpenStreetMap/Nominatim (Howgate, Low Moresby); coastal list order between Bridgefoot and Kells
96	cumberland.txt	Howgate Marsh	resolved	54.5758	-3.5612	wetland	Approximate marsh by Howgate (Moresby); no named OSM marsh
97	cumberland.txt	Kells	resolved	54.5381039	-3.5960262	suburb	OpenStreetMap/Nominatim
98	cumberland.txt	Kells Beach	resolved	54.5370	-3.5970	beach	Approximate seafront by Kells; no dedicated OSM beach POI in search
99	cumberland.txt	Greenbank	resolved	54.5286914	-3.5860698	suburb	OpenStreetMap/Nominatim (Greenbank, Sandwith)
100	cumberland.txt	Greenbank Marsh	resolved	54.5285	-3.5855	wetland	Approximate marsh by Greenbank; no named OSM marsh
101	cumberland.txt	Bransty	resolved	54.5574831	-3.5831968	suburb	OpenStreetMap/Nominatim
102	cumberland.txt	Bransty Point	resolved	54.5532	-3.5878	headland	Approximate harbour north headland / Bransty cliff area; no name=Bransty Point in OSM search
103	cumberland.txt	Whitehaven	resolved	54.5475312	-3.5908432	town	OpenStreetMap/Nominatim
104	cumberland.txt	W'haven	resolved	54.5475312	-3.5908432	town	List abbreviation for Whitehaven; same town centroid as line 103
105	cumberland.txt	Whitehaven Harbour	resolved	54.5506148	-3.5934455	harbour	OpenStreetMap/Nominatim
106	cumberland.txt	Whitehaven Marina	resolved	54.5498	-3.5928	marina	Approximate marina basins along inner harbour; harbour geometry dominates OSM search
107	cumberland.txt	Whitehaven North Shore	resolved	54.5529774	-3.5901666	beach	OpenStreetMap North Shore Car Park / North Shore Road (coastal strip label)
108	cumberland.txt	Whitehaven South Beach	resolved	54.5406	-3.5950	beach	Old Cumbria Gazetteer grid NX96641841 (South Beach); approximate mid-shore
109	cumberland.txt	Whitehaven Promenade	resolved	54.5500182	-3.5892223	promenade	OpenStreetMap Millennium Promenade
110	cumberland.txt	Whitehaven Docks	resolved	54.5478	-3.5920	dock	Approximate quay/dockland frontage (Quay Street / harbour basins); no single OSM docks polygon in search
111	cumberland.txt	Whitehaven Cliffs	resolved	54.5350	-3.5930	cliff	Approximate south coastal cliff line (Tom Hurd Rock / foreshore area); broad informal label
112	cumberland.txt	Whitehaven Rum Story	resolved	54.5480781	-3.5886951	attraction	OpenStreetMap The Rum Story (Lowther Street)
113	cumberland.txt	The Wave Whitehaven	resolved	54.5493704	-3.5922430	leisure	OpenStreetMap The Wave (Duncan Square)
114	cumberland.txt	Corkickle	resolved	54.5422469	-3.5811475	suburb	OpenStreetMap place=suburb Corkickle (not railway stop hit)
115	cumberland.txt	Corkickle Marsh	resolved	54.5425	-3.5840	wetland	Approximate low ground by Corkickle toward shore; no named OSM marsh
116	cumberland.txt	Sandwith	resolved	54.5169315	-3.6013623	village	OpenStreetMap/Nominatim
117	cumberland.txt	Sandwith Bank	resolved	54.5175	-3.6065	beach	Approximate coastal shingle bank W of Sandwith; no OSM name match
118	cumberland.txt	Sandwith Marsh	resolved	54.5170	-3.5985	wetland	Approximate marsh behind coastal strip; no named OSM marsh
119	cumberland.txt	Sandwith Point	resolved	54.5185	-3.6080	headland	Approximate foreshore point W of Sandwith toward sea; no OSM name match
120	cumberland.txt	Moresby Parks	resolved	54.5600011	-3.5499129	village	OpenStreetMap/Nominatim
