line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	denbighshire.txt	Gronant Beach	resolved	53.3388	-3.3667	beach	Sandy foreshore at Gronant; aligns with GeoHack Gronant / beach-guide grid SJ10138474 area
2	denbighshire.txt	Gronant Dunes	resolved	53.3520	-3.3570	dunes	SSSI dune belt (Wikipedia centroid for Gronant Dunes and Talacre Warren)
3	denbighshire.txt	Gronant Sand Dunes	resolved	53.3500	-3.3580	dunes	Same coastal dune system as row 2; representative point within active dunes
4	denbighshire.txt	Gronant Warren	resolved	53.3450	-3.3620	dunes	The Warren dune ridge east of Gronant village toward Talacre
5	denbighshire.txt	Gronant Local Nature Reserve	resolved	53.3410	-3.3640	nature_reserve	NRW/visitor-access dune LNR footprint adjoining Traeth Gronant
6	denbighshire.txt	Barkby	resolved	53.3450	-3.3980	locality	Informal seafront locality name at Barkby Beach (not Leicestershire Barkby)
7	denbighshire.txt	Barkby Beach	resolved	53.3456	-3.3975	beach	UK Beach Guide / British Beaches midpoint; LL19 7LG belt
8	denbighshire.txt	Barkby Slipway	resolved	53.3453	-3.4010	slipway	Launch slip near Prestatyn Sailing Club / Beach Road East frontage
9	denbighshire.txt	Barkby Dunes	resolved	53.3460	-3.3950	dunes	Dune backing immediately behind Barkby seafront
10	denbighshire.txt	Prestatyn	resolved	53.3310	-3.4050	town	Wikipedia/GeoHack town centroid (community of Prestatyn)
11	denbighshire.txt	Prestatyn Central Beach	resolved	53.3355	-3.4140	beach	Central sandy section west of Barkby; Nova/Central Beach belt
12	denbighshire.txt	Central Beach Prestatyn	resolved	53.3353	-3.4135	beach	Same central beach feature as row 11; wording variant
13	denbighshire.txt	Prestatyn Sands	resolved	53.3340	-3.4120	beach	General sandy foreshore naming along town front (tide app use)
14	denbighshire.txt	Prestatyn Promenade	resolved	53.3335	-3.4180	promenade	~4-mile linked promenade; point on Central/Ffrith link near Bastion area
15	denbighshire.txt	Prestatyn Dunes	resolved	53.3400	-3.3800	dunes	Dune belt linking Prestatyn seafront toward Gronant (Prestatyn Gutter belt)
16	denbighshire.txt	Prestatyn Sailing Club	resolved	53.3452	-3.4007	harbour	Clubhouse at Barkby Beach; Geograph/Wikimedia camera coords
17	denbighshire.txt	Prestatyn Beach	resolved	53.3380	-3.4080	beach	Main resort sand frontage (town beach naming; between central and Barkby)
18	denbighshire.txt	Prestatyn Seafront	resolved	53.3360	-3.4100	seafront	Representative seafront pin along the built frontage
19	denbighshire.txt	Prestatyn Gutter	resolved	53.3415	-3.3988	stream	Tidal/stream channel in dunes between dune blocks (Geograph SJ069836 belt)
20	denbighshire.txt	Prestatyn Central	resolved	53.3310	-3.4050	urban	Town centre / High Street area (same centroid as row 10; inland commercial core)
21	denbighshire.txt	Ffrith	resolved	53.3350	-3.4390	locality	West Prestatyn seafront neighbourhood name behind Ffrith Beach
22	denbighshire.txt	Ffrith Beach	resolved	53.3354	-3.4410	beach	UK Beach Guide grid SJ04738326; latitude.to article coords
23	denbighshire.txt	Ffrith Beach East	resolved	53.3355	-3.4350	beach	Eastern end of Ffrith foreshore toward Central Beach
24	denbighshire.txt	Ffrith Beach West	resolved	53.3353	-3.4460	beach	Western end of Ffrith foreshore toward Sandy Lane
25	denbighshire.txt	Ffrith Promenade	resolved	53.3398	-3.4365	promenade	Geograph SJ0483 promenade/cycleway at Ffrith beach
26	denbighshire.txt	Nova Prestatyn	resolved	53.3419	-3.4135	attraction	Nova Centre leisure pool/complex; VisitWales third-party coords
27	denbighshire.txt	Tower Gardens Prestatyn	resolved	53.3435	-3.4160	neighbourhood	Tower Gardens estate / bus corridor NW of town centre near Ffrith belt
28	denbighshire.txt	Presthaven	resolved	53.3500	-3.3530	attraction	Presthaven Sands (Haven) holiday park, Gronant LL19 9TT belt
29	denbighshire.txt	Gwaenysgor	resolved	53.3186	-3.3897	village	Wikipedia/GeoHack village centroid (hilltop above Prestatyn)
30	denbighshire.txt	Meliden	resolved	53.3148	-3.4139	village	Wikipedia/GeoHack; village between Prestatyn and Dyserth
31	denbighshire.txt	Marian Mill	resolved	53.2997	-3.3896	locality	Felin Fawr / Marian Mills (Cwm) belt; Mills Archive NGR SJ074879; Dyserth–Prestatyn corridor
32	denbighshire.txt	Cymau	not_found				Principal Cymau (Flintshire) is inland with no coastal beach; no distinct coastal label found on this frontage
33	denbighshire.txt	Traeth Gronant	resolved	53.3388	-3.3667	beach	Welsh beach name; same sandy foreshore feature as Gronant Beach
34	denbighshire.txt	Traeth Prestatyn	resolved	53.3418	-3.4136	beach	Welsh; Prestatyn central sandy belt (Visit Wales / beach-guide area)
35	denbighshire.txt	Traeth Ffrith	resolved	53.3354	-3.4410	beach	Welsh; Ffrith foreshore (UK Beach Guide belt)
36	denbighshire.txt	Traeth Rhyl	resolved	53.3230	-3.4910	beach	Welsh; main Rhyl sandy frontage seaward of town centre
37	denbighshire.txt	Prestatyn East	resolved	53.3390	-3.3950	neighbourhood	Eastern seafront / dune belt toward Gronant
38	denbighshire.txt	Prestatyn West	resolved	53.3355	-3.4380	neighbourhood	Ffrith-side west Prestatyn
39	denbighshire.txt	Rhyl	resolved	53.3210	-3.4800	town	Wikipedia/GeoHack community centroid (53.321°N 3.480°W)
40	denbighshire.txt	Y Rhyl	resolved	53.3210	-3.4800	town	Welsh exonym for Rhyl; same settlement
