line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	devon.txt	Welcombe Mouth	resolved	50.9382	-4.5419	beach	Secluded beach north of Welcombe; SS212517 area.
2	devon.txt	Marsland Mouth	resolved	50.927	-4.515	beach	Mouth of Marsland Water on Devon–Cornwall border; nature reserve coast.
3	devon.txt	Hartland Quay	resolved	50.9949	-4.5345	harbour	Historic quay and slip south of Hartland Point.
4	devon.txt	Spekes Mill Mouth	resolved	50.9835	-4.5302	waterfall	Coastal waterfall and cove on SWCP south of Hartland Quay.
5	devon.txt	Mouth Mill	resolved	51.0131	-4.4273	ruin	Mouth Mill / lime kiln area above Mouthmill cove.
6	devon.txt	Blackchurch Rock	resolved	51.0122	-4.4269	sea_stack	Stack and double arch at Mouthmill Beach.
7	devon.txt	Hartland Point	resolved	51.02194	-4.52528	headland	NW tip of Devon; lighthouse vicinity.
8	devon.txt	Shipload Bay	resolved	51.01915	-4.5022	bay	Small cove E of Hartland Point; beach closed below cliffs.
9	devon.txt	Clovelly	resolved	50.9983	-4.3987	village	Harbour village under Torridge cliff coast.
10	devon.txt	Clovelly Beach	resolved	50.996	-4.395	beach	Harbour beach and foreshore below the village.
11	devon.txt	Mouthmill Beach	resolved	51.01308	-4.42755	beach	Pebble cove W of Clovelly; OS SS29812655 vicinity.
12	devon.txt	Bucks Mills	resolved	50.9863	-4.3418	village	Small coast village; stream to beach and SWCP.
13	devon.txt	Peppercombe	resolved	50.993	-4.309	valley	Coastal combe and beach between Bucks Mills and Westward Ho.
14	devon.txt	Greencliff	resolved	51.0396	-4.2508	headland	Cliff section and lime kiln on SWCP toward Abbotsham.
15	devon.txt	Westward Ho	resolved	51.040	-4.236	village	Seaside village; centre near pebble ridge (name without ! in source).
16	devon.txt	Westward Ho Beach	resolved	51.03962	-4.2465	beach	Main sandy beach on Bideford Bay.
17	devon.txt	Northam Burrows	resolved	51.056	-4.225	grassland	Country park, dunes and grass behind Westward Ho beach.
18	devon.txt	Appledore	resolved	51.0525	-4.1945	village	River Torridge mouth; quay and shipyard town.
19	devon.txt	Instow	resolved	51.050	-4.167	village	Taw–Torridge estuary frontage opposite Appledore.
20	devon.txt	Fremington Quay	resolved	51.0791	-4.1205	quay	Tarka Trail / former railway quay on River Taw.
21	devon.txt	Crow Point	resolved	51.0662	-4.1898	sand_spit	Tip of Braunton Burrows at Taw–Torridge mouth; lighthouse.
22	devon.txt	Braunton Burrows	resolved	51.097	-4.213	dunes	Core of the Burrows dune system backing Saunton Sands.
23	devon.txt	Saunton Sands	resolved	51.1000	-4.2258	beach	Long west-facing beach at Saunton.
24	devon.txt	Saunton	resolved	51.117	-4.205	village	Linear village above Saunton Sands and Burrows.
25	devon.txt	Croyde	resolved	51.1278	-4.2286	village	Surf village inland from the bay.
26	devon.txt	Croyde Bay	resolved	51.1341	-4.2378	bay	Sandy bay W of Baggy Point.
27	devon.txt	Putsborough	resolved	51.148	-4.221	hamlet	Hamlet above Putsborough Sands.
28	devon.txt	Putsborough Sands	resolved	51.1458	-4.2209	beach	Southern section of Woolacombe Sand toward Baggy Point.
29	devon.txt	Woolacombe	resolved	51.1725	-4.2086	beach	Main resort beach and village frontage.
30	devon.txt	Woolacombe Sand	resolved	51.160	-4.212	beach	Broader Morte Bay sandy shore S of village centre toward Putsborough.
31	devon.txt	Barricane Beach	resolved	51.177	-4.214	beach	Shell Beach cove at N end of Woolacombe; SSSI.
32	devon.txt	Combe Martin	resolved	51.200	-4.025	village	Seaside village in narrow valley; harbour cove at NW Exmoor edge.
33	devon.txt	Broad Sands Combe Martin	resolved	51.2121	-4.0585	beach	Broadsands cove E of Combe Martin; also known Watermouth area; cliff access may be restricted after 2025 slips.
34	devon.txt	Wild Pear Beach	resolved	51.2152	-4.059	beach	Secluded cove E of Combe Martin below Great/Little Hangman; SWCP access.
35	devon.txt	Watermouth Cove	resolved	51.2083	-4.1133	harbour	Sheltered inlet W of Ilfracombe; Watermouth Bay / harbour mouth.
36	devon.txt	Watermouth	resolved	51.2098	-4.105	hamlet	Settlement and Watermouth Castle vicinity above the cove.
37	devon.txt	Hele Bay	resolved	51.209	-4.099	beach	Village and bay E of Ilfracombe on SWCP.
38	devon.txt	Ilfracombe	resolved	51.21111	-4.112898	town	Resort town; centre near High Street / harbour area.
39	devon.txt	Ilfracombe Harbour	resolved	51.210	-4.1162	harbour	Main harbour and pier; lifeboat station vicinity.
40	devon.txt	Rapparee Cove	resolved	51.2101	-4.108	cove	Sheltered cove E of town below Hillsborough; London wreck site.
41	devon.txt	Tunnels Beaches	resolved	51.2110	-4.1259	beach	Victorian tunnel-access bathing beaches and tidal pool W of harbour.
42	devon.txt	Lee Bay	resolved	51.1905	-4.171	beach	Sandy/shingle bay below Lee village W of Ilfracombe.
43	devon.txt	Lee	resolved	51.1915	-4.175	village	Small coastal village inland from Lee Bay between Ilfracombe and Woolacombe.
44	devon.txt	Mortehoe	resolved	51.18527	-4.20881	village	Village above Morte Point / Woolacombe N coast.
45	devon.txt	Rockham Beach	resolved	51.1863	-4.2078	beach	Rockham Bay below cliffs W of Morte Point; SWCP from Mortehoe.
46	devon.txt	Bull Point	resolved	51.199111	-4.201222	headland	Bull Point and Trinity House lighthouse N of Mortehoe.
47	devon.txt	Lynton	resolved	51.228	-3.835	cliff_top_town	Twin town above Lynmouth on Exmoor edge.
48	devon.txt	Lynmouth	resolved	51.2296	-3.8365	village	Harbour village at East Lyn and West Lyn confluence.
49	devon.txt	Lynmouth Bay	resolved	51.231	-3.838	bay	Open bay E of Lynmouth toward Foreland Point.
50	devon.txt	Wringcliff Bay	resolved	51.23111	-3.86083	bay	Secluded cove below Valley of Rocks W of Lynton.
51	devon.txt	Castle Rock Lynmouth	resolved	51.2305	-3.8454	rock_formation	Prominent sea-facing outcrop in Valley of Rocks; SWCP landmark W of Lynmouth.
52	devon.txt	Countisbury	resolved	51.232	-3.796	village	Hamlet on A39 E of Lynmouth below Countisbury Hill.
53	devon.txt	Foreland Point	resolved	51.233333	-3.783333	headland	Northerly Exmoor/Devon foreland; Lynmouth Foreland lighthouse area.
54	devon.txt	Woody Bay	resolved	51.227	-3.892	bay	Wooded combe and stony beach W of Lynton in Martinhoe parish.
55	devon.txt	Heddons Mouth	resolved	51.22917	-3.92750	beach	River Heddon mouth; pebble cove below high cliffs (NT).
56	devon.txt	Hunters Inn	resolved	51.183	-3.900	inn	National Trust Heddon Valley inn; ~1 mi inland from Heddon’s Mouth.
57	devon.txt	Welcombe	resolved	50.933	-4.517	village	Scattered parish N of Bude; inland from Welcombe Mouth.
58	devon.txt	Stoke	resolved	50.9903	-4.5098	hamlet	Stoke in Hartland parish; St Nectan’s church landmark W of Hartland.
59	devon.txt	Hartland	resolved	50.993	-4.483	village	North-west Torridge village; parish centre away from Stoke/Quay.
60	devon.txt	Abbotsham	resolved	51.017	-4.250	village	Coastal parish village S of Westward Ho! peninsula near Bideford Bay.
61	devon.txt	Northam	resolved	51.0393	-4.2104	town	Market town N of Bideford; parish includes Westward Ho! and Appledore.
62	devon.txt	Bideford	resolved	51.0167	-4.2057	town	River Torridge bridge town; historic quay toward estuary mouth.
63	devon.txt	Barnstaple	resolved	51.0782	-4.0588	town	Regional centre on River Taw; town centre set back from Taw estuary foreshore.
64	devon.txt	Chivenor	resolved	51.087	-4.148	military	Former RAF Chivenor site beside River Taw / estuary edge near Braunton.
65	devon.txt	Georgeham	resolved	51.13714	-4.1956	village	Parish village inland from Croyde Bay and Baggy Point.
66	devon.txt	Putsborough Beach	resolved	51.1458	-4.2209	beach	Southern Morte Bay shore at Putsborough (same stretch as Putsborough Sands).
67	devon.txt	Putsborough Bay	resolved	51.137	-4.244	bay	Bay between Baggy Point and the Putsborough/Woolacombe sandy shore.
68	devon.txt	Baggy Point	resolved	51.140252	-4.251363	headland	National Trust headland between Croyde Bay and Morte Bay.
69	devon.txt	Croyde Reef	ambiguous			reef	Submerged reef / surf breaks off Croyde Bay; several patches, no single canonical point.
70	devon.txt	Downend	resolved	51.126043	-4.236363	hamlet	Down End (Georgeham parish) above Croyde Bay; coastal access nearby.
71	devon.txt	Croyde Village	resolved	51.1278	-4.2286	village	Croyde settlement above the bay (distinct from beach foreshore).
72	devon.txt	Pickwell	resolved	51.144	-4.208	hamlet	Georgeham parish hamlet between Georgeham and Croyde.
73	devon.txt	Mullacott	resolved	51.178	-4.131	hamlet	A361 crossroads settlement between Ilfracombe and Barnstaple.
74	devon.txt	Sterridge Valley	resolved	51.1904	-4.0692	valley	Sterridge combe / Wood Park Lane climb S from Berrynarbor toward coast.
75	devon.txt	Berrynarbor	resolved	51.2	-4.066667	village	Coastal parish village E of Ilfracombe; lanes to Watermouth and Broadsands.
76	devon.txt	Hele	resolved	51.1565	-4.0829	hamlet	Small Hele locality between Ilfracombe and Berrynarbor (not Hele Bay).
77	devon.txt	Chambercombe	resolved	51.2158	-4.1072	valley	Chambercombe Manor deep lane and valley N of Ilfracombe town.
78	devon.txt	Rillage Point	resolved	51.21203	-4.10209	headland	Coastal knoll E of Hele Bay toward Combe Martin (SWCP).
79	devon.txt	Sandy Cove Ilfracombe	resolved	51.19931	-4.1831	cove	Secluded cove W of Lee Bay; OS guide SS47574672 vicinity.
80	devon.txt	Tunnels Ilfracombe	resolved	51.2110	-4.1259	beach	Tunnel-access bathing beaches W of harbour (same complex as Tunnels Beaches).
81	devon.txt	Capstone Hill	resolved	51.2091	-4.1018	headland	Promontory and parade between harbour and Landmark Theatre.
82	devon.txt	Chelfham	resolved	51.108	-4.025	village	Chelfham / mill hamlet in Bratton Fleming parish; list coastal-context place.
83	devon.txt	Bratton Fleming	resolved	51.0637	-3.8316	village	Large inland parish village; access to North Devon coast via valleys.
84	devon.txt	Kentisbury	resolved	51.1811	-3.9617	village	Exmoor-edge parish village N of Barnstaple; coastal list context.
85	devon.txt	Berry Down	resolved	51.1792	-4.0399	hill	Berry Down / Berrydown Cross area rising above Berrynarbor toward the coast.
86	devon.txt	Hagginton Hill	resolved	51.204	-4.075	hill	Ridge and lane W of Berrynarbor (Hagginton / East Hagginton historic area).
87	devon.txt	Coombe Martin	resolved	51.200	-4.025	village	Source spelling; same settlement as Combe Martin (harbour village).
88	devon.txt	Sandy Bay Ilfracombe	resolved	51.2065	-4.0446	beach	John Fowler Sandy Bay holiday park shore / Mermaid's Cove access near Berrynarbor.
89	devon.txt	Grunta Beach	resolved	51.1818	-4.2157	beach	Small cove below Mortehoe cliffs W of Woolacombe (SS45254485 vicinity).
90	devon.txt	Sillery Sands	resolved	51.23382	-3.80441	beach	Remote sand/shingle beach E of Lynmouth below Foreland cliffs; access often difficult.
91	devon.txt	Broad Sands Beach	resolved	51.2121	-4.0585	beach	Broadsands cove E of Combe Martin / Watermouth; same feature as “Broad Sands Combe Martin”; cliff path access often affected by slips.
92	devon.txt	Sandy Mouth	resolved	50.861	-4.555	beach	Sandymouth NT beach N of Bude; name on Cornwall coast but listed in Devon corpus—coastal SWCP context.
93	devon.txt	Coombe Martin Beach	resolved	51.2073	-4.0382	beach	Main harbour beach and foreshore at Combe Martin (source spelling Coombe).
94	devon.txt	Start Point	resolved	50.22244	-3.64228	headland	South Hams promontory W side of Start Bay; lighthouse vicinity.
95	devon.txt	Hallsands	resolved	50.239	-3.656	village	Coastal hamlet/beach S Devon; village hit by sea losses; shingle foreshore.
96	devon.txt	Beesands	resolved	50.2629	-3.6489	beach	Fishing village beach on Start Bay.
97	devon.txt	Slapton Sands	resolved	50.291	-3.647	beach	Long shingle barrier beach along Slapton Ley; tidal strip varies.
98	devon.txt	Slapton	resolved	50.311	-3.657	village	Inland of Slapton Sands; parish centre for the bay.
99	devon.txt	Torcross	resolved	50.2912	-3.6242	village	Village at south end of Slapton Sands by Ley mouth.
100	devon.txt	Strete Gate	resolved	50.304	-3.631	coastal_access	Coast-path / beach access point on Slapton Sands near Strete.
101	devon.txt	Strete	resolved	50.351	-3.645	village	Inland village N of Slapton barrier beach.
102	devon.txt	Blackpool Sands	resolved	50.304	-3.612	beach	Tree-fringed bay near Stoke Fleming (South Devon—not Lancashire).
103	devon.txt	Stoke Fleming	resolved	50.3267	-3.5672	village	Coastal parish village above Blackpool Sands and Start Bay cliffs.
104	devon.txt	Castle Cove Dartmouth	resolved	50.3417	-3.5675	cove	Shingle cove below Dartmouth Castle on the west bank mouth of the Dart.
105	devon.txt	Dartmouth	resolved	50.3525	-3.5785	town	Estuary town; centre near Lower Ferry / embankment.
106	devon.txt	Dartmouth Castle	resolved	50.34203	-3.56829	castle	Fort guarding river mouth; English Heritage / harbour mouth landmark.
107	devon.txt	Kingswear	resolved	50.3489	-3.5716	village	Settlement opposite Dartmouth on east bank of Dart.
108	devon.txt	Brownstone	resolved	50.336	-3.543	headland	NT Brownstone / Inner Froward Point area; WW2 battery and coast path.
109	devon.txt	Man Sands	resolved	50.3371	-3.5598	beach	Secluded sand below cliffs E of Stoke Fleming toward Scabbacombe.
110	devon.txt	Little Dartmouth	resolved	50.3485	-3.5825	hamlet	NT Little Dartmouth estate / car park area above castle cliffs.
111	devon.txt	Sugary Cove	resolved	50.3421	-3.5655	cove	Pebble cove below Dartmouth Castle; SWCP access.
112	devon.txt	Compass Cove	resolved	50.3347	-3.5678	cove	Small inlet E of Dartmouth Castle along coast path toward Scabbacombe.
113	devon.txt	Scabbacombe Sands	resolved	50.3567	-3.52	beach	Remote pebble beach E of Kingswear; SWCP SX9151 area.
114	devon.txt	Mewstone	resolved	50.3333	-3.5333	island	Offshore rock / islet E of Dart entrance (Mew Stone); not Wembury Great Mew Stone.
115	devon.txt	Salcombe	resolved	50.2373	-3.7687	town	Kingsbridge Estuary resort town; centre near Fore Street quay.
116	devon.txt	Salcombe North Sands	resolved	50.2392	-3.7705	beach	North-facing sandy beach E side of estuary mouth.
117	devon.txt	Salcombe South Sands	resolved	50.2342	-3.7653	beach	Sandy beach S of town near mouth; ferry landing area.
118	devon.txt	Sunny Cove Salcombe	resolved	50.2278	-3.7707	beach	Small cove opposite town near Mill Bay / East Portlemouth shore.
119	devon.txt	Soar Mill Cove	resolved	50.2578	-3.865	cove	Sandy cove W of Salcombe under Bolt Head.
120	devon.txt	Hope Cove	resolved	50.246	-3.862	village	Inland village above Hope/Mouthwell sand beaches W of Salcombe.
121	devon.txt	Thurlestone	resolved	50.265763	-3.860449	village	Parish village South Hams; centre near church and coast road (GeoHack).
122	devon.txt	Thurlestone Sands	resolved	50.2709	-3.8628	beach	Main Thurlestone / South Milton Sands foreshore; SWCP and car-park beach.
123	devon.txt	Thurlestone Rock	resolved	50.2642	-3.8558	sea_stack	Thirled stone arch offshore in Thurlestone Bay; approximate formation centre.
124	devon.txt	Bigbury-on-Sea	resolved	50.284037	-3.894722	village	Coastal village above Bigbury Bay; GeoHack centroid.
125	devon.txt	Bigbury Beach	resolved	50.2835	-3.8945	beach	Main sandy beach below Bigbury-on-Sea toward Burgh Island.
126	devon.txt	Burgh Island	resolved	50.279722	-3.900278	island	Tidal island with hotel; English Channel side of Bigbury Bay.
127	devon.txt	Challaborough	resolved	50.29000	-3.89500	settlement	Coastal holiday/village strip above Challaborough Bay (Wikipedia coords).
128	devon.txt	Challaborough Bay	resolved	50.2872	-3.9041	bay	Sheltered surf beach and horseshoe bay E of Bigbury; mid-beach Geograph tag.
129	devon.txt	Bantham	resolved	50.279167	-3.870833	village	Hamlet at south side of River Avon mouth; GeoHack centroid.
130	devon.txt	Bantham Beach	resolved	50.2768	-3.873	beach	Sandy beach at Avon estuary mouth; SW of village toward river bar.
131	devon.txt	Mouthwell Sand	resolved	50.24635	-3.8597	beach	Mouthwell Sands cove Outer Hope; beach guide grid SX67554017.
132	devon.txt	Leas Foot Sand	resolved	50.260967	-3.86385	beach	Leas Foot beach below Thurlestone golf course; SWCP SX67304219 area.
