line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	donegal.txt	Muff	resolved	55.067586	-7.26903	village	Wikipedia / OS-style centroid; Lough Foyle shore
2	donegal.txt	Quigley's Point	resolved	55.1249	-7.1971	village	Wikipedia coordinates
3	donegal.txt	Stroove	resolved	55.2264	-6.92694	village	Inishowen (Stroove) lighthouse / head area; coastal settlement
4	donegal.txt	Lisfannon	resolved	55.0975	-7.4815	beach	Lisfannon Beach (Beaches On The Air); townland centre ~55.1017,-7.4694
5	donegal.txt	Fahan	resolved	55.089008	-7.478457	village	Wikipedia; Lough Swilly shore
6	donegal.txt	Inch	resolved	55.065	-7.495	village	Hamlet on Inch Island (Wikipedia island coords used as settlement anchor)
7	donegal.txt	Inch Island	resolved	55.056	-7.46	island	Eastern causeway / shore side; distinct from line 6 centroid
8	donegal.txt	Inch Wildfowl Reserve shore	resolved	55.0460171	-7.443001	wetland	NPWS Inch Levels reserve coordinates; shoreline varies within site
9	donegal.txt	Burt	resolved	55.034968	-7.444668	parish centre	Wikipedia Burt parish; N13 corridor at base of Inishowen
10	donegal.txt	Newtowncunningham shore	resolved	54.997	-7.518	shore	Lough Foyle / Blanket Nook shore S of village (village ~54.998,-7.514)
11	donegal.txt	Moville	resolved	55.19153	-7.03873	town	
12	donegal.txt	Moville Bay	resolved	55.188	-7.055	bay	Open water in Lough Foyle W of Moville
13	donegal.txt	Greencastle	resolved	55.2	-6.9833	town	Wikipedia
14	donegal.txt	Greencastle Harbour	resolved	55.2015	-6.986	harbour	Fishing port / piers slightly E of town centroid
15	donegal.txt	Redcastle	resolved	55.1778	-7.1639	area	Redcastle ED centre (townlands.ie)
16	donegal.txt	Redcastle Beach	resolved	55.158	-7.132	beach	Shore near Redcastle / hotel stretch on Lough Foyle
17	donegal.txt	Coolfore	not_found			unknown	No Coolfore in Donegal gazetteers; not matched to a coastal feature
18	donegal.txt	Killea	resolved	54.977301	-7.400329	village	Wikipedia; border village near Lough Foyle / N13
19	donegal.txt	River Foyle mouth	resolved	55.107	-7.079	estuary	Wikipedia River Foyle → Lough Foyle confluence point
20	donegal.txt	Drumfries	resolved	55.1968	-7.3956	hamlet	Former railway station coords; R238 junction area
21	donegal.txt	Whitecastle	resolved	55.1424	-7.17394	townland	Logainm centrepoint; Lough Foyle side of Inishowen
22	donegal.txt	Muff tidal shore	resolved	55.068	-7.269	shore	Mouth of Foyle intertidal shore by Muff
23	donegal.txt	Carrowmenagh	resolved	55.2493	-7.06418	village	Logainm Ceathrú Meánach centrepoint
24	donegal.txt	Glengad	resolved	55.3353	-7.2283	area	Glengad near Malin Head (property/OS-style point); not Mayo GeoHack homonym
25	donegal.txt	Carrowteigue	not_found			unknown	No Ceathrú Thaidhg/Carrowteige in Donegal; name matches Mayo only
26	donegal.txt	Ballyhillin Strand	resolved	55.383	-7.367	beach	Raised beach / Ballyhillion near Malin Head (Wikipedia Malin Head)
27	donegal.txt	Ballyliffin	resolved	55.25	-7.27	village	Wikishire grid C467453
28	donegal.txt	Ballyliffin Beach	resolved	55.247	-7.271	beach	Pollan Bay / strand S of village centre
29	donegal.txt	Pollan Strand	resolved	55.248	-7.268	beach	Pollan Bay; long strand W of Ballyliffin
30	donegal.txt	Binion	resolved	55.27778	-7.42556	townland	townlands.ie centroid (Clonmany parish)
31	donegal.txt	Binion Bay	resolved	55.27603	-7.42734	bay	Small bay / caravan site shore N of Binion Hill (Clonmany)
32	donegal.txt	Ballymacstocker Bay	resolved	55.1995	-7.61379	bay	Logainm Bá Bhaile Mhic an Stocaire (Ballymastocker); Fanad / Portsalon shore
33	donegal.txt	Clonmany	resolved	55.2625	-7.4125	village	Wikipedia centroid
34	donegal.txt	Clonmany Bay	resolved	55.265	-7.405	bay	Open water / shore W of village toward Pollan Bay (approx. mid-bay)
35	donegal.txt	Urris	resolved	55.248	-7.505	area	Urris valley (Iorras): centroid toward Lough Swilly shore W of Clonmany
36	donegal.txt	Dunaff	resolved	55.27694	-7.50361	townland	Wikipedia / townlands.ie Dunaff townland
37	donegal.txt	Dunaff Bay	resolved	55.268	-7.492	bay	Mouth of Lough Swilly between Dunaff Head and Lenan (approx. anchorage area)
38	donegal.txt	Five Fingers Strand	resolved	55.3425	-7.33713	beach	Logainm Trá na gCúig Méar; Lagg / Trawbreaga Bay
39	donegal.txt	Malin	resolved	55.25	-7.27	village	Wikipedia Malin (Málainn)
40	donegal.txt	Malin Town	resolved	55.32028	-7.26778	area	Malin ED centroid (townlands.ie); distinct planned core N of Carndonagh
41	donegal.txt	Weavers Point	ambiguous			headland	Name not in Logainm/OSM; likely informal Malin Head cliff point W of Banba's Crown
42	donegal.txt	Malin Head	resolved	55.38333	-7.36667	headland	Wikipedia / GeoHack landmark coords (Cionn Mhálanna)
43	donegal.txt	Banba's Crown	resolved	55.3842	-7.3625	headland	Northern tip / Dunalderagh area (Malin Head)
44	donegal.txt	Hell's Hole	resolved	55.3823	-7.3712	attraction	Blowhole (Pólifreann) W of Banba's Crown on cliff walk
45	donegal.txt	Tremone Bay	resolved	55.2762	-7.06387	bay	Logainm Cuan Trá Món; Ballymagaraghy townland
46	donegal.txt	Kinnego Bay	resolved	55.25	-7.0	beach	Kinnagoe Bay (Bá Chionn an Ghabha); Wikipedia coords
47	donegal.txt	Culdaff	resolved	55.25	-7.27	village	Wikipedia Culdaff
48	donegal.txt	Culdaff Beach	resolved	55.288	-7.152	beach	Blue Flag strand Bunnagee / Dunmore Head (E of village centre)
49	donegal.txt	Ballymagaraghy	resolved	55.273	-7.066	area	Logainm Baile Mhic Fhearachaigh (Ballycharry); Tremone ED shore
50	donegal.txt	Gleneely Bay	resolved	55.252	-7.14	bay	No separate Logainm "Gleneely Bay"; shore NE of Gleneely (Gleann Daoile) toward Lough Swilly
51	donegal.txt	Rockstown Harbour	resolved	55.2778	-7.4742	harbour	Rockstown subtownland (Kinnea / Urris); pebble beach landing
52	donegal.txt	Stroove Strand	resolved	55.2267	-6.9395	beach	Blue Flag Stroove (Shroove) beach E of Greencastle; distinct from inland Stroove (line 3)
53	donegal.txt	Dunree	resolved	55.197	-7.548	area	Wikipedia Dunree townland shore
54	donegal.txt	Dunree Bay	resolved	55.19238	-7.54143	bay	eOceanic haven position; cove S of Dunree Head
55	donegal.txt	Dunree Head	resolved	55.19674	-7.55304	headland	Fort Dunree promontory / WAW discovery point
56	donegal.txt	Dunree Fort	resolved	55.19674	-7.55304	attraction	Wikipedia Fort Dunree museum site
57	donegal.txt	Buncrana	resolved	55.1364	-7.456	town	Wikipedia centroid
58	donegal.txt	Buncrana Shore	resolved	55.128	-7.462	shore	Lough Swilly foreshore S/N of centre (Lady's Bay / shore-path belt)
59	donegal.txt	Porthaw Beach	resolved	55.1447	-7.478	beach	Buncrana Shore Path; N of Ned's Point (holiday-let coords)
60	donegal.txt	Stragill Strand	resolved	55.1625	-7.49995	beach	Logainm An Trá Ghil; Linsfort (Buncrana Shore Path north end)
61	donegal.txt	Fahan Pier	resolved	55.0868	-7.481	pier	Lough Swilly shore pier / slip SSW of Fahan village (approx.; no single OSM pier node)
62	donegal.txt	Rathmullan	resolved	55.09417	-7.5375	village	Wikipedia / GeoHack centroid
63	donegal.txt	Rathmullan Strand	resolved	55.0985	-7.533	beach	Main Blue Flag strand N of village on Lough Swilly (approx. mid-beach)
64	donegal.txt	Rathmullan Pier	resolved	55.0959	-7.5355	pier	Harbour / pier head off Pier Road (approx.)
65	donegal.txt	Ballyheerin	resolved	55.2009	-7.72349	townland	Logainm Baile Uí Shírín (Ballyheerin) centrepoint; Fanad W ED
66	donegal.txt	Portsalon	resolved	55.2	-7.617	village	Wikipedia Port an tSalainn coords
67	donegal.txt	Portsalon Beach	resolved	55.204	-7.614	beach	Ballymastocker / Portsalon Blue Flag strand at harbour end (approx.)
68	donegal.txt	Ballymastocker Bay	resolved	55.1995	-7.61379	bay	Logainm Bá Bhaile Mhic an Stocaire; same feature as line 32 batch anchor
69	donegal.txt	Fanad Head	resolved	55.2778	-7.6323	headland	N tip of Fanad peninsula / Lough Swilly entrance (WAW headland; near lighthouse)
70	donegal.txt	Fanad Lighthouse	resolved	55.276278	-7.631722	lighthouse	Commissioners of Irish Lights chart position (55°16.575′N 07°37.921′W)
71	donegal.txt	Tory Island	resolved	55.2626	-8.2168	island	Wikipedia Toraigh island centroid coords
72	donegal.txt	Tory ferry Magheroarty	resolved	55.14611	-8.17476	ferry	Magheroarty (Machaire Rabhartaigh) ferry berth area (listing coords)
73	donegal.txt	Doe Castle	resolved	55.135053	-7.864323	castle	Wikipedia / GeoHack national monument point (Caisleán na dTuath)
74	donegal.txt	Sheephaven Bay	resolved	55.175	-7.92	bay	Approx. mid-bay reading between Dunfanaghy–Horn Head shores (large inlet)
75	donegal.txt	Killahoey	resolved	55.177	-7.979	beach	Killahoey / Dunfanaghy beach (Trá na Cille) — carpark / dune access belt
76	donegal.txt	Killahoey Beach	resolved	55.1768	-7.9797	beach	Blue Flag strand near golf-club road access (guide / council map coords)
77	donegal.txt	Dunfanaghy	resolved	55.183	-7.971	town	Wikipedia Dún Fionnachaidh centroid
78	donegal.txt	Dunfanaghy Harbour	resolved	55.1815	-7.972	harbour	Historic quay / harbour pool N of Market House square (approx.)
79	donegal.txt	Marble Hill	resolved	55.17361	-7.90278	beach	Marble Hill strand / townland (Cnoc an Mharmair); Wikipedia coords
80	donegal.txt	Horn Head	resolved	55.199167	-7.9825	headland	Wikipedia Corrán Binne coords (peninsula cliff massif)
81	donegal.txt	Tramore Beach Dunfanaghy	resolved	55.194	-7.984	beach	Tramore strand NE of Dunfanaghy toward Horn Head (dune-backed beach; approx.)
82	donegal.txt	Horn Head Bridge	resolved	55.18384	-7.98617	bridge	OSM highway centrepoint (Hornhead Bridge on Horn Head drive)
83	donegal.txt	Muckish Sea View shore	resolved	55.191	-7.982	shore	Scenic-route foreshore with open view to Muckish; approximate pin along Dunfanaghy–Horn Head coast
84	donegal.txt	Ards Friary shore	resolved	55.15852	-7.86382	shore	Sheephaven shore by Ards Friary (OSM amenity node as friary anchor)
85	donegal.txt	Creeslough	resolved	55.122	-7.907	village	Wikipedia An Craoslach coords
