line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	dorset.txt	Lyme Regis	resolved	50.7252897	-2.9345590	town	OpenStreetMap/Nominatim (town boundary)
2	dorset.txt	Lyme Regis Cobb	resolved	50.7193760	-2.9372312	harbour_wall	The Cobb (tourism attraction way; historic harbour arm)
3	dorset.txt	Charmouth	resolved	50.7379968	-2.9065606	village	OpenStreetMap/Nominatim (administrative boundary)
4	dorset.txt	Charmouth Beach	resolved	50.7340118	-2.8990375	beach	Nearest mapped beachfront point (information board; OpenStreetMap)
5	dorset.txt	Black Ven	resolved	50.7347522	-2.9126220	locality	OpenStreetMap locality node
6	dorset.txt	Stonebarrow	resolved	50.7362966	-2.8715425	hill	Stonebarrow Hills area (landuse polygon centroid; OpenStreetMap)
7	dorset.txt	Golden Cap	resolved	50.7263820	-2.8412028	headland	OpenStreetMap peak node
8	dorset.txt	Seatown	resolved	50.7234751	-2.8232073	hamlet	OpenStreetMap place=hamlet
9	dorset.txt	Seatown Beach	resolved	50.7211751	-2.8204091	beach	OpenStreetMap natural=beach
10	dorset.txt	Thorncombe Beacon	resolved	50.7199428	-2.8010405	headland	OpenStreetMap peak node
11	dorset.txt	Eype	resolved	50.7165138	-2.7839406	harbour	Coastal Eype (leisure=marina named Eype; OpenStreetMap)
12	dorset.txt	Eype Mouth	resolved	50.7195849	-2.7822153	inlet	Eype's Mouth County Hotel at coastal inlet (OpenStreetMap way)
13	dorset.txt	West Bay	resolved	50.7113313	-2.7612890	suburb	OpenStreetMap place=suburb
14	dorset.txt	West Bay Harbour	resolved	50.7101452	-2.7642919	harbour	OpenStreetMap leisure=marina
15	dorset.txt	Bridport Harbour	resolved	50.7101452	-2.7642919	harbour	Bridport harbour is at West Bay; same marina as West Bay Harbour (OpenStreetMap)
16	dorset.txt	Burton Bradstock	resolved	50.7035269	-2.7159431	village	OpenStreetMap administrative boundary
17	dorset.txt	Burton Beach	resolved	50.7087525	-2.7595405	beach	OpenStreetMap East Beach, Burton Bradstock
18	dorset.txt	Hive Beach	resolved	50.6957082	-2.7213843	beach	OpenStreetMap natural=beach
19	dorset.txt	West Bexington	resolved	50.6802203	-2.6614154	village	OpenStreetMap place=village
20	dorset.txt	Cogden Beach	resolved	50.6944581	-2.7058594	beach	Car park/amenity way named Cogden Beach (OpenStreetMap)
