line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	down.txt	Holywood	resolved	54.63860	-5.82470	town	Town on Belfast Lough (standard mapping / town-centre class coords).
2	down.txt	Seahill	resolved	54.66404	-5.76495	village	Coastal village between Holywood and Helen’s Bay (Wikipedia coords).
3	down.txt	Cultra	resolved	54.65000	-5.81700	neighbourhood	Cúl Trá coastal suburb / yacht club shore (Wikipedia centroid).
4	down.txt	Helen's Bay	resolved	54.67000	-5.73500	village	Helen's Bay on Belfast Lough (Wikipedia coords).
5	down.txt	Crawfordsburn	resolved	54.65833	-5.73111	village	Inland village near coast / country park (Wikipedia coords).
6	down.txt	Bangor	resolved	54.66079	-5.66802	city	Bangor seafront town on Belfast Lough (GeoNames-style centroid).
7	down.txt	Pickie	resolved	54.65470	-5.66230	attraction	Pickie Fun Park / Marine Gardens gateway (Wikivoyage map pin).
8	down.txt	Ballyholme	resolved	54.66750	-5.64550	suburb	Ballyholme coastal quarter of Bangor (map reading east of centre).
9	down.txt	Ballyholme Bay	resolved	54.66780	-5.64450	bay	Ballyholme forebay east of Bangor centre.
10	down.txt	Ballyholme Beach	resolved	54.66820	-5.64350	beach	Main sandy beach at Ballyholme (coastal access area).
11	down.txt	Groomsport	resolved	54.66700	-5.61700	village	Groomsport on north Ards shore (Wikipedia coords).
12	down.txt	Groomsport Harbour	resolved	54.66740	-5.61780	harbour	Sheltered harbour / pier focus in Groomsport village.
13	down.txt	Orlock	resolved	54.67222	-5.58306	village	Orlock townland / coastal settlement centroid (townlands.ie point).
14	down.txt	Orlock Point	resolved	54.67767	-5.58353	headland	Orlock Point headland / WW2 OP locality (geograph image coords).
15	down.txt	Ballymacormick Point	resolved	54.66793	-5.63640	headland	National Trust coastal headland between Ballyholme and Groomsport (walk GPX).
16	down.txt	Bangor Marina	resolved	54.65580	-5.66350	marina	Queen’s Parade / Pickie sector of Bangor Marina (map reading).
17	down.txt	Bangor Harbour	resolved	54.65630	-5.66750	harbour	Main harbour basin south of town centre (representative harbour pin).
18	down.txt	North Down Coastal Path	resolved	54.65700	-5.66550	coastal_path	Representative pin at Bangor Marine Gardens sector; route spans Holywood–Orlock.
19	down.txt	Donaghadee	resolved	54.64130	-5.53590	town	Donaghadee town centroid (standard gazetteer-style coords).
