line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	dublin.txt	Bremore Beach	not_found			beach	No OpenStreetMap/Nominatim hit for this local beach name
2	dublin.txt	Bremore	resolved	53.6189224	-6.1986372	administrative	OpenStreetMap/Nominatim (Bremore townland boundary)
3	dublin.txt	Ben Head	resolved	53.6543295	-6.2225506	headland	OpenStreetMap cliff; Meath side of Delvin estuary (coastal with north Dublin list)
4	dublin.txt	Ardgillan Castle shore	resolved	53.5864329	-6.1598281	attraction	OpenStreetMap Ardgillan Castle; mapped to landmark on coastal park
5	dublin.txt	Balbriggan	resolved	53.6098320	-6.1861964	town	OpenStreetMap/Nominatim (town node, not railway station)
6	dublin.txt	Balbriggan Harbour	not_found			harbour	No distinct named harbour feature in OpenStreetMap/Nominatim
7	dublin.txt	Balbriggan Beach	not_found			beach	No OpenStreetMap/Nominatim hit
8	dublin.txt	Balbriggan Pier	not_found			pier	No OpenStreetMap/Nominatim hit
9	dublin.txt	Skerries	resolved	53.5806379	-6.1066867	town	OpenStreetMap/Nominatim (town node, not railway station)
10	dublin.txt	Skerries Harbour	resolved	53.5820937	-6.1068056	harbour	OpenStreetMap/Nominatim
11	dublin.txt	Skerries Pier	resolved	53.5853071	-6.1068845	pier	OpenStreetMap/Nominatim
12	dublin.txt	Skerries Sailing Club	resolved	53.5836703	-6.1046292	sports_centre	OpenStreetMap/Nominatim
13	dublin.txt	Red Island	resolved	53.5848836	-6.1027654	locality	OpenStreetMap/Nominatim
14	dublin.txt	Colt Island	resolved	53.5848652	-6.0887141	island	OpenStreetMap/Nominatim
15	dublin.txt	St Patrick's Island	resolved	53.5853223	-6.0737233	island	OpenStreetMap/Nominatim
16	dublin.txt	Shenick Island	resolved	53.5726452	-6.0840168	islet	OpenStreetMap/Nominatim
17	dublin.txt	Church Island	resolved	53.5853223	-6.0732693	islet	OpenStreetMap/Nominatim
18	dublin.txt	Rockabill	resolved	53.5982404	-6.0033733	island	OpenStreetMap/Nominatim (place=island)
19	dublin.txt	Rockabill Lighthouse	resolved	53.5969617	-6.0043159	lighthouse	OpenStreetMap/Nominatim
20	dublin.txt	Lambay Island	resolved	53.4906309	-6.0191875	island	OpenStreetMap/Nominatim
21	dublin.txt	Lambay landing	not_found			landing	No OpenStreetMap/Nominatim hit for landing
22	dublin.txt	Rush	resolved	53.5220444	-6.0908956	town	OpenStreetMap/Nominatim
23	dublin.txt	Rush Harbour	resolved	53.5109720	-6.1185318	marina	OpenStreetMap Rush Sailing Club marina (south shore harbour area)
24	dublin.txt	Rush North Beach	resolved	53.5239722	-6.0844198	beach	North Beach car park node; beach front not separately named in OSM
25	dublin.txt	Rush South Beach	resolved	53.5120886	-6.1015141	beach	OpenStreetMap/Nominatim
26	dublin.txt	Rogerstown Estuary	resolved	53.5056429	-6.1379780	protected_area	OpenStreetMap Rogerstown Estuary SAC boundary
27	dublin.txt	Rogerstown Estuary mouth	ambiguous			estuary	Mouth not separately mapped; several plausible points along tidal bar
28	dublin.txt	Rogerstown shore	ambiguous			shore	No single shoreline POI; estuary has multiple shores
29	dublin.txt	Kenure	resolved	53.5381788	-6.0925714	church	OpenStreetMap Kenure church; Kenure demesne/coastal Rush context
30	dublin.txt	Drumanagh promontory	resolved	53.5406959	-6.0786716	headland	OpenStreetMap/Nominatim (archaeological headland)
31	dublin.txt	Loughshinny	resolved	53.5466255	-6.0863619	village	OpenStreetMap/Nominatim (Loughshinny settlement)
32	dublin.txt	Loughshinny Harbour	resolved	53.5469613	-6.1007300	harbour	OpenStreetMap/Nominatim (Harbour Road harbour area)
