line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	dumfries-and-galloway.txt	Gretna	resolved	54.9953097	-3.0669404	town	OpenStreetMap/Nominatim
2	dumfries-and-galloway.txt	Gretna Green	resolved	55.0049436	-3.0627342	village	Used village node; station hit also returned
3	dumfries-and-galloway.txt	Eastriggs	resolved	54.9845854	-3.1795787	village	OpenStreetMap/Nominatim
4	dumfries-and-galloway.txt	Springfield	resolved	55.0042737	-3.0547048	village	DG16 village near Gretna; other Springfield farm/building hits elsewhere in D&G
5	dumfries-and-galloway.txt	Annan	resolved	54.9873333	-3.2620207	town	OpenStreetMap/Nominatim
6	dumfries-and-galloway.txt	Annan Harbour	not_found			unknown	No OpenStreetMap hit for named harbour feature
7	dumfries-and-galloway.txt	Powfoot	resolved	54.9800522	-3.3295660	village	OpenStreetMap/Nominatim
8	dumfries-and-galloway.txt	Cummertrees	resolved	54.9855413	-3.3465447	village	OpenStreetMap/Nominatim
9	dumfries-and-galloway.txt	Dornock	resolved	54.9834942	-3.2021381	village	OpenStreetMap/Nominatim
10	dumfries-and-galloway.txt	Clarencefield	resolved	55.0039248	-3.4223885	village	OpenStreetMap/Nominatim
11	dumfries-and-galloway.txt	Brow Well	resolved	54.9937463	-3.4316212	attraction	OpenStreetMap historic attraction
12	dumfries-and-galloway.txt	Caerlaverock	ambiguous			unknown	Nominatim: castle, moat, and NNR; no distinct settlement node for the name alone
13	dumfries-and-galloway.txt	Caerlaverock Castle	resolved	54.9756512	-3.5241093	castle	OpenStreetMap/Nominatim
14	dumfries-and-galloway.txt	Glencaple	resolved	55.0018708	-3.5690389	village	OpenStreetMap/Nominatim
15	dumfries-and-galloway.txt	Carsethorn	resolved	54.9233255	-3.5743439	village	OpenStreetMap/Nominatim
16	dumfries-and-galloway.txt	Carsethorn Beach	not_found			beach	No named beach feature in OpenStreetMap near Carsethorn
17	dumfries-and-galloway.txt	Kirkbean	resolved	54.9168919	-3.5967291	hamlet	OpenStreetMap/Nominatim
18	dumfries-and-galloway.txt	Southerness	resolved	54.8749945	-3.5977025	hamlet	OpenStreetMap/Nominatim
19	dumfries-and-galloway.txt	Southerness Lighthouse	resolved	54.8728267	-3.5950075	lighthouse	OpenStreetMap/Nominatim
20	dumfries-and-galloway.txt	Southerness Beach	resolved	54.8721528	-3.5981163	beach	OpenStreetMap leisure bathing_place labelled Southerness
21	dumfries-and-galloway.txt	Mersehead	resolved	54.8887972	-3.6771584	attraction	RSPB Mersehead visitor centre (coastal reserve); farmyard name hit also exists
22	dumfries-and-galloway.txt	Mersehead Beach	resolved	54.8787748	-3.7249735	beach	Mersehead Sands (OpenStreetMap)
23	dumfries-and-galloway.txt	Rockcliffe	resolved	54.8656221	-3.7969849	village	OpenStreetMap/Nominatim
24	dumfries-and-galloway.txt	Kippford	resolved	54.8798530	-3.8139775	village	OpenStreetMap/Nominatim
25	dumfries-and-galloway.txt	Colvend	resolved	54.8732152	-3.7661536	village	OpenStreetMap/Nominatim
26	dumfries-and-galloway.txt	Sandyhills	resolved	54.8808438	-3.7306608	village	OpenStreetMap/Nominatim
27	dumfries-and-galloway.txt	Sandyhills Bay	ambiguous			bay	Only hit is Sandyhills Bay Caravan Park, not the open bay
28	dumfries-and-galloway.txt	Port o' Warren	resolved	54.8638580	-3.7466383	hamlet	OpenStreetMap spells Portowarren
29	dumfries-and-galloway.txt	Portling	resolved	54.8685684	-3.7437100	hamlet	OpenStreetMap/Nominatim
30	dumfries-and-galloway.txt	Auchencairn	resolved	54.8433925	-3.8724500	village	Coastal DG7 village; other Auchencairn hamlets exist inland in D&G
31	dumfries-and-galloway.txt	Auchencairn Bay	resolved	54.8390287	-3.8342036	bay	OpenStreetMap/Nominatim
32	dumfries-and-galloway.txt	Balcary Point	resolved	54.8246599	-3.8264017	headland	OpenStreetMap/Nominatim
33	dumfries-and-galloway.txt	Balcary Bay	resolved	54.8296041	-3.8323670	bay	OpenStreetMap/Nominatim
34	dumfries-and-galloway.txt	Rascarrel Bay	resolved	54.8124698	-3.8576441	bay	OpenStreetMap/Nominatim
35	dumfries-and-galloway.txt	Orchardton	resolved	54.8781049	-3.8466531	hamlet	OpenStreetMap Old Orchardton; distinct admin locality Orchardton exists W of Dalbeattie
36	dumfries-and-galloway.txt	Orchardton Tower	resolved	54.8768366	-3.8453263	attraction	OpenStreetMap/Nominatim
37	dumfries-and-galloway.txt	Hestan Island	resolved	54.8361532	-3.8107633	island	OpenStreetMap/Nominatim
38	dumfries-and-galloway.txt	Rough Island	resolved	54.8602639	-3.8025686	island	OpenStreetMap/Nominatim
39	dumfries-and-galloway.txt	Rough Firth	resolved	54.8698197	-3.8094508	firth	OpenStreetMap/Nominatim (Rough Firth near Kippford)
