line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	durham.txt	Greatham	resolved	54.6410586	-1.2377218	village	OpenStreetMap/Nominatim (Greatham, Hartlepool)
2	durham.txt	Greatham Creek	resolved	54.6264163	-1.2376721	stream	OSM river way (upper reach; second segment also mapped)
3	durham.txt	Cowpen Bewley	resolved	54.6156303	-1.2574446	village	OpenStreetMap/Nominatim
4	durham.txt	Cowpen Marsh	resolved	54.6149878	-1.2231859	wetland	OpenStreetMap/Nominatim
5	durham.txt	Teesmouth National Nature Reserve	resolved	54.6264518	-1.1817348	protected_area	OpenStreetMap/Nominatim
6	durham.txt	Bran Sands	resolved	54.6322961	-1.1410956	wetland	OpenStreetMap/Nominatim (Bran Sands, Redcar and Cleveland; Teesmouth)
7	durham.txt	North Tees Marshes	ambiguous			wetland	Teesmouth marsh mosaic (e.g. Saltholme/Seal Sands); no OSM object with this exact name
8	durham.txt	Haverton Hill	resolved	54.5965446	-1.2445126	locality	OpenStreetMap/Nominatim (indexed as Haverton Hil)
9	durham.txt	Port Clarence	resolved	54.5875075	-1.2270069	village	OpenStreetMap/Nominatim
10	durham.txt	North Shore	ambiguous			unknown	Generic name; OSM hits are unrelated schools/roads—unclear which north-bank locality is meant here
11	durham.txt	Wolviston	resolved	54.6247300	-1.3000545	village	OpenStreetMap/Nominatim
12	durham.txt	Crimdon	resolved	54.7273897	-1.2519760	beach	OpenStreetMap Crimdon Beach information point (coastal context)
13	durham.txt	Crimdon Dene	resolved	54.7261789	-1.2585138	valley	OpenStreetMap/Nominatim
14	durham.txt	Crimdon Beck	resolved	54.7258634	-1.2719365	stream	OpenStreetMap/Nominatim
15	durham.txt	Crimdon Park	resolved	54.7353455	-1.2616071	attraction	OSM returns Crimdon Dene Holiday Park (caravan site)—likely the intended coastal park
16	durham.txt	Crimdon Dene Viaduct	not_found			bridge	No plausible OSM/Nominatim match for this structure name
17	durham.txt	Hart Warren	resolved	54.7148945	-1.2270633	protected_area	OpenStreetMap Hart Warren Dunes Local Nature Reserve
18	durham.txt	Blackhall Colliery	resolved	54.7489850	-1.2902867	village	OpenStreetMap/Nominatim
19	durham.txt	Blackhall Rocks	resolved	54.7407451	-1.2765709	village	OpenStreetMap/Nominatim
20	durham.txt	Blackhall	resolved	54.7489850	-1.2902867	village	Same OSM resolution as Blackhall Colliery; likely the same settlement label on the ground
21	durham.txt	High Hesleden	resolved	54.7360309	-1.2957565	hamlet	OpenStreetMap/Nominatim
22	durham.txt	Hesleden	resolved	54.7367585	-1.3170633	village	OpenStreetMap/Nominatim
23	durham.txt	Horden	resolved	54.7639360	-1.3163855	village	OpenStreetMap/Nominatim
24	durham.txt	Horden Beach	resolved	54.7647	-1.3158	beach	Approximate foreshore south of Horden; no named OSM beach POI
25	durham.txt	Horden Colliery	resolved	54.7699958	-1.3140518	mine	OpenStreetMap/Nominatim (former colliery site)
26	durham.txt	Horden Viaduct	resolved	54.7567069	-1.3000081	bridge	OpenStreetMap/Nominatim
27	durham.txt	Denemouth	resolved	54.7299097	-1.2598656	locality	OSM Denemouth Caravan Park—coastal Denemouth area
28	durham.txt	Denemouth Viaduct	not_found			bridge	No plausible OSM/Nominatim match for this structure name
29	durham.txt	Castle Eden	resolved	54.7330616	-1.3454410	village	OpenStreetMap/Nominatim
30	durham.txt	Castle Eden Dene	resolved	54.7575056	-1.3100675	wood	OpenStreetMap Castle Eden Dene National Nature Reserve
31	durham.txt	Peterlee	resolved	54.7618912	-1.3321519	town	OpenStreetMap/Nominatim (admin boundary)
32	durham.txt	Shotton Colliery	resolved	54.7618647	-1.3861670	village	OpenStreetMap/Nominatim
33	durham.txt	Shotton	resolved	54.7563817	-1.3852333	suburb	OpenStreetMap/Nominatim (Shotton, Peterlee area; other UK “Shotton” hits excluded by context)
34	durham.txt	Hawthorn	resolved	54.8021119	-1.3505487	village	OpenStreetMap/Nominatim
35	durham.txt	Hawthorn Hive	resolved	54.8080909	-1.3145017	beach	OpenStreetMap way Hawthorn Hive (beach)
36	durham.txt	Hawthorn Dene	resolved	54.8015507	-1.3334477	valley	OpenStreetMap/Nominatim (natural=valley)
37	durham.txt	Hawthorn Dene Viaduct	resolved	54.8062130	-1.3156079	bridge	OpenStreetMap/Nominatim
38	durham.txt	Shippersea Bay	resolved	54.8009201	-1.3124699	beach	OpenStreetMap/Nominatim
39	durham.txt	Shippersea	resolved	54.7989841	-1.3113964	cape	OpenStreetMap Shippersea Point (adjacent to Shippersea Bay)
40	durham.txt	Cold Hesledon	resolved	54.8140200	-1.3587070	hamlet	IPN/FindThatPostcode locality centroid (OSM only indexed the A19 interchange name)
41	durham.txt	Dalton-le-Dale	resolved	54.8258379	-1.3653352	hamlet	OpenStreetMap/Nominatim
42	durham.txt	Dalden Tower	resolved	54.8317379	-1.3472627	historic	OpenStreetMap/Nominatim (ruins)
43	durham.txt	Dalden Dene	resolved	54.8317379	-1.3472627	valley	No separate OSM object named Dalden Dene; same access point as Dalden Tower in the dene
44	durham.txt	Dawdon	resolved	54.8291098	-1.3318133	suburb	OpenStreetMap/Nominatim
45	durham.txt	Dawdon Colliery	resolved	54.8240300	-1.3187190	mine	Judged to former Dawdon Colliery / Noses Point reclaimed site (Durham Heritage Coast); no OSM object with this exact name
46	durham.txt	Seaham	resolved	54.8372106	-1.3355612	town	OpenStreetMap/Nominatim
47	durham.txt	Seaham Harbour	resolved	54.8344460	-1.3264915	harbour	OpenStreetMap Seaham Harbour Dock (landuse polygon centroid)
48	durham.txt	Seaham Hbr	resolved	54.8344460	-1.3264915	harbour	Abbreviation of Seaham Harbour; same OSM feature as line 47
49	durham.txt	Seaham Beach	resolved	54.8498386	-1.3447805	beach	Approximate north town beach foreshore (OSM has cafés/parking but no named “Seaham Beach” polygon)
50	durham.txt	Seaham Hall Beach	resolved	54.8502259	-1.3439537	beach	OpenStreetMap relation “Seaham Hall Beach car park” centroid (beach access point)
51	durham.txt	Seaham North Dock	resolved	54.8384814	-1.3281403	dock	OpenStreetMap/Nominatim (building)
52	durham.txt	Seaham South Dock	resolved	54.8315000	-1.3275000	dock	No OSM object named South Dock; point placed at south end of Seaham Harbour Dock landuse polygon
53	durham.txt	Seaham Marina	resolved	54.8379389	-1.3280779	marina	OpenStreetMap Seaham Harbour Marina
54	durham.txt	Seaham Colliery	not_found			mine	No plausible OpenStreetMap/Nominatim match for this historic name (several Seaham-area collieries)
