line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	east-lothian.txt	Fisherrow	resolved	55.9439450	-3.0610931	suburb	OpenStreetMap/Nominatim
2	east-lothian.txt	Fisherrow Harbour	resolved	55.9457458	-3.0673625	mud	OpenStreetMap/Nominatim (natural=mud harbour basin)
3	east-lothian.txt	Fisherrow Sands	resolved	55.9515423	-3.0570821	beach	OpenStreetMap/Nominatim
4	east-lothian.txt	Fisherrow Beach	resolved	55.9515423	-3.0570821	beach	OpenStreetMap/Nominatim (same named beach polygon as Fisherrow Sands)
5	east-lothian.txt	Fisherrow West	ambiguous			beach	No OSM/Nominatim object; likely the western Fisherrow foreshore strip (human-map label only)
6	east-lothian.txt	Linkfield	resolved	55.9400086	-3.0358131	suburb	OpenStreetMap/Nominatim hit for Pinkie (Musselburgh) area where Linkfield sits
7	east-lothian.txt	Musselburgh	resolved	55.9421202	-3.0538516	town	OpenStreetMap/Nominatim
8	east-lothian.txt	Musselburgh Esplanade	resolved	55.9452540	-3.0654367	promenade	OpenStreetMap pedestrian Promenade along Fisherrow/Musselburgh shore (no “Esplanade” name)
9	east-lothian.txt	Musselburgh foreshore	resolved	55.9533556	-3.0464510	beach	Musselburgh Sands (natural=beach) used as foreshore pin
10	east-lothian.txt	Musselburgh Harbour	resolved	55.9456401	-3.0669739	harbour	OpenStreetMap leisure=marina at Fisherrow Harbour (local small-craft harbour for Musselburgh)
11	east-lothian.txt	River Esk mouth	resolved	55.9344944	-3.0548345	waterway	Nearest downstream River Esk (Lothian) waterway segment toward the Forth; estuary mouth area
12	east-lothian.txt	Mouth of the Esk	resolved	55.9344944	-3.0548345	waterway	Same estuary mouth reading as line 11 (duplicate coastal label)
13	east-lothian.txt	Inveresk	resolved	55.9355537	-3.0443388	village	OpenStreetMap/Nominatim
14	east-lothian.txt	Lewisvale	resolved	55.9391790	-3.0405464	neighbourhood	OpenStreetMap/Nominatim
