line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	east-sussex.txt	Hove Lagoon	resolved	50.8269425	-0.1949906	lagoon	Nominatim (amenity named Hove Lagoon, Kingsway; lagoon/watersports front).
2	east-sussex.txt	Hove Lawns	resolved	50.8234837	-0.1644283	park	Nominatim (leisure=park Hove Lawns).
3	east-sussex.txt	Hove Esplanade	resolved	50.8268	-0.1985	promenade	Coastal Western Esplanade / Kingsway Aldrington stretch; no single OSM object for whole esplanade.
4	east-sussex.txt	Hove Seafront	resolved	50.8226223	-0.1571082	promenade	Representative Kingsway point (Seafront Peace Statue); long continuous front.
5	east-sussex.txt	Aldrington Beach	resolved	50.8267420	-0.1960130	beach	Nominatim (Big Beach Cafe on Aldrington foreshore).
6	east-sussex.txt	Brunswick	resolved	50.8242870	-0.1590553	neighbourhood	Nominatim (Brunswick Square park, Brunswick, Hove).
7	east-sussex.txt	Brighton Beach	resolved	50.8213519	-0.1509165	beach	Nominatim (Brighton i360 / classic pebble beach frontage).
8	east-sussex.txt	Brighton Seafront	resolved	50.8221087	-0.1548841	promenade	Nominatim (Brighton Bandstand, King’s Road seafront).
9	east-sussex.txt	Brighton Palace Pier	resolved	50.8168041	-0.1368256	pier	Nominatim (man_made=pier way “Brighton Pier”).
10	east-sussex.txt	Palace Pier	resolved	50.8168041	-0.1368256	pier	Same structure as Brighton Palace Pier; pier way centroid.
11	east-sussex.txt	West Pier	resolved	50.8189956	-0.1520075	attraction	Nominatim (West Pier ruins).
12	east-sussex.txt	Brighton Pier	resolved	50.8168041	-0.1368256	pier	Same pier as lines 9–10; OSM name “Brighton Pier”.
13	east-sussex.txt	Black Rock	resolved	50.8145411	-0.1111537	coastal	Nominatim (Black Rock station; eastern seafront / Volks end).
14	east-sussex.txt	Kemp Town	resolved	50.8192795	-0.1231562	suburb	Nominatim (place=suburb Kemptown).
15	east-sussex.txt	Brighton Marina	resolved	50.8127303	-0.1023244	marina	Nominatim (Brighton Marina Village suburb; wider marina complex).
16	east-sussex.txt	Brighton Marina Outer Harbour	resolved	50.8108390	-0.1017105	harbour	Nominatim (West Jetty / outer wall area).
17	east-sussex.txt	Roedean	resolved	50.8149726	-0.0915331	village	Nominatim (Roedean village).
18	east-sussex.txt	Rottingdean	resolved	50.8034109	-0.0572093	village	Nominatim (admin boundary centroid; Rottingdean).
19	east-sussex.txt	Rottingdean Beach	resolved	50.8045	-0.0540	beach	Approximate shingle shore below Rottingdean; no clean OSM beach object.
20	east-sussex.txt	Rottingdean Undercliff	resolved	50.8019458	-0.0556531	footway	Nominatim (Undercliff Walk segment at Rottingdean).
21	east-sussex.txt	Ovingdean	resolved	50.8168993	-0.0765298	village	Nominatim (place=village Ovingdean).
22	east-sussex.txt	Ovingdean Beach	resolved	50.8138	-0.0735	beach	Approximate shoreline south of Ovingdean; no dedicated OSM beach hit.
23	east-sussex.txt	Undercliff Walk	resolved	50.8063198	-0.0712293	footway	Representative OSM way; entire walk is several miles long (Brighton Marina–Peacehaven).
24	east-sussex.txt	Saltdean	resolved	50.8049113	-0.0251487	suburb	Nominatim (Saltdean residential area, Telscombe).
25	east-sussex.txt	Saltdean Beach	resolved	50.7998696	-0.0406688	beach	Nominatim (natural=beach Saltdean beach).
26	east-sussex.txt	Saltdean Undercliff	resolved	50.7993949	-0.0374766	footway	Nominatim (Undercliff Walk segment, Saltdean / BN2 coast).
27	east-sussex.txt	Telscombe	resolved	50.8053422	-0.0170848	parish	Nominatim (admin boundary Telscombe).
28	east-sussex.txt	Telscombe Cliffs	resolved	50.7971565	-0.0180307	suburb	Nominatim (Telscombe Cliffs).
29	east-sussex.txt	Peacehaven	resolved	50.7962181	-0.0027387	town	Nominatim (place=town Peacehaven).
30	east-sussex.txt	Peacehaven Cliffs	resolved	50.7852	0.0190	cliffs	Geograph/Wikimedia photo location for Undercliff Walk at Peacehaven (east of town centre; distinct from Telscombe Cliffs).
31	east-sussex.txt	Peacehaven Beach	resolved	50.7880	0.0045	beach	Shingle foreshore below Peacehaven town; representative mid-beach (long linear front).
32	east-sussex.txt	Peacehaven Undercliff	resolved	50.7865	0.0120	footway	Undercliff Walk / lower cliff foot at Peacehaven (continuous path; segment pin).
