line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	east-yorkshire.txt	Reighton	resolved	54.160176	-0.270928	village	GeoHack/Wikipedia (Reighton, coastal parish)
2	east-yorkshire.txt	Reighton Sands	resolved	54.169461	-0.256647	beach	FindThatPostcode locality (holiday park / shore south of Reighton)
3	east-yorkshire.txt	Buckton	resolved	54.135640	-0.188440	village	Wikipedia OS grid TA183726 (Buckton, Bempton parish)
4	east-yorkshire.txt	Bempton	resolved	54.131872	-0.180271	village	GeoHack/Wikipedia (Bempton village centre)
5	east-yorkshire.txt	Bempton Cliffs	resolved	54.145988	-0.162810	cliff	GeoHack/Wikipedia (Bempton Cliffs seabird cliffs)
6	east-yorkshire.txt	Bempton RSPB	resolved	54.146552	-0.168860	attraction	RSPB Bempton Cliffs visitor centre (Cliff Lane, YO15 1JF)
7	east-yorkshire.txt	Old Fall	resolved	54.154200	-0.091000	headland	Classic shore-fishing ledge on N side of Flamborough Head (approx.; no single gazetteer point)
8	east-yorkshire.txt	Bartlett Nab	resolved	54.150703	-0.170872	cliff	Geograph TA195743 (RSPB Bempton/Bartlett Nab viewpoint)
9	east-yorkshire.txt	Danes Dyke	resolved	54.101500	-0.108500	nature_reserve	Danes Dyke local nature reserve / wooded coast (Flamborough Headland area)
10	east-yorkshire.txt	Selwicks Bay	resolved	54.119000	-0.112000	bay	Bay on W side of Flamborough Head (chalk cove below lighthouse cliffs)
11	east-yorkshire.txt	Thornwick Bay	resolved	54.126500	-0.084800	bay	OSM/visitor mapping (Flamborough Head E side)
12	east-yorkshire.txt	Thornwick	resolved	54.126200	-0.085200	locality	Settlement/hamlet by Thornwick Bay
13	east-yorkshire.txt	North Landing	resolved	54.128500	-0.087500	cove	North Landing coble beach / cove (Flamborough Head N side)
14	east-yorkshire.txt	South Landing	resolved	54.116500	-0.086500	cove	South Landing cove (Flamborough Head S side)
15	east-yorkshire.txt	Flamborough Head	resolved	54.116700	-0.082900	headland	Chalk headland apex area (Flamborough Head)
16	east-yorkshire.txt	Flamborough Outer Headlands	resolved	54.124000	-0.089000	headland	Flamborough Outer Headlands NNR; representative point on outer promontory
17	east-yorkshire.txt	Flamborough	resolved	54.115500	-0.125000	village	Wikipedia (Flamborough village, inland of the Head)
18	east-yorkshire.txt	Flamborough Lighthouse	resolved	54.123889	-0.081944	attraction	Active lighthouse on Flamborough Head (WGS84 per common charting sources)
19	east-yorkshire.txt	Marton	resolved	54.109250	-0.163820	hamlet	Geograph TA201697 (Marton by Sewerby; not Holderness Marton)
20	east-yorkshire.txt	Sewerby	resolved	54.101378	-0.166466	village	Wikipedia (Sewerby, north of Bridlington)
21	east-yorkshire.txt	Sewerby Hall	resolved	54.106700	-0.165800	attraction	Sewerby Hall & Gardens (historic house / visitor site)
22	east-yorkshire.txt	Sewerby Steps	resolved	54.100800	-0.168200	beach_access	Coastal access steps between village and foreshore
23	east-yorkshire.txt	Sewerby Beach	resolved	54.099340	-0.172990	beach	Foreshore below Sewerby (Bridlington Bay)
24	east-yorkshire.txt	Bridlington	resolved	54.083200	-0.191900	town	Wikipedia / OS settlement centre
25	east-yorkshire.txt	Bridlington Harbour	resolved	54.084200	-0.191200	harbour	Harbour / marina area (inner harbour)
26	east-yorkshire.txt	Bridlington North Beach	resolved	54.089000	-0.188000	beach	North Beach / Foreshore Road frontage
27	east-yorkshire.txt	Bridlington South Beach	resolved	54.080000	-0.190000	beach	South beach frontage toward Wilsthorpe
28	east-yorkshire.txt	Bridlington Bay	resolved	54.095000	-0.175000	bay	Open bay N of Bridlington (representative inshore point)
29	east-yorkshire.txt	Bessingby	resolved	54.114000	-0.238000	hamlet	Coastal hamlet W of Bridlington (Bessingby Lane area)
30	east-yorkshire.txt	Carnaby	resolved	54.086100	-0.298900	village	Wikipedia (Carnaby village, inland S of Bridlington)
31	east-yorkshire.txt	Wilsthorpe	resolved	54.059632	-0.214831	hamlet	Wikipedia/GeoHack (Wilsthorpe, coastal hamlet S of Bridlington)
32	east-yorkshire.txt	Wilsthorpe Beach	resolved	54.062000	-0.210000	beach	Foreshore / sands S of Wilsthorpe (approx. coastal pin)
33	east-yorkshire.txt	Fraisthorpe	resolved	54.039466	-0.240131	village	Wikipedia (Fraisthorpe, Barmston parish)
34	east-yorkshire.txt	Fraisthorpe Beach	resolved	54.036000	-0.233000	beach	Foreshore below Fraisthorpe (approx.)
35	east-yorkshire.txt	Atwick	resolved	53.940706	-0.187689	village	Wikipedia (Atwick, Holderness)
36	east-yorkshire.txt	Barmston	resolved	54.015247	-0.225280	village	Wikipedia (Barmston, Holderness coast)
37	east-yorkshire.txt	Ulrome	resolved	53.994669	-0.225773	village	Wikipedia (Ulrome; Lissett & Ulrome parish)
38	east-yorkshire.txt	Lissett	resolved	54.006341	-0.255491	village	Wikipedia (Lissett village; A165)
39	east-yorkshire.txt	Skipsea	resolved	53.977778	-0.220000	village	Wikipedia (Skipsea, B1242/B1249)
40	east-yorkshire.txt	Skipsea Brough	resolved	53.975219	-0.229573	hamlet	Wikipedia (Skipsea Brough; Skipsea Castle earthworks)
41	east-yorkshire.txt	Bewholme	resolved	53.933201	-0.226859	village	Wikipedia (Bewholme parish centre)
42	east-yorkshire.txt	Hornsea	resolved	53.910800	-0.167600	town	GeoHack/Wikipedia (Hornsea settlement centre)
43	east-yorkshire.txt	Hornsea Beach	resolved	53.912500	-0.164500	beach	North Sea foreshore E of Hornsea (representative)
44	east-yorkshire.txt	Hornsea Promenade	resolved	53.912800	-0.165500	promenade	Seafront promenade / Central Promenade area
45	east-yorkshire.txt	Hornsea Mere	resolved	53.905560	-0.186110	lake	Wikipedia (Hornsea Mere; freshwater mere W of town)
46	east-yorkshire.txt	Mappleton	resolved	53.877820	-0.137317	village	Wikipedia (Mappleton, Holderness coast)
47	east-yorkshire.txt	Great Cowden	resolved	53.866306	-0.131000	hamlet	Wikidata/OS grid TA230427 (Great Cowden, Mappleton parish)
48	east-yorkshire.txt	Cowden	resolved	53.844165	-0.117834	hamlet	Wikipedia (Cowden / Little Cowden, Mappleton parish)
49	east-yorkshire.txt	Aldbrough	resolved	53.828945	-0.113198	village	Wikipedia (Aldbrough, Holderness)
50	east-yorkshire.txt	Rimswell	resolved	53.738223	-0.011959	village	Wikipedia (Rimswell, NW of Withernsea)
51	east-yorkshire.txt	Out Newton	resolved	53.672600	0.090850	hamlet	Wikipedia (Out Newton, Easington parish)
