xline_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	edinburgh.txt	Cramond	resolved	55.9796700	-3.3006700	village	Wikipedia/GeoHack village centroid (mouth of River Almond)
2	edinburgh.txt	Cramond Village	resolved	55.9796700	-3.3006700	village	Same recognised place as Cramond; human-map label uses “village”
3	edinburgh.txt	Cramond Beach	resolved	55.9852000	-3.2968000	beach	Foreshore beach north of village toward Cramond Island (human-map coastal pin)
4	edinburgh.txt	Cramond Esplanade	resolved	55.9825000	-3.2985000	promenade	Marine Drive / esplanade strip along Cramond foreshore
5	edinburgh.txt	Cramond Harbour	resolved	55.9814000	-3.3012000	harbour	Small harbour basin at Cramond (adjacent to village harbour area)
6	edinburgh.txt	Cramond Harbour Pier	resolved	55.9818000	-3.3023000	pier	Pier structure at Cramond Harbour (seaward end)
7	edinburgh.txt	Cramond Island	resolved	55.9900000	-3.2900000	isle	GeoHack / Wikipedia island centroid in Firth of Forth
8	edinburgh.txt	Cramond Island causeway	resolved	55.9858000	-3.2955000	causeway	Landfall of tidal causeway toward Cramond Island
9	edinburgh.txt	Cramond Roman Fort	resolved	55.9806000	-3.2994000	attraction	Roman fort archaeological site beside Cramond shore (human-map landmark)
10	edinburgh.txt	Cramond Tower	resolved	55.9799000	-3.3001000	attraction	Historic tower by Cramond harbour area
11	edinburgh.txt	Cramond Lioness	resolved	55.9802000	-3.2996000	attraction	Roman sculpture display near fort/harbour (same coastal cluster)
12	edinburgh.txt	River Almond mouth	resolved	55.9855000	-3.2948000	waterway	Almond estuary mouth into Firth of Forth at Cramond
13	edinburgh.txt	Lauriston Castle	resolved	55.9711800	-3.2798800	attraction	GeoHack / listed-building coordinates (Cramond Road South)
14	edinburgh.txt	Lauriston Castle shore	resolved	55.9716000	-3.2785000	shore	Firth of Forth shoreline below Lauriston Castle grounds (north-east of building)
15	edinburgh.txt	Silverknowes	resolved	55.9885000	-3.2410000	suburb	Coastal side of Silverknowes toward Firth of Forth (not inland centroid)
16	edinburgh.txt	Silverknowes Esplanade	resolved	55.9892000	-3.2403000	promenade	Esplanade along Silverknowes foreshore
17	edinburgh.txt	Silverknowes Beach	resolved	55.9898000	-3.2395000	beach	Small sandy beach on Silverknowes coast
18	edinburgh.txt	Silverknowes Promenade	resolved	55.9895000	-3.2398000	promenade	Promenade length on Silverknowes seafront
19	edinburgh.txt	Silverknowes foreshore	resolved	55.9901000	-3.2392000	beach	Foreshore strip west of Granton approaches
20	edinburgh.txt	Muirhouse	resolved	55.9923000	-3.2475000	suburb	Muirhouse neighbourhood pin toward coastal margin
21	edinburgh.txt	Muirhouse foreshore	resolved	55.9938000	-3.2455000	beach	Foreshore east of Silverknowes / west of Wardie approaches
22	edinburgh.txt	Wardie	resolved	55.9842000	-3.2515000	neighbourhood	Wardie coastal neighbourhood (Granton–Trinity shore)
23	edinburgh.txt	Wardie Bay	resolved	55.9835000	-3.2508000	bay	Named bay on Edinburgh north shore
24	edinburgh.txt	Wardie Bay Beach	resolved	55.9829000	-3.2502000	beach	Beach within Wardie Bay
25	edinburgh.txt	Wardie Steps	resolved	55.9827000	-3.2505000	attraction	Coastal access steps (local landmark on shore)
26	edinburgh.txt	Wardie Bay local nature reserve	resolved	55.9823000	-3.2500000	nature_reserve	LNR coastal strip in Wardie Bay area
27	edinburgh.txt	Granton	resolved	55.9855000	-3.2245000	suburb	Granton waterfront area (harbour district centroid reading)
28	edinburgh.txt	Granton Harbour	resolved	55.9862000	-3.2237800	harbour	Canmore NRHE 52051 centroid (NT 23747 77701; OSGB36 quoted lat/lon)
29	edinburgh.txt	Granton Western Harbour	resolved	55.9848000	-3.2285000	harbour	Western harbour basin / breakwater area west of main mid-pier cluster
30	edinburgh.txt	Granton Middle Pier	resolved	55.9864000	-3.2229000	pier	Middle Pier structure (Canmore NT27NW 28.06 middle pier / beacon area)
31	edinburgh.txt	Granton Breakwater	resolved	55.9861000	-3.2176600	breakwater	Canmore NRHE 52054 eastern breakwater centroid (NT 24128 77683; trove.scot)
32	edinburgh.txt	Granton Pier	resolved	55.9834940	-3.2236410	pier	Landward/quay access reading along main pier axis (distinct pin from Middle Pier beacon row)
33	edinburgh.txt	Granton Sands	resolved	55.9852030	-3.2325110	intertidal_sands	Foreshore sand/mud flats W of harbour basins (human-map coastal pin)
34	edinburgh.txt	Granton Burn mouth	resolved	55.9806630	-3.2371750	estuary	Granton Burn estuarine mouth on W Granton foreshore (approx. NT 229 771)
35	edinburgh.txt	Granton Castle site	resolved	55.9821390	-3.2423510	historic_site	Canmore NRHE 52042 demolished castle site (NT 2258 7727)
36	edinburgh.txt	Granton Beach historic	resolved	55.9832000	-3.2435000	beach	Historic bathing-beach reading on Castle–Caroline Park foreshore strip
37	edinburgh.txt	Granton Waterfront	resolved	55.9840000	-3.2280000	waterfront	General harbour/foreshore interface between Western Harbour and Mid Pier approaches
38	edinburgh.txt	Granton waterfront regeneration	resolved	55.9805560	-3.2388890	redevelopment	Wikipedia GeoHack “Granton Waterfront regeneration” landmark centroid
39	edinburgh.txt	Granton Garden	resolved	55.9828000	-3.2330000	park	Informal waterfront green space reading near Granton western approaches
40	edinburgh.txt	Caroline Park Granton	resolved	55.9806150	-3.2419810	park	Canmore “Caroline Park” area centroid (NT 226 771; wider policies than house alone)
41	edinburgh.txt	Gypsy Brae	resolved	55.9814450	-3.2487390	park	Gazetteer for Scotland / Edinburgh Outdoors; recreation ground NT 218 772
42	edinburgh.txt	Gypsy Brae coastal park	resolved	55.9817221	-3.2540131	park	Edinburgh Outdoors directory map pin; coastal grassland toward Granton Point
43	edinburgh.txt	Madelvic Works site Granton	resolved	55.9833740	-3.2356590	industrial_heritage	Former Madelvic factory site reading on West Granton waterfront corridor (approx.)
44	edinburgh.txt	Edinburgh Marina Granton	resolved	55.9860000	-3.2225000	marina	Pontoon/visitor berth cluster in Granton Harbour (local “Edinburgh Marina” branding)
45	edinburgh.txt	ForthQuarter Granton	resolved	55.9830050	-3.2276330	housing	Waterfront housing quarter E of Western Harbour basin approaches
46	edinburgh.txt	Granton foreshore SSSI	resolved	55.9845000	-3.2300000	sssi	Representative pin on Firth of Forth foreshore SSSI strip at Granton
47	edinburgh.txt	Trinity	resolved	55.9805240	-3.2059180	suburb	Trinity coastal neighbourhood centroid toward Chain Pier/Newhaven
48	edinburgh.txt	East Trinity	resolved	55.9800000	-3.2020000	suburb	Eastern Trinity toward Newhaven (coastal margin reading)
49	edinburgh.txt	Trinity Chain Pier historic	resolved	55.9801920	-3.2044380	pier	Wikipedia / GeoHack Trinity Chain Pier (demolished 1898)
50	edinburgh.txt	Newhaven	resolved	55.9844444	-3.1955556	village	British Place Names approximate centre Newhaven (NT 255775; 55°59′4″N 3°11′44″W)
51	edinburgh.txt	Newhaven Harbour	resolved	55.9814810	-3.1961880	harbour	HES LB27956 / Wikidata NT 25459 77146
