line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	essex.txt	Purfleet	resolved	51.4839	0.2425	town	Thurrock; Thames north bank settlement centre.
2	essex.txt	Purfleet-on-Thames	resolved	51.4751	0.2377	town	Official name of Purfleet; GeoHack/Wikipedia centroid.
3	essex.txt	Purfleet Riverside	resolved	51.4762	0.2392	residential	Thames-side regeneration frontage W of town centre.
4	essex.txt	West Thurrock	resolved	51.483	0.282	industrial	A13/Thames Gateway area W of Grays; settlement centroid.
5	essex.txt	Grays	resolved	51.4775	0.32	town	Thurrock town centre (ceremonial Essex).
6	essex.txt	Grays Beach	resolved	51.476	0.318	beach	Thames foreshore below Grays town centre.
7	essex.txt	Tilbury	resolved	51.4628	0.3619	town	Thurrock port town on Thames.
8	essex.txt	Tilbury Riverside	resolved	51.4625	0.3645	ferry	Gravesend ferry / riverside frontage.
9	essex.txt	Tilbury Docks	resolved	51.464	0.3458	harbour	Port of Tilbury container / docks complex.
10	essex.txt	Tilbury Fort	resolved	51.45278	0.37472	fort	English Heritage artillery fort on Thames bend.
11	essex.txt	Coalhouse Point	resolved	51.45161	0.43578	headland	Henrician blockhouse point E of Tilbury; Coalhouse Fort nearby.
12	essex.txt	East Tilbury	resolved	51.468	0.419	village	Village and fort area on Lower Hope Reach.
13	essex.txt	Stanford-le-Hope	resolved	51.5133	0.4228	town	Inland Thurrock town near Thames marshes.
14	essex.txt	Corringham	resolved	51.5206	0.4561	town	Built-up area N of Thameside oil storage / Hole Haven.
15	essex.txt	Mucking Marshes	resolved	51.496	0.449	marsh	SSSI mudflats/saltmarsh E of Tilbury (Mucking Flats and Marshes).
16	essex.txt	Mucking Flats	resolved	51.48	0.441	mudflat	Intertidal flats within Mucking Flats and Marshes SSSI.
17	essex.txt	Thurrock Thameside	resolved	51.49	0.43	nature_reserve	Interpreted as Thurrock Thameside Nature Park (ex-landfill reserve).
18	essex.txt	Chadwell St Mary Riverside	resolved	51.4705	0.3555	marsh	Thames/marsh edge S of Chadwell St Mary built-up area.
19	essex.txt	Orsett Marshes	resolved	51.506	0.378	marsh	Saltmarsh/mudflats S of Orsett toward Thames.
20	essex.txt	Hole Haven	resolved	51.518	0.522	creek	Inlet between Canvey and Corringham (Holehaven Creek SSSI).
21	essex.txt	Canvey Island	resolved	51.525	0.5725	settlement	Island town centroid (Castle Point/Thames Estuary).
22	essex.txt	Canvey Dutch Village	resolved	51.52508	0.5566	attraction	Dutch Cottage Museum / historic Dutch-worker settlement focus.
23	essex.txt	Canvey Point	resolved	51.5355	0.587	headland	North shore foreland toward Hole Haven / Thames.
24	essex.txt	Thorney Bay	resolved	51.5132	0.5861	beach	Sandy bay and park off Thorney Bay Road.
25	essex.txt	Concord Beach	resolved	51.5088	0.591	beach	Tidal pool / Concord seafront strip on Eastern Esplanade.
26	essex.txt	Labworth Beach	resolved	51.5118	0.5947	beach	Sandy strip by Labworth Café; Geograph/Wikipedia vicinity.
27	essex.txt	Canvey Seafront	resolved	51.5145	0.5875	seafront	Representative pin along main developed sea wall/Eastern Esplanade.
28	essex.txt	Smallgains Creek	resolved	51.5205	0.552	creek	Inlet/creek on W side of Canvey toward Benfleet Creek.
29	essex.txt	Ostend Canvey	resolved	51.527	0.561	hamlet	Ostend locality eastern Canvey near sea wall.
30	essex.txt	Two Tree Island	resolved	51.53623	0.62858	nature_reserve	Leigh/Canvey side nature reserve; Wikipedia centroid.
31	essex.txt	Leigh-on-Sea	resolved	51.5425	0.6535	town	Southend-on-Sea parish; Wikipedia/GeoHack centroid.
32	essex.txt	Leigh on Sea	resolved	51.5425	0.6535	town	Same settlement as Leigh-on-Sea; alternate spacing on source line.
33	essex.txt	Old Leigh	resolved	51.5392	0.6615	harbour	Historic cockle-boat waterfront (Old Town) E of Leigh centre.
34	essex.txt	Bell Wharf Leigh	resolved	51.5387	0.6605	wharf	Bell Wharf on Old Leigh backwater.
35	essex.txt	Hadleigh	resolved	51.5535	0.6095	town	Castle Point town; Wikipedia Hadleigh, Essex.
36	essex.txt	Hadleigh Marsh	resolved	51.548	0.614	marsh	Thames-side marsh/SSSI belt S of Hadleigh built-up area.
37	essex.txt	Benfleet	resolved	51.5528	0.5615	town	Built-up area around Benfleet / South Benfleet (Castle Point).
38	essex.txt	South Benfleet	resolved	51.5541	0.5594	town	Principal settlement name; station/centroid vicinity.
39	essex.txt	Benfleet Creek	resolved	51.556	0.5545	creek	Tidal creek between Canvey and mainland near Benfleet.
