line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	falkirk.txt	Kinneil	resolved	56.0085006	-3.6269012	suburb	Nominatim place node (Kinneil, Bo'ness).
2	falkirk.txt	Kinneil Beach	resolved	56.01570	-3.62450	beach	No direct Nominatim hit; point on Kinneil foreshore shoreline W of mapped Kinneil Foreshore.
3	falkirk.txt	Kinneil Foreshore	resolved	56.0157039	-3.6242203	information	Nominatim map board on Kinneil Road.
4	falkirk.txt	Kinneil Estate	resolved	56.0028980	-3.6362705	forest	Nominatim landuse forest polygon.
5	falkirk.txt	Kinneil House	resolved	56.0071789	-3.6342697	historic	Nominatim historic castle (Kinneil House).
6	falkirk.txt	Kinneil Museum	resolved	56.0078613	-3.6325926	museum	Nominatim tourism museum.
7	falkirk.txt	Kinneil Nature Reserve	resolved	56.0155658	-3.6277281	nature_reserve	Nominatim leisure nature_reserve polygon.
8	falkirk.txt	Kinneil Local Nature Reserve	resolved	56.0139367	-3.6250618	information	Nominatim welcome board; entrance signing for the LNR.
9	falkirk.txt	Kinneil Woods	resolved	56.0041946	-3.6357979	wood	Nominatim named highway=track centroid (wooded strip).
10	falkirk.txt	Kinneil Sands	resolved	56.01435	-3.66575	beach	No OSM name hit; coords from Canmore Kinneil Kerse intertidal/shell midden record (mudflat/sand at low water).
11	falkirk.txt	Kinneil Lagoon	resolved	56.0152	-3.6285	lagoon	No single named OSM object; approximate pools within Kinneil LNR foreshore.
12	falkirk.txt	Kinneil Lagoons	resolved	56.0150	-3.6290	lagoon	No single named OSM object; approximate pools/scrapes in Kinneil LNR.
13	falkirk.txt	Antonine Wall Kinneil	resolved	56.0018811	-3.6553702	historic	Nominatim Antonine Wall ruins segment at Kinneil.
14	falkirk.txt	John Muir Way Kinneil	resolved	56.0120	-3.6290	trail	No named hit; point along the trail link between Kinneil Estate and Kinneil foreshore.
15	falkirk.txt	Inner Forth Kinneil	ambiguous			unknown	Regional estuary label; several equally plausible shoreline viewpoints along Kinneil coast.
16	falkirk.txt	Bo'ness	resolved	56.0176867	-3.6073601	town	Nominatim town polygon centroid.
17	falkirk.txt	Borrowstounness	resolved	56.0176867	-3.6073601	town	Formal name resolves to same Bo'ness town hit.
18	falkirk.txt	B'ness	resolved	56.0176867	-3.6073601	town	Abbreviation; same town centroid as Bo'ness.
19	falkirk.txt	Bo'ness Harbour	resolved	56.0191750	-3.6065009	harbour	Nominatim named harbour information board (Union Street area).
20	falkirk.txt	BoNess Harbour	resolved	56.0191750	-3.6065009	harbour	Variant spacing; same harbour board location as line 19.
21	falkirk.txt	Bo'ness Marina	resolved	56.0191750	-3.6065009	harbour	No separate marina POI; uses harbour basin / pier frontage.
22	falkirk.txt	Bo'ness & Kinneil Railway	resolved	56.0185537	-3.5989188	attraction	Heritage line hub mapped as Museum of Scottish Railways (SRPS).
23	falkirk.txt	Bo'ness and Kinneil Railway	resolved	56.0183103	-3.5992553	railway	Nominatim named disused railway centreline (Links Road area).
24	falkirk.txt	Bo'ness foreshore	resolved	56.0162386	-3.6283860	park	Nominatim leisure park polygon named Bo'ness Foreshore.
25	falkirk.txt	Bo'ness Golf Club	resolved	55.9992566	-3.6005835	golf_course	No exact-name hit; mapped West Lothian Golf Course (Airngath Hill) — likely local name for this course.
26	falkirk.txt	Bo'ness Town Centre waterfront	resolved	56.0173	-3.6085	waterfront	No POI; point on coastal edge near town centre south of harbour approaches.
27	falkirk.txt	Bo'ness and Kinneil Foreshore	resolved	56.0162386	-3.6283860	park	Same mapped Bo'ness Foreshore park as the shared foreshore open space.
28	falkirk.txt	LNR Bo'ness and Kinneil Foreshore	resolved	56.0155658	-3.6277281	nature_reserve	Falkirk Council LNR aligns with mapped Kinneil Nature Reserve polygon.
29	falkirk.txt	Inner Forth Bo'ness	ambiguous			unknown	Regional estuary label; not a single mappable coastal feature name.
30	falkirk.txt	Corbiehall	resolved	56.0148430	-3.6145444	neighbourhood	Nominatim named highway (locality Corbiehall, Bo'ness).
31	falkirk.txt	Corbiehall pier	resolved	56.01535	-3.6178	pier	No named OSM pier; judged point on Kinneil/Corbiehall foreshore near listed Corbiehall waterfront parking (coastal context).
32	falkirk.txt	Carriden	resolved	56.0148845	-3.5759924	suburb	Nominatim place node (Carriden, Bo'ness).
33	falkirk.txt	Carriden Braes	ambiguous			woodland	Wooded slopes N of Carriden; no single named OSM object for "Carriden Braes".
34	falkirk.txt	Carriden Industrial Estate waterfront	resolved	56.0156	-3.5715	industrial	Nominatim landuse=industrial centroid (Carriden Industrial Estate); point nudged toward Forth shoreline (estate abuts coast).
35	falkirk.txt	Muirhouses	resolved	56.0102691	-3.5796968	neighbourhood	Centroid of mapped Muirhouses streets (Muirhouses Square), Carriden.
36	falkirk.txt	Snab Point	resolved	56.01151	-3.62938	coastal_point	NRHE/trove Snab Brae locale (Castleloan/Kinneil foreshore); OSGB36 coords from Canmore family records.
37	falkirk.txt	The Snab	resolved	56.0112	-3.6290	locality	Geograph/trove: Snab on old OS maps (Kinneil/Castleloan); judged coastal knoll near Snab Brae area (distinct lookup from line 36).
38	falkirk.txt	Bridgeness	resolved	56.0167746	-3.5833468	suburb	Nominatim suburb node (Bridgeness, Bo'ness).
39	falkirk.txt	Bridgeness Foreshore	resolved	56.0150822	-3.5803495	foreshore	Nominatim highway=Foreshore Way (residential spine along Bridgeness foreshore).
40	falkirk.txt	Bridgeness Haven	resolved	56.01821	-3.58195	historic_harbour	HES Canmore Bridgeness Harbour (filled-in 19th c. harbour; pier remains/wasteland).
41	falkirk.txt	Bridgeness Haven historic	resolved	56.01821	-3.58195	historic_harbour	Same documented filled harbour as line 40 (duplicate list label).
42	falkirk.txt	Bridgeness Mile	resolved	56.0162361	-3.5836972	historic	Wikipedia/HES replica site of the Bridgeness Roman distance slab (Kinningars Park).
43	falkirk.txt	Bridgeness Point	resolved	56.01735	-3.58245	headland	Judged Bridgeness coastal promontory N of suburb toward Forth (Bridgeness Tower/harbour headland area).
44	falkirk.txt	Bridgeness salt works shore	resolved	56.01625	-3.58110	shore	Historic saltmaking belt along this coast; approximate shoreline below Bridgeness (no single named OSM object).
45	falkirk.txt	Prince's Pier	not_found			pier	No HES/Canmore or OSM feature named Prince's Pier at Bo'ness; likely informal or obsolete label.
46	falkirk.txt	East Pier Bo'ness	resolved	56.02050	-3.60585	pier	HES Canmore Bo'ness East Pier (NT 00000 82006).
47	falkirk.txt	West Pier Bo'ness	resolved	56.02027	-3.60806	pier	HES Canmore Bo'ness West Pier (NS 99862 81984).
48	falkirk.txt	Duchess Park foreshore	ambiguous			unknown	No leisure park named Duchess Park in OSM; unclear which local greenspace/foreshore is meant.
49	falkirk.txt	Douglas Park foreshore	resolved	56.01295	-3.61015	foreshore	Nominatim leisure=park Douglas Park; point on N park edge toward Firth (park overlooks Forth per council descriptions).
50	falkirk.txt	Craigmailing foreshore	not_found			unknown	HES Craigmailing boundary slab is near Torphichen (wrong region); no coastal Craigmailing pin found for Bo'ness.
51	falkirk.txt	Blackness	resolved	56.0037326	-3.5221681	village	Nominatim place node (Blackness, Falkirk).
52	falkirk.txt	Blackness-on-Sea	resolved	56.0037326	-3.5221681	village	Informal seaside suffix for the same mapped settlement as Blackness (separate line per source list).
53	falkirk.txt	John Muir Way Blackness	resolved	56.00485	-3.51735	trail	Judged point on the John Muir Way / NCN 76 foreshore alignment at Blackness (no single named JMW POI).
