line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	fife.txt	Kincardine	resolved	56.0677780	-3.7155560	town	Kincardine-on-Forth on north shore of Firth of Forth (human-map town centroid)
2	fife.txt	Higgins Neuk	resolved	56.0602900	-3.7434100	foreshore	River Forth foreshore / crossing area west of Kincardine (Canmore NRHE centre; Forth coastal label)
3	fife.txt	Culross	resolved	56.0558000	-3.6280000	village	Historic village on Firth of Forth (coastal conservation village)
4	fife.txt	Torryburn	resolved	56.0564000	-3.6712000	village	Village west of Culross on Forth shore
5	fife.txt	Torry Bay	resolved	56.0420000	-3.6820000	bay	Torry Bay LNR mudflats/shore north of Bo’ness–Torryburn stretch (coastal nature reserve)
6	fife.txt	Newmills	resolved	56.0455000	-3.6520000	hamlet	Newmills near Culross/Valleyfield on Fife Forth coast (not the Perthshire Newmilns)
7	fife.txt	Valleyfield	resolved	56.0475000	-3.6400000	village	Former mining village east of Culross toward Torryburn
8	fife.txt	Blairhall	resolved	56.0672000	-3.6654000	village	Blairhall west of Dunfermline near Forth shore
9	fife.txt	Charlestown	resolved	56.0335000	-3.5020000	village	Charlestown harbour village west of Limekilns on Forth
10	fife.txt	Brucehaven	resolved	56.0280000	-3.5080000	harbour	Small harbour / coastal cluster west of Limekilns
11	fife.txt	Limekilns	resolved	56.0314000	-3.4824000	village	Limekilns on Firth of Forth (historic port)
12	fife.txt	Pattiesmuir	resolved	56.0498000	-3.4812000	hamlet	Pattiesmuir south of Dunfermline toward Forth coast
13	fife.txt	North Queensferry	resolved	56.0089000	-3.3956000	village	North Queensferry at Forth Bridge / Forth Road Bridge
14	fife.txt	Inverkeithing	resolved	56.0319000	-3.3964000	town	Inverkeithing bay and town on Forth
15	fife.txt	Rosyth	resolved	56.0340000	-3.4330000	town	Rosyth on north shore of Forth (dock town)
16	fife.txt	Dalgety Bay	resolved	56.0360000	-3.2230000	town	Dalgety Bay on Firth of Forth (east Fife coast)
17	fife.txt	Donibristle	resolved	56.0365000	-3.2100000	bayarea	Donibristle Bay / historic estate shore east of Dalgety Bay town
18	fife.txt	Hillend	resolved	56.0460000	-3.2140000	hamlet	Hillend on Dalgety Bay eastern edge toward coastal path
19	fife.txt	Aberdour	resolved	56.0546000	-3.3005000	village	Aberdour on north shore of Forth (coastal resort village)
20	fife.txt	Silver Sands	resolved	56.0540200	-3.2863070	beach	Aberdour Silver Sands (FCCT / SOBT beach pin)
21	fife.txt	Hawkcraig Point	resolved	56.0528000	-3.2905000	headland	Hawkcraig Point east of Silver Sands toward Burntisland
22	fife.txt	Burntisland	resolved	56.0582000	-3.2336000	town	Burntisland harbour town on Forth
23	fife.txt	Kinghorn	resolved	56.0703000	-3.1746000	town	Kinghorn on Firth of Forth
24	fife.txt	Pettycur	resolved	56.0695000	-3.1925000	bay	Pettycur Bay beach area west of Kinghorn (human-map coastal pin)
25	fife.txt	Pettycur Bay	resolved	56.0700000	-3.1930000	bay	Same bay as Pettycur; centre slightly seaward of beach car park
