line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	galway.txt	Killary Harbour	resolved	53.616667	-9.8	bay	Wikipedia/Wikidata centroid; fjord between Galway and Mayo.
2	galway.txt	Killary Galway shore	resolved	53.618	-9.785	shore	Representative south (Galway) shore of Killary; long inlet.
3	galway.txt	Rosroe	resolved	53.624	-9.771	hamlet	Hamlet at Killary mouth, Galway side (Wikipedia settlement list).
4	galway.txt	Rosroe pier	resolved	53.6243	-9.772	pier	Pier/quay at Rosroe, Killary entrance.
5	galway.txt	Letterfrack	resolved	53.565787	-9.967389	village	OSM-style coords via GeoHack; Connemara National Park visitor hub.
6	galway.txt	Letterfrack Pier	resolved	53.5608	-9.972	pier	Pier on Ballinakill/Ballynakill harbour at Letterfrack.
7	galway.txt	Tullycross shore	resolved	53.5583	-9.9248	shore	Tully Cross (Renvyle ED); shore of Barnaderg Bay near Letterfrack.
8	galway.txt	Renvyle	resolved	53.59	-9.988	peninsula	Central Renvyle peninsula (Tully / hotel area); not a single village centroid.
9	galway.txt	Renvyle Beach	resolved	53.607278	-9.989139	beach	“White Strand” style sandy beach on Renvyle (promotional coords).
10	galway.txt	Renvyle Point	resolved	53.610259	-10.048039	headland	MountainViews.ie coastal feature (Rinn Mhaoile / Rinvyle Point).
11	galway.txt	Glassilaun	resolved	53.614778	-9.8795	beach	Bay/beach near Killary; Clifden Station House listed GPS for Glassilaun.
12	galway.txt	Glassilaun Beach	resolved	53.6145	-9.8798	beach	Sandy beach in Glassilaun bay; same cove as line 11.
13	galway.txt	Lettergesh	resolved	53.604899	-9.908147	beach	Lettergesh coastal place; Visit Galway lists this beach GPS.
14	galway.txt	Lettergesh Beach	resolved	53.6049	-9.9081	beach	Same beach as line 13; car park at sand edge.
15	galway.txt	Ballinakill Harbour	resolved	53.5628	-9.9695	harbour	Sea inlet at Letterfrack (“Ballinakill harbour” in Wikipedia).
16	galway.txt	Rusheenduff Bay	resolved	53.572	-9.982	bay	Small bay NE of Renvyle peninsula near Letterfrack (local coastal name).
17	galway.txt	Rusheenduff	resolved	53.5715	-9.9825	shore	Townland/shore name adjoining Rusheenduff Bay.
18	galway.txt	Cleggan	resolved	53.549739	-10.117539	village	GeoHack/OS coords; fishing village head of Cleggan Bay.
19	galway.txt	Cleggan Pier	resolved	53.5503	-10.1185	pier	Ferry pier at village (Nimmo pier; OSM vicinity).
20	galway.txt	Cleggan Bay	resolved	53.542	-10.075	bay	Inlet W of Clifden; centroid approximate.
21	galway.txt	Aughrusbeg	resolved	53.5545	-10.1765	shore	Aughrus peninsula “small Aughrus” beaches area W of Cleggan (not the lough).
22	galway.txt	Anchor Beach	resolved	53.5542	-10.1772	beach	Named beach on Aughrusbeg (ship’s anchor); Aughrus angling guide vicinity.
23	galway.txt	Omey Island	resolved	53.535278	-10.1575	island	Wikipedia tidal island; WGS84 from GeoHack.
24	galway.txt	Omey Strand	resolved	53.5287	-10.1654	strand	Tidal strand/crossing from Claddaghduff (Sky Road directions GPS).
25	galway.txt	Mannin Bay	resolved	53.455	-10.0777	bay	Logainm.ie centrepoint Cuan Mhanainn; SW of Clifden.
26	galway.txt	Mannin Beach	resolved	53.443611	-10.091389	beach	Sandy beach at Mannin Bay (Clifden Station House listed coords).
27	galway.txt	Ballynakill Harbour	resolved	53.5628	-9.9695	harbour	Same inlet as Ballinakill; parish/civil parish name Ballynakill.
28	galway.txt	Streamstown	resolved	53.521111	-10.044444	townland	Townlands.ie centroid; Streamstown ED west of Clifden (Sky Road).
29	galway.txt	Streamstown Beach	resolved	53.5205	-10.046	beach	Shore of Streamstown Bay off Sky Road loop.
30	galway.txt	Clifden	resolved	53.48907	-10.0191	town	Clifden town centre (latlong.info / consolidated sources).
31	galway.txt	Clifden Beach	resolved	53.4851	-10.0476	beach	Beaches On The Air / beach guides; sandy beach on Clifden Bay near Beach Road.
32	galway.txt	Clifden Harbour	resolved	53.487	-10.025	harbour	Representative point in Clifden Bay inner harbour (Owenglin estuary); distinct from Nimmo quay head.
33	galway.txt	Clifden Quay	resolved	53.485383	-10.029733	quay	eOceanic haven position (Nimmo drying quay, town centre).
34	galway.txt	Fountainhill Public Beach	resolved	53.514	-10.124	beach	Sky Road / Kingstown Bay area; small public shore near Knockavally–Eyrephort (no single EPA pin).
35	galway.txt	Kingstown	resolved	53.5157	-10.1308	shore	Kingstown Bay logainm/NPWS centroid; scattered settlement on bay (not Clifden town B&B).
36	galway.txt	Kingstown Bay	resolved	53.5156	-10.1269	bay	NPWS SAC listing coordinates (site centroid).
37	galway.txt	Ballyconneely	resolved	53.4333	-10.0667	village	Wikipedia settlement coordinates (Baile Conaola).
38	galway.txt	Ballyconneely Beach	resolved	53.4325	-10.0685	beach	Representative sandy shore near village on Ballyconneely peninsula (several named strands nearby).
39	galway.txt	Coral Strand	resolved	53.442357	-10.063867	beach	Visit Galway “Coral Beach” GPS (maërl strand, Mannin Bay).
40	galway.txt	Coral Strand Derrygimla	resolved	53.4424	-10.0639	beach	Same Coral Strand feature; Derrygimla townland name (Wikipedia / local usage).
41	galway.txt	Dunloughan Beach	resolved	53.440463	-10.14435	beach	Visit Galway Doonloughan Beach location.
42	galway.txt	Dunlaughin Beach	resolved	53.440463	-10.14435	beach	Same as Dún Locháin/Doonloughan; alternate anglicised spelling in source list.
43	galway.txt	Eyrephort Beach	resolved	53.528	-10.138	beach	Approximate head of strand off Sky Road W of Clifden (UK beach guides / Wild Atlantic Way descriptions).
44	galway.txt	Cashel Bay	resolved	53.408	-9.908	bay	Centroid NE of Roundstone toward Cashel (sailing pilot Cashel Bay anchorages).
45	galway.txt	Cashel Hill shore	resolved	53.406	-9.922	shore	Coastal margin below Cashel Hill toward Cashel Bay (hill walk / OS coastal strip).
46	galway.txt	Bunowen	resolved	53.405833	-10.115917	shore	Pierhead settlement area; eOceanic Bunowen pier WGS84.
47	galway.txt	Bunowen Bay	resolved	53.405833	-10.115917	bay	eOceanic Bunowen pierhead (representative head of bay).
48	galway.txt	Gurteen Bay	resolved	53.37739	-9.960415	bay	Visit Galway Gurteen Bay Beach location (tombolo system with Dog’s Bay).
49	galway.txt	Gurteen Beach	resolved	53.37739	-9.960415	beach	Visit Galway listing; main sandy shore of Gurteen Bay.
