line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	gloucestershire.txt	Tutshill	resolved	51.64829	-2.66565	village	River Wye east bank; Tidenham parish.
2	gloucestershire.txt	Sedbury	resolved	51.63486	-2.65534	village	River Wye east bank; Tidenham parish.
3	gloucestershire.txt	Tidenham	resolved	51.6605	-2.6435	village	Main village of Tidenham parish.
4	gloucestershire.txt	Beachley	resolved	51.61603	-2.64844	village	Wye/Severn confluence peninsula; Tidenham parish.
5	gloucestershire.txt	Woodcroft	resolved	51.66029	-2.66269	village	River Wye east bank; Tidenham parish.
6	gloucestershire.txt	Boughspring	resolved	51.67181	-2.64345	hamlet	Tidenham parish; south of Tidenham Chase.
7	gloucestershire.txt	Stroat	resolved	51.67529	-2.6205	hamlet	Tidenham parish; off A48 toward Chepstow.
8	gloucestershire.txt	Wibdon	resolved	51.67136	-2.62606	hamlet	Tidenham parish; near Stroat.
9	gloucestershire.txt	Wyegate Green	resolved	51.75541	-2.64609	hamlet	GL15; St Briavels area; Forest Road corridor.
10	gloucestershire.txt	Bayfield	resolved	51.639	-2.69547	suburb	Bayfield (Chepstow, NP16, Wales); Wye-side growth west of A466—common label on maps here.
11	gloucestershire.txt	Lancaut	resolved	51.66634	-2.67222	hamlet	Deserted village promontory; River Wye; Tidenham parish.
12	gloucestershire.txt	Wintour's Leap	resolved	51.665	-2.669	cliff	Climbing crag/viewpoint above Wye near Woodcroft.
13	gloucestershire.txt	Devil's Pulpit	resolved	51.6984	-2.6359	viewpoint	Limestone viewpoint on Offa's Dyke path; Tidenham Chase.
14	gloucestershire.txt	Tidenham Chase	resolved	51.6983	-2.6365	heath	Forestry England / GWT heath; visitor access from B4228 car park area.
15	gloucestershire.txt	Otter Hole	resolved	51.66083	-2.68611	cave	Famous decorated cave; gated entrance on Wye bank (St Arvans side); tidal.
16	gloucestershire.txt	Woolaston	resolved	51.69997	-2.58887	village	Parish village north of Severn estuary shore.
17	gloucestershire.txt	Netherend	resolved	51.6998	-2.58762	hamlet	Woolaston parish; cluster near A48.
18	gloucestershire.txt	Brookend	resolved	51.69367	-2.58951	hamlet	Woolaston parish; A48 Woolaston Inn area.
19	gloucestershire.txt	Bollow	resolved	51.81809	-2.36992	hamlet	Hamlet named Bollow in Westbury-on-Severn parish (GL14)—Severn-side; not the Wiltshire Purton Stoke.
20	gloucestershire.txt	Aylburton	resolved	51.71272	-2.55574	village	A48 village south-west of Lydney.
21	gloucestershire.txt	Alvington	resolved	51.70515	-2.57562	village	A48 parish village toward Severn.
22	gloucestershire.txt	Purton	resolved	51.73913	-2.47844	hamlet	Purton on west bank (Lydney parish)—Severn; opposite Berkeley-side Purton.
23	gloucestershire.txt	Purton Stoke	not_found				No distinct coastal feature of this name on Gloucestershire's Severn shore; well-known Purton Stoke is Wiltshire (SN5).
24	gloucestershire.txt	Lydney	resolved	51.7286	-2.5285	town	Town centre by River Lyd/Severn.
25	gloucestershire.txt	Newerne	resolved	51.72718	-2.5294	urban	Lydney town quarter along Newerne Street.
26	gloucestershire.txt	Allaston	resolved	51.73348	-2.53717	suburb	Historic village now part of Lydney.
27	gloucestershire.txt	Norchard	resolved	51.73625	-2.53939	railway	Dean Forest Railway main station area north of Lydney.
28	gloucestershire.txt	Lydney Harbour	resolved	51.707	-2.538	harbour	Environment Agency harbour basins toward Severn (GL15 4ER area).
29	gloucestershire.txt	Lydney Docks	resolved	51.7078	-2.534	dock	Upper/lower dock basins at canal mouth.
30	gloucestershire.txt	Lydney Canal	resolved	51.7095	-2.528	canal	Tidal cut inland from Severn toward Lydney docks.
31	gloucestershire.txt	Lydney Pill	resolved	51.7125	-2.5295	inlet	Tidal pill/creek mouth into the Severn south of Lydney town; aligns with historic moorings area.
32	gloucestershire.txt	Lydney Level	resolved	51.704	-2.536	marsh	Reclaimed salt-marsh/levels belt along the Severn shore south of Lydney (broad feature; centroid on the riverside strip).
33	gloucestershire.txt	Lydney town	resolved	51.7286	-2.5285	town	Duplicate informal label for Lydney settlement centre (same feature as Lydney earlier in this list).
34	gloucestershire.txt	Sharpness	resolved	51.723	-2.478	port_village	Sharpness port settlement on the Severn at the canal entrance (Wikipedia centroid).
