line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	greater-london.txt	Rainham	resolved	51.5167284	0.1996559	town	Nominatim (Rainham, Havering).
2	greater-london.txt	Rainham Marshes	resolved	51.498192	0.204226	nature_reserve	Centroid from GeoHack/Wikipedia (Rainham Marshes Nature Reserve); no direct Nominatim hit.
3	greater-london.txt	Coldharbour Point	resolved	51.4879873	0.1878413	headland	Nominatim (Coldharbour Point Lighthouse, Thames path).
4	greater-london.txt	Wennington	resolved	51.5065473	0.2171623	village	Nominatim (settlement on east London/Essex margin).
5	greater-london.txt	Erith	resolved	51.4808190	0.1792322	town	Nominatim.
6	greater-london.txt	Erith Reach	resolved	51.4940879	0.1769276	water	Nominatim (named reach of Thames near Erith).
7	greater-london.txt	Belvedere	resolved	51.4921789	0.1519450	suburb	Nominatim (Lower Belvedere / station area).
8	greater-london.txt	Crossness	resolved	51.5090919	0.1384466	attraction	Nominatim (Crossness Pumping Station); avoids unrelated Crossness Road hit.
9	greater-london.txt	Crossness Nature Reserve	resolved	51.5019152	0.1513533	nature_reserve	Nominatim.
10	greater-london.txt	Slade Green	resolved	51.4719195	0.1925451	suburb	Nominatim.
11	greater-london.txt	Thamesmead	resolved	51.4989335	0.1148486	estate	Nominatim (Greenwich side).
12	greater-london.txt	Creekmouth	resolved	51.5163939	0.0975341	park	Nominatim (Creekmouth Open Space); POI noise avoided.
13	greater-london.txt	Barking Riverside	resolved	51.5205472	0.1081363	development	Nominatim.
14	greater-london.txt	Thames View	resolved	51.5286041	0.1043626	district	Nominatim (Barking and Dagenham).
15	greater-london.txt	River Road	resolved	51.5186623	0.1137308	road	Nominatim (River Road, Barking Riverside); road centreline.
16	greater-london.txt	Beckton	resolved	51.5160797	0.0594257	suburb	Nominatim.
17	greater-london.txt	Royal Albert Dock	resolved	51.5061399	0.0580330	dock	Nominatim (dock water polygon area).
18	greater-london.txt	Royal Victoria Dock	resolved	51.5066201	0.0284200	dock	Nominatim.
19	greater-london.txt	King George V Dock	resolved	51.5034190	0.0644833	dock	Nominatim (waterway=dock); first hit was an unrelated vessel POI.
20	greater-london.txt	ExCeL London	resolved	51.5081127	0.0297071	conference_centre	Nominatim (ExCeL, Western Gateway).
21	greater-london.txt	London City Airport	resolved	51.5042655	0.0549024	airport	Nominatim.
22	greater-london.txt	Silvertown	resolved	51.5013626	0.0385185	suburb	Nominatim.
23	greater-london.txt	North Woolwich	resolved	51.5004071	0.0641540	suburb	Nominatim.
24	greater-london.txt	Custom House	resolved	51.5112619	0.0254356	area	Nominatim (Custom House, Newham).
25	greater-london.txt	Canning Town	resolved	51.5181741	0.0134976	town_centre	Nominatim.
