line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	hampshire.txt	Barton on Sea	resolved	50.7428	-1.6552	village	Cliff-top coastal settlement; GeoHack/Wikipedia centroid.
2	hampshire.txt	Barton Cliff	resolved	50.748	-1.659	cliff	Chalk cliff coast N of Barton-on-Sea along shore.
3	hampshire.txt	Hordle	resolved	50.7603	-1.6212	village	Parish/village centroid; GeoHack/Wikidata.
4	hampshire.txt	Hordle Cliff	resolved	50.736	-1.625	cliff	Coastal cliff / former church site S of main village.
5	hampshire.txt	Hordle Beach	resolved	50.728	-1.654	beach	Shingle foreshore W of Milford/Barton stretch.
6	hampshire.txt	Milford on Sea	resolved	50.726	-1.589	village	Large coastal village; Wikipedia coords.
7	hampshire.txt	Milford Beach	resolved	50.7238	-1.5865	beach	Promenade and shingle beach by village green.
8	hampshire.txt	Keyhaven	resolved	50.72286	-1.569425	hamlet	Harbour hamlet at W end of Hurst Spit; Wikipedia.
9	hampshire.txt	Keyhaven Beach	resolved	50.7215	-1.566	beach	Shingle/mudflat shore N of spit near harbour.
10	hampshire.txt	Pennington Marsh	resolved	50.73292	-1.54302	marsh	Pennington Marshes seawall / Lower Pennington area.
11	hampshire.txt	Hurst Spit	resolved	50.712	-1.556	shingle_spit	Representative mid-spit between Keyhaven and castle.
12	hampshire.txt	Hurst Point	resolved	50.7053	-1.5512	headland	S tip of spit / lighthouse vicinity.
13	hampshire.txt	Hurst Castle	resolved	50.706389	-1.551111	castle	Henrician fort on spit; Wikipedia coord.
14	hampshire.txt	Oxey Marsh	resolved	50.739	-1.535	marsh	Saline marsh W of Lymington mouth; Oxey reserve.
15	hampshire.txt	Oxey Lake	resolved	50.7384	-1.5321	lagoon	Brackish lagoon by Solent Way seawall (SZ331933 area).
16	hampshire.txt	Saltgrass	resolved	50.7435	-1.5465	hamlet	Saltgrass Lane locality between Pennington and Oxey.
17	hampshire.txt	New Milton	resolved	50.755	-1.648	town	New Forest coastal town; settlement centroid.
18	hampshire.txt	Pilley	resolved	50.7415	-1.5975	hamlet	Boldre parish hamlet N of Lymington.
19	hampshire.txt	Woodside Bay	resolved	50.7285	-1.5785	bay	Small Solent inlet W of Lymington shore.
20	hampshire.txt	Lymington	resolved	50.753722	-1.547737	town	Port town on Lymington River; GeoHack centroid.
21	hampshire.txt	Lymington River	resolved	50.7525	-1.536	river	Tidal lower reach toward town quays.
22	hampshire.txt	Lymington Harbour	resolved	50.7553	-1.5285	harbour	River harbour / marina basins.
23	hampshire.txt	Lymington Town Quay	resolved	50.75835	-1.528	quay	Wightlink ferry and Town Quay frontage.
24	hampshire.txt	Pennington	resolved	50.746	-1.547	village	Lower Pennington by Lymington–Keyhaven marshes.
25	hampshire.txt	Boldre	resolved	50.7552	-1.7583	village	Inland New Forest village S of Brockenhurst.
26	hampshire.txt	Ampress	resolved	50.7535	-1.577	industrial	Ampress Park area N of Lymington.
27	hampshire.txt	Walhampton	resolved	50.7348	-1.5548	hamlet	Solent-side hamlet W of Lymington.
28	hampshire.txt	South Baddesley	resolved	50.7395	-1.7115	hamlet	Hamlet NW of Lymington near Sway.
29	hampshire.txt	Sowley	resolved	50.7669	-1.4696	hamlet	Sowley Pond SSSI / dam area E of Lymington.
30	hampshire.txt	Needs Ore Point	resolved	50.77717	-1.3934	headland	Shingle point Beaulieu Estate NR; Geograph/Wiki area.
31	hampshire.txt	Tanners Lane Beach	resolved	50.7554	-1.486844	beach	Solent shingle/marsh access at lane end (Boldre/East End); public beach coords.
32	hampshire.txt	Beaulieu	resolved	50.8225	-1.451	village	New Forest village; settlement centroid (Wikipedia/GeoHack class).
33	hampshire.txt	Bucklers Hard	resolved	50.8209	-1.422	hamlet	Historic shipbuilding hamlet on Beaulieu River.
34	hampshire.txt	Beaulieu River	resolved	50.808	-1.395	river	Representative lower tidal reach toward Solent (estuary context).
35	hampshire.txt	Exbury	resolved	50.8059	-1.4006	village	Exbury & Lepe parish village centre.
36	hampshire.txt	Lepe	resolved	50.785	-1.361	hamlet	Linear Solent hamlet; Wikipedia centroid.
37	hampshire.txt	Lepe Beach	resolved	50.7835	-1.358	beach	Main foreshore in Lepe Country Park.
38	hampshire.txt	Lepe Country Park	resolved	50.7835	-1.358	park	HCC country park / visitor focus (coastal strip).
39	hampshire.txt	Stone Point	resolved	50.786	-1.357	headland	Lepe shingle headland; NCI/GeoHack class coords.
40	hampshire.txt	Stanswood Bay	resolved	50.8021	-1.3273	bay	Solent bay W of Calshot Spit; Streetmap place centroid.
41	hampshire.txt	Calshot	resolved	50.817	-1.308	hamlet	Spit foot / Calshot Activities Centre area.
42	hampshire.txt	Calshot Spit	resolved	50.819	-1.301	shingle_spit	Seaward shingle ridge toward castle/Solent.
43	hampshire.txt	Calshot Beach	resolved	50.8175	-1.3055	beach	Spit beach by activities centre and launch slip.
44	hampshire.txt	Calshot Castle	resolved	50.819872	-1.307513	castle	Henrician fort on spit; English Heritage / Wikipedia coords.
45	hampshire.txt	Ashlett Creek	resolved	50.825	-1.346	creek	Tidal creek N of Calshot; tide mill/Solent Way mouth locale.
46	hampshire.txt	Fawley	resolved	50.8253	-1.3306	village	Fawley settlement centroid (parish/refinery coast context).
47	hampshire.txt	Blackfield	resolved	50.822	-1.355	suburb	Fawley parish suburb toward Southampton Water shore.
48	hampshire.txt	Holbury	resolved	50.8235	-1.369	village	Fawley parish village centre S of estuary.
49	hampshire.txt	Hardley	resolved	50.83934	-1.38825	suburb	Holbury parish; OS Open Names centroid (marsh/Solent fringe).
50	hampshire.txt	Hythe	resolved	50.869	-1.399	village	Hythe-on-Solent centre; coastal esplanade context.
51	hampshire.txt	Marchwood	resolved	50.8908	-1.4544	village	Village at head of Southampton Water.
52	hampshire.txt	Marchwood Military Port	resolved	50.8975	-1.452	military_port	MOD port/jetty complex W of Marchwood village.
