line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	highland.txt	Onich	resolved	56.7030000	-5.2250000	village	East shore of Loch Linnhe / Nether Lochaber (Wikipedia coord; Highland coast)
2	highland.txt	North Ballachulish	resolved	56.6935500	-5.1811300	village	North side of Loch Leven narrows by Ballachulish Bridge (Canmore NRHE centre)
3	highland.txt	South Ballachulish	resolved	56.6875000	-5.1844000	village	South shore at Loch Leven narrows (Wikidata centroid; distinct from Ballachulish village)
4	highland.txt	Glencoe	resolved	56.6828200	-5.1059800	village	Main settlement at foot of Glen Coe on Loch Leven (Wikipedia Glencoe, Highland)
5	highland.txt	Ballachulish	resolved	56.6755120	-5.1338980	village	Former slate-quarry village at East/West Laroch by River Laroch (Wikipedia)
6	highland.txt	Corpach	resolved	56.8429000	-5.1058000	village	Caledonian Canal sea lock / Loch Eil entrance near Fort William (human-map centroid)
7	highland.txt	Caol	resolved	56.8182000	-5.1070000	suburb	Western outskirts of Fort William on Caol shore (settlement along A830)
8	highland.txt	Fort William	resolved	56.8198000	-5.1052000	town	Loch Linnhe shore town centre (standard gazetteer centroid)
9	highland.txt	Ft William	resolved	56.8198000	-5.1052000	town	Common abbreviation for Fort William; same coastal settlement
10	highland.txt	Banavie	resolved	56.8436000	-5.0958000	village	Caledonian Canal locks / Loch Linnhe shore west of Corpach
11	highland.txt	Locheilside	resolved	56.8554140	-5.2900380	hamlet	Locheilside request stop / Loch Eil north shore (National Rail geography)
12	highland.txt	Fassfern	resolved	56.8578100	-5.2476500	hamlet	North shore of Loch Eil by Fassfern House (Historic Environment Scotland NGR)
13	highland.txt	Glenfinnan	resolved	56.8712000	-5.4389000	village	Loch Shiel head / Glenfinnan monument area (Wikipedia-class centroid)
14	highland.txt	Lochailort	resolved	56.8800000	-5.6630000	village	Loch Ailort head of sea loch on A830 (human-map village)
15	highland.txt	Roshven	resolved	56.8380000	-5.7580000	hamlet	East shore of Loch Ailort (Wikipedia coord)
16	highland.txt	Glenuig	resolved	56.8480000	-5.8430000	hamlet	Small coastal settlement west of Glenuig Bay (OS settlement centroid)
17	highland.txt	Borrodale	resolved	56.8990100	-5.7875200	estate	Coastal Borrodale / Borrodale House area south of Loch nan Uamh (Canmore NRHE)
18	highland.txt	Arisaig	resolved	56.9100000	-5.8430000	village	Road-to-the-Isles coast village (Wikipedia coord)
19	highland.txt	Traigh	resolved	56.9280000	-5.8150000	beach	Traigh beaches / B8008 coast between Arisaig and Morar (Traigh Golf Course belt)
20	highland.txt	Back of Keppoch	resolved	56.9241850	-5.8552370	hamlet	Coastal strip northwest of Arisaig (listed-buildings GeoHack centroid)
21	highland.txt	Portnaluchaig	resolved	56.9353300	-5.8508200	hamlet	Coastal hamlet north of Arisaig (Wikipedia / GeoHack)
22	highland.txt	Morar	resolved	56.9700000	-5.8250000	village	Morar by River Morar / Morar Bay head (Wikipedia-class centroid)
23	highland.txt	Morar Bay	resolved	56.9685000	-5.8285000	bay	Shallow estuary at River Morar outflow west of Morar village (open bay toward sea)
24	highland.txt	Camusdarrach	resolved	56.9554700	-5.8467900	beach	Camusdarach / Local Hero beach by B8008 (Canmore Camusdarrach farmstead NGR)
25	highland.txt	Silver Sands Morar	resolved	56.9465000	-5.8245000	beach	Main Morar estuary sands south of river (Walkhighlands Silver Sands area NM678929 belt)
26	highland.txt	Bracorina	resolved	56.9700500	-5.7436400	hamlet	North shore of Loch Morar at road end (listed former chapel NGR)
27	highland.txt	Mallaig	resolved	57.0038130	-5.8271730	harbour_town	Fishing/port town terminus of West Highland Line (Wikipedia coord)
28	highland.txt	Mallaig Harbour	resolved	57.0072000	-5.8305000	harbour	Working ferry/quay front on north shore of Mallaig Bay (distinct pier cluster)
29	highland.txt	Arivegaig	resolved	56.9208000	-5.8390000	hamlet	Road end by Kentra Bay / Singing Sands access (Walkhighlands start NM650677)
30	highland.txt	Ormsaigbeg	resolved	56.6928600	-6.1288000	locality	Crofting township on west shore of Kilchoan Bay, Ardnamurchan (Canmore township centre)
31	highland.txt	Ormsaigmore	resolved	56.6962000	-6.1065000	locality	Crofting township on east side of Kilchoan Bay (distinct from Ormsaigbeg; Kilchoan Diary / coast reading)
32	highland.txt	Kilchoan	resolved	56.6980000	-6.1033000	village	Main Ardnamurchan village at Kilchoan Bay (Wikipedia Kilchoan)
33	highland.txt	Portuairk	resolved	56.7188461	-6.2602176	hamlet	Northwest of Sanna; OS grid NM439682 → WGS84
34	highland.txt	Sanna	resolved	56.7380000	-6.1753080	beach	Sanna Bay / settlement belt (Wild About Ardnamurchan page coords for bay area)
35	highland.txt	Grigadale	resolved	56.7233000	-6.2017000	hamlet	Wikipedia Grigadale (NM431670 atlas)
36	highland.txt	Ockle	resolved	56.7367206	-5.9985419	hamlet	Walkhighlands Singing Sands walk start (NM555704)
37	highland.txt	Achateny	resolved	56.7555310	-6.0560729	hamlet	Achateny House / township belt north shore Kentra area (literature centroid)
38	highland.txt	Fascadale	resolved	56.7340720	-6.0809640	hamlet	Fascadale coastal settlement / bay head (listed ice house belt NM500707)
39	highland.txt	Bourblaige	resolved	56.6906570	-6.0101390	ruins	Depopulated coastal clachan; OS NM546623 → WGS84
40	highland.txt	Ardnamurchan Point	resolved	56.7271264	-6.2260156	headland	Most westerly mainland point; Ardnamurchan Lighthouse (NLB / Wikidata NM415674)
41	highland.txt	The Singing Sands	resolved	56.7485000	-5.9875000	beach	Camas an Lighe / Gortenfern singing sands east of Kentra Bay (Walkhighlands route belt)
42	highland.txt	Kentra Bay	resolved	56.7085000	-6.0120000	bay	Tidal bay south of Acharacle–Ockle belt (human-map bay centre)
43	highland.txt	Ardnamurchan	resolved	56.7330000	-5.9830000	peninsula	Wikipedia Ardnamurchan reference coordinates (whole peninsula label)
44	highland.txt	Eigg	resolved	56.8736000	-6.1267000	island	Isle of Eigg centroid (Wikipedia Eigg)
45	highland.txt	Isle of Eigg	resolved	56.8736000	-6.1267000	island	Same island-level reading as preceding line; tide app use
46	highland.txt	Galmisdale	resolved	56.8820800	-6.1466700	harbour	Eigg ferry landing / main port (trove.scot Galmisdale NGR)
47	highland.txt	Rum	resolved	56.9940000	-6.3440000	island	Isle of Rùm centroid (Wikipedia Rùm)
48	highland.txt	Isle of Rum	resolved	56.9940000	-6.3440000	island	Same island centroid as Rum line
49	highland.txt	Kinloch Rum	resolved	57.0155560	-6.2808340	hamlet	Main settlement Kinloch (Wikimedia Commons map 57°00′56″N 6°16′51″W)
50	highland.txt	Canna	resolved	57.0471000	-6.4659000	island	Wikipedia Canna, Scotland island coords
51	highland.txt	Isle of Canna	resolved	57.0471000	-6.4659000	island	Same island centroid as Canna line
52	highland.txt	Sanday Isle Canna	resolved	57.0500000	-6.4833000	island	Tidal islet south of Canna; Wikipedia Sanday 57°03′N 6°29′W
53	highland.txt	Muck	resolved	56.8170000	-6.2500000	island	Wikipedia Muck ~56°49′N 6°15′W centroid
54	highland.txt	Isle of Muck	resolved	56.8170000	-6.2500000	island	Same island centroid as Muck line
55	highland.txt	Port Mor Muck	resolved	56.8353300	-6.2276700	harbour	Main pier / settlement Port Mòr (trove.scot NM4223079511)
56	highland.txt	Armadale	resolved	57.0649670	-5.8933670	ferry_terminal	CalMac Armadale pier (CMAL 57°3.898′N 5°53.602′W)
57	highland.txt	Armadale Bay	resolved	57.0625000	-5.8960000	bay	Bay south/west of Armadale ferry front (Sleat coast)
58	highland.txt	Point of Sleat	resolved	57.0203390	-6.0181720	headland	Southern tip of Skye; automatic lighthouse (findthatpostcode IPN0056553)
59	highland.txt	Aird of Sleat	resolved	57.0346560	-5.9756190	locality	Road-end settlement / car park for Point of Sleat walk (NG589008)
60	highland.txt	Isleornsay	resolved	57.1461100	-5.7987100	harbour	Sleat east coast harbour / Eilean Iarmain (trove Isleornsay pier NG70301 12503)
61	highland.txt	Sleat	resolved	57.1300000	-5.8750000	peninsula	Approximate mid-peninsula belt on Sound of Sleat (Sleat parish / garden of Skye coast)
62	highland.txt	Tokavaig	resolved	57.1344440	-5.9658330	village	Sleat west-coast settlement; DMS 57°08′04″N 5°57′57″W (distinct from Tarskavaig)
63	highland.txt	Tarskavaig	resolved	57.1126000	-5.9875100	village	Wikipedia / OS grid NG586094; crofting village on Tarskavaig Bay
64	highland.txt	Isle of Skye	resolved	57.3069000	-6.2300000	island	Wikipedia infobox centroid for the island (tide-app island-scale pin)
65	highland.txt	Kyleakin	resolved	57.2769440	-5.7369440	village	Skye bridgehead village; Wikipedia coords (57°16′37″N 5°44′13″W)
66	highland.txt	Kyle of Lochalsh	resolved	57.2833000	-5.7166700	village	Mainland Kyle harbour settlement; Wikipedia infobox (57°17′N 5°43′W)
67	highland.txt	Kyleakin Ferry	resolved	57.2735000	-5.7310000	ferry_slip	Pre-1995 vehicle ferry slip cluster at Kyleakin (historic; distinct from Skye Bridge)
68	highland.txt	Kylerhea	resolved	57.2170000	-5.6670000	village	Skye side of Kyle Rhea; summer ferry to Glenelg (Wikipedia-class 57°13′N 5°40′W)
69	highland.txt	Glenelg	resolved	57.2119440	-5.6238890	village	Kirkton of Glenelg; Wikipedia coords (57°12′43″N 5°37′26″W)
70	highland.txt	Balmacara	resolved	57.2929000	-5.6429000	village	Scattered village N shore Loch Alsh / NTS estate belt; Wikipedia coords
71	highland.txt	Erbusaig	resolved	57.3019000	-5.7168000	hamlet	Gazetteer for Scotland / OS NG762296 belt; shore N of Kyle
72	highland.txt	Duirinish	resolved	57.3145700	-5.6743500	hamlet	Inner Sound hamlet W of Plockton; Wikipedia Duirinish Lochalsh coords
73	highland.txt	Plockton	resolved	57.3380100	-5.6523100	village	Wikipedia Plockton coords
74	highland.txt	Drumbuie	resolved	57.3154900	-5.6913500	hamlet	Wikipedia Drumbuie (SW of Duirinish)
75	highland.txt	Dunan	resolved	57.2759600	-6.0063600	hamlet	trove.scot Skye Dunan BNG 158600,827700 → WGS84 (NG 586 277 @100 m)
76	highland.txt	Lower Drumbuie	resolved	57.3138000	-5.6925000	hamlet	Coastal strip S of Drumbuie toward Balmacara Bay (approximate; IV40 belt)
77	highland.txt	Ardintigh	resolved	56.9755780	-5.6597850	locality	OpenStreetMap locality PH41; Ardintigh on Loch Nevis (mainland), not Skye
78	highland.txt	Breakish	resolved	57.2410270	-5.8470040	village	trove Breakish NG67982326 → WGS84; Ashaig/Breakish A87 belt
79	highland.txt	Broadford	resolved	57.2410000	-5.9070000	village	Wikipedia Broadford coords (57°14′28″N 5°54′25″W)
80	highland.txt	Lower Breakish	resolved	57.2388000	-5.8455000	locality	Southern Breakish / A87 shore belt S of main Breakish cluster (approximate)
81	highland.txt	Heaste	resolved	57.1875550	-5.8948830	hamlet	OSM node “Heasta” (Gaelic form); S shore Broadford Bay area
82	highland.txt	Elgol	resolved	57.1520000	-6.0980000	village	Loch Scavaig shore; Wikipedia coords (57°09′07″N 6°05′53″W)
83	highland.txt	Camasunary	resolved	57.1795460	-6.0635110	bay	Sandy bay S of Cuillin; route GPX belt NG545171 (Outdooractive / walk sources)
84	highland.txt	Torrin	resolved	57.2110000	-6.0160000	village	Loch Slapin east shore; Wikipedia coords
85	highland.txt	Isle of Pabay	resolved	57.2800000	-5.8600000	island	Wikipedia Pabay 57°16′30″N 5°51′36″W / trove NG67712657 belt
86	highland.txt	Raasay	resolved	57.4000000	-6.0330000	island	Wikipedia Raasay island coords (57°24′N 6°02′W)
87	highland.txt	Inverarish	resolved	57.3525800	-6.0621300	village	trove.scot Inverarish NRHE centroid NG55753642
