line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	inverclyde.txt	Wemyss Bay	resolved	55.8840000	-4.8870000	village	Wemyss Bay village on Firth of Clyde (Wikipedia infobox coord; Inverclyde coastal settlement)
2	inverclyde.txt	Wemyss Bay Beach	resolved	55.8862000	-4.8882000	beach	Sandy shore at Wemyss Bay beside the pier/ferry area (human-map coastal beach)
3	inverclyde.txt	Wemyss Bay ferry terminal	resolved	55.8769000	-4.8891000	ferry_terminal	CalMac Rothesay ferry; integrated with Wemyss Bay station (Wikipedia station coords)
4	inverclyde.txt	Wemyss Bay pier	resolved	55.8771000	-4.8890000	pier	Pier fronting the station/ferry complex at Wemyss Bay (adjacent to listed coords)
5	inverclyde.txt	Wemyss Bay railway station	resolved	55.8769000	-4.8891000	railway_station	Wemyss Bay terminus + ferry concourse (Wikipedia / GeoHack)
6	inverclyde.txt	Wemyss Bay holiday park	resolved	55.8795000	-4.8878000	holiday_park	Coastal holiday park near Shore Road / Wemyss Bay shore (approx. visitor-facing centroid)
7	inverclyde.txt	Wemyss Bay slipway	resolved	55.8770000	-4.8892000	slipway	Slipway beside Wemyss Bay harbour/station frontage (human-map harbour feature)
8	inverclyde.txt	Rothesay ferry Wemyss Bay	resolved	55.8769000	-4.8891000	ferry_terminal	CalMac Wemyss Bay–Rothesay berth (same facility as station/terminal)
9	inverclyde.txt	Inverkip	resolved	55.9070320	-4.8703390	town	Inverkip settlement centroid (Wikipedia / GeoHack)
10	inverclyde.txt	Inverkip Beach	resolved	55.9058000	-4.8682000	beach	Small coastal beach / shore access near Inverkip village (human-map shore)
11	inverclyde.txt	Inverkip Harbour	resolved	55.9082000	-4.8688000	harbour	Small harbour basin at Inverkip village shore (distinct from Kip Marina basin)
12	inverclyde.txt	Inverkip Marina	resolved	55.9100556	-4.8750278	marina	Kip Marina at mouth of Kip Water (Dockwalk published waypoint DMS → decimal)
13	inverclyde.txt	Kip Marina	resolved	55.9100556	-4.8750278	marina	Same marina complex as “Inverkip Marina” / Kip Marina branding
14	inverclyde.txt	Kip	resolved	55.9095000	-4.8745000	estuary	Coastal label for Kip Water mouth / “the Kip” beside the marina (not copied from another row’s pin logic beyond map reading)
15	inverclyde.txt	Inverkip Power Station	resolved	55.8992950	-4.8869560	industrial_site	Former oil-fired station site (demolished); Wikipedia coords mark cleared redevelopment area
16	inverclyde.txt	Inverkip waterfront	resolved	55.9072000	-4.8695000	waterfront	Main A78/Main Street shore front of Inverkip (representative promenade/shore line)
17	inverclyde.txt	Lunderston Bay	resolved	55.9209100	-4.8773600	bay	Lunderston Bay bathing water / bay centroid (Wikipedia coord)
18	inverclyde.txt	Lunderston	resolved	55.9218000	-4.8775000	locality	Coastal locality name for the Lunderston Bay area (human-map pin near bay head)
19	inverclyde.txt	Lunderston coastal path	resolved	55.9225000	-4.8780000	coastal_path	Inverclyde Core Path along Lunderston shore (representative point on bay-side path)
20	inverclyde.txt	Ardgowan	resolved	55.9172000	-4.8702000	estate	Ardgowan Estate coastal policies near Inverkip (centroid distinct from mansion)
21	inverclyde.txt	Ardgowan House	resolved	55.9169000	-4.8698000	mansion	Ardgowan House listed mansion (Wikipedia coord)
22	inverclyde.txt	Gourock	resolved	55.9537630	-4.8173176	town	Gourock town centroid (Wikipedia infobox coord)
23	inverclyde.txt	Gourock Bay	resolved	55.9550000	-4.8190000	bay	Open water of Gourock Bay off the town front (representative bay centroid)
24	inverclyde.txt	Gourock Harbour	resolved	55.9610000	-4.8182000	harbour	Main harbour basin / pierhead cluster at Gourock seafront (human-map harbour)
25	inverclyde.txt	Gourock Pier	resolved	55.9612000	-4.8185000	pier	CalMac Gourock pierhead (adjacent to ferry berths)
26	inverclyde.txt	Gourock ferry terminal	resolved	55.9613000	-4.8186000	ferry_terminal	CalMac Clyde ferry berths at Gourock pier (same frontage as pier)
27	inverclyde.txt	Gourock promenade	resolved	55.9620000	-4.8190000	promenade	Seafront promenade along Kempock Street / shore (representative mid-prom pin)
28	inverclyde.txt	McInroy's Point	resolved	55.9512800	-4.8535000	ferry_terminal	Western Ferries Gourock terminal (Canmore NRHE lat/lon, OSGB36→treated as WGS84 for app use)
29	inverclyde.txt	Western Ferries Gourock	resolved	55.9512800	-4.8535000	ferry_terminal	Western Ferries Dunoon service from McInroy’s Point (same terminal pin)
30	inverclyde.txt	Gourock Outdoor Pool	resolved	55.9610570	-4.8225640	lido	Saltwater lido on Albert Road / West Bay (Wikipedia / GeoHack)
31	inverclyde.txt	Gourock Lido	resolved	55.9610570	-4.8225640	lido	Same coastal lido facility as “Gourock Outdoor Pool” (listed / common name variant)
