line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	isle-of-wight.txt	The Needles	resolved	50.66270	-1.58933	sea_stack	Chalk stacks at the western extremity; coord from Wikipedia infobox / survey media.
2	isle-of-wight.txt	Needles Lighthouse	resolved	50.66228	-1.59181	lighthouse	Trinity House / Wikipedia WGS84 at outer stack.
3	isle-of-wight.txt	Needles Old Battery	resolved	50.66213	-1.58399	fort	National Trust Old Battery on High Down above the Needles (listed site coords).
4	isle-of-wight.txt	Scratchell's Bay	resolved	50.66380	-1.58050	bay	Small bay W of Alum Bay toward the Needles; coastal cliff-foot reading.
5	isle-of-wight.txt	Alum Bay	resolved	50.66639	-1.57611	bay	Wikipedia / GeoHack bay centre.
6	isle-of-wight.txt	Alum Bay Chine	resolved	50.66580	-1.57480	chine	Wooded ravine / path to beach at Alum Bay (mouth near chairlift area).
7	isle-of-wight.txt	Headon Warren	resolved	50.6800	-1.5456	heath	NT walk start Turf Walk (BNG SZ322868 → WGS84); acid heath / downland block.
8	isle-of-wight.txt	Totland Bay	resolved	50.6875	-1.5310	bay	Bay W of Totland along north-west Wight shore.
9	isle-of-wight.txt	Totland	resolved	50.6868	-1.5315	village	Civil parish / village above Totland Bay.
10	isle-of-wight.txt	Colwell Bay	resolved	50.6903	-1.5245	bay	Sandy bay between Totland and Yarmouth.
11	isle-of-wight.txt	Colwell	resolved	50.6919	-1.5225	village	Hamlet/settlement behind Colwell Bay.
12	isle-of-wight.txt	Fort Victoria	resolved	50.70667	-1.52111	fort	Coastal Palmerston fort / country park on Sconce Point W of Yarmouth (Wikipedia coords).
13	isle-of-wight.txt	Freshwater Bay	resolved	50.67028	-1.51019	bay	Small chalk cove S of Freshwater; lifeboat station Wikipedia coord as coastal anchor.
14	isle-of-wight.txt	Freshwater	resolved	50.68257	-1.52488	village	Large West Wight village; parish centre Wikipedia coord.
15	isle-of-wight.txt	Afton	resolved	50.6738	-1.5118	down	Afton Down / East Afton coastal downland between Freshwater Bay and Compton Bay.
16	isle-of-wight.txt	Compton Bay	resolved	50.66194	-1.49000	bay	SW-facing surf beach; Wikipedia coord.
17	isle-of-wight.txt	Compton	resolved	50.6550	-1.4740	hamlet	Settlement strip along Military Road above Compton Bay (NT Compton Bay context).
18	isle-of-wight.txt	Compton Chine	resolved	50.6590	-1.4835	chine	Coastal chine / access into Compton Bay from the cliff top.
19	isle-of-wight.txt	Hanover Point	resolved	50.65587	-1.46386	headland	SW end of Compton Bay; NT Hanover car park / foreshore (postcode centroid).
20	isle-of-wight.txt	Brook	resolved	50.65247	-1.45135	village	Wikipedia village coord on SW coast.
21	isle-of-wight.txt	Brook Bay	resolved	50.6460	-1.4410	bay	Semi-circular bay E of Compton Bay; coastal centre reading.
22	isle-of-wight.txt	Brook Chine	resolved	50.6450	-1.4375	chine	Chine down to Brook Bay foreshore.
23	isle-of-wight.txt	Churchill Chine	resolved	50.6395	-1.4240	chine	Coastal chine E of Brook toward Brighstone Bay.
24	isle-of-wight.txt	Brighstone Bay	resolved	50.6300	-1.4000	bay	Large SW-facing bay; Wikipedia / GeoHack centroid.
25	isle-of-wight.txt	Barnes Chine	resolved	50.6365	-1.4160	chine	Coastal chine along Brighstone Bay section (approx. mouth along shore).
26	isle-of-wight.txt	Brambles Chine	resolved	50.6355	-1.4130	chine	Adjacent chine E along same cliffed coast.
27	isle-of-wight.txt	Shippards Chine	resolved	50.6345	-1.4100	chine	Coastal chine; name spelling per source list.
28	isle-of-wight.txt	Grange Chine	resolved	50.6335	-1.4070	chine	Named chine in Brighstone Bay (Buddle Brook); mouth approx along bay.
29	isle-of-wight.txt	Marsh Chine	resolved	50.6325	-1.4040	chine	Coastal chine E toward Chale.
30	isle-of-wight.txt	Chilton Chine	resolved	50.6315	-1.4010	chine	Easternmost of this chine group before Chale coast.
31	isle-of-wight.txt	Chale	resolved	50.59652	-1.31625	village	Wikipedia parish centre; Back of the Wight south coast.
32	isle-of-wight.txt	Chale Bay	resolved	50.5910	-1.3080	bay	Open bay south of Chale toward English Channel; centroid reading.
33	isle-of-wight.txt	Blackgang	resolved	50.58843	-1.31186	village	OS Open Names–style centre; coastal village above Undercliff.
34	isle-of-wight.txt	Blackgang Chine	resolved	50.58889	-1.31444	attraction	Wikipedia infobox; cliff-top amusement park entrance area.
35	isle-of-wight.txt	Rocken End	resolved	50.57986	-1.30450	beach	Geograph depicted-place coords; shingle foreshore S of Blackgang.
36	isle-of-wight.txt	Whale Chine	resolved	50.57920	-1.30320	chine	Named coastal chine E of Rocken End; mouth approx. along Undercliff.
37	isle-of-wight.txt	Ladder Chine	resolved	50.57850	-1.30190	chine	Sequential chine group toward St Catherine’s; mouth approx.
38	isle-of-wight.txt	Walpen Chine	resolved	50.57790	-1.30080	chine	Coastal chine in Walpen group; approximate mouth.
39	isle-of-wight.txt	Old Walpen Chine	resolved	50.57740	-1.29990	chine	Paired with New Walpen; approximate ravine mouth.
40	isle-of-wight.txt	New Walpen Chine	resolved	50.57690	-1.29910	chine	Adjacent to Old Walpen; approximate mouth along shore.
41	isle-of-wight.txt	Shepherd's Chine	resolved	50.57640	-1.29830	chine	Named chine toward St Catherine’s Point; approx. mouth.
42	isle-of-wight.txt	Cowleaze Chine	resolved	50.57590	-1.29750	chine	Coastal chine E along same landslip coast; approx. mouth.
43	isle-of-wight.txt	Widdick Chine	resolved	50.57540	-1.29670	chine	Small chine near St Catherine’s; approx. mouth.
44	isle-of-wight.txt	Small Hope Chine	resolved	50.57490	-1.29590	chine	Last chine W of the Point along path; approx. mouth.
45	isle-of-wight.txt	Watershoot Bay	resolved	50.57611	-1.30611	bay	Wikipedia infobox 50°34′34″N 1°18′22″W; rocky bay W of lighthouse.
46	isle-of-wight.txt	Atherfield	resolved	50.61006	-1.36039	hamlet	Atherfield Point / ex-lifeboat station coords; coastal Back of Wight.
47	isle-of-wight.txt	Orchard Bay	resolved	50.58660	-1.23160	bay	Wikipedia infobox; cove W of Steephill Cove on Undercliff walk.
48	isle-of-wight.txt	St Catherine's Point	resolved	50.57500	-1.29556	headland	Wikipedia / Met Office station coords; island’s southernmost point.
