line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	kent.txt	Northfleet	resolved	51.4418	0.3296	town	Wikipedia/GeoHack centroid; Thames south bank W of Gravesend.
2	kent.txt	Northfleet Hope	ambiguous			estuary_reach	Thames reach NW past Tilbury Ness; long tidal channel—no single map pin.
3	kent.txt	Gravesend	resolved	51.4415	0.3685	town	GeoHack/Wikipedia town centroid; Thames south bank opposite Tilbury.
4	kent.txt	Milton-next-Gravesend	resolved	51.4391	0.3855	parish	GeoHack coords at SS Peter & Paul church; historic parish core of Milton.
5	kent.txt	Chalk	resolved	51.4583	0.4342	village	Chalk parish/village N of Gravesend toward Thames marshes (GENUKI/OS area).
6	kent.txt	Shorne	resolved	51.418	0.4255	village	Village S of Gravesend near A2/Thames corridor.
7	kent.txt	Higham	resolved	51.4154	0.4679	village	Higham on Hoo Peninsula W of Cliffe (distinct from Higham Ferrers etc.).
8	kent.txt	Cliffe	resolved	51.4651	0.4966	village	Cliffe-at-Hoo village centre N of Thames marshes.
9	kent.txt	Cliffe Woods	resolved	51.4725	0.5135	residential	Built-up area NE of Cliffe village toward Thames.
10	kent.txt	Cooling	resolved	51.4543	0.5219	village	Cooling village N of Thames; Dickens Great Expectations setting.
11	kent.txt	High Halstow	resolved	51.3738	0.6496	village	Village on Hoo Peninsula N of Medway marshes.
12	kent.txt	Allhallows	resolved	51.4675	0.6384	village	Allhallows settlement W of Grain on north Hoo coast.
13	kent.txt	Allhallows-on-Sea	resolved	51.472	0.645	beach	Coastal/beach strip E of Allhallows village toward Thames.
14	kent.txt	Hoo St Werburgh	resolved	51.4187	0.5568	village	Principal Hoo village near Stoke Marshes / Medway edge.
15	kent.txt	Hoo Peninsula	ambiguous			peninsula	Large N Kent peninsula; tide-relevant point not unique without a named settlement.
16	kent.txt	Isle of Grain	resolved	51.4554	0.7156	village_parish	Eastern Hoo/Grain village centroid (Wikipedia); industrial coast also on S side.
17	kent.txt	Grain Coastal Park	resolved	51.4565	0.7185	park	Coastal parkland on N Isle of Grain by Thames/Yantlet area (approx. visitor access).
18	kent.txt	Port Victoria	resolved	51.4333	0.7032	historic_pier	Wikipedia/GeoHack pier-head site; former SER terminus (structures removed).
19	kent.txt	Yantlet Creek	resolved	51.4706	0.671	creek	Wikipedia coord at London Stone / creek mouth on Grain (Thames limit marker).
20	kent.txt	Thames Estuary North Kent	ambiguous			estuary	Broad regional label; spans multiple shores from North Kent eastward.
21	kent.txt	Gillingham	resolved	51.3865	0.5494	town	Medway town on Medway estuary (ceremonial Kent).
22	kent.txt	Gillingham Marina	resolved	51.3892	0.5555	marina	Marina basin on Gillingham Reach W of town centre.
23	kent.txt	Chatham	resolved	51.3789	0.5218	town	Medway town; historic dockyard on Medway.
24	kent.txt	Riverside Country Park	resolved	51.3903	0.5562	country_park	Medway park along Medway estuary E of Gillingham (visitor centre area).
25	kent.txt	Medway Towns Seafront	ambiguous			seafront	Linear shared estuary frontage across Chatham/Gillingham/Rochester—no single centroid.
26	kent.txt	River Medway Mouth	resolved	51.415	0.735	estuary_mouth	Approximate outer estuary where Medway meets Thames / East Swale near Sheerness.
27	kent.txt	Sheerness	resolved	51.441	0.7605	town	Sheppey port town at Medway mouth.
28	kent.txt	Sheerness Beach	resolved	51.4432	0.764	beach	Sand/shingle beach along N Sheerness seafront.
29	kent.txt	Blue Town	resolved	51.4402	0.7598	hamlet	Historic dockworkers’ area W of Sheerness centre by dockyard wall.
30	kent.txt	Minster	resolved	51.422	0.8122	village	Minster-in-Sheppey village on Isle of Sheppey (distinct from Minster Thanet).
31	kent.txt	Minster Leas	resolved	51.4344	0.8001	beach	Sand/shingle front N of Minster; British Beaches midpoint / visitor beach access (ME12 area).
32	kent.txt	Minster-on-Sea	resolved	51.4183	0.8095	parish	Civil parish / seaside settlement name for Minster; pin near abbey–Leas historic core (OS parish context).
33	kent.txt	Queenborough	resolved	51.4331	0.745	town	Isle of Sheppey town W of Sheerness; Wikipedia/GeoHack-class centroid (51°25′59″N 0°44′42″E).
34	kent.txt	Queenborough Lines	resolved	51.4327	0.7652	defensive_line	Scheduled monument centroid (Historic England / Ancient Monuments); long linear rampart—pin is midpoint, not a single “gate”.
35	kent.txt	Leysdown-on-Sea	resolved	51.398	0.9212	village	East Sheppey resort village; findthatpostcode/Wikipedia-class coords.
36	kent.txt	Leysdown Beach	resolved	51.4005	0.9185	beach	Main resort beach/foreshore E side of Leysdown (shingle front on Swale/N Sea).
37	kent.txt	Shellness	resolved	51.3735	0.9503	hamlet	Eastern Sheppey coastal hamlet; GeoHack / findthatpostcode locality coords.
38	kent.txt	Shell Ness	resolved	51.372	0.954	spit	Eastern shell spit/ness at Shellness; pin E of hamlet centre toward foreshore (distinct label from “Shellness”).
39	kent.txt	Harty	resolved	51.3675	0.9085	hamlet	Harty / Isle of Harty settlement S/E Sheppey near Leysdown marshes (approx. village cluster).
40	kent.txt	Elmley National Nature Reserve	resolved	51.3778	0.7839	nature_reserve	South Sheppey Swale-side reserve; Kingshill Farm visitor access (RSPB Tonbridge page lat/lon).
41	kent.txt	Eastchurch	resolved	51.4175	0.8565	village	Central Sheppey village S of Leysdown; OS/Wikipedia grid-class centroid.
42	kent.txt	Warden	resolved	51.3845	0.907	village	Warden-on-Sea settlement N of Leysdown (holiday-park/coastal cluster area).
43	kent.txt	Warden Bay	resolved	51.402	0.906	bay	Northeast Sheppey bay at Warden Point / Warden Bay Road chalet coast (ME12 4LT area centroid class).
44	kent.txt	Oare	resolved	51.3385	0.8885	village	Oare north of Faversham by Oare Marshes / Swale creek mouths.
45	kent.txt	Faversham Creek	resolved	51.3335	0.891	creek	Tidal creek system N/W of Faversham opening toward Oare Marsh / Swale.
46	kent.txt	Seasalter	resolved	51.348	1.024	village	Coastal village W of Whitstable along The Street/sea wall.
47	kent.txt	Seasalter Beach	resolved	51.3495	1.026	beach	Shingle front along Seasalter sea defences W of Whitstable.
48	kent.txt	Graveney	resolved	51.3605	0.963	hamlet	Graveney by Graveney Marshes / Thames–Swale edge (distinct inland “Graveney” names elsewhere).
49	kent.txt	Whitstable	resolved	51.361	1.024	town	Whitstable town centre / harbour quarter class (N Kent coast).
