line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	kerry.txt	Tarbert	resolved	52.572386	-9.375114	village	Shannon estuary; Wikipedia/Logainm-aligned centre.
2	kerry.txt	Ballylongford	resolved	52.546	-9.478	village	Béal Átha Longfoirt; village centroid.
3	kerry.txt	Kilcolgan	resolved	52.5688	-9.45858	townland	Kilcolgan Lower (Kilnaughtin parish); not Galway Kilcolgan.
4	kerry.txt	Tarbert Island	resolved	52.5883	-9.36498	island	Logainm centre; power station/lighthouse island.
5	kerry.txt	Carrig Island	resolved	52.5737	-9.49586	island	Oileán na Carraige; Logainm/townlands.ie centre.
6	kerry.txt	Ballybunion	resolved	52.510	-9.672	town	Baile an Bhuinneánaigh seaside centroid.
7	kerry.txt	Ballybunion North	resolved	52.515	-9.678	beach	North strand / Ladies Beach area (approximate).
8	kerry.txt	Ballybunion South Beach	resolved	52.505	-9.668	beach	South / Long Strand end toward golf links (approximate).
9	kerry.txt	Littor Strand	resolved	52.538	-9.565	beach	Green Flag estuary beach near Asdee/Carrigane (approximate shoreline access).
10	kerry.txt	Kilcolman	resolved	52.558611	-9.589722	townland	Astee ED townland (not Killarney homonym).
11	kerry.txt	Banna Strand	resolved	52.3582	-9.8368	beach	Tralee Bay Atlantic beach centroid.
12	kerry.txt	Ballyheigue	resolved	52.3892	-9.8333	town	Baile Uí Thaidhg village.
13	kerry.txt	Kerry Head	resolved	52.41331	-9.944	headland	Atlantic headland N of Ballyheigue.
14	kerry.txt	Tide Rocks	resolved	52.396	-9.828	reef	Exposed reef/surf break off E end Ballyheigue beach (approximate).
15	kerry.txt	Carrowmore Beach	resolved	52.2742	-10.0284	beach	Kerry coastal list name; pinned to Magherabeg townland strand system (not Mayo Carrowmore).
16	kerry.txt	Castlegregory	resolved	52.255549	-10.02099	village	Caisleán Ghriaire village centroid.
17	kerry.txt	Camp	resolved	52.22083	-9.90889	village	An Com on N86 Dingle Peninsula.
18	kerry.txt	Stradbally	resolved	52.2443	-10.0623	village	An Sráidbhaile N of Castlegregory.
19	kerry.txt	Cloghane	resolved	52.2266	-10.1838	village	An Clochán civil-parish centre (Logainm).
20	kerry.txt	Brandon Bay	resolved	52.273	-10.103	bay	Open bay N of Dingle Peninsula (approximate bay centroid).
21	kerry.txt	Brandon Point	resolved	52.28785	-10.16146	headland	Srón Bhroin seawatching point / car park area.
22	kerry.txt	Fermoyle Beach	resolved	52.243731	-10.122894	beach	Fermoyle Strand car-park reference (Screen Kerry).
23	kerry.txt	Castlegregory Maharees	resolved	52.2774	-10.0291	promontory	Logainm An Machaire (Magharees tombolo).
24	kerry.txt	Illaunnageeragh	ambiguous			island	No clear match among named Magharee Islands; likely skerry/local spelling variant.
25	kerry.txt	Illauntannig	resolved	52.32632	-10.02005	island	Largest Magharee island; monastic site coords.
26	kerry.txt	Illaunimmam	resolved	52.33306	-10.04806	island	Treated as Illaunimmil (Oileán Imill); list spelling differs.
27	kerry.txt	Garraun Point	resolved	52.290	-10.031	headland	North Maharees spit near Magharee Sound (distinct from Great Blasket namesake).
28	kerry.txt	Rough Point	resolved	52.30114	-10.031073	headland	Aerial survey centroid; tip of Maharees tombolo.
29	kerry.txt	Spunkane Bay	resolved	52.30972	-10.02944	bay	Scraggane Bay / An Scragán (local spelling in list).
30	kerry.txt	Lispole	resolved	52.141495	-10.16304	village	Lios Póil on N86 E of Dingle.
31	kerry.txt	Annascaul	resolved	52.152977	-10.051289	village	Wikipedia/GeoHack village centroid (Abhainn an Scáil).
32	kerry.txt	Annascaul Lake Outflow	resolved	52.1775	-10.068	stream_outflow	Approx. exit of Loch an Scáil into Abhainn an Scáil between Logainm lake/river centrepoints (inland of coast).
33	kerry.txt	Minard Beach	resolved	52.12698	-10.10902	beach	Minard Strand / storm beach near Minard Castle (wildswimmingtesting/Screen Kerry refs).
34	kerry.txt	Inch Beach Dingle	resolved	52.1427	-9.981	beach	Inch Strand townland spit; Wikipedia/Wiki coord.
35	kerry.txt	Kilmurray	resolved	52.124167	-10.114167	townland	Cill Mhuire townland, Minard parish (townlands.ie centroid).
36	kerry.txt	Ballinclare	resolved	52.148611	-10.071111	hamlet	Ballinclare townland, Ballynacourty parish (townlands.ie centroid; historic fair hamlet on Tralee–Dingle corridor).
37	kerry.txt	Ballybeg	resolved	52.146	-10.25	townland	An Baile Beag townland, Dingle civil parish (Logainm centrepoint).
38	kerry.txt	Couminole Beach	resolved	52.109904	-10.462641	beach	Trá Chom Dhíneol / Coumeenoole Bay (Wikipedia Coumeenoole; list spelling variant).
39	kerry.txt	Dunquin	resolved	52.133488	-10.454521	village	Dún Chaoin village centroid (Wikipedia).
40	kerry.txt	Dunquin Pier	resolved	52.124257	-10.460433	pier	Blasket ferry pier / zig-zag slip (Deep Maps Kerry film-location coords).
41	kerry.txt	Clogher Beach	resolved	52.156724	-10.459758	beach	Trá Chloichir / Clogher Strand (Deep Maps Kerry).
42	kerry.txt	Crutchs Harbour	not_found			harbour	No mapped placename match in Kerry; likely obsolete/local label not verified against charts.
43	kerry.txt	Coumeenoole Beach	resolved	52.109811	-10.464434	beach	Same bay as Couminole; Screen Kerry car-park reference point (distinct row per list).
44	kerry.txt	Slea Head	resolved	52.10617	-10.46917	headland	Ceann Sléibhe promontory (Wikipedia/GeoHack).
45	kerry.txt	Cé Dhún Chaoin	resolved	52.124257	-10.460433	pier	Irish name for Dunquin pier/slip (same feature as row 40; Deep Maps Kerry).
46	kerry.txt	Dunmore Head	resolved	52.108611	-10.481667	headland	An Dún Mór; westernmost mainland Ireland (Wikipedia/GeoHack).
47	kerry.txt	Gallarus	resolved	52.1725	-10.34944	attraction	Gallarus Oratory / Séipéilín Ghallarais (Wikipedia coord).
48	kerry.txt	Kilmalkedar	resolved	52.184775	-10.33623	church	Cill Maoilchéadair ecclesiastical site (Wikipedia).
49	kerry.txt	Ballydavid Bay	resolved	52.195	-10.375	bay	Open bay at Baile na nGall / Smerwick Harbour approach (approx. bay centroid; village ~52.220115,-10.360899).
50	kerry.txt	Béal Bán	resolved	52.17898	-10.38618	beach	White strand near Ballyferriter/Wine Strand (worldplaces GPS cluster).
51	kerry.txt	Fahan	resolved	52.101615	-10.421519	locality	Fahan clochán group below Mt Eagle W of Ventry (Wikipedia Fahan, Kerry).
52	kerry.txt	Murirriguille	not_found			unknown	No Logainm/townlands match for this spelling in Kerry; could not map to a coastal feature.
53	kerry.txt	Murreagh	resolved	52.193056	-10.369444	townland	An Mhuiríoch townland, Kilmalkedar parish (townlands.ie centroid).
54	kerry.txt	Kinard	resolved	52.157759	-10.279398	beach	Trá Chathail / Kinard Beach W of Dingle (GENUKI Dingle parish map centre ref).
55	kerry.txt	Beenbawn	ambiguous			townland	List name not found as distinct Logainm entry; likely informal variant near Garfinny Beenbane cluster—left unresolved to avoid wrong pin.
56	kerry.txt	Beenbane	resolved	52.121944	-10.244444	townland	An Bhinn Bháin townland, Garfinny parish (townlands.ie; Dingle PLU—not Iveragh archaeological site).
57	kerry.txt	Ventry	resolved	52.133383	-10.366459	village	Ceann Trá / Fionntrá village centroid (Wikipedia).
58	kerry.txt	Ventry Bay	resolved	52.12	-10.355	bay	Sheltered inlet south of village toward Ventry Strand (approx. bay centroid; village at head).
59	kerry.txt	Ventry Harbour	resolved	52.117933	-10.34865	harbour	Small boat anchorage / pier area (cruiserswiki Ventry anchorage coord).
60	kerry.txt	Dingle	resolved	52.13991	-10.2715	town	An Daingean / Dingle town centroid (Wikipedia).
61	kerry.txt	Dingle Harbour	resolved	52.1216	-10.2582	harbour	GeoHack harbour/light list coords; outer harbour / lighthouse area.
62	kerry.txt	Dingle Bay	resolved	52.066667	-10.183333	bay	Wikipedia/GeoHack waterbody centroid (open bay).
63	kerry.txt	Kilfountain	resolved	52.15778	-10.30639	townland	Cill Fhiontain / Kilfountan ecclesiastical area NW of Dingle (irishstones.org DMS).
64	kerry.txt	Handball Alley Beach	not_found			beach	No verified coastal feature or mapping for this label in Kerry.
65	kerry.txt	Milltown Bay	resolved	52.127	-10.268	bay	Ornithology refs place “Milltown Bay” as tidal flat W of Dingle town (low-tide gull roost); approximate bay centroid.
66	kerry.txt	Ballybrack	resolved	52.218	-10.2911	townland	An Baile Breac, Kilquane civil parish (Logainm.ie centrepoint).
67	kerry.txt	Beenoskee	resolved	52.213863	-10.077388	mountain	Binn os Gaoith summit (Wikipedia/Logainm).
68	kerry.txt	Cappagh	resolved	52.2514	-10.1633	townland	An Cheapaigh, Cloghane civil parish N Brandon Bay (Logainm.ie).
69	kerry.txt	Clogher	resolved	52.1582	-10.4576	townland	Cloichear, Dunurlin civil parish (Logainm.ie; strand locality to W).
70	kerry.txt	Kilcummin Bay	resolved	52.235	-10.09	bay	Sheltered opening along Tralee Bay side of Maharees strand near Kilcummin townlands; approximate coastal centroid.
71	kerry.txt	Kilcummin	resolved	52.2366	-10.1085	townland	Cill Chuimín Mhór (Kilcummin More), Killiney/Stradbally (Logainm.ie; not Killarney homonym).
72	kerry.txt	Garfinny Strand	resolved	52.1437	-10.232	strand	Logainm Garfinny civil-parish centrepoint; strand system near Garfinny River mouth.
73	kerry.txt	Cuan na Gréine	ambiguous			harbour	No Logainm match; Irish “harbour of the sun” — could denote several minor cuanna on this coast.
74	kerry.txt	Dooks Beach	resolved	52.083145	-9.925461	beach	Adjacent to Dooks Golf Club published GPS (seaside links, Glenbeigh).
75	kerry.txt	Glen Minard	resolved	52.125	-10.1229	glen	Gleann na Mine Airde / Glanminard townland, Minard parish (Logainm.ie; list: Glen Minard).
76	kerry.txt	Castlegregory Barrow Harbour	resolved	52.29032	-9.84688	harbour	Tidal lagoon “Barrow Harbour” E of Fenit Island (Wikipedia); list ties it to Castlegregory area / Tralee Bay.
77	kerry.txt	Scraggane Bay	resolved	52.3099	-10.0265	bay	Cuan an Scragáin / Scraggane Bay harbour centroid (Logainm.ie).
78	kerry.txt	Gurrigal Bay	resolved	52.315	-10.04	bay	Local spelling near Gurrig Island / Magharees; approximate bay centroid N of Scraggane.
