line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	lancashire.txt	Hesketh Bank	resolved	53.7085379	-2.8469682	village	OpenStreetMap/Nominatim
2	lancashire.txt	Banks	resolved	53.6814154	-2.9245168	village	OpenStreetMap/Nominatim
3	lancashire.txt	Tarleton	resolved	53.6793815	-2.8313794	village	Used village node (admin boundary hit also returned)
4	lancashire.txt	Mere Brow	resolved	53.6624220	-2.8805237	village	OpenStreetMap/Nominatim
5	lancashire.txt	Much Hoole	resolved	53.6993016	-2.8066768	village	Used village node (admin boundary hit also returned)
6	lancashire.txt	Longton	resolved	53.7267651	-2.7818758	village	Used village node (admin boundary hit also returned)
7	lancashire.txt	Freckleton	resolved	53.7540406	-2.8718952	village	Used village node (admin boundary hit also returned)
8	lancashire.txt	Warton	resolved	53.7498129	-2.8908401	village	OpenStreetMap/Nominatim
9	lancashire.txt	Clifton	resolved	53.7662590	-2.8119803	village	OpenStreetMap/Nominatim (Fylde)
10	lancashire.txt	Becconsall	resolved	53.6979048	-2.8380819	village	OpenStreetMap/Nominatim
11	lancashire.txt	Holmes	resolved	53.6680201	-2.8570300	hamlet	OpenStreetMap/Nominatim (Holmes, Tarleton)
12	lancashire.txt	Lytham	resolved	53.7388175	-2.9651552	town	OpenStreetMap place=town node (station hit also returned)
13	lancashire.txt	Lytham Green	ambiguous			promenade	No dedicated OSM feature for the seafront green; top hits are unrelated golf/leisure
14	lancashire.txt	St Annes	resolved	53.7559903	-3.0228594	suburb	OpenStreetMap/Nominatim
15	lancashire.txt	St Annes-on-the-Sea	resolved	53.7531813	-3.0289500	railway	OpenStreetMap railway station (formal town name)
16	lancashire.txt	Lytham St Annes	resolved	53.7485046	-2.9990745	town	OpenStreetMap/Nominatim
17	lancashire.txt	Fairhaven	resolved	53.7399724	-3.0074155	suburb	OpenStreetMap/Nominatim
18	lancashire.txt	Fairhaven Lake	resolved	53.7380918	-3.0005637	water	OpenStreetMap natural=water relation
19	lancashire.txt	Granny's Bay	resolved	53.7376577	-2.9949043	bay	OpenStreetMap natural=bay node
20	lancashire.txt	Ansdell	resolved	53.7437217	-2.9908719	suburb	OpenStreetMap admin boundary centroid (suburb)
21	lancashire.txt	Kilgrimol	ambiguous			unknown	OpenStreetMap only names Kilgrimol Gardens (roads); no place node for Kilgrimol
22	lancashire.txt	Staining	resolved	53.8176589	-2.9925936	village	OpenStreetMap/Nominatim (Fylde)
23	lancashire.txt	Squires Gate	resolved	53.7824164	-3.0464439	suburb	OpenStreetMap/Nominatim
24	lancashire.txt	Blackpool	resolved	53.8179442	-3.0509812	town	OpenStreetMap/Nominatim
25	lancashire.txt	Bispham	resolved	53.8518550	-3.0393790	village	OpenStreetMap/Nominatim
26	lancashire.txt	Norbreck	resolved	53.8578946	-3.0493697	suburb	OpenStreetMap/Nominatim
27	lancashire.txt	Layton	resolved	53.8220803	-3.0272078	suburb	Used suburb node (railway station hit also returned)
28	lancashire.txt	Marton Mere	resolved	53.8090825	-2.9984925	water	OpenStreetMap natural=water (Marton Mere)
29	lancashire.txt	Marton Mere Local Nature Reserve	resolved	53.8090825	-2.9984925	nature_reserve	No separate OSM object for the LNR name; coordinates from Marton Mere water polygon
30	lancashire.txt	South Shore	resolved	53.7993553	-3.0478811	suburb	OpenStreetMap/Nominatim
31	lancashire.txt	North Shore	resolved	53.8264674	-3.0537029	suburb	OpenStreetMap/Nominatim
32	lancashire.txt	Revoe	resolved	53.8098730	-3.0438591	suburb	OpenStreetMap/Nominatim
33	lancashire.txt	Bloomfield	resolved	53.8087402	-3.0488218	neighbourhood	OpenStreetMap landuse=Bloomfield Central (Blackpool district hub; stadium is also named Bloomfield)
34	lancashire.txt	Happy Mount	resolved	54.0802314	-2.8339054	promenade	Seafront area anchored on Happy Mount Park (OpenStreetMap)
35	lancashire.txt	Happy Mount Park	resolved	54.0802314	-2.8339054	park	OpenStreetMap leisure=park
36	lancashire.txt	Gynn Square	resolved	53.8328682	-3.0545697	square	OpenStreetMap landuse=grass named Gynn Square
37	lancashire.txt	Talbot Gateway	resolved	53.8229372	-3.0483730	urban_area	No OSM object named Talbot Gateway; pin at Blackpool North station (regeneration area)
38	lancashire.txt	Hounds Hill	resolved	53.8145649	-3.0550046	retail	OpenStreetMap highway=pedestrian (Hounds Hill shopping area)
39	lancashire.txt	Little Bispham	resolved	53.8677325	-3.0448146	suburb	OpenStreetMap/Nominatim
40	lancashire.txt	Great Marton	resolved	53.8040550	-3.0204169	suburb	OpenStreetMap/Nominatim
41	lancashire.txt	Starr Gate	resolved	53.7773320	-3.0541719	road_junction	OpenStreetMap highway=primary node at Starr Gate (southern Blackpool entrance)
42	lancashire.txt	Blackpool Pleasure Beach	resolved	53.7906940	-3.0554665	attraction	OpenStreetMap tourism=theme_park
43	lancashire.txt	Blackpool Tower	resolved	53.8158944	-3.0552392	attraction	OpenStreetMap tourism=attraction
44	lancashire.txt	Blackpool North Pier	resolved	53.8190825	-3.0602920	pier	OpenStreetMap man_made=pier
45	lancashire.txt	Blackpool Central Pier	resolved	53.8109345	-3.0574227	pier	OpenStreetMap man_made=pier
46	lancashire.txt	Blackpool South Pier	resolved	53.7954969	-3.0593596	pier	OpenStreetMap man_made=pier
47	lancashire.txt	North Pier	resolved	53.8190825	-3.0602920	pier	Blackpool North Pier (same feature as line 44; shorthand name)
48	lancashire.txt	Central Pier	resolved	53.8109345	-3.0574227	pier	Blackpool Central Pier (same feature as line 45)
49	lancashire.txt	South Pier	resolved	53.7954969	-3.0593596	pier	Blackpool South Pier (same feature as line 46)
50	lancashire.txt	Blackpool Promenade	resolved	53.7855586	-3.0586703	promenade	OpenStreetMap highway=pedestrian named Blackpool Promenade (long linear seafront)
51	lancashire.txt	North Promenade	resolved	53.8190825	-3.0602920	promenade	North shore seafront; OSM hit ties to North Pier vicinity
52	lancashire.txt	South Promenade	resolved	53.7954969	-3.0593596	promenade	South shore seafront; OSM hit ties to South Pier vicinity
53	lancashire.txt	Central Promenade	resolved	53.8109345	-3.0574227	promenade	Central seafront; OSM hit ties to Central Pier vicinity
54	lancashire.txt	Thornton	resolved	53.8759203	-3.0121987	town	OpenStreetMap/Nominatim (Wyre)
55	lancashire.txt	Cleveleys	resolved	53.8781587	-3.0428798	town	OpenStreetMap/Nominatim
56	lancashire.txt	Thornton-Cleveleys	resolved	53.8770395	-3.0275392	urban_area	Centroid between OSM Thornton and Cleveleys town nodes (conurbation label; no single OSM place)
57	lancashire.txt	Thornton Cleveleys	resolved	53.8770395	-3.0275392	urban_area	Same conurbation label as line 56; centroid between OSM Thornton and Cleveleys town nodes
58	lancashire.txt	Cleveleys Promenade	resolved	53.8781534	-3.0465923	promenade	OpenStreetMap highway=North Promenade (Cleveleys seafront)
59	lancashire.txt	Anchorsholme	resolved	53.8696556	-3.0321975	suburb	OpenStreetMap/Nominatim
60	lancashire.txt	Anchorsholme Park	resolved	53.8698466	-3.0454760	park	OpenStreetMap leisure=park
61	lancashire.txt	Rossall	resolved	53.8975785	-3.0392003	suburb	OpenStreetMap place=suburb node (Rossall, Fleetwood)
62	lancashire.txt	Rossall Point	resolved	53.9239850	-3.0357638	headland	OpenStreetMap highway=bus_stop named Rossall Point (coastal headland vicinity; no separate viewpoint object)
63	lancashire.txt	Rossall Beach	resolved	53.8906250	-3.0443746	suburb	OpenStreetMap place=suburb node (Rossall Beach, Cleveleys)
64	lancashire.txt	Rossall School	resolved	53.8966951	-3.0472102	school	OpenStreetMap amenity=school way
65	lancashire.txt	Carleton	resolved	53.8540426	-3.0047646	village	OpenStreetMap place=village node (Carleton, Wyre)
66	lancashire.txt	Fleetwood	resolved	53.9246318	-3.0076372	town	OpenStreetMap place=town node
67	lancashire.txt	The Esplanade	resolved	53.9247053	-3.0237011	promenade	OpenStreetMap highway=tertiary named The Esplanade (seafront road)
68	lancashire.txt	Marine Hall	resolved	53.9270726	-3.0170982	theatre	OpenStreetMap amenity=theatre way
69	lancashire.txt	North Euston Hotel	resolved	53.9279500	-3.0089966	hotel	OpenStreetMap tourism=hotel way
70	lancashire.txt	Fleetwood Promenade	resolved	53.9244606	-3.0180252	promenade	OpenStreetMap highway=residential named Promenade Road (seafront promenade strip)
71	lancashire.txt	Fleetwood Marsh	resolved	53.9110395	-3.0129530	nature_reserve	OpenStreetMap leisure=nature_reserve way
72	lancashire.txt	Fleetwood Marsh Nature Reserve	resolved	53.9110395	-3.0129530	nature_reserve	Same OSM leisure=nature_reserve object as Fleetwood Marsh
73	lancashire.txt	Fleetwood Docks	resolved	53.9158116	-3.0127567	dock	OpenStreetMap waterway=dock named Wyre Dock (principal dock basin)
74	lancashire.txt	Fleetwood Ferry	resolved	53.9276240	-3.0079694	transit	OpenStreetMap railway=platform named Fleetwood Ferry (heritage tram terminus)
75	lancashire.txt	Fleetwood Harbour	ambiguous			harbour	Multiple basins/uses (Wyre Dock, ferry approaches, small craft); no single object named Fleetwood Harbour
76	lancashire.txt	Marine Beach	resolved	53.9251100	-3.0187500	beach	Postcode FY7 6RA centroid (Marine Beach seafront); Visit Fleetwood / beach guides place this by Marine Hall
77	lancashire.txt	Burn Naze	resolved	53.8857784	-3.0112662	suburb	OpenStreetMap place=suburb node
78	lancashire.txt	Wyre Light	resolved	53.9530000	-3.0270000	lighthouse	Wikipedia/Wikidata coordinates (offshore screw-pile lighthouse remains; not returned by Nominatim text search)
79	lancashire.txt	Wyre Dock	resolved	53.9158116	-3.0127567	dock	OpenStreetMap waterway=dock way
80	lancashire.txt	Preesall	resolved	53.9183501	-2.9655702	village	OpenStreetMap place=village node
81	lancashire.txt	Preesall Hill	ambiguous			hamlet	No OSM place node; local name for higher ground/settlement east of Preesall on A588 (Wyre settlement profile)
82	lancashire.txt	Knott End-on-the-Sea	resolved	53.9282116	-2.9940403	village	OpenStreetMap place=village node
83	lancashire.txt	Knott End	resolved	53.9282116	-2.9940403	village	Local shorthand for Knott End-on-the-Sea; same OSM village node
84	lancashire.txt	Knott End Ferry	resolved	53.9284668	-2.9960331	ferry	OpenStreetMap highway=bus_stop named Knott End Ferry (ferry landing area)
85	lancashire.txt	Knott End on Sea	resolved	53.9282116	-2.9940403	village	Variant spacing of Knott End-on-the-Sea; same OSM village node
86	lancashire.txt	Knott End Harbour	resolved	53.9284668	-2.9960331	harbour	No separate harbour polygon in OSM; pin at Knott End ferry landing/bus stop vicinity
87	lancashire.txt	Pilling	resolved	53.9298051	-2.9071468	village	OpenStreetMap place=village node
88	lancashire.txt	Pilling Sands	resolved	53.9425457	-2.9105853	sand	Wikipedia/GeoHack coordinates (tidal flats south of Morecambe Bay)
89	lancashire.txt	Pilling Lane Ends	resolved	53.9377918	-2.8932925	amenity_area	OpenStreetMap leisure area named Lane Ends Amenity Area (Pilling Lane Ends)
90	lancashire.txt	Pilling Marsh	ambiguous			marsh	Intertidal/coastal marsh adjoining Pilling Sands; no single named OSM polygon distinct from sands
91	lancashire.txt	Hambleton	resolved	53.8738555	-2.9503199	suburb	OpenStreetMap/Nominatim (Hambleton, Wyre)
92	lancashire.txt	Hambleton Moss	resolved	53.8750526	-2.9382100	hamlet	Nominatim place=hamlet Hambleton Moss Side (Wyre)
93	lancashire.txt	Skippool	resolved	53.8565997	-2.9819577	suburb	OpenStreetMap/Nominatim
94	lancashire.txt	Skippool Creek	resolved	53.8603667	-2.9786536	stream	OpenStreetMap waterway (Singleton/Fylde); checked against Wyre–Fylde coastal context
95	lancashire.txt	Stanah	resolved	53.8792912	-2.9830222	suburb	OpenStreetMap/Nominatim (Thornton/Wyre)
96	lancashire.txt	Hackinsall	resolved	53.9206089	-2.9931171	historic	OpenStreetMap historic=manor Hackensall Hall, Preesall (OSM spelling); source line uses Hackinsall
97	lancashire.txt	Hackinsall Quay	ambiguous			quay	No OSM feature with this quay name; Wyre mudflat landing area not uniquely pinned
98	lancashire.txt	Stalmine	resolved	53.9016878	-2.9536934	village	OpenStreetMap/Nominatim
99	lancashire.txt	Stalmine-with-Staynall	resolved	53.8944104	-2.9632896	civil_parish	OpenStreetMap civil parish boundary relation
100	lancashire.txt	Staynall	resolved	53.8868707	-2.9732497	hamlet	OpenStreetMap/Nominatim
101	lancashire.txt	Scronkey	resolved	53.9204505	-2.8983071	hamlet	OpenStreetMap/Nominatim
102	lancashire.txt	Churchtown	resolved	53.8810241	-2.7898489	village	OpenStreetMap place=village Churchtown, Wyre (not Kirkland school hit)
103	lancashire.txt	Churchtown Marsh	ambiguous			marsh	No named marsh polygon in OSM for this label near Churchtown
104	lancashire.txt	Wardleys	resolved	53.8793156	-2.9672947	caravan_site	OpenStreetMap Wardleys Creek Holiday Park (coastal access/Wardleys locality)
105	lancashire.txt	Wardley's Channel	ambiguous			channel	No OSM waterway named Wardley's Channel; likely tidal channel near Wardleys Creek
106	lancashire.txt	Broadfleet	ambiguous			creek	Saltmarsh/creek area near Pilling; Nominatim only returns nearby street names
107	lancashire.txt	Burn Naze Marsh	ambiguous			marsh	Fringing marsh by Burn Naze; no single OSM object for this marsh name
108	lancashire.txt	Preesall Marsh	resolved	53.9125566	-2.9469138	hamlet	Closest named OSM settlement is Preesall Moss Side hamlet on marsh edge
109	lancashire.txt	Knott End Marsh	ambiguous			marsh	Intertidal marsh around Knott End; village node would misplace the marsh
110	lancashire.txt	Cockerham	resolved	53.9527243	-2.8475857	village	OpenStreetMap/Nominatim
111	lancashire.txt	Cocker Sands	resolved	53.9698436	-2.8655937	beach	OpenStreetMap leisure=resort Cockerham Sands (Moss Lane); aligns with Cockerham Sands shoreline
112	lancashire.txt	Cockerham Marsh	resolved	53.9542049	-2.8695172	wetland	OpenStreetMap wetland named Cockerham Marsh
113	lancashire.txt	Sand Side	resolved	53.9526065	-2.8533842	hamlet	OpenStreetMap/Nominatim
114	lancashire.txt	Sand Villa	ambiguous			unknown	No OSM/Nominatim object named Sand Villa near Sand Side/Cockerham
115	lancashire.txt	Hillam	resolved	53.9700884	-2.8362431	hamlet	OpenStreetMap/Nominatim
116	lancashire.txt	Bolton-le-Sands	resolved	54.1066832	-2.8028352	village	OpenStreetMap/Nominatim
117	lancashire.txt	Crag Bank	resolved	54.1259599	-2.7828237	locality	OpenStreetMap bus stop Crag Bank (The Drive), Carnforth area
118	lancashire.txt	Carnforth	resolved	54.1282092	-2.7701207	town	OpenStreetMap/Nominatim
119	lancashire.txt	Carnforth Marsh	resolved	54.1343895	-2.7666613	wetland	OpenStreetMap/Photon Keer Marsh E of Carnforth (River Keer tidal marsh)
120	lancashire.txt	Slyne-with-Hest	resolved	54.0948425	-2.8242359	civil_parish	OpenStreetMap civil parish boundary relation
121	lancashire.txt	Hest Bank	resolved	54.0890318	-2.8085482	village	OpenStreetMap/Nominatim
122	lancashire.txt	Silverdale	resolved	54.1679619	-2.8286309	village	OpenStreetMap village node (railway station hit also returned)
123	lancashire.txt	Silverdale Moss	ambiguous			wetland	No OSM object for this local moss name; only unrelated Leighton Moss bus stop if forced
124	lancashire.txt	Silverdale Cove	ambiguous			bay	Coastal inlet at Silverdale Green; no dedicated bay feature in OSM/Nominatim
125	lancashire.txt	Eaves Wood	resolved	54.1769805	-2.8180286	wood	OpenStreetMap natural=wood
126	lancashire.txt	Jack Scout	resolved	54.1564410	-2.8291338	scrub	OpenStreetMap scrub (National Trust coastal strip)
127	lancashire.txt	Jack Scout Wood	ambiguous			wood	No separate OSM name; likely part of Jack Scout
128	lancashire.txt	Jenny Brown's Point	resolved	54.1540867	-2.8281137	locality	OpenStreetMap place=locality
129	lancashire.txt	Jenny Brown's Wood	ambiguous			wood	No OSM/Nominatim hit for this wood name near Silverdale
130	lancashire.txt	Yealand Conyers	resolved	54.1640158	-2.7591410	village	OpenStreetMap/Nominatim
131	lancashire.txt	Yealand Redmayne	resolved	54.1726947	-2.7600811	village	OpenStreetMap/Nominatim
132	lancashire.txt	Warton Crag	resolved	54.1483277	-2.7802352	viewpoint	OpenStreetMap tourism=viewpoint on crag
133	lancashire.txt	Leighton Beck	resolved	54.1931499	-2.7970666	watercourse	OpenStreetMap bus stop at Leighton Beck Bridge (lower reach; waterway not separately indexed)
134	lancashire.txt	Potts Corner	resolved	54.00973	-2.89444	parking	Sunderland Point trailhead (BirdGuides/Discovering Britain; grid SD413572)
135	lancashire.txt	Glasson Wetlands	resolved	53.9962869	-2.8574458	wetland	OpenStreetMap natural=wetland Glasson Marsh (salt marsh S of Glasson Dock)
136	lancashire.txt	Bare	resolved	54.0775133	-2.8360503	suburb	OpenStreetMap place=suburb
137	lancashire.txt	Morecambe	resolved	54.0721085	-2.8650938	town	OpenStreetMap administrative boundary relation (Morecambe)
138	lancashire.txt	Morecambe Promenade	resolved	54.0722274	-2.8734238	promenade	OpenStreetMap Marine Road Central (seafront)
139	lancashire.txt	Morecambe Stone Jetty	resolved	54.0743460	-2.8779830	pier	OpenStreetMap man_made=pier (Stone Jetty)
140	lancashire.txt	Morecambe Bay	resolved	54.1044697	-2.9712714	bay	OpenStreetMap natural=bay (Morecambe Bay)
141	lancashire.txt	Stone Jetty	resolved	54.0743460	-2.8779830	pier	OpenStreetMap man_made=pier Stone Jetty (same object as Morecambe Stone Jetty)
142	lancashire.txt	Torrisholme	resolved	54.0684155	-2.8329415	suburb	OpenStreetMap/Nominatim
143	lancashire.txt	West End	resolved	54.0652671	-2.8790168	neighbourhood	OpenStreetMap/Nominatim
144	lancashire.txt	Sandylands	resolved	54.0622678	-2.8887897	suburb	OpenStreetMap point on Sandylands Promenade (no separate place node)
145	lancashire.txt	Middleton	resolved	54.0170497	-2.8934475	village	OpenStreetMap amenity=pub in Middleton (Morecambe Bay); village centroid proxy
146	lancashire.txt	Middleton Sands	resolved	54.0143755	-2.9125690	wetland	OpenStreetMap wetland named Middleton Sands
147	lancashire.txt	Poulton-le-Sands	resolved	54.0738293	-2.8589259	neighbourhood	OpenStreetMap/Nominatim
