line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	leitrim.txt	Bunduff	resolved	54.4633	-8.3781	townland	Tullaghan ED; townlands.ie centroid (Leitrim townland).
2	leitrim.txt	Bunduff shore	resolved	54.464	-8.375	shore	Coastal frontage at Bunduff strand / Duff estuary (approximate).
3	leitrim.txt	Bunduff Strand	resolved	54.465	-8.374	beach	Sandy strand at Bunduff (approximate shoreline).
4	leitrim.txt	River Duff mouth	resolved	54.4625	-8.3755	estuary	River Duff (An Dubh) into Donegal Bay near Bunduff strand (approximate mouth).
5	leitrim.txt	River Bunduff mouth	resolved	54.4625	-8.3755	estuary	Same watercourse as Duff/Bunduff River; mouth at Bunduff (approximate).
6	leitrim.txt	Black River mouth	resolved	54.4625	-8.3755	estuary	Black River is local English name for River Duff in Leitrim; same mouth.
7	leitrim.txt	Duff River mouth	resolved	54.4625	-8.3755	estuary	Same mouth as lines 4–6; alternate naming (Wikipedia/OS usage).
8	leitrim.txt	Magheracar	resolved	54.4731	-8.29313	townland	Logainm centre; Donegal townland on coast by Leitrim list context.
9	leitrim.txt	Magheracar shore	resolved	54.4725	-8.292	shore	Coastal strip at Magheracar cliff/megalithic area (approximate).
10	leitrim.txt	Mullanyduff	resolved	54.448611	-8.369444	townland	Tullaghan ED; townlands.ie coordinates.
11	leitrim.txt	Mullanyduff shore	resolved	54.4475	-8.368	shore	Townland shore toward Duff estuary / Donegal Bay (approximate).
12	leitrim.txt	Duncarbry	resolved	54.465833	-8.326667	townland	Tullaghan ED; townlands.ie coordinates.
13	leitrim.txt	Duncarbry shore	resolved	54.467	-8.325	shore	North of townland toward Tullaghan coastal edge (approximate).
14	leitrim.txt	Tullaghan	resolved	54.4683	-8.3311	village	Wikipedia/GeoHack village centroid.
15	leitrim.txt	An Tulachán	resolved	54.4683	-8.3311	village	Official Irish name for Tullaghan; same settlement.
16	leitrim.txt	Tulachan	resolved	54.4683	-8.3311	village	Variant spelling of An Tulachán / Tullaghan.
17	leitrim.txt	Tullaghan Strand	resolved	54.466	-8.337	beach	Main strand W of village toward Bunduff (approximate).
18	leitrim.txt	Tullagahan Strand	resolved	54.466	-8.337	beach	Source spelling variant; same strand as Tullaghan Strand.
19	leitrim.txt	Tullaghan Beach	resolved	54.4655	-8.338	beach	Beach stretch on Leitrim's short Atlantic frontage (approximate).
20	leitrim.txt	Tullaghan Bay	resolved	54.4645	-8.339	bay	Small bay on coast W of village (approximate).
21	leitrim.txt	Tullaghan foreshore	resolved	54.466	-8.336	foreshore	Intertidal shore near Tullaghan strand (approximate).
22	leitrim.txt	Tullaghan point	resolved	54.469	-8.325	headland	Minor coastal point E toward Drowes / Donegal Bay (approximate).
23	leitrim.txt	Tullaghan coastal walkway	resolved	54.4682	-8.3315	path	Signed coastal/sea access near village (approximate).
24	leitrim.txt	Wild Atlantic Way Tullaghan	resolved	54.4683	-8.3311	route	WAW segment through Tullaghan on N15 coastal corridor.
25	leitrim.txt	Tullaghan Wild Atlantic Way	resolved	54.4683	-8.3311	route	Same WAW segment as line 24.
26	leitrim.txt	St Patrick's Well	resolved	54.463861	-8.375722	holy well	irishstones.org GPS; Knockbrack area W of village; ~250 m from sea.
27	leitrim.txt	St Pats Well	resolved	54.463861	-8.375722	holy well	Abbreviation; same holy well as line 26.
