line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	lincolnshire.txt	Barton-upon-Humber	resolved	53.6858065	-0.4395216	town	Nominatim/OSM town node; Humber south bank.
2	lincolnshire.txt	Barton Waterside	resolved	53.6961801	-0.4428789	suburb	OSM suburb of Barton-upon-Humber; riverside area.
3	lincolnshire.txt	Barrow-upon-Humber	resolved	53.6732961	-0.3809540	village	OSM administrative centroid; Humber-side settlement.
4	lincolnshire.txt	Barrow Haven	resolved	53.6974548	-0.3928890	harbour	OSM railway station node named Barrow Haven; beside the haven/ferry area.
5	lincolnshire.txt	New Holland	resolved	53.7019850	-0.3601529	village	OSM railway station node; historic Humber ferry point.
6	lincolnshire.txt	South Ferriby	resolved	53.6762039	-0.5059531	village	OSM village boundary centroid; Humber cliff village.
7	lincolnshire.txt	East Halton	resolved	53.6628828	-0.2792347	village	OSM village boundary centroid; near Humber bank.
8	lincolnshire.txt	Goxhill	resolved	53.6766712	-0.3374071	village	OSM railway station node; settlement anchor (inland of Goxhill Haven).
9	lincolnshire.txt	Goxhill Haven	resolved	53.7127958	-0.3049072	hamlet	OSM hamlet node; small Humber-side haven.
10	lincolnshire.txt	Ulceby Skitter	resolved	53.6194996	-0.3038646	hamlet	OSM hamlet; Skitter / Humber mudflat locality.
11	lincolnshire.txt	North Killingholme	resolved	53.6389632	-0.2695502	village	OSM village boundary centroid; near Immingham port.
12	lincolnshire.txt	South Killingholme	resolved	53.6300423	-0.2642896	village	OSM village node.
13	lincolnshire.txt	Stallingborough	resolved	53.5871667	-0.1834359	village	OSM railway station node; parish near Humber industry belt.
14	lincolnshire.txt	Immingham	resolved	53.6160803	-0.2121827	town	OSM town boundary centroid.
15	lincolnshire.txt	Immingham Docks	resolved	53.6280966	-0.1914829	dock	OSM waterway=dock “Immingham Dock”; matches port complex.
16	lincolnshire.txt	Healing	resolved	53.5818378	-0.1606176	village	OSM railway station node; parish W of Grimsby.
17	lincolnshire.txt	Great Coates	resolved	53.5757224	-0.1298327	village	OSM railway station node; W Grimsby settlement.
18	lincolnshire.txt	Grimsby	resolved	53.5671407	-0.0788045	town	OSM town node; historic fishing port.
19	lincolnshire.txt	Grimsby Docks	resolved	53.5741416	-0.0758325	dock	OSM railway station “Grimsby Docks”; dock district.
20	lincolnshire.txt	The Port of Grimsby	resolved	53.5722639	-0.0826484	harbour	No direct Nominatim hit; OSM “Alexandra Dock” in West Marsh used as port pin.
21	lincolnshire.txt	Pyewipe	resolved	53.5837331	-0.1072991	locality	OSM locality NW Grimsby toward Humber mudflats.
22	lincolnshire.txt	Cleethorpes	resolved	53.5572068	-0.0289969	town	OSM town node; seaside resort.
23	lincolnshire.txt	Cleethorpes Beach	resolved	53.5332015	0.0053889	beach	OSM building named Cleethorpes Beach; pin on coastal strip S of town centre.
24	lincolnshire.txt	Cleethorpes Seafront	resolved	53.5568942	-0.0231695	promenade	No direct name hit; HM Coastguard Cleethorpes on Central Promenade used as seafront pin.
25	lincolnshire.txt	Cleethorpes Promenade	resolved	53.5606547	-0.0274740	promenade	OSM tourism node “Cleethorpes Tourist Information Centre” on Central Promenade.
26	lincolnshire.txt	Humberston	resolved	53.5339693	-0.0234751	village	OSM village boundary centroid; S of Cleethorpes.
27	lincolnshire.txt	Humberston Fitties	resolved	53.5294829	0.0115696	residential	OSM landuse residential polygon name; chalet/coastal strip S of Cleethorpes.
28	lincolnshire.txt	Tetney Lock	resolved	53.4994596	0.0210074	hamlet	OSM hamlet node; Louth navigation / coast edge.
29	lincolnshire.txt	Tetney Haven	resolved	53.5136633	0.0424203	locality	OSM locality; creek/haven E of Tetney.
30	lincolnshire.txt	Tetney Marsh	resolved	53.5278051	0.0267549	marsh	OSM locality “Tetney Marsh”; broad marsh — pin is representative node.
31	lincolnshire.txt	Tetney Marshes	resolved	53.5278051	0.0267549	marsh	OSM names the locality “Tetney Marsh”; plural treated as the same marsh area.
32	lincolnshire.txt	Grainthorpe	resolved	53.4533854	0.0806053	village	OSM village node (coastal parish).
33	lincolnshire.txt	North Somercotes	resolved	53.4471931	0.1390434	village	OSM village node.
34	lincolnshire.txt	Somercotes Haven	resolved	53.4841757	0.1208702	locality	OSM locality; small haven north of Somercotes.
35	lincolnshire.txt	Donna Nook	resolved	53.4733156	0.1501702	locality	OSM coastal locality; seal-watching coast.
36	lincolnshire.txt	Donna Nook Beach	resolved	53.4764341	0.1444230	beach	OSM tourism=viewpoint “Donna Nook” on Marsh Lane near the shore.
37	lincolnshire.txt	Donna Nook National Nature Reserve	resolved	53.4733156	0.1501702	nature_reserve	No separate OSM name hit; pin co-located with Donna Nook coastal locality (managed coastal NNR).
38	lincolnshire.txt	Marshchapel	resolved	53.4724221	0.0472038	village	OSM village node.
39	lincolnshire.txt	North Coates	resolved	53.4847044	0.0324480	village	OSM village node near the coast.
40	lincolnshire.txt	Saltfleet	resolved	53.4205583	0.1862115	village	OSM village node.
41	lincolnshire.txt	Saltfleet Haven	resolved	53.4181710	0.1927051	harbour	OSM waterway named Saltfleet Haven (tidal creek/haven).
42	lincolnshire.txt	Saltfleet Beach	resolved	53.4249363	0.1890515	beach	Sea Lane coastal strip centroid; no dedicated beach POI in OSM.
