line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	londonderry.txt	Derry	resolved	54.9958	-7.3074	city	Wikipedia/GeoHack-style centroid; City of Derry on River Foyle.
2	londonderry.txt	Waterside	resolved	55.0012	-7.3048	urban_area	East-bank (Waterside) core near the Foyle; local usage for Derry E of the river.
3	londonderry.txt	Cityside	resolved	54.9965	-7.3215	urban_area	West-bank city core (Cityside) near the walled city and west quays.
4	londonderry.txt	Foyle Embankment	resolved	54.9978	-7.3175	promenade	Riverside walkway/embankment along the Foyle in central Derry.
5	londonderry.txt	Strand Road	resolved	54.9998	-7.3125	road	Waterside arterial along the Foyle; pin near city-centre river frontage.
6	londonderry.txt	Queen's Quay	resolved	54.9986	-7.3184	quay	Central Derry quay on the Foyle (Waterside harbour front).
7	londonderry.txt	Princess Quay	resolved	54.9984	-7.3188	quay	Adjacent quay/berth area on central Foyle frontage.
8	londonderry.txt	Craft Village Quay	resolved	54.9975	-7.3202	quay	Small craft/visitor quay near the historic Craft Village / west bank.
9	londonderry.txt	Peace Bridge	resolved	54.9980	-7.3163	bridge	Wikipedia coordinates; pedestrian/cycle bridge across the Foyle.
10	londonderry.txt	Craigavon Bridge	resolved	54.9997	-7.3167	bridge	Road bridge adjacent to Peace Bridge in central Derry.
11	londonderry.txt	Foyle Bridge	resolved	55.0185	-7.2925	bridge	Structurae/Wikipedia; main downstream A2 bridge (Prehen area).
12	londonderry.txt	Foyle Marina	resolved	54.9970	-7.3195	marina	City-centre marina/berths on the Foyle (not Lisahally deep-water port).
13	londonderry.txt	Foyle Port Marina	resolved	55.0305	-7.2720	marina	Yacht/leisure marina associated with Londonderry Port at Lisahally.
14	londonderry.txt	Foyle Port	resolved	55.0333	-7.2666	port	UNLOCODE-style listing; Lisahally commercial port on east bank of Foyle.
15	londonderry.txt	Londonderry Port	resolved	55.0328	-7.2670	port	Same Lisahally port complex; alternate official name.
16	londonderry.txt	Lisahally	resolved	55.0325	-7.2675	area	Harbour/industrial area east of the Foyle at Londonderry Port.
17	londonderry.txt	Lisahally Terminal	resolved	55.0310	-7.2685	terminal	Main cargo terminal footprint within Lisahally port.
18	londonderry.txt	Lisahally Docks	resolved	55.0330	-7.2660	docks	Dock/berth cluster within Lisahally.
19	londonderry.txt	Strathfoyle	resolved	55.0392	-7.2310	village	Village/settlement NE along the Foyle below Culmore.
20	londonderry.txt	Coolkeeragh	resolved	55.0597	-7.1812	industrial	Coolkeeragh power station/jetty area on Lough Foyle shore.
21	londonderry.txt	Maydown	resolved	54.9426	-7.2484	industrial	West-bank Maydown industrial area on the Foyle S of the city.
22	londonderry.txt	Prehen	resolved	55.0070	-7.3185	area	Prehen district at the Foyle Bridge approaches (E bank).
23	londonderry.txt	Prehen Wood	resolved	55.0065	-7.3210	woodland	Woodland patch near Prehen and the bridge corridor.
24	londonderry.txt	Culmore	resolved	55.0380	-7.2710	village	Culmore village on east shore of Lough Foyle N of Derry.
25	londonderry.txt	Culmore Bay	resolved	55.0415	-7.2620	bay	Open bay/shore west of Culmore toward the lough mouth.
26	londonderry.txt	Culmore Point	resolved	55.0464	-7.2541	headland	GeoHack lighthouse/coastal point coords at the Foyle entrance.
27	londonderry.txt	Ballynagard	resolved	55.0431	-7.2759	townland	logainm.ie centrepoint; Lower Liberties townland near Culmore/Foyle shore.
28	londonderry.txt	New Buildings	resolved	54.9580	-7.3550	village	Wikipedia coords; Newbuildings village on the Foyle S of Derry (spelling variant).
29	londonderry.txt	Lough Foyle	ambiguous			lough	Whole estuary/lough—many plausible offshore/shore pins; no single tide feature.
30	londonderry.txt	River Foyle	ambiguous			river	Entire tidal river from lough to city—no single representative coordinate.
31	londonderry.txt	Foyle Estuary	ambiguous			estuary	Broad Foyle estuary/lough transition—many shoreline and channel pins.
32	londonderry.txt	Lough Foyle Estuary	ambiguous			estuary	Overlaps wider Lough Foyle/estuary—no single tide-representative point.
33	londonderry.txt	Myroe	resolved	55.0770	-6.9650	hamlet	Wikipedia centroid; hamlet on reclaimed land near Lough Foyle/Roe Valley.
34	londonderry.txt	Myroe Flats	resolved	55.0800	-6.9700	coastal_flats	Intertidal/reclaimed flats N of Myroe toward the lough (approx. shore sector).
35	londonderry.txt	Ballykelly	resolved	55.0445	-7.0158	village	Wikipedia centroid; large village on A2 with Lough Foyle views.
36	londonderry.txt	Bay Road Nature Reserve	resolved	55.0164	-7.3013	nature_reserve	Bay Road Park LNR on River Foyle (Visit Derry / park centroid near Culmore Rd).
37	londonderry.txt	Magilligan	resolved	55.1761	-6.9239	area	JNCC Magilligan SAC centroid; civil-parish/foreland scale (dunes and shore).
38	londonderry.txt	Magilligan Point	resolved	55.1870	-6.9580	headland	Wikipedia coords; tip of Magilligan foreland at Lough Foyle mouth.
39	londonderry.txt	Magilligan Point Nature Reserve	resolved	55.1924	-6.9633	nature_reserve	nidirect-published coords for Magilligan Point NNR.
40	londonderry.txt	Magilligan Strand	resolved	55.1790	-6.9050	beach	Western sector of the long Magilligan/Benone strand system (toward the point).
41	londonderry.txt	Magilligan Beach	resolved	55.1810	-6.9120	beach	Slightly farther W along the same strand toward Magilligan (local beach usage).
42	londonderry.txt	Magilligan Bay	ambiguous			bay	Open embayment west of the foreland—offshore vs shore pins differ for tides.
43	londonderry.txt	Magilligan ASSI	resolved	55.1761	-6.9239	protected_area	Approximate centre of the large dune ASSI/SAC complex (JNCC SAC centroid).
44	londonderry.txt	Magilligan Coastal Complex	resolved	55.1761	-6.9239	protected_area	Umbrella coastal designation; pin at dune-system centroid (same SAC centre).
45	londonderry.txt	Magilligan Ferry	resolved	55.1868	-6.9568	ferry	Lough Foyle ferry slip near Magilligan Point (Greencastle service).
