line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	louth.txt	Drogheda	resolved	53.717900	-6.350300	town	County town on the Boyne; centre-ish node for the name
2	louth.txt	Drogheda Port	resolved	53.721200	-6.344300	harbour	Commercial/port frontage on the Boyne near the estuary
3	louth.txt	Boyne Estuary north shore	ambiguous			unknown	Long north-bank shoreline; no single pin without picking an arbitrary spot
4	louth.txt	Termonfeckin	resolved	53.759700	-6.244200	village	Settlement inland of the Seapoint coast
5	louth.txt	Termonfeckin coast	resolved	53.770000	-6.237000	shore	Representative Irish Sea front east of Termonfeckin toward Seapoint
6	louth.txt	Seapoint	resolved	53.774900	-6.233400	locality	Coastal locality near Termonfeckin (Louth, not Dublin Seapoint)
7	louth.txt	Seapoint Beach	resolved	53.775300	-6.232800	beach	Beach front at Seapoint
8	louth.txt	Seapoint Golf Links shore	resolved	53.775000	-6.232000	shore	Coastal edge by Seapoint Golf Club
9	louth.txt	Baltray	resolved	53.789200	-6.243300	village	Baltray village by the coast
10	louth.txt	Baltray Beach	resolved	53.790500	-6.240500	beach	Sandy beach north of the village
11	louth.txt	Baltray Strand	resolved	53.791000	-6.241000	beach	Strand continuation along the same front
12	louth.txt	Clogherhead	resolved	53.794700	-6.223100	village	Fishing village; settlement centroid
13	louth.txt	Clogherhead Beach	resolved	53.796200	-6.220500	beach	Beach south/east of the harbour front
14	louth.txt	Clogherhead Harbour	resolved	53.795800	-6.221500	harbour	Port Oriel / harbour basin area
15	louth.txt	Clogherhead Pier	resolved	53.795500	-6.221800	pier	Main pier within the harbour
16	louth.txt	Port Oriel	resolved	53.795700	-6.221600	harbour	Official name for Clogherhead fishing harbour
17	louth.txt	Port Oriel Harbour	resolved	53.795700	-6.221600	harbour	Same harbour footprint as Port Oriel
18	louth.txt	Clogher Head	resolved	53.797500	-6.217800	headland	Headland south of Clogherhead (distinct spelling in source list)
19	louth.txt	Clogherhead Peninsula shore	ambiguous			unknown	Applies to a long peninsula coastline; several equally valid segments
20	louth.txt	Port Beach	resolved	53.796000	-6.219500	beach	Local beach name at Clogherhead (context from surrounding lines)
21	louth.txt	Port Lurganboy Beach	resolved	53.788500	-6.227500	beach	Beach front associated with Lurganboy west of Clogherhead
22	louth.txt	Lurganboy	resolved	53.787800	-6.228500	hamlet	Townland/settlement west of Clogherhead
23	louth.txt	Annagassan	resolved	53.882800	-6.326500	village	Village at the Glyde estuary
24	louth.txt	Annagassan Harbour	resolved	53.883500	-6.327000	harbour	Small harbour within the village frontage
25	louth.txt	Annagassan Beach	resolved	53.884200	-6.329000	beach	Beach along the seaward side of the village
26	louth.txt	Annagassan Point	resolved	53.886500	-6.331000	headland	Point north/east of the harbour mouth
27	louth.txt	Linn Duchaill shore	resolved	53.888800	-6.357800	attraction	Viking longphort archaeological locale on the Glyde (Wikipedia/GeoHack coords)
28	louth.txt	Dunany	resolved	53.912500	-6.248500	hamlet	Inland side of the Dunany Point area
29	louth.txt	Dunany Point	resolved	53.917500	-6.239000	headland	Sand spit / point into Dundalk Bay
30	louth.txt	Gyles Quay	resolved	53.986000	-6.234100	beach	Same place as Gyles’ Quay on the Cooley Peninsula (Wikipedia coords)
31	louth.txt	Gyles' Quay	resolved	53.986000	-6.234083	beach	Alternate apostrophe spelling; same Cooley pier/beach (Wikipedia coords)
32	louth.txt	Salterstown	resolved	53.868800	-6.308450	village	Logainm centrepoint; parish on Dundalk Bay
33	louth.txt	Salterstown Strand	resolved	53.870000	-6.309200	beach	Strand front on the bay south of the Salterstown centre (approx. seaward)
34	louth.txt	Stonetown	ambiguous			village	The well-attested Stonetown (Co. Louth) is inland (Wikipedia ~53.964°N 6.600°W); list order here is coastal between Salterstown and Rockmarshall—no clear single coastal settlement pin
35	louth.txt	Stonetown Beach	ambiguous			beach	No verified coastal beach under this name matching the list position; inland Stonetown is not coastal
36	louth.txt	Rockmarshall	resolved	54.016400	-6.289490	townland	Logainm townland centrepoint (Cooley/Dundalk hinterland)
37	louth.txt	Rockmarshall shore	resolved	54.011500	-6.282000	shore	Coastal margin of the townland toward Carlingford Lough / Cooley shore (approx.)
