line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	mayo.txt	Killala	resolved	54.2125	-9.221389	village	Wikipedia/Wikidata; Cill Ala, Killala Bay.
2	mayo.txt	Killala Pier	resolved	54.2142	-9.2228	pier	Harbour pier at Killala; OSM-style offset from village centroid.
3	mayo.txt	Killala Bay	resolved	54.21	-9.24	bay	Representative open-water/shore centroid of the Moy/Killala Bay system (large inlet).
4	mayo.txt	Ross Beach	resolved	54.232	-9.1979	beach	Blue Flag beach N of Killala; Beaches on the Air listing.
5	mayo.txt	Ross Strand	resolved	54.2325	-9.1985	beach	Continuous strand with Ross Beach along Killala Bay shore.
6	mayo.txt	Palmerstown	resolved	54.266	-9.232	area	Mayo Palmerstown (Lackan South ED), not Dublin; historic estate area near Kilcummin/Ross coast.
7	mayo.txt	Rosserk Friary shore	resolved	54.1714	-9.1434	shore	River Moy / Killala Bay shore at Rosserk Friary (Wikipedia coords).
8	mayo.txt	Kilcummin	resolved	54.278888	-9.213946	village	Wikipedia; Cill Chuimín, north Mayo coast.
9	mayo.txt	Moy Estuary mouth	resolved	54.207	-9.188	estuary	Representative mouth/bar where River Moy meets Killala Bay (not a single charted point).
10	mayo.txt	Kilcummin Head	resolved	54.281	-9.214	headland	Northeast tip of Kilcummin Head SAC / coast-guard area (north of village centroid).
11	mayo.txt	Lacken Bay	resolved	54.268	-9.228	bay	Bay at Lacken/Lackan, north Mayo.
12	mayo.txt	Lacken Strand	resolved	54.276	-9.238	beach	Long strand between Killala and Ballycastle; representative mid-strand point.
13	mayo.txt	Ballycastle	resolved	54.2833	-9.3667	village	Baile an Chaisil, Mayo (not Antrim); Wikidata/GEOnet-class coords.
14	mayo.txt	Ballycastle Beach	resolved	54.286	-9.368	beach	Atlantic-facing beach near village (north Mayo).
15	mayo.txt	Ballycastle Pier	resolved	54.2845	-9.367	pier	Small quay/harbour feature at village; approximate pier head.
16	mayo.txt	Kilgalligan	resolved	54.336	-9.786	area	Kilgalligan townland / loop-walk hub near Portacloy and Benwee (Erris).
17	mayo.txt	Ross Port	resolved	54.2817	-9.7997	village	Ros Dumhach (Rossport), Kilcommon parish, Broadhaven Bay (Wikipedia).
18	mayo.txt	Ross Port Pier	resolved	54.280973	-9.800159	pier	Pier/quay at Ross Port; GeoHack Rossport coords.
19	mayo.txt	Portacloy	resolved	54.33082	-9.78337	village	Port an Chlóidh, Dún Chaocháin peninsula (Wikipedia).
20	mayo.txt	Portacloy Bay	resolved	54.3315	-9.7825	bay	Horseshoe bay at Portacloy; representative centre.
21	mayo.txt	Portacloy Strand	resolved	54.3298	-9.784	beach	Sheltered sandy strand inside Portacloy Bay.
22	mayo.txt	Belderg	resolved	54.3	-9.55	village	Béal Deirg / Belderrig (Wikipedia village centroid).
23	mayo.txt	Belderg Strand	resolved	54.311	-9.552	beach	Strand by Belderg Harbour / pier area.
24	mayo.txt	Belderg Pier	resolved	54.31127	-9.55192	pier	eOceanic haven position at Belderg Harbour pier.
25	mayo.txt	Kilcommon shore	ambiguous			shore	Kilcommon civil parish covers a long Erris Atlantic frontage; no single representative pin without a named cove.
26	mayo.txt	Céide Fields coast	resolved	54.305	-9.456944	heritage	Cliff edge / visitor centre area, Glenurla (GeoHack Céide Fields).
27	mayo.txt	Downpatrick Head	resolved	54.3278	-9.345	headland	Signature clifftop / viewpoint N of Ballycastle (geograph.org.uk camera location).
28	mayo.txt	Dun Briste	resolved	54.3276	-9.3482	sea_stack	Offshore stack at Downpatrick Head (Wikipedia Dún Briste coords).
29	mayo.txt	Benwee Head	resolved	54.335	-9.818	headland	An Bhinn Bhuí; cliffs over Broadhaven (blended NE head / cliff centroid).
30	mayo.txt	Benwee cliffs shore	resolved	54.3342	-9.821	shore	Foot of Benwee cliff walks / shoreline below headland.
31	mayo.txt	Porturlin	resolved	54.3161	-9.7149	village	Wikipedia/GeoHack; Port Durlainne, Erris Gaeltacht.
