line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	meath.txt	Mornington	resolved	53.72139	-6.28389	village	Wikipedia / Wikidata settlement centroid
2	meath.txt	Mornington Beach	resolved	53.7185	-6.285	beach	Fine sand beach and dunes N along strand toward Boyne
3	meath.txt	Mornington Bay	resolved	53.724	-6.279	bay	Open water of River Boyne estuary off Mornington
4	meath.txt	Mornington Strand	resolved	53.719	-6.2855	strand	Dune-backed strand linking toward Bettystown
5	meath.txt	Mornington shore	resolved	53.7195	-6.2845	shore	Coastal strip at Mornington
6	meath.txt	Mornington coast	resolved	53.7202	-6.282	coast	East Meath soft coast at Mornington
7	meath.txt	Mornington Irish Sea front	resolved	53.721	-6.262	shore	Sandy front toward Irish Sea E of main channel
8	meath.txt	River Boyne mouth	resolved	53.72267	-6.25155	estuary	Training-wall entrance; Maiden Tower GPS (irishstones.org)
9	meath.txt	Boyne estuary south shore	resolved	53.719	-6.275	shore	S bank of estuary at Mornington
10	meath.txt	Boyne mouth sands	resolved	53.7218	-6.253	beach	Intertidal sand at river mouth
11	meath.txt	Boyne estuary sands	resolved	53.7205	-6.267	beach	Shoreline sands along estuary S of channel
12	meath.txt	Maiden Tower	resolved	53.72267	-6.25155	tower	Elizabethan navigational tower on beach
13	meath.txt	Maiden Tower Boyne mouth	resolved	53.72267	-6.25155	landmark	Same tower; marks Boyne entrance
14	meath.txt	Lady's Finger	resolved	53.72235	-6.2521	obelisk	Companion beacon obelisk beside Maiden Tower
15	meath.txt	Ladies Finger obelisk	resolved	53.72235	-6.2521	obelisk	Same structure; alternate English label
16	meath.txt	Donacarney	resolved	53.70944	-6.27833	village	Wikipedia settlement coordinates
17	meath.txt	Donacarney Great	resolved	53.7068	-6.26808	townland	logainm.ie centrepoint Domhnach Cairnigh Mór
18	meath.txt	Donacarney Little	resolved	53.7123	-6.27183	townland	logainm.ie centrepoint Domhnach Cairnigh Beag
19	meath.txt	Donacarney Cross	resolved	53.7083	-6.277	crossroads	Crossroads area near published tower-house ruin
20	meath.txt	Donacarney tower house shore	resolved	53.7105	-6.274	shore	Coast-ward from tower ruin toward strand
21	meath.txt	Domhnach Cairnigh	resolved	53.70944	-6.27833	village	Irish name for Donacarney (same settlement centroid)
22	meath.txt	The Burrows	resolved	53.7165	-6.2862	dunes	Local name for Mornington strand dune field
23	meath.txt	Burrows dunes	resolved	53.7168	-6.2865	dunes	Sand dunes behind Mornington beach
24	meath.txt	Mornington sand dunes	resolved	53.7172	-6.2861	dunes	Part of Boyne Coast dune SAC belt
25	meath.txt	Colpe parish shore	resolved	53.7135	-6.289	shore	Colp parish coastal edge toward Mornington strand
26	meath.txt	Colp West	resolved	53.7056	-6.30838	townland	logainm.ie centrepoint Colpa Thiar
27	meath.txt	Colp East	resolved	53.70389	-6.2925	townland	townlands.ie map centroid Colp East
28	meath.txt	Betaghstown	resolved	53.6986	-6.26432	townland	logainm.ie Baile an Bhiataigh (historic Bettystown townland)
29	meath.txt	Baile Uí Mhornáin	resolved	53.72139	-6.28389	village	Official Irish name of Mornington
30	meath.txt	Bettystown	resolved	53.7014	-6.2461	village	Wikipedia / GeoHack village centroid
31	meath.txt	Bettystown Beach	resolved	53.69766	-6.25053	beach	GeoHack beach / Blue Flag strand centroid
32	meath.txt	Bettystown Strand	resolved	53.6985	-6.249	strand	Long sandy strand toward Mornington / Boyne
33	meath.txt	Bettystown shore	resolved	53.698	-6.2495	shore	Resort coastal strip along strand
34	meath.txt	Bettystown sands	resolved	53.6975	-6.251	beach	Intertidal sand along Bettystown beach
35	meath.txt	Bettystown Blue Flag beach	resolved	53.6977	-6.2505	beach	Blue Flag section; same sweep as main beach
36	meath.txt	Beattystown	resolved	53.7014	-6.2461	village	Historic/alternate spelling of Bettystown (same settlement)
37	meath.txt	Baile an Bhiataigh	resolved	53.7014	-6.2461	village	Official Irish name of Bettystown
