line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	merseyside.txt	Southport	resolved	53.6487421	-3.0044972	town	OpenStreetMap/Nominatim (place=town)
2	merseyside.txt	Blowick	resolved	53.6398068	-2.9671345	suburb	OpenStreetMap/Nominatim
3	merseyside.txt	Churchtown	resolved	53.6581040	-2.9604137	suburb	OpenStreetMap/Nominatim
4	merseyside.txt	Crossens	resolved	53.6743009	-2.9492385	suburb	OpenStreetMap/Nominatim
5	merseyside.txt	Marshside	resolved	53.6683082	-2.9656286	suburb	OpenStreetMap/Nominatim
6	merseyside.txt	Ainsdale	resolved	53.6024799	-3.0426649	suburb	OpenStreetMap place=suburb (station was first hit)
7	merseyside.txt	Birkdale	resolved	53.6270210	-3.0282342	suburb	OpenStreetMap place=suburb (station was first hit)
8	merseyside.txt	Woodvale	resolved	53.5826199	-3.0548232	airfield	OpenStreetMap RAF Woodvale within Woodvale locality
9	merseyside.txt	Formby	resolved	53.5563035	-3.0656565	village	OpenStreetMap/Nominatim (administrative centre)
10	merseyside.txt	Freshfield	resolved	53.5617433	-3.0712097	suburb	OpenStreetMap place=suburb (station was first hit)
11	merseyside.txt	Little Altcar	resolved	53.5381637	-3.0732577	suburb	OpenStreetMap administrative boundary centroid
12	merseyside.txt	Great Altcar	resolved	53.5493240	-3.0190307	village	OpenStreetMap place=village (West Lancashire; coastal list context)
13	merseyside.txt	Altcar	ambiguous			unknown	Nominatim returns Little Altcar; distinct Altcar Training Camp and Great Altcar also nearby
14	merseyside.txt	Hightown	resolved	53.5206633	-3.0696762	village	OpenStreetMap/Nominatim
15	merseyside.txt	Ince Blundell	resolved	53.5268905	-3.0232255	village	OpenStreetMap/Nominatim
16	merseyside.txt	Southport Pier	resolved	53.6532660	-3.0154085	pier	OpenStreetMap/Nominatim
17	merseyside.txt	Southport Beach	resolved	53.6512	-3.0105	beach	Approximate main seafront; no dedicated OSM beach feature named
18	merseyside.txt	Southport Marine Lake	resolved	53.6541792	-3.0095492	water	OpenStreetMap water=Marine Lake
19	merseyside.txt	Southport Promenade	resolved	53.6478524	-3.0094281	promenade	OpenStreetMap hit is NCP Promenade car park on seafront
20	merseyside.txt	Ainsdale Beach	resolved	53.6076279	-3.0643902	beach	OpenStreetMap parking area on The Promenade (beach access)
21	merseyside.txt	Ainsdale Sand Dunes National Nature Reserve	resolved	53.5866950	-3.0774874	nature_reserve	OpenStreetMap leisure=nature_reserve (named Ainsdale Sands NNR)
22	merseyside.txt	Ainsdale-on-Sea	resolved	53.6024799	-3.0426649	suburb	Same suburb node as Ainsdale (coastal wording)
23	merseyside.txt	Formby Point	resolved	53.5543321	-3.1034022	headland	OpenStreetMap/Nominatim
24	merseyside.txt	Formby Beach	resolved	53.5568	-3.0845	beach	Approximate coastal sand; no OSM object named Formby Beach
25	merseyside.txt	National Trust Formby	resolved	53.5515893	-3.0949880	attraction	OpenStreetMap Lifeboat Road Car Park (main NT pinewoods/dunes access)
26	merseyside.txt	Blundellsands	resolved	53.4899440	-3.0505625	suburb	OpenStreetMap/Nominatim
27	merseyside.txt	Blundellsands Beach	resolved	53.4860	-3.0480	beach	Seaward of Blundellsands on Crosby foreshore (Crosby Beach OSM nearby)
28	merseyside.txt	Brighton-le-Sands	resolved	53.4798042	-3.0385677	suburb	OpenStreetMap/Nominatim (Brighton le Sands)
29	merseyside.txt	Brighton le Sands	resolved	53.4798042	-3.0385677	suburb	OpenStreetMap/Nominatim (alternate spelling)
30	merseyside.txt	Crosby	resolved	53.4844386	-3.0291758	town	OpenStreetMap/Nominatim
31	merseyside.txt	Crosby Beach	resolved	53.4856693	-3.0586875	beach	OpenStreetMap/Nominatim (natural=beach)
32	merseyside.txt	Another Place	ambiguous			artwork	Multiple OSM tourism=artwork nodes along Crosby Beach (Antony Gormley figures); no single canonical pin
