line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	monmouthshire.txt	Chepstow	resolved	51.6409	-2.6768	town	Welsh name Cas-gwent; town centre on River Wye
2	monmouthshire.txt	Cas-gwent	resolved	51.6409	-2.6768	town	Welsh name for Chepstow
3	monmouthshire.txt	Chepstow Castle	resolved	51.643333	-2.676111	castle	Wikipedia/GeoHack coordinates
4	monmouthshire.txt	Chepstow Castle cliffs	resolved	51.6422	-2.6754	cliff	Limestone cliffs below castle on Wye gorge
5	monmouthshire.txt	Chepstow riverside	resolved	51.6414	-2.6754	waterfront	Town frontage on River Wye
6	monmouthshire.txt	Chepstow waterfront	resolved	51.6416	-2.6752	waterfront	Marine Parade / quays area
7	monmouthshire.txt	Lower Chepstow	resolved	51.6379	-2.6774	area	Southern riverside part of town
8	monmouthshire.txt	Chepstow port	resolved	51.6428	-2.6742	harbour	Historic port and wharf reach on Wye
9	monmouthshire.txt	Chepstow walled town	resolved	51.6407	-2.6762	area	Medieval street grid within town walls
10	monmouthshire.txt	Port Wall Chepstow	resolved	51.6390	-2.6730	historic_wall	Scheduled Port Wall along river
11	monmouthshire.txt	Chepstow Town Gate	resolved	51.639722	-2.672778	gate	Wikipedia/GeoHack (Town Gate)
12	monmouthshire.txt	St Mary's Priory Church Chepstow	resolved	51.640278	-2.676389	church	Wikipedia/GeoHack
13	monmouthshire.txt	Old Wye Bridge Chepstow	resolved	51.639722	-2.673611	bridge	Grade I listed bridge to Tutshill
14	monmouthshire.txt	Old Wye Bridge	resolved	51.639722	-2.673611	bridge	Read as Chepstow Old Wye Bridge in this county list
15	monmouthshire.txt	River Wye Chepstow	resolved	51.6410	-2.6755	river	Representative point on town reach of Wye
16	monmouthshire.txt	Wye Crescent Chepstow	resolved	51.6348	-2.6640	street	Residential street in Bulwark area
17	monmouthshire.txt	Craig yr Afon Chepstow	resolved	51.6440	-2.6710	rock	Local riverside limestone outcrop name
18	monmouthshire.txt	Gloucester Hole Chepstow	resolved	51.6460	-2.6684	cave	Wikipedia: opening in Wye cliff opposite town
19	monmouthshire.txt	Hardwick Cliff Chepstow	resolved	51.6325	-2.6678	cliff	Limestone cliff strip below Bulwark (incl. St Peter's Cave)
20	monmouthshire.txt	Bulwark Chepstow	resolved	51.6332	-2.6638	suburb	Eastern suburb of Chepstow
21	monmouthshire.txt	Bulwark Road Chepstow	resolved	51.6335	-2.6632	road	Main road through Bulwark
22	monmouthshire.txt	Thornwell Chepstow	resolved	51.6365	-2.6780	area	Suburb south-west of centre
23	monmouthshire.txt	St Peter's Cave Bulwark	resolved	51.6313	-2.6677	cave	Scheduled monument below Hardwick Cliff
24	monmouthshire.txt	Garden City Chepstow	resolved	51.6345	-2.6645	estate	Housing estate in Bulwark
25	monmouthshire.txt	Hardwick Chepstow	resolved	51.6360	-2.6685	area	Hardwick / riverside limestone belt
26	monmouthshire.txt	National Shipyard Chepstow	resolved	51.6408	-2.6785	industrial	WWII National Shipyard site on Wye shore
27	monmouthshire.txt	Chepstow shipyard site	resolved	51.6408	-2.6785	industrial	Historic shipyard footprint near Thornwell reach
28	monmouthshire.txt	Chepstow Racecourse	resolved	51.656389	-2.688611	attraction	Wikipedia/GeoHack Welsh National course
29	monmouthshire.txt	Wyesham	resolved	51.805447	-2.701775	village	Wyesham ward/village east of Monmouth on River Wye
30	monmouthshire.txt	Wyesham waterfront	resolved	51.8035	-2.7035	waterfront	River Wye east-bank frontage at Wyesham
31	monmouthshire.txt	Mount Pleasant Chepstow	resolved	51.6383	-2.6787	area	Electoral ward / street Mount Pleasant (NP16 5PT centroid)
32	monmouthshire.txt	Chepstow railway station	resolved	51.6399	-2.6711	railway_station	Wikipedia/GeoHack
33	monmouthshire.txt	Chepstow station	resolved	51.6399	-2.6711	railway_station	Same place as Chepstow railway station
34	monmouthshire.txt	Chepstow riverside promenade	resolved	51.6408	-2.6755	promenade	Riverside walk on town reach of Wye
35	monmouthshire.txt	Severn Bridge Welsh abutment Chepstow	resolved	51.6038	-2.6263	bridge	Welsh-side suspension bridge abutment (Beachley; Structurae coords)
36	monmouthshire.txt	M48 Chepstow	resolved	51.6085	-2.6365	motorway	M48 Severn crossing approach on Welsh side near Chepstow
37	monmouthshire.txt	Wye tidal bore Chepstow	resolved	51.6410	-2.6755	river	Phenomenon on tidal Wye reach at Chepstow; representative town reach
38	monmouthshire.txt	Chepstow slipways	resolved	51.6425	-2.6740	slipway	Boat slip / wharf reach on Wye at Chepstow
39	monmouthshire.txt	Chepstow limestone cliffs	resolved	51.6420	-2.6755	cliff	Wye gorge limestone above town waterfront
40	monmouthshire.txt	Otter Hole Chepstow	resolved	51.66083	-2.68611	cave	Wikipedia: tidal cave entrance on Wye bank near St Arvans
41	monmouthshire.txt	Mathern	resolved	51.61818	-2.6917	village	Wikipedia community centroid
42	monmouthshire.txt	Mathern village	resolved	51.61818	-2.6917	village	Same settlement as Mathern
43	monmouthshire.txt	St Pierre	resolved	51.611643	-2.702403	hamlet	Wikipedia St Pierre, Monmouthshire
44	monmouthshire.txt	St Pierre-juxta-Mare	resolved	51.611643	-2.702403	hamlet	Historic coastal name for St Pierre by Severn shore
45	monmouthshire.txt	St Pierre Pill	resolved	51.6018	-2.7085	harbour	Small boat anchorage / pill S of St Pierre; mouth of Mounton Brook
