line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	na-h-eileanan-siar.txt	Castlebay	resolved	56.953698	-7.488063	village	Main settlement Barra; Kisimul Castle bay
2	na-h-eileanan-siar.txt	Vatersay	resolved	56.927363	-7.533568	village	Inhabited island; main village area south
3	na-h-eileanan-siar.txt	Vatersay Bay	resolved	56.924	-7.514	bay	East bay Bàgh Bhatarsaigh (Vatersay Bay)
4	na-h-eileanan-siar.txt	Mingulay	resolved	56.8115	-7.6375	island	Uninhabited Barra Isle; centroid
5	na-h-eileanan-siar.txt	Sandray	resolved	56.891875	-7.501991	island	Uninhabited; Barra Isles
6	na-h-eileanan-siar.txt	Hellisay	resolved	57.01692	-7.34469	island	Sound of Barra; NTS survey coords
7	na-h-eileanan-siar.txt	Gighay	resolved	57.02083	-7.33333	island	Sound of Barra; harbour side
8	na-h-eileanan-siar.txt	Flodaigh Barra	resolved	56.99625	-7.35244	island	Flodday (Sound of Barra), NE of Barra
9	na-h-eileanan-siar.txt	Eriskay	resolved	57.07	-7.29	island	Island centroid
10	na-h-eileanan-siar.txt	Eriskay Ferry	resolved	57.07056	-7.30778	ferry	Ceann a' Ghàraidh vehicular ferry slip
11	na-h-eileanan-siar.txt	Eriskay Harbour	resolved	57.0656	-7.297	harbour	Acarsaid Mhòr improved harbour area
12	na-h-eileanan-siar.txt	Haun	resolved	57.085855	-7.30056	village	Haunn township NW Eriskay
13	na-h-eileanan-siar.txt	Ardveenish	resolved	57.003453	-7.421184	village	East coast Barra; pier and fish factory
14	na-h-eileanan-siar.txt	Craigston	resolved	56.98604	-7.5052	village	West Barra; St Brendan's RC church locale
15	na-h-eileanan-siar.txt	Eoligarry	resolved	57.03933	-7.43442	village	North Barra peninsula; Cille Bharra area
16	na-h-eileanan-siar.txt	Northbay	resolved	57.003	-7.433	village	North Barra township
17	na-h-eileanan-siar.txt	Borve Barra	resolved	56.981	-7.507	village	West coast Barra (Borgh)
18	na-h-eileanan-siar.txt	Brevig	resolved	56.9589	-7.4512	village	SE Barra settlement above Brevig Bay
19	na-h-eileanan-siar.txt	Tangasdale	resolved	56.9528	-7.504	village	West Barra along Halaman Bay
20	na-h-eileanan-siar.txt	Ludag	resolved	57.10394	-7.32662	harbour	South Uist Ludac/Ludag jetty (Saltavik/Eriskay)
21	na-h-eileanan-siar.txt	Allasdale	resolved	57.001	-7.502	settlement	West Barra A888
22	na-h-eileanan-siar.txt	Grean	resolved	57.00233	-7.48195	village	West Barra township (Greian)
23	na-h-eileanan-siar.txt	Traigh Mhor Barra	resolved	57.0248	-7.4324	beach	Cockle Strand / airport beach
24	na-h-eileanan-siar.txt	Barra Airport Beach	resolved	57.02278	-7.44306	beach	Traigh Mhòr tidal runways (EGPR)
25	na-h-eileanan-siar.txt	Coilleag a Phrionnsa	resolved	57.075307	-7.306464	beach	Prince's Beach Eriskay (Gaelic name variant)
26	na-h-eileanan-siar.txt	Bagh Halaman	resolved	56.9528	-7.504	bay	Halaman Bay (Tangasdale beach)
27	na-h-eileanan-siar.txt	Cuier	resolved	56.9672	-7.4555	village	NW Barra; church/cemetery near Dun Cuier
28	na-h-eileanan-siar.txt	Iochdar	resolved	57.393	-7.365	hamlet	West coast South Uist
29	na-h-eileanan-siar.txt	Askernish	resolved	57.187	-7.391	village	South Uist; A865 north of Daliburgh
30	na-h-eileanan-siar.txt	Daliburgh	resolved	57.168	-7.372	village	South Uist crofting township
31	na-h-eileanan-siar.txt	Lochboisdale	resolved	57.153141	-7.310644	village	Main port/village Loch Baghasdail (GeoHack/Wikipedia)
32	na-h-eileanan-siar.txt	Lochboisdale Pier	resolved	57.152188	-7.304083	ferry_terminal	CalMac ferry terminal coords (corporate harbour page)
33	na-h-eileanan-siar.txt	Stoneybridge	resolved	57.272	-7.395	village	Staoinebrig; Wikipedia/infobox
34	na-h-eileanan-siar.txt	Howmore	resolved	57.302	-7.372	village	Tobha Mòr; chapel cluster ~57.302/-7.372
35	na-h-eileanan-siar.txt	Snishival	resolved	57.289316	-7.381694	village	Peighinn nan Aoireann area (streetmap HER centre)
36	na-h-eileanan-siar.txt	West Gerinish	resolved	57.352791	-7.377248	village	West Gerinish hamlet (GB gazetteer grid NF76724193)
37	na-h-eileanan-siar.txt	Ormacleit	resolved	57.26073	-7.40835	village	Ormiclate steading centre (Canmore NF7404631856; local spelling Ormacleit)
38	na-h-eileanan-siar.txt	Stilgarry	ambiguous			unknown	Spelling not matched cleanly to one OS feature; could be local variant—pin not chosen
39	na-h-eileanan-siar.txt	Garrynamonie	resolved	57.121076	-7.37873	village	Gearraidh na Mònaidh township (74600,816200 osgb)
40	na-h-eileanan-siar.txt	Kildonan	resolved	57.222896	-7.402604	village	Cill Donnain by A865/museum (Saintsplaces NF740276)
41	na-h-eileanan-siar.txt	Peninerine	resolved	57.28527	-7.39507	village	Peighinn nan Aoireann (Canmore NF7506234519)
42	na-h-eileanan-siar.txt	Smerclate	resolved	57.11185	-7.38028	village	Smercleit township (birdguides centroid; SW machair)
43	na-h-eileanan-siar.txt	Grogarry	resolved	57.33219	-7.36951	settlement	Groigearraidh; Grogarry Lodge area (Canmore NF7701339611)
44	na-h-eileanan-siar.txt	Balgarva	resolved	57.396084	-7.387411	village	Baile Gharbhaidh NF765468 (osgb.parse_grid)
45	na-h-eileanan-siar.txt	Caolas	resolved	57.103091	-7.33643	village	Source “Caolas” taken as Taobh a' Chaolais NF770140 (Gazetteer/osgb)
46	na-h-eileanan-siar.txt	Stilligarry	resolved	57.323717	-7.37512	village	Stadhlaigearraidh NF766387 (Gazetteer/osgb)
47	na-h-eileanan-siar.txt	Machair South Uist	ambiguous			machair	Continuous west-coast machair belt—no single centroid
48	na-h-eileanan-siar.txt	Rubha Ardvule	resolved	57.240954	-7.457646	headland	Rubha Àird a' Mhuile NF709299 (osgb)
49	na-h-eileanan-siar.txt	Bagh Ban	ambiguous			bay	Several “white bay” labels; not tied to one charted beach here
50	na-h-eileanan-siar.txt	Bagh Chaluim Chille	resolved	57.46979	-7.36959	bay	Coastal context by Teampull Chaluim Chille ruin SE Balivanich (Canmore NF7821954902)
51	na-h-eileanan-siar.txt	Balivanich	resolved	57.471986	-7.380238	village	Baile a' Mhanaich NF776552 (osgb)
52	na-h-eileanan-siar.txt	Benbecula	resolved	57.44796	-7.331629	island	Island centroid NF803523 (Gazetteer for Scotland)
53	na-h-eileanan-siar.txt	Creagorry	resolved	57.4092	-7.3326	hamlet	Creag Ghoraidh by South Ford approach (Gazetteer for Scotland)
54	na-h-eileanan-siar.txt	Nunton	resolved	57.458755	-7.394986	village	Baile nan Cailleach NF766538 (Gazetteer/osgb)
55	na-h-eileanan-siar.txt	Uachdar	resolved	57.479	-7.339	village	An t-Uachdar N Benbecula (Wikipedia infobox)
56	na-h-eileanan-siar.txt	Torlum	resolved	57.430945	-7.350837	village	Torlum township centre NF790505 (osgb)
57	na-h-eileanan-siar.txt	Liniclate	resolved	57.422143	-7.346213	village	Lionacleit NF792495 (osgb)
58	na-h-eileanan-siar.txt	Culla Bay	resolved	57.459599	-7.404906	bay	Bàgh Culla west Benbecula (GeoHack waterbody)
59	na-h-eileanan-siar.txt	Ruabhal Benbecula	resolved	57.45003	-7.325254	hill	Rueval area NF807525 (OS grid from island article; osgb)
60	na-h-eileanan-siar.txt	North Ford Causeway	resolved	57.493413	-7.278106	causeway	NF839571 (Gazetteer for Scotland; osgb)
61	na-h-eileanan-siar.txt	South Ford Causeway	resolved	57.403333	-7.327222	causeway	Benbecula–South Uist A865; Wikidata 57°24′12″N 7°19′38″W
62	na-h-eileanan-siar.txt	Lochmaddy	resolved	57.601048	-7.166432	village	GeoHack / Loch nam Madadh settlement (chief port NE North Uist)
63	na-h-eileanan-siar.txt	Lochmaddy Ferry	resolved	57.59685	-7.15709	ferry_terminal	CalMac pier area (ChargePlace Scotland terminal coords; ~NF920680)
64	na-h-eileanan-siar.txt	Carinish	resolved	57.522	-7.312	hamlet	Wikipedia / OS NF820604 Càirinis
65	na-h-eileanan-siar.txt	Hosta North Uist	resolved	57.728002	-7.270006	beach	Traigh Stir area; BNG from NF864831-class west-coast position (OSGB→WGS84)
66	na-h-eileanan-siar.txt	Sollas	resolved	57.648377	-7.34606	village	GeoHack Solas; machair north coast
67	na-h-eileanan-siar.txt	Malacleit	resolved	57.6422	-7.37502	village	Canmore Malacleit NF7941574086
68	na-h-eileanan-siar.txt	Hougharry	resolved	57.60908	-7.51977	village	Hogha Gearraidh township; Canmore NF70497110
69	na-h-eileanan-siar.txt	Bayhead North Uist	resolved	57.58813	-7.44268	hamlet	Ceann a' Bhaigh; Canmore NF749684
70	na-h-eileanan-siar.txt	Tigharry	resolved	57.61689	-7.50586	village	Taigh a' Ghearraidh; Canmore NF71397190
71	na-h-eileanan-siar.txt	Clachan North Uist	resolved	57.659144	-7.240289	village	Clachan Sands / HS6 5AY centroid (postcode centre; ferry road locale)
72	na-h-eileanan-siar.txt	Paible	resolved	57.593136	-7.45181	locality	West-coast Paibeil district; HER-style point NF744869 (BNG→WGS84)
73	na-h-eileanan-siar.txt	Knockintorran	resolved	57.5816	-7.46868	village	Cnoc an Torrain; Canmore NF73296780
74	na-h-eileanan-siar.txt	Sidinish	resolved	57.55059	-7.21979	village	Saighdinis by Loch Euphort; Canmore NF87886318
75	na-h-eileanan-siar.txt	Grenitote	resolved	57.65221	-7.33311	village	Greinetobht township; Canmore centred NF8275
76	na-h-eileanan-siar.txt	Newtonferry	resolved	57.68724	-7.21192	village	Port nan Long township; Canmore NF89527833
77	na-h-eileanan-siar.txt	Port nan Long	resolved	57.68785	-7.21117	harbour	Gaelic name of Newtonferry; pier record NF8957078394
78	na-h-eileanan-siar.txt	Grimsay	resolved	57.491944	-7.244167	island	Griomasaigh centroid; Wikipedia/GeoHack
79	na-h-eileanan-siar.txt	Kallin	resolved	57.48119	-7.20518	harbour	Ceallan shellfish harbour SE Grimsay; Canmore NF88165540
80	na-h-eileanan-siar.txt	Baleshare	resolved	57.53054	-7.34386	island	Baile Sear; Canmore causeway locale NF8029261530
81	na-h-eileanan-siar.txt	Berneray	resolved	57.718023	-7.188178	island	Beàrnaraigh; GeoHack village/island centroid
82	na-h-eileanan-siar.txt	Borve Berneray	resolved	57.71081	-7.18371	village	Borgh SE Berneray; Canmore NF91408082
83	na-h-eileanan-siar.txt	West Beach Berneray	resolved	57.71944	-7.18639	beach	Machair West Beach; Wikipedia panorama coord
84	na-h-eileanan-siar.txt	Berneray Causeway	resolved	57.70056	-7.1856	causeway	Otternish–Stone link; Canmore NF91207969
85	na-h-eileanan-siar.txt	Kyles Flodda	resolved	57.612273	-7.124366	channel	Caolas / narrows at Flodday (Flodaigh), Loch Maddy; Wikipedia island coord NF941696
86	na-h-eileanan-siar.txt	Loch Euphort	resolved	57.55166	-7.22192	loch	Loch Euport harbour head; Canmore NF8776263309 (Sidinish shore)
87	na-h-eileanan-siar.txt	Loch nam Madadh	resolved	57.595	-7.145	sea_loch	Loch nam Madadh basin E of Lochmaddy village (tidal loch; not duplicate of pier pin)
88	na-h-eileanan-siar.txt	Leverburgh	resolved	57.767	-7.021	village	An t-Ob (also Gaelic); Wikipedia NG014863 area
89	na-h-eileanan-siar.txt	An t-Ob	resolved	57.7685	-7.0185	bay	Gaelic The Bay; harbour mouth S Harris (distinct pin from village centre)
90	na-h-eileanan-siar.txt	Northton	resolved	57.78818	-7.06847	village	South Harris machair settlement; Canmore NF989889
91	na-h-eileanan-siar.txt	Scarista	resolved	57.83509	-7.01979	village	Sgarasta/Scarista NRHE centroid (trove.scot S46)
92	na-h-eileanan-siar.txt	Seilebost	resolved	57.86391	-6.95084	village	Seilebost township NG065968 (trove.scot)
93	na-h-eileanan-siar.txt	Traigh Seilebost	resolved	57.869371	-6.953042	beach	Sheileboist sands; route centre OS grid NG064397416 (Outdooractive)
94	na-h-eileanan-siar.txt	Luskentyre	resolved	57.882609	-6.945025	village	Losgaintir settlement; GeoHack/Wikipedia
95	na-h-eileanan-siar.txt	Losgaintir	resolved	57.884	-6.944	village	Gaelic name for Luskentyre; Wikipedia infobox
96	na-h-eileanan-siar.txt	Horgabost	resolved	57.85739	-6.97728	village	Gleann Horgabost township NG04889619 (trove.scot)
97	na-h-eileanan-siar.txt	Strond	resolved	57.74707	-6.99371	village	Srannda South Harris; NRHE NG0884 centroid (coarse)
98	na-h-eileanan-siar.txt	Manish	resolved	57.79844	-6.87613	village	Manish township NG104892 (Canmore/trove)
99	na-h-eileanan-siar.txt	Geocrab	resolved	57.8152	-6.8588	village	East coast Bays; OSM/aggregated village pin
100	na-h-eileanan-siar.txt	Drinishader	resolved	57.853	-6.77015	village	Drinisiadar on East Loch Tarbert; OSM hostel node
101	na-h-eileanan-siar.txt	Rodel	resolved	57.74203	-6.96653	village	Roghadal township R80 NRHE (trove.scot)
102	na-h-eileanan-siar.txt	Flodabay	resolved	57.79456	-6.88571	village	Fleòideabhagh NG09808881 (trove.scot)
103	na-h-eileanan-siar.txt	Finsbay	resolved	57.77443	-6.92458	village	Fionnsbhagh NG07338674 (trove.scot)
104	na-h-eileanan-siar.txt	Direcleit	resolved	57.88837	-6.80281	village	Diricleit Golden Road; settlement centroid (postcode DB)
105	na-h-eileanan-siar.txt	Meavaig	resolved	57.86745	-6.79844	village	Miabhaig sealoch head; Canmore NG1556596541→BNG115556/896541
106	na-h-eileanan-siar.txt	Miabhaig	resolved	57.86745	-6.79844	village	Gaelic spelling; same township/loch head as Meavaig line
107	na-h-eileanan-siar.txt	Huisinish	resolved	57.99492	-7.093499	village	Hùisinis; Wikipedia/OS grid NA990119
108	na-h-eileanan-siar.txt	Hushinish	resolved	57.99492	-7.093499	village	Alternate English spelling of Hùisinis (same hamlet)
109	na-h-eileanan-siar.txt	Tarbert Harris	resolved	57.8985	-6.8076	village	An Tairbeart (Harris); Wikidata/Wikipedia village coord
110	na-h-eileanan-siar.txt	East Loch Tarbert	resolved	57.868611	-6.752778	sea_loch	Loch an Tairbeairt mouth coord (Wikipedia)
111	na-h-eileanan-siar.txt	West Loch Tarbert	resolved	57.927	-6.935	sea_loch	Loch Siar centroid (Wikipedia/GeoHack)
112	na-h-eileanan-siar.txt	Scalpay	resolved	57.865	-6.6775	island	Sgalpaigh na Hearadh; Wikipedia island centroid
113	na-h-eileanan-siar.txt	Kyles Scalpay	resolved	57.88502	-6.70395	village	Caolas Scalpaigh; BNG121290/898100 from Canmore NG29NW12 centre (pyproj OSGB→WGS84)
114	na-h-eileanan-siar.txt	Scarp	resolved	58.02556	-7.12472	island	An Sgarp; Wikipedia listed coord
115	na-h-eileanan-siar.txt	Pabbay Harris	resolved	57.77056	-7.23417	island	Pabaigh Sound of Harris; Wikipedia/Wikidata
116	na-h-eileanan-siar.txt	Ensay Harris	resolved	57.767	-7.083	island	Easaigh Sound of Harris; Wikipedia centroid
117	na-h-eileanan-siar.txt	Shiant Islands	resolved	57.899	-6.3641	island_group	Na h-Eileanan Seunta; GeoHack group centroid
118	na-h-eileanan-siar.txt	Amhuinnsuidhe	resolved	57.962222	-6.989722	attraction	Amhuinnsuidhe Castle; listed building coord (GeoHack)
