line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	neath-port-talbot.txt	Crymlyn Burrows	resolved	51.621389	-3.890000	duneland	Sand-dune / coastal margin east of Swansea Bay; part in Neath Port Talbot
2	neath-port-talbot.txt	Crymlyn Bog	resolved	51.636389	-3.888333	fen	SSSI / Ramsar lowland fen north of Crymlyn Burrows
3	neath-port-talbot.txt	Jersey Marine	resolved	51.630220	-3.864500	village	Village east of Swansea on Fabian Way / Swansea Bay margin
4	neath-port-talbot.txt	Baglan Moors	resolved	51.608500	-3.805500	marsh	Reedbed / moor strip between Baglan and Baglan Bay coast
5	neath-port-talbot.txt	Baglan Bay	resolved	51.605500	-3.825000	bay	Bight of Swansea Bay at mouth of River Neath by Baglan
6	neath-port-talbot.txt	Baglan Bay sands	resolved	51.604000	-3.826500	beach	Sandy shore sector of Baglan Bay
7	neath-port-talbot.txt	Baglan	resolved	51.616600	-3.811500	village	Hillfoot village adjoining Port Talbot; moors and bay to SW
8	neath-port-talbot.txt	Bae Baglan	resolved	51.605500	-3.825000	bay	Welsh name for Baglan Bay; same coastal bight as line 5
9	neath-port-talbot.txt	Melincrythan	resolved	51.637500	-3.814500	suburb	Historic industrial suburb (Melin Crythan / Melincryddan) between Neath and Briton Ferry near river
10	neath-port-talbot.txt	Cwrt Sart	resolved	51.643280	-3.815940	locality	Briton Ferry locality (Cwrt Sart school / ward name); near Neath estuary
11	neath-port-talbot.txt	Aberavon	resolved	51.598567	-3.803241	coastal_ward	Coastal community name for west Port Talbot / Aberavon sands area
12	neath-port-talbot.txt	Aberafan	resolved	51.598567	-3.803241	coastal_ward	Welsh form of Aberavon; same settled coast by Afan mouth
13	neath-port-talbot.txt	Aberavon Beach	resolved	51.596389	-3.826389	beach	Main sandy beach (Traeth Aberafan) on Swansea Bay
14	neath-port-talbot.txt	Aberavon Sands	resolved	51.596389	-3.826389	beach	Alternative name for Aberavon Beach sand strand
15	neath-port-talbot.txt	Abervaron Sands	resolved	51.596389	-3.826389	beach	Likely misspelling of Aberavon Sands; pinned to same beach
16	neath-port-talbot.txt	Traeth Aberafan	resolved	51.596389	-3.826389	beach	Welsh name for Aberavon Beach
17	neath-port-talbot.txt	Traeth Hir	resolved	51.592000	-3.823500	beach	Local name for long southern sector of Aberavon sand beach
18	neath-port-talbot.txt	Aberavon Burrows	resolved	51.595000	-3.828000	dunes	Historic dune belt behind the beach (much redeveloped)
19	neath-port-talbot.txt	Aberavon Seafront	resolved	51.594500	-3.824500	promenade	Built seafront / Princess Margaret Way sector
