line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	newport.txt	Peterstone Great Wharf	resolved	51.5130	-3.0390	wharf	RCAHMW Coflein Peterstone Wharf landing (NPRN 506708) on Wentlooge foreshore
2	newport.txt	Peterstone Gout	resolved	51.518889	-3.041111	sluice	Wikipedia/GeoHack coords for tidal outfall structure
3	newport.txt	Peterstone Gout outfall	resolved	51.51895	-3.04115	outfall	Same facility; pinned slightly seaward of sluice on estuary side
4	newport.txt	Peterstone Wentlooge	resolved	51.51596	-3.05631	village	Wikipedia village centroid (Peterstone; Welsh Llanbedr Gwynllwg)
5	newport.txt	Peterstone Wentloog	resolved	51.51596	-3.05631	village	Alternate spelling; same settlement as line 4
6	newport.txt	Peterstone Wentlooge Marshes	resolved	51.5165	-3.050	marsh	Gwent Levels marsh mosaic east of village toward Gout (reserve context)
7	newport.txt	Peterstone Wentlooge nature reserve	resolved	51.5165	-3.050	reserve	Read as GWT Peterstone Wentlooge Marshes / levels wetland block near village
8	newport.txt	Peterstone Wentlooge seawall	resolved	51.5163	-3.0565	seawall	Representative pin on village sea defences (linear feature)
9	newport.txt	Peterstone Wentlooge sea wall	resolved	51.5163	-3.0565	seawall	Same linear defence as line 8
10	newport.txt	Peterstone Wentlooge foreshore	resolved	51.5168	-3.0572	foreshore	Mud/saltmarsh off seawall at Peterstone
11	newport.txt	Peterstone Wentlooge church	resolved	51.51596	-3.05631	church	Former St Peter's church site in village centre
12	newport.txt	St Brides Wentloog	resolved	51.5343	-3.0207	hamlet	Wikipedia/Wikidata coords (St Bridget's church area)
13	newport.txt	St Brides Wentlooge	resolved	51.5343	-3.0207	hamlet	Alternate spelling; same hamlet as line 12
14	newport.txt	Wentlooge Levels	resolved	51.5300	-3.0350	area	Centroid of reclaimed Gwent/Wentlooge Levels behind seawalls
15	newport.txt	Wentlooge Levels seawall	resolved	51.5280	-3.0400	seawall	Representative pin on outer seawall (linear)
16	newport.txt	Wentlooge coast path	resolved	51.5190	-3.0420	path	Wales Coast Path along seawall near Peterstone Gout
17	newport.txt	Wharf Reen	resolved	51.5140	-3.0400	reen	Named reen on Wentlooge foreshore near Peterstone wharf reach
18	newport.txt	Wharf Reen mouth	resolved	51.5165	-3.0565	reen	Outfall toward estuary at seawall (approximate)
19	newport.txt	Lighthouse Inn Wentlooge	resolved	51.5380	-2.9980	pub	Beach Road pub serving coast path to West Usk Lighthouse
20	newport.txt	Lighthouse Park Newport	resolved	51.52887	-3.01207	park	Residential park estate NP10 (MapQuest coords); St Brides Wentlooge foreshore
