line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	norfolk.txt	Terrington St Clement	resolved	52.7558736	0.2924582	village	OpenStreetMap/Nominatim (village node; admin boundary also returned)
2	norfolk.txt	Walpole Cross Keys	resolved	52.7549630	0.2489132	village	OpenStreetMap/Nominatim
3	norfolk.txt	Walpole St Peter	resolved	52.7272940	0.2304055	village	OpenStreetMap/Nominatim
4	norfolk.txt	Clenchwarton	resolved	52.7572308	0.3549020	village	OpenStreetMap/Nominatim
5	norfolk.txt	King's Lynn	resolved	52.7538673	0.3954774	town	OpenStreetMap/Nominatim
6	norfolk.txt	West Lynn	resolved	52.7550515	0.3869899	village	OpenStreetMap/Nominatim
7	norfolk.txt	South Wootton	resolved	52.7764656	0.4366103	suburb	OpenStreetMap/Nominatim (administrative boundary)
8	norfolk.txt	North Wootton	resolved	52.7884837	0.4347221	suburb	OpenStreetMap/Nominatim (administrative boundary)
9	norfolk.txt	Great Ouse Mouth	resolved	52.7522810	0.3931149	estuary	OpenStreetMap: South Quay, King's Lynn — river front on tidal Great Ouse approaching The Wash (no named “mouth” node)
10	norfolk.txt	The Wash Norfolk Frontage	ambiguous			coastline	Not a discrete place; broad policy/segment label along The Wash — no single OSM point
11	norfolk.txt	Heacham	resolved	52.9086926	0.4940848	village	OpenStreetMap/Nominatim (administrative boundary)
12	norfolk.txt	Heacham South Beach	resolved	52.9034566	0.4699428	beach	OpenStreetMap/Nominatim (parking area named to beach)
13	norfolk.txt	Heacham North Beach	resolved	52.9112896	0.4731862	beach	OpenStreetMap/Nominatim (parking area named to beach)
14	norfolk.txt	Hunstanton	resolved	52.9393841	0.4901743	town	OpenStreetMap/Nominatim (administrative boundary)
15	norfolk.txt	Old Hunstanton	resolved	52.9460527	0.5163781	village	OpenStreetMap/Nominatim (administrative boundary)
16	norfolk.txt	Hunstanton Beach	resolved	52.9485485	0.4886003	beach	OpenStreetMap/Nominatim
17	norfolk.txt	Hunstanton Cliffs	resolved	52.9469025	0.4905020	cliff	OpenStreetMap: Cliff Parade — chalk cliff frontage at Hunstanton/Old Hunstanton (no separate “cliffs” POI)
18	norfolk.txt	Gore Point	resolved	52.975766	0.528667	headland	Shingle ridge west of Holme-next-the-Sea; OS grid TF7045 / third-party map reference (no Nominatim hit)
19	norfolk.txt	Thornham	resolved	52.9617373	0.5809291	village	OpenStreetMap/Nominatim
20	norfolk.txt	Thornham Creek	ambiguous			creek	Tidal creek network at Thornham; no single matching OSM feature name
21	norfolk.txt	Thornham Harbour	resolved	52.9683	0.5782	harbour	Approx. OS grid TF727442 (Staithe Lane end); BirdGuides site description — no Nominatim hit
22	norfolk.txt	Thornham Saltmarsh	ambiguous			saltmarsh	Extensive back-barrier marsh; multiple polygons/labels — no one canonical pin
23	norfolk.txt	Titchwell	resolved	52.9619560	0.6176527	village	OpenStreetMap/Nominatim
24	norfolk.txt	Titchwell Beach	ambiguous			beach	Foreshore north of village/RSPB; no OSM object named “Titchwell Beach”
25	norfolk.txt	Titchwell Marsh	resolved	52.9672339	0.6150954	nature_reserve	OpenStreetMap/Nominatim: RSPB Titchwell Marsh
26	norfolk.txt	Brancaster	resolved	52.9634407	0.6395494	village	OpenStreetMap/Nominatim (administrative boundary)
27	norfolk.txt	Brancaster Staithe	resolved	52.9661420	0.6703572	village	OpenStreetMap/Nominatim
28	norfolk.txt	Brancaster Bay	ambiguous			bay	Large open bay; no Nominatim point feature
29	norfolk.txt	Brancaster Beach	resolved	52.9764282	0.6499062	beach	OpenStreetMap/Nominatim
