line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	northumberland.txt	Berwick-upon-Tweed	resolved	55.7692442	-2.0026472	town	OpenStreetMap/Nominatim (administrative boundary)
2	northumberland.txt	Berwick	resolved	55.7745555	-2.0105423	locality	OpenStreetMap/Nominatim (Castlegate, Tweedmouth — colloquial "Berwick" pin distinct from town relation centroid)
3	northumberland.txt	Tweedmouth	resolved	55.7639579	-2.0107587	suburb	OpenStreetMap/Nominatim
4	northumberland.txt	Spittal	resolved	55.7576477	-1.9936290	suburb	OpenStreetMap/Nominatim
5	northumberland.txt	Scremerston	resolved	55.7380502	-1.9915993	village	OpenStreetMap/Nominatim
6	northumberland.txt	West Ord	resolved	55.7587571	-2.0749311	hamlet	OpenStreetMap/Nominatim (West Ord, Ord)
7	northumberland.txt	East Ord	resolved	55.7569863	-2.0340621	hamlet	OpenStreetMap/Nominatim
8	northumberland.txt	Marshall Meadows	resolved	55.8044079	-2.0387185	hamlet	OpenStreetMap/Nominatim
9	northumberland.txt	Marshall Meadows Bay	resolved	55.8054290	-2.0273624	bay	OpenStreetMap/Nominatim
10	northumberland.txt	Goswick	resolved	55.7006935	-1.9093810	hamlet	OpenStreetMap/Nominatim
11	northumberland.txt	Goswick Sands	resolved	55.6974323	-1.8686995	beach	OpenStreetMap/Nominatim
12	northumberland.txt	Cocklawburn	resolved	55.7306884	-1.9531410	beach	OpenStreetMap/Nominatim returns Cocklawburn Beach as nearest named feature
13	northumberland.txt	Cocklawburn Beach	resolved	55.7296846	-1.9560448	beach	OpenStreetMap/Nominatim (second beach access point along same shore)
14	northumberland.txt	Lamberton	resolved	55.8093716	-2.0511097	hamlet	OpenStreetMap/Nominatim (Lamberton, Scottish Borders — Anglo-Scottish border coast)
15	northumberland.txt	Holy Island	resolved	55.6785261	-1.7936781	island	OpenStreetMap/Nominatim (Holy Island of Lindisfarne relation)
16	northumberland.txt	Lindisfarne	resolved	55.6691319	-1.8008977	attraction	OpenStreetMap/Nominatim (Lindisfarne Priory — distinct pin from island boundary)
17	northumberland.txt	The Snook	resolved	55.6846054	-1.8432671	cape	OpenStreetMap/Nominatim
18	northumberland.txt	Snook Point	resolved	55.6866504	-1.8536547	cape	OpenStreetMap/Nominatim
19	northumberland.txt	Guile Point	resolved	55.6595476	-1.7966110	cape	OpenStreetMap/Nominatim
20	northumberland.txt	Emmanuel Head	resolved	55.6851213	-1.7809859	cape	OpenStreetMap/Nominatim
21	northumberland.txt	Castle Point	resolved	55.6674424	-1.7777782	cape	OpenStreetMap/Nominatim
22	northumberland.txt	Coves Haven	resolved	55.6891150	-1.7964214	bay	OpenStreetMap/Nominatim
23	northumberland.txt	Fenham	resolved	55.6606030	-1.8692661	hamlet	OpenStreetMap/Nominatim (Fenham, Kyloe — mainland near Fenham Flats / causeway)
24	northumberland.txt	Ross Links	resolved	55.6320	-1.7535	dunes	Judged centroid for coastal dune system E of Ross (Co-Curate NU132370 area; no exact OSM hit)
25	northumberland.txt	Ross Bay	resolved	55.6255	-1.7775	bay	Judged coastal bay indentation W of Ross toward Budle (no OSM object with this exact name)
26	northumberland.txt	Ross	resolved	55.6268811	-1.7912003	hamlet	OpenStreetMap/Nominatim (Ross, Middleton)
27	northumberland.txt	Bamburgh	resolved	55.6074722	-1.7141346	village	OpenStreetMap/Nominatim
28	northumberland.txt	Bamburgh Castle	resolved	55.6094439	-1.7112671	castle	OpenStreetMap/Nominatim
29	northumberland.txt	Budle Bay	resolved	55.6165819	-1.7627329	bay	OpenStreetMap/Nominatim
30	northumberland.txt	Waren Mill	resolved	55.6020705	-1.7702411	hamlet	OpenStreetMap/Nominatim
31	northumberland.txt	Bradford Kaims	resolved	55.582893	-1.743836	archaeological_site	Wikipedia/GeoHack Bradford Kames SSSI centre (local spelling “Kaims”; wetland archaeology near Lucker)
32	northumberland.txt	Monks House	resolved	55.5830	-1.6500	locality	Historic Monks' House bird observatory, Seahouses — approximate harbour area (no dedicated OSM POI)
33	northumberland.txt	Beadnell	resolved	55.5568858	-1.6368580	village	OpenStreetMap/Nominatim
34	northumberland.txt	Beadnell Bay	resolved	55.5608113	-1.6368516	bay	OpenStreetMap/Nominatim
35	northumberland.txt	Beadnell Harbour	resolved	55.5545	-1.6323	harbour	Judged small-craft inlet at SW end of Beadnell Bay (first Nominatim “harbour” hits were unrelated businesses)
36	northumberland.txt	North Sunderland	resolved	55.5784071	-1.6611320	village	OpenStreetMap/Nominatim (parish/village name for Seahouses area)
37	northumberland.txt	Seahouses	resolved	55.5817163	-1.6536511	village	OpenStreetMap/Nominatim
38	northumberland.txt	Seahouses Harbour	resolved	55.5841857	-1.6489841	harbour	OpenStreetMap/Nominatim (North Sunderland Harbour, Seahouses)
39	northumberland.txt	Seahouses Beach	resolved	55.5808	-1.6380	beach	Judged main sandy beach S of Seahouses harbour (no OSM object with this exact name)
40	northumberland.txt	Farne Islands	resolved	55.6220	-1.6280	archipelago	Wikipedia Farne Islands infobox centroid (whole group; distinct from Inner Farne row)
41	northumberland.txt	Inner Farne	resolved	55.6166651	-1.6557996	island	OpenStreetMap/Nominatim (Inner Farne island relation)
42	northumberland.txt	East Wideopen	resolved	55.6165038	-1.6434690	island	OpenStreetMap/Nominatim
43	northumberland.txt	West Wideopen	resolved	55.6169810	-1.6487121	island	OpenStreetMap/Nominatim
44	northumberland.txt	Staple Island	resolved	55.6306300	-1.6237089	island	OpenStreetMap/Nominatim
45	northumberland.txt	Brownsman	resolved	55.6337934	-1.6244057	island	OpenStreetMap/Nominatim
