line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	orkney-islands.txt	Burwick	resolved	58.7419393	-2.9716484	farmyard	OpenStreetMap/Nominatim
2	orkney-islands.txt	Burwick Pier	resolved	58.7398378	-2.9727060	pier	OpenStreetMap/Nominatim
3	orkney-islands.txt	Castle of Burwick	resolved	58.7421969	-2.9777055	historic	OpenStreetMap/Nominatim (promontory fort ruins)
4	orkney-islands.txt	Barth Head	resolved	58.7541628	-2.9922915	headland	OpenStreetMap/Nominatim
5	orkney-islands.txt	Hoxa Head	resolved	58.8184895	-3.0356561	headland	OpenStreetMap/Nominatim
6	orkney-islands.txt	Hoxa Sound	resolved	58.8320000	-3.0180000	sound	Approximate mid-channel; no single OSM place — Orkney marine map reading
7	orkney-islands.txt	Hoxa	resolved	58.8298228	-3.0118633	hamlet	OpenStreetMap/Nominatim
8	orkney-islands.txt	The Witter	resolved	58.9220045	-3.3502386	bay	OpenStreetMap/Nominatim
9	orkney-islands.txt	St Peter's Pool	resolved	58.9222394	-2.7907642	bay	OpenStreetMap/Nominatim
10	orkney-islands.txt	Brough Ness	resolved	58.7311907	-2.9619275	ness	OpenStreetMap/Nominatim
11	orkney-islands.txt	Windwick	resolved	58.7650109	-2.9379197	hamlet	OpenStreetMap/Nominatim
12	orkney-islands.txt	Windwick Bay	resolved	58.7642000	-2.9360000	bay	Approximate bay mouth E of Windwick; not named separately in OSM
13	orkney-islands.txt	Backaskaill	resolved	59.2390068	-2.6296798	hamlet	OpenStreetMap/Nominatim (Sanday — Orkney-wide list)
14	orkney-islands.txt	Backaskaill Bay	resolved	59.2383571	-2.6115972	bay	OpenStreetMap/Nominatim (Sanday)
15	orkney-islands.txt	Newark	resolved	58.9472236	-2.8687087	hamlet	OpenStreetMap/Nominatim (Tankerness area)
16	orkney-islands.txt	Sandwick Bay	resolved	58.7865000	-2.9780000	bay	Approximate centre of inlet; OSM only indexed Sandwick Bay Road nearby
17	orkney-islands.txt	Sand Wick	resolved	58.7880000	-2.9795000	inlet	Approximate coastal inlet NE shore Sandwick Bay; not separately geocoded in OSM
18	orkney-islands.txt	Grimness	resolved	58.8274800	-2.9119600	village	Ordnance Survey Open Names centre (not Grimness Road segment)
19	orkney-islands.txt	Grimsetter	resolved	58.8215000	-2.9235000	farm	Approximate steading E of Grimness; Kirkwall “Grimsetter” hits are unrelated
20	orkney-islands.txt	Herston	resolved	58.8102484	-3.0051852	hamlet	OpenStreetMap/Nominatim
21	orkney-islands.txt	Cleat	resolved	58.8101300	-2.9154900	coast	NCAP Cletts frame coords; distinct from Kirkwall “Cleat” in Nominatim
22	orkney-islands.txt	Volta	not_found				No OSM/Nominatim hit; likely minor steading on South Ronaldsay
23	orkney-islands.txt	Olad	resolved	58.7800733	-2.9592006	hamlet	OpenStreetMap/Nominatim
24	orkney-islands.txt	Setter	ambiguous				Several Orcadian “Setter” features; none verified for this list position S. Ronaldsay/Olad–SMH stretch
25	orkney-islands.txt	St Margaret's Hope	resolved	58.8258044	-2.9584699	village	OpenStreetMap/Nominatim
26	orkney-islands.txt	St Margaret's Hope Pier	resolved	58.8265141	-2.9605278	pier	OpenStreetMap/Nominatim
27	orkney-islands.txt	The Hope	resolved	58.8258044	-2.9584699	harbour	Local name for St Margaret’s Hope; same centroid as settlement
28	orkney-islands.txt	The Hup	resolved	58.8258044	-2.9584699	harbour	Local alias for the Hope; same centroid as settlement
29	orkney-islands.txt	Water Sound	resolved	58.8399982	-2.9460010	sound	OpenStreetMap/Nominatim
30	orkney-islands.txt	Sands of Wright	resolved	58.8248181	-3.0003866	beach	OpenStreetMap/Nominatim
31	orkney-islands.txt	Eastside	resolved	58.7994088	-2.9394066	hamlet	OpenStreetMap/Nominatim (South Ronaldsay; not Stronsay Eastside)
