line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	perth-and-kinross.txt	Ardtalnaig	resolved	56.5277220	-4.1133990	hamlet	Hamlet on south shore of Loch Tay (Wikipedia/GeoHack centre)
2	perth-and-kinross.txt	Ardtalnaig shore	resolved	56.5275000	-4.1138000	shore	Loch Tay shore at Ardtalnaig (same settlement; shore access)
3	perth-and-kinross.txt	Ardeonaig	resolved	56.4950000	-4.1640000	hamlet	South shore Loch Tay at mouth of Ardeonaig Burn (Wikipedia/GeoHack)
4	perth-and-kinross.txt	Ardeonaig pier	resolved	56.4953000	-4.1636000	pier	Hotel/steamer pier area at Ardeonaig on Loch Tay (same hamlet; lochside)
5	perth-and-kinross.txt	Milton of Morenish	resolved	56.4938900	-4.2486300	settlement	Township Milton Morenish N of Loch Tay (Canmore NRHE; holiday park area)
6	perth-and-kinross.txt	Morenish	resolved	56.4940000	-4.2485000	locality	Morenish/Milton Morenish area on Loch Tay N shore (Gazetteer; cluster near line 5)
7	perth-and-kinross.txt	Acharn	resolved	56.5686870	-4.0277860	hamlet	Acharn on south shore Loch Tay (Wikipedia OS grid NN755437)
8	perth-and-kinross.txt	Acharn village	resolved	56.5686870	-4.0277860	hamlet	Same built settlement as Acharn (model estate hamlet)
9	perth-and-kinross.txt	Falls of Acharn	resolved	56.5642500	-4.0242900	waterfall	Falls on Acharn Burn above village (Wikipedia/Canmore falls record)
10	perth-and-kinross.txt	Hermit's Cave Acharn	resolved	56.5640800	-4.0246900	attraction	Acharn Hermitage folly/cave viewing the falls (Canmore NN7567543182)
11	perth-and-kinross.txt	Croft na Caber	resolved	56.5808000	-4.0042000	attraction	Former Croft-na-Caber / Taymouth Marina lochside site S of Kenmore (PH15 2HW area)
12	perth-and-kinross.txt	Croft na Caber watersports	resolved	56.5808000	-4.0042000	attraction	Same watersports/activity centre site as Croft na Caber on Loch Tay (historic operator address)
13	perth-and-kinross.txt	Scottish Crannog Centre	resolved	56.5835500	-3.9976400	attraction	Visitor centre / museum by Kenmore on Loch Tay (Canmore NN774453 area)
14	perth-and-kinross.txt	Kenmore	resolved	56.5852000	-3.9988000	village	Village at Loch Tay outfall into River Tay (Wikipedia centre)
15	perth-and-kinross.txt	Kenmore village	resolved	56.5852000	-3.9988000	village	Same village centroid as Kenmore
16	perth-and-kinross.txt	Kenmore Hotel	resolved	56.5844000	-3.9993200	hotel	Historic hotel in Kenmore square by loch (village centre Canmore ~NN773454)
17	perth-and-kinross.txt	Kenmore Pier	resolved	56.5833200	-4.0008900	pier	Kenmore Pier crannog site / pier head (Canmore NN77204528)
18	perth-and-kinross.txt	Kenmore Bridge	resolved	56.5855000	-3.9980000	bridge	A827 bridge at River Tay outfall from Loch Tay (village head)
19	perth-and-kinross.txt	Kenmore lochside	resolved	56.5848000	-3.9992000	shore	Loch Tay shoreline at Kenmore (village loch front)
20	perth-and-kinross.txt	Kenmore beach	resolved	56.5842000	-3.9980000	beach	Kenmore Bay beach area on Loch Tay (north of village on loch)
21	perth-and-kinross.txt	Taymouth Castle	resolved	56.5949720	-3.9810340	castle	Taymouth Castle estate seat NE of Kenmore (Wikipedia/GeoHack)
22	perth-and-kinross.txt	Taymouth Courtyard	resolved	56.5945000	-3.9815000	attraction	Courtyard / estate buildings at Taymouth (same estate as castle; approximate visitor hub)
23	perth-and-kinross.txt	Loch Tay outfall Kenmore	resolved	56.5858000	-3.9975000	river_mouth	Where Loch Tay narrows into River Tay at Kenmore (confluence zone)
24	perth-and-kinross.txt	River Tay Kenmore	resolved	56.5855000	-3.9985000	river	River Tay through Kenmore below the loch outfall
25	perth-and-kinross.txt	Isle of Loch Tay	resolved	56.5840000	-4.0101400	island	Largest island: Priory Island / Eilean nam Ban-naomh (Canmore NRHE 24932)
26	perth-and-kinross.txt	Eilean nam Ban-naomh	resolved	56.5840000	-4.0101400	island	Priory Island in Loch Tay N of Kenmore (Canmore; Gaelic name)
27	perth-and-kinross.txt	Oakbank Crannog	resolved	56.5731200	-4.0801200	crannog	Submerged crannog off N shore near Fearnan (Canmore NN72304429)
28	perth-and-kinross.txt	Fearnan	resolved	56.5758800	-4.0818970	village	Crofting village on N shore Loch Tay (Wikipedia)
29	perth-and-kinross.txt	Stron Fearnan	resolved	56.5762000	-4.0825000	village	Stron Fearnan extension W of Fearnan along N shore road (same parish cluster)
30	perth-and-kinross.txt	Fearnan Loch Tay shore	resolved	56.5755000	-4.0815000	shore	Loch Tay shoreline at Fearnan (village shore)
31	perth-and-kinross.txt	Lawers	resolved	56.5279500	-4.1524360	village	Hamlet on north shore Loch Tay (Wikipedia/GeoHack centre)
32	perth-and-kinross.txt	Lawers village	resolved	56.5279500	-4.1524360	village	Same built settlement as Lawers
33	perth-and-kinross.txt	Lawers Loch Tay shore	resolved	56.5280000	-4.1525000	shore	Loch Tay shoreline at Lawers (hamlet front)
34	perth-and-kinross.txt	Ben Lawers	resolved	56.5455600	-4.2208300	mountain	Munro summit N of Loch Tay (Wikipedia summit coord)
35	perth-and-kinross.txt	Ballinluig	resolved	56.6539750	-3.6702090	village	Village at River Tummel / Highland line (Wikipedia)
36	perth-and-kinross.txt	Logierait	resolved	56.6317310	-3.7018540	village	Peninsula village between Tay and Tummel (GENUKI/GeoHack NN957502)
37	perth-and-kinross.txt	Logierait Tay	resolved	56.6320000	-3.7020000	river	River Tay reach at Logierait (peninsula shore)
38	perth-and-kinross.txt	River Tummel confluence Tay	resolved	56.6492900	-3.6714700	river_mouth	Tummel joins Tay near Ballinluig (UKRGB egress NN9762152066; viaduct area)
39	perth-and-kinross.txt	Tummel mouth Tay	resolved	56.6492900	-3.6714700	river_mouth	Same confluence as line 38 (Tummel into Tay)
40	perth-and-kinross.txt	Grandtully	resolved	56.6569980	-3.7763850	village	Village on River Tay W bank (Wikipedia)
41	perth-and-kinross.txt	Grandtully Bridge	resolved	56.6573000	-3.7755000	bridge	A827 Tay road bridge linking Grandtully and Strathtay (approx. bridge centre)
42	perth-and-kinross.txt	Grandtully rapids	resolved	56.6565000	-3.7768000	rapid	Whitewater reach on Tay at Grandtully (canoe put-in area)
43	perth-and-kinross.txt	Strathtay	resolved	56.6596690	-3.7781420	village	Village on E bank Tay opposite Grandtully (Wikipedia)
44	perth-and-kinross.txt	Strathtay Tay	resolved	56.6595000	-3.7780000	river	River Tay at Strathtay village front
45	perth-and-kinross.txt	Aberfeldy	resolved	56.6211100	-3.8688900	town	Town on River Tay (Wikipedia centre)
46	perth-and-kinross.txt	Aberfeldy Tay	resolved	56.6210000	-3.8695000	river	River Tay through Aberfeldy (town reach)
47	perth-and-kinross.txt	Birks of Aberfeldy	resolved	56.6196000	-3.8779000	gorge	Birks / Moness Burn gorge walk from car park (Walkhighlands start NN855486)
48	perth-and-kinross.txt	Wade's Bridge Aberfeldy	resolved	56.6205560	-3.8652780	bridge	General Wade's bridge over Tay at Aberfeldy (Wikipedia/GeoHack)
49	perth-and-kinross.txt	General Wade's Bridge Aberfeldy	resolved	56.6205560	-3.8652780	bridge	Same structure as Wade's Bridge Aberfeldy
50	perth-and-kinross.txt	Weem	resolved	56.6216700	-3.9086100	village	Village W of Aberfeldy (Wikipedia)
51	perth-and-kinross.txt	Weem Tay	resolved	56.6220000	-3.9075000	river	River Tay below Weem (village shore reach)
52	perth-and-kinross.txt	Castle Menzies	resolved	56.6216700	-3.9041700	castle	Castle Menzies near Weem (Wikipedia coord)
53	perth-and-kinross.txt	Bolfracks Tay	resolved	56.6275000	-3.8880000	estate	Bolfracks estate / Tay woodland frontage W of Aberfeldy (approximate hub)
54	perth-and-kinross.txt	Dalguise	resolved	56.6084000	-3.6453000	hamlet	Hamlet W of River Tay N of Dunkeld (Gazetteer for Scotland)
55	perth-and-kinross.txt	Dalguise Tay	resolved	56.6080000	-3.6440000	river	River Tay at Dalguise (hamlet shore)
56	perth-and-kinross.txt	Dunkeld	resolved	56.5650000	-3.5852800	town	Town on River Tay (Wikipedia centre)
57	perth-and-kinross.txt	Dunkeld Cathedral	resolved	56.5650000	-3.5897200	cathedral	Dunkeld Cathedral on N bank Tay (Wikipedia/GeoHack)
58	perth-and-kinross.txt	Dunkeld House	resolved	56.5648900	-3.6110100	hotel	Dunkeld House Hotel / estate front (Canmore NO0109642598)
59	perth-and-kinross.txt	Dunkeld riverside	resolved	56.5653000	-3.5885000	shore	North-bank Tay riverside walk zone in Dunkeld
60	perth-and-kinross.txt	Dunkeld Tay	resolved	56.5652000	-3.5872000	river	River Tay main channel through Dunkeld
61	perth-and-kinross.txt	Thomas Telford Bridge Dunkeld	resolved	56.5639100	-3.5852800	bridge	Dunkeld Bridge / Telford bridge midpoint over River Tay (Canmore NO04SW 34; trove.scot)
62	perth-and-kinross.txt	Telford Bridge Dunkeld	resolved	56.5639100	-3.5852800	bridge	Same Category A bridge as line 61 (Dunkeld Bridge)
63	perth-and-kinross.txt	Birnam	resolved	56.5583400	-3.5760100	village	Birnam village on south bank of Tay opposite Dunkeld (Canmore NO04SW 76)
64	perth-and-kinross.txt	Birnam Oak	resolved	56.5609000	-3.5766000	attraction	Famous sessile oak by Tay; grid NO032421 (Wikipedia / visitor guides)
65	perth-and-kinross.txt	Little Dunkeld	resolved	56.5608200	-3.5824400	hamlet	Parish settlement south of Dunkeld Bridge (OS Open Names centre)
66	perth-and-kinross.txt	Rotmell Tay	resolved	56.6046600	-3.6225900	river	Rotmell Farm area on Dowally bank overlooking Tay (Canmore NO0048947041)
67	perth-and-kinross.txt	Caputh	resolved	56.5431150	-3.4847860	village	Caputh on River Tay (Wikipedia centre)
68	perth-and-kinross.txt	Caputh Tay	resolved	56.5430000	-3.4845000	river	River Tay reach at Caputh village
69	perth-and-kinross.txt	Stanley	resolved	56.4795300	-3.4378530	village	Stanley on north bank of Tay (Wikipedia)
70	perth-and-kinross.txt	Stanley Mills	resolved	56.4794900	-3.4401500	attraction	Arkwright cotton mill complex; HES Property in Care (Canmore NO1139632861)
71	perth-and-kinross.txt	Stanley Weir	resolved	56.4770000	-3.4408000	weir	Collapsing Tay weir ~500 m downstream of Stanley paddlers’ put-in (UK rivers guides; approximate centre)
72	perth-and-kinross.txt	Campsie Linn	resolved	56.4894300	-3.4236000	waterfall	Linn / rapid reach on Tay N of Perth near Stanley; Chapel Hole promontory (Canmore; BGS excursion locality)
73	perth-and-kinross.txt	Luncarty	resolved	56.4516440	-3.4698570	village	Luncarty between A9 and Tay (Wikipedia)
74	perth-and-kinross.txt	Luncarty Tay	resolved	56.4515000	-3.4695000	river	River Tay along Luncarty village front
75	perth-and-kinross.txt	Stormontfield	resolved	56.4503580	-3.4550000	village	East-bank Tay village N of Perth (Wikipedia)
76	perth-and-kinross.txt	Stormontfield Tay	resolved	56.4502000	-3.4548000	river	River Tay at Stormontfield (east bank reach)
77	perth-and-kinross.txt	Scone	resolved	56.4180000	-3.4040000	town	Modern Scone / New Scone settlement (Wikipedia centre)
78	perth-and-kinross.txt	Scone Palace	resolved	56.4226060	-3.4381430	palace	Category A house and estate W of village (Canmore NO12NW 9)
79	perth-and-kinross.txt	Scone Tay	resolved	56.4195000	-3.4200000	river	River Tay through Scone parish between village and palace grounds (approximate mid-reach)
80	perth-and-kinross.txt	Perth	resolved	56.3958300	-3.4333300	city	Perth city centre (Wikipedia coord)
81	perth-and-kinross.txt	Perth North Inch	resolved	56.4039700	-3.4315800	park	North Inch public park by Tay (Wikipedia)
82	perth-and-kinross.txt	Perth South Inch	resolved	56.3904000	-3.4332000	park	South Inch public park (Wikipedia)
83	perth-and-kinross.txt	Perth Tay Street	resolved	56.3980000	-3.4290000	street	Tay Street / A989 linking Inches along west bank (approximate mid-stretch)
84	perth-and-kinross.txt	Perth riverside	resolved	56.3970000	-3.4275000	shore	Central Perth Tay west-bank riverside walks (city centre front)
85	perth-and-kinross.txt	Perth waterfront	resolved	56.3955000	-3.4265000	shore	City-centre Tay frontage zone (general waterfront)
86	perth-and-kinross.txt	Rodney Gardens	resolved	56.3947109	-3.4221669	park	Kinnoull-side gardens on east bank (Wikipedia)
87	perth-and-kinross.txt	Lower City Mills Perth	resolved	56.3974300	-3.4356100	watermill	Lower City Mills on Perth Lade, West Mill Street (Canmore NO12SW 193)
88	perth-and-kinross.txt	Perth Bridge	resolved	56.3990000	-3.4252000	bridge	Perth Bridge / Smeaton's Bridge over Tay (Wikipedia)
89	perth-and-kinross.txt	Old Perth Bridge	resolved	56.3990000	-3.4252000	bridge	Local name for historic Perth Bridge (same structure as line 88)
90	perth-and-kinross.txt	Smeaton's Bridge Perth	resolved	56.3990000	-3.4252000	bridge	John Smeaton's Perth Bridge (Wikipedia; same as Perth Bridge)
91	perth-and-kinross.txt	Queens Bridge Perth	resolved	56.3949000	-3.4238000	bridge	Queen's Bridge (South Street) over Tay at Perth (Wikipedia; Structurae)
92	perth-and-kinross.txt	Tay Street Perth	resolved	56.3965000	-3.4290000	street	Tay Street A989 west-bank riverside through Perth (approximate mid-stretch; OS city centre)
93	perth-and-kinross.txt	Moncrieffe Island	resolved	56.3819400	-3.4230600	island	Moncreiffe / Friarton Island in Tay at Perth (Wikipedia centre)
94	perth-and-kinross.txt	Moncrieffe Island Tay	resolved	56.3822000	-3.4225000	river	River Tay channel at Moncreiffe Island (same feature as line 93; island narrows Tay)
95	perth-and-kinross.txt	Friarton	resolved	56.3813000	-3.4307000	locality	Friarton / Perth Harbour area S of Perth (Canmore NO12SW 24 logboat card; Friarton brickworks locale)
96	perth-and-kinross.txt	Friarton harbour	resolved	56.3815900	-3.4286100	harbour	Perth Harbour / Friarton Harbour tidal basin (Canmore NO12SW 202; trove.scot)
97	perth-and-kinross.txt	Upper Tay Boat Club	not_found				No public listing under this exact name; Perth sailing/rowing clubs are Perth Sailing Club (Lairwell) and Tay Rowing Club (Sleepless Inch)
98	perth-and-kinross.txt	Bridge of Earn	resolved	56.3509050	-3.4012500	village	Bridge of Earn village centre (Wikipedia)
99	perth-and-kinross.txt	Earn mouth Tay	resolved	56.3555000	-3.3012400	river_mouth	River Earn meets River Tay near Carpow (Canmore / trove River Tay And River Earn NO11NE 199)
100	perth-and-kinross.txt	River Earn mouth Tay	resolved	56.3555000	-3.3012400	river_mouth	Same confluence as line 99 (Mouth of Earn / Carpow; Canmore 183355)
101	perth-and-kinross.txt	Kintillo	resolved	56.3430300	-3.4038900	locality	Kintillo suburb of Bridge of Earn (Streetmap Kintillo Place BNG centre; Wikipedia conjoined settlement)
102	perth-and-kinross.txt	Abernethy	resolved	56.3330200	-3.3116300	village	Abernethy village centre (Wikipedia)
