line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	renfrewshire.txt	Langbank	resolved	55.9251500	-4.5863000	village	Village centre south bank Clyde (OS Open Names / Wikipedia)
2	renfrewshire.txt	Langbank Shore	resolved	55.9255000	-4.5875000	shore	Lochside/shore strip at Langbank on Clyde
3	renfrewshire.txt	Langbank waterfront	resolved	55.9258000	-4.5878000	waterfront	Clyde waterfront at Langbank
4	renfrewshire.txt	Langbank railway station	resolved	55.9247000	-4.5864000	railway_station	Inverclyde line station (Wikipedia/OSM)
5	renfrewshire.txt	Langbank East crannog	resolved	55.9262000	-4.5715000	crannog	Intertidal crannog off east Langbank at Westferry (Wikipedia)
6	renfrewshire.txt	Langbank West crannog	resolved	55.9246000	-4.5948000	crannog	Intertidal crannog beside A8 opposite parish church (Wikipedia)
7	renfrewshire.txt	Westferry	resolved	55.9260000	-4.5718000	locality	East Langbank area by M8 where East crannog lies
8	renfrewshire.txt	Langbank timber ponds	resolved	55.9238000	-4.5735000	historic_feature	Shipbuilding timber ponds along Clyde shore west of Langbank
9	renfrewshire.txt	Clyde timber ponds Langbank	resolved	55.9236000	-4.5732000	historic_feature	Same timber-pond line on Clyde at Langbank
10	renfrewshire.txt	Finlaystone	resolved	55.9275000	-4.6213000	estate	Estate between Langbank and Port Glasgow (context of house/park)
11	renfrewshire.txt	Finlaystone House	resolved	55.9287000	-4.6191000	country_house	Cliff-top mansion policies (GeoHack / HES grid)
12	renfrewshire.txt	Finlaystone Country Park	resolved	55.9265000	-4.6180000	country_park	Woodland Trust / estate visitor woodlands north of house
13	renfrewshire.txt	Finlaystone visitor centre	resolved	55.9278000	-4.6205000	visitor_centre	Cafe/shop area within estate near house
14	renfrewshire.txt	Gleddoch	resolved	55.9183500	-4.5850700	estate	Gleddoch House hotel/golf estate Old Greenock Road
15	renfrewshire.txt	Gleddoch House	resolved	55.9183500	-4.5850700	country_house	Category B listed mansion (HES listed-building coords)
16	renfrewshire.txt	Gleddoch Hotel	resolved	55.9183500	-4.5850700	hotel	Same site as Gleddoch House resort
17	renfrewshire.txt	Langbank Parish Church shore	resolved	55.9249000	-4.5945000	church	Parish church on A8 at Clyde shore Langbank
18	renfrewshire.txt	St Vincent's College Langbank	resolved	55.9255400	-4.5933200	historic_site	Former seminary at Langbank House; chapel listing coords used
