line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	scottish-borders.txt	Marshall Meadows Bay	resolved	55.805287	-2.026297	bay	GeoHack/Wikipedia (bay mouth on Northumberland/Borders coast)
2	scottish-borders.txt	Marshall Meadows	resolved	55.803034	-2.037471	hamlet	findthatpostcode/OS place (hamlet W of the bay; Northumberland)
3	scottish-borders.txt	Lamberton	resolved	55.808	-2.055	settlement	Wikipedia/GeoHack (Lamberton estate area, Berwickshire)
4	scottish-borders.txt	Lamberton toll	resolved	55.80671	-2.04374	historic	Canmore NRHE 128365 Old Toll House (A1, just N of border)
5	scottish-borders.txt	Burnmouth	resolved	55.84222	-2.075	village	Wikipedia settlement coordinates (Ayton parish)
6	scottish-borders.txt	Burnmouth harbour	resolved	55.8420563	-2.067725	harbour	OpenStreetMap harbour polygon (Cowdrait/Lower Burnmouth)
7	scottish-borders.txt	Burnmouth village	resolved	55.84222	-2.075	village	Same coastal settlement as Burnmouth (Wikipedia)
8	scottish-borders.txt	Lower Burnmouth	resolved	55.8408481	-2.0657461	neighbourhood	OpenStreetMap residential (Lower Burnmouth)
9	scottish-borders.txt	Upper Burnmouth	resolved	55.8415262	-2.0751551	neighbourhood	OpenStreetMap (Upper Burnmouth)
10	scottish-borders.txt	Partanhall	resolved	55.8441153	-2.0691346	neighbourhood	OpenStreetMap (N part of Lower Burnmouth)
11	scottish-borders.txt	Fishwick	not_found			unknown	No Fishwick at Burnmouth in OSM/Nominatim; Berwickshire parish Fishwick is on the River Tweed W of Berwick (different feature)
12	scottish-borders.txt	Vinney	not_found			unknown	No OSM/Nominatim match in Burnmouth/Eyemouth area under this name
13	scottish-borders.txt	Burnmouth memorial	resolved	55.8420563	-2.067725	attraction	Bronze Eyemouth disaster memorial on harbour area; pinned to Burnmouth Harbour (OSM)
14	scottish-borders.txt	Ayton	resolved	55.842567	-2.113853	village	GENUKI centroid NT930610 (village on Eye Water)
15	scottish-borders.txt	Reston	resolved	55.852192	-2.18977	village	OpenStreetMap Reston Post Office on Main Street (village proxy)
16	scottish-borders.txt	Grantshouse	resolved	55.88303	-2.30538	village	Wikipedia coordinates (A1 village)
17	scottish-borders.txt	Eyemouth	resolved	55.868239	-2.092653	town	GeoHack/Wikipedia town centre
18	scottish-borders.txt	Eyemouth town	resolved	55.868239	-2.092653	town	Same as Eyemouth centre
19	scottish-borders.txt	Eyemouth Harbour	resolved	55.883333	-2.091111	harbour	Eyemouth Harbour Trust published position (55°53′N 02°05′28″W)
20	scottish-borders.txt	Eyemouth waterfront	resolved	55.87273	-2.09107	promenade	Canmore beach record NT944644 (foreshore west of harbour)
21	scottish-borders.txt	Eyemouth beach	resolved	55.87273	-2.09107	beach	Canmore NT944644 / UK Beach Guide OS grid
22	scottish-borders.txt	Eyemouth Bantry	resolved	55.87273	-2.09107	beach	Wikipedia: local name The Bantry for the main sandy bay
