line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	shetland-islands.txt	Sumburgh Head	resolved	59.8542900	-1.2753100	headland	Wikipedia/GeoHack; lighthouse cape south Mainland
2	shetland-islands.txt	Sumburgh	resolved	59.8777786	-1.2889463	village	OpenStreetMap/Nominatim (Sumburgh settlement near airport)
3	shetland-islands.txt	Sumburgh Lighthouse	resolved	59.8540530	-1.2745850	lighthouse	GeoHack lighthouse point
4	shetland-islands.txt	Grutness	resolved	59.8737914	-1.2772983	hamlet	OpenStreetMap/Nominatim
5	shetland-islands.txt	Quendale	resolved	59.9023540	-1.3376373	hamlet	OpenStreetMap/Nominatim
6	shetland-islands.txt	Quendale Bay	resolved	59.8912217	-1.3317362	bay	OpenStreetMap/Nominatim (Bay of Quendale)
7	shetland-islands.txt	Quendale Mill	resolved	59.9023861	-1.3385642	attraction	OpenStreetMap/Nominatim
8	shetland-islands.txt	Spiggie	resolved	59.9393944	-1.3252631	hamlet	OpenStreetMap/Nominatim
9	shetland-islands.txt	Spiggie Beach	resolved	59.9429902	-1.3443294	beach	OpenStreetMap/Nominatim (Beach of Spiggie)
10	shetland-islands.txt	Loch of Spiggie	resolved	59.9337585	-1.3375049	lake	OpenStreetMap/Nominatim
11	shetland-islands.txt	Boddam	resolved	59.9246744	-1.2906360	village	OpenStreetMap/Nominatim
12	shetland-islands.txt	Levenwick	resolved	59.9720330	-1.2713867	village	OpenStreetMap/Nominatim
13	shetland-islands.txt	Levenwick Bay	resolved	59.9682000	-1.2685000	bay	No direct Nominatim feature; coastal point south of Levenwick village
14	shetland-islands.txt	Channerwick	resolved	59.9932013	-1.2756782	hamlet	OpenStreetMap/Nominatim
15	shetland-islands.txt	Sandwick	resolved	59.9970000	-1.2230000	village	Wikipedia Sandwick, Dunrossness (tier-1 settlement centroid)
16	shetland-islands.txt	Sandwick Bay	resolved	59.9965000	-1.2220000	bay	Coastal bay at Sandwick (Geo of Sandwick); approximate shoreline pin
17	shetland-islands.txt	Bigton	resolved	59.9732356	-1.3231855	village	OpenStreetMap/Nominatim
18	shetland-islands.txt	Hoswick	resolved	59.9980903	-1.2565080	village	OpenStreetMap/Nominatim
19	shetland-islands.txt	Colvister	resolved	60.6533393	-1.0619062	hamlet	OpenStreetMap/Nominatim; settlement on Yell (Basta Voe), not Mainland
20	shetland-islands.txt	Gulberwick	resolved	60.1280507	-1.2091893	village	OpenStreetMap/Nominatim
