line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	sligo.txt	Mullaghmore	resolved	54.466389	-8.448611	village	OSM/Nominatim village centroid; Mullaghmore Peninsula settlement.
2	sligo.txt	Mullaghmore Harbour	resolved	54.4670	-8.4505	harbour	Sheltered harbour basin NW of village core; approximate quay area.
3	sligo.txt	Mullaghmore Pier	resolved	54.46700	-8.44895	pier	Fishing/quay at harbour mouth; near Pier Head area.
4	sligo.txt	Mullaghmore Head	resolved	54.46111	-8.45972	headland	Wikipedia peninsula/head coords; exposed Atlantic head.
5	sligo.txt	Mullaghmore Beach	resolved	54.4642	-8.4535	beach	Main sandy beach beside village/harbour (distinct from longer Bunduff Strand).
6	sligo.txt	Bunduff Strand	resolved	54.44694	-8.42167	beach	Townlands.ie centroid for Bunduff townland strand (E side of peninsula).
7	sligo.txt	Trawalua	resolved	54.4410	-8.4690	locality	Coastal locality name; centroid slightly E of Trawalua Strand.
8	sligo.txt	Trawalua Beach	resolved	54.4403	-8.47083	beach	Trawalua Strand / beach; published beach coords.
9	sligo.txt	Classiebawn Castle shore	resolved	54.4547	-8.4702	shore	Atlantic shoreline below Classiebawn Castle (castle 54.455153,-8.469331).
10	sligo.txt	Mullaghmore Sailing Club	resolved	54.4667	-8.4492	harbour	Marina/sailing club at harbour; approximate berth area.
11	sligo.txt	Bunduff Lough shore	resolved	54.44907	-8.44663	shore	Coastal lough shore; Sligo Walks trailhead coords (lat/lon order corrected).
12	sligo.txt	Cliffoney	resolved	54.43056	-8.45343	village	Village on N15/R279 near Mullaghmore.
13	sligo.txt	Cliffoney coast	resolved	54.4325	-8.4620	shore	Generic coastal front W of village toward Trawalua/Mullaghmore.
14	sligo.txt	Streedagh	resolved	54.4040	-8.5590	locality	Townland/beach area N of Grange (visitor coords often cited for strand).
15	sligo.txt	Streedagh Strand	resolved	54.40448	-8.56018	beach	Sligo Walks car-park/trailhead for Streedagh Beach walk.
16	sligo.txt	Streedagh Beach	resolved	54.40610	-8.55960	beach	Beaches On The Air listing centroid; long sandy beach.
17	sligo.txt	Streedagh Point	resolved	54.4099	-8.53433	headland	NPWS Streedagh Point Dunes SAC published coords.
18	sligo.txt	Streedagh Armada wrecksite	resolved	54.4045	-8.5585	historic	Shallow intertidal wreck cluster off Streedagh beach; pin near documented beach centre.
19	sligo.txt	Connors Island	resolved	54.4169	-8.52367	island	Logainm centrepoint (Oileán Chonchúir); sandbar-linked feature N of strand.
20	sligo.txt	Connors Island shore	resolved	54.4174	-8.5244	shore	Landward shore of Connor’s Island toward Streedagh strand.
21	sligo.txt	Spanish Armada Streedagh shore	resolved	54.4040	-8.5590	shore	Memorial/shore stretch by cattle grid before beach (sligotown.net coords).
22	sligo.txt	Grange	resolved	54.4000	-8.5167	village	N15 village between Benbulben and coast (Wikipedia coords).
23	sligo.txt	Grange coast	resolved	54.3975	-8.5250	shore	Atlantic coastal margin W/SW of village toward Streedagh.
24	sligo.txt	Carney	resolved	54.3406	-8.5272	village	Maugherow Peninsula village (Wikipedia coords).
25	sligo.txt	Carney coast	resolved	54.3415	-8.5340	shore	Northward coastal strip toward Drumcliff Bay side.
26	sligo.txt	Maugherow Peninsula	resolved	54.3570	-8.6140	peninsula	Wikipedia centroid; largest W Sligo peninsula (Raghly/Streedagh).
27	sligo.txt	Maugherow shore	resolved	54.3545	-8.6250	shore	Open Atlantic shoreline along NW side of peninsula.
28	sligo.txt	Raghly	resolved	54.3322	-8.6467	locality	Small coastal settlement/harbour area (GeoNames/fallingrain).
29	sligo.txt	Raghly Harbour	resolved	54.32291	-8.64258	harbour	Nimmo harbour; published map pin near pier group.
30	sligo.txt	Raghly Pier	resolved	54.32315	-8.64240	pier	Stone pier/slip within Raghly Harbour (approx. seaward end).
31	sligo.txt	Raghly Point	resolved	54.3326	-8.6527	headland	Exposed headland N/NW of Raghly (Irish Gob Reachla); clifftop loop overlooks Atlantic W of beach car park.
32	sligo.txt	Gob Reachla	resolved	54.3326	-8.6527	headland	Irish name for Raghly Point (same headland per Maugherow Peninsula sources).
33	sligo.txt	Yellow Strand	resolved	54.3436	-8.6547	beach	OSM/geoview beach centroid; long sandy strand E of Knocklane (also signed Raghly Strand in some guides).
34	sligo.txt	Yellow Strand Beach	resolved	54.3435	-8.6546	beach	Same feature as Yellow Strand; centroid on main sandy shore.
35	sligo.txt	Knocklane Fort shore	resolved	54.3490	-8.6798	shore	Atlantic shoreline at Knocklane promontory fort (megalithomania GPS for fort; shore on W/NW cliff front).
36	sligo.txt	Ballygilgan	resolved	54.341	-8.549	nature_reserve	NPWS/Wikipedia centroid for Ballygilgan (Lissadell) Nature Reserve on Drumcliff Bay shore.
