line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	somerset.txt	Porlock	resolved	51.2119	-3.5950	village	Inland village centre; coastal context Porlock Bay / Bristol Channel coast.
2	somerset.txt	Porlock Weir	resolved	51.2196	-3.6292	harbour	Tidal harbour settlement W of Porlock; SWCP.
3	somerset.txt	Porlock Marsh	resolved	51.2210	-3.5770	marsh	Representative point on Porlock saltmarsh / ridge coast N of Porlock village.
4	somerset.txt	Bossington	resolved	51.2188	-3.4408	village	Coastal hamlet below Hurlstone Point; Horner Water mouth area.
5	somerset.txt	Allerford	resolved	51.2148	-3.4265	village	Village W of Bossington on coast-path approach.
6	somerset.txt	Culbone	resolved	51.2180	-3.6680	settlement	Remote strip with Culbone Church; steep wooded coast below Foreland Point.
7	somerset.txt	Oare	resolved	51.2050	-3.5030	village	Oare on Exmoor coast E of Porlock (not Oare, Kent).
8	somerset.txt	Hurlstone Point	resolved	51.2094	-3.6702	headland	Grass headland W of Porlock Weir; SWCP.
9	somerset.txt	Minehead	resolved	51.2038	-3.4758	town	West Somerset coast; terminus of SWCP from Poole.
10	somerset.txt	Alcombe	resolved	51.1965	-3.4695	suburb	SW suburb of Minehead toward Dunster.
11	somerset.txt	Minehead Harbour	resolved	51.2072	-3.4720	harbour	Tidal harbour and esplanade N of town centre.
12	somerset.txt	Dunster	resolved	51.1928	-3.4432	village	Historic village inland of Dunster Beach; same coastal strip.
13	somerset.txt	Dunster Beach	resolved	51.1838	-3.4345	beach	Shingle beach W of Minehead bay; Dunster parish.
14	somerset.txt	Old Cleeve	resolved	51.1658	-3.4342	village	Parish village inland of Blue Anchor bay coast.
15	somerset.txt	Blue Anchor	resolved	51.1819	-3.4019	village	Coastal village and bay on West Somerset coast.
16	somerset.txt	Blue Anchor Bay	resolved	51.1805	-3.3965	bay	Bay immediately E of Blue Anchor village foreshore.
17	somerset.txt	Carhampton	resolved	51.1730	-3.4310	village	Inland of Dunster Beach / Blue Anchor; same coastal locality.
18	somerset.txt	Watchet	resolved	51.1815	-3.3290	harbour_town	Small harbour town on West Somerset coast.
19	somerset.txt	Watchet Harbour	resolved	51.1808	-3.3278	harbour	Tidal harbour basin and quays in Watchet.
20	somerset.txt	Helwell Bay	resolved	51.1765	-3.3215	bay	Small bay E of Watchet; foreshore below Helwell.
21	somerset.txt	Doniford Bay	resolved	51.1760	-3.2580	bay	Bay W of Watchet toward West Quantock coast; Doniford Stream mouth area.
22	somerset.txt	West Quantoxhead	resolved	51.1645	-3.2055	village	Coastal parish village below Quantock Hills W of East Quantoxhead.
23	somerset.txt	East Quantoxhead	resolved	51.1915	-3.1880	village	Coastal village with manor and tower; Kilve–Lilstock coast.
24	somerset.txt	Kilve	resolved	51.1838	-3.1512	village	Village behind Kilve Beach and oil retort pavement coast.
25	somerset.txt	Kilve Beach	resolved	51.1825	-3.1455	beach	Shale ledge beach below village; SWCP.
26	somerset.txt	Lilstock	resolved	51.1858	-3.1168	hamlet	Hamlet behind Lilstock Beach and former RN range area.
27	somerset.txt	Lilstock Beach	resolved	51.1845	-3.1105	beach	Shingle and ledge beach E of Hinkley Point foreshore.
28	somerset.txt	St Audries	resolved	51.1915	-3.1360	estate	St Audries / West Quantoxhead estate area above St Audries Bay.
29	somerset.txt	St Audries Bay	resolved	51.1900	-3.1280	bay	Sandy bay below St Audries; Quantock coast.
30	somerset.txt	Stolford	resolved	51.2035	-3.1080	hamlet	Coastal hamlet W of Hinkley Point; Bridgwater Bay shore.
31	somerset.txt	Stolford Beach	resolved	51.2042	-3.1095	beach	Shingle foreshore W of Stolford; Bridgwater Bay.
32	somerset.txt	Combwich	resolved	51.1768	-3.0671	village	River Parrett / Combwich Reach; Steart Peninsula approach.
33	somerset.txt	Steart	resolved	51.1940	-3.0680	village	Main village on Steart Peninsula; River Parrett tidal fringe.
34	somerset.txt	Steart Beach	resolved	51.2120	-3.0380	beach	Shingle / sand along N side of peninsula toward Stert Point.
35	somerset.txt	Steart Peninsula	resolved	51.2100	-3.0350	peninsula	Wikipedia centroid; Stockland Reach / Bridgwater Bay.
36	somerset.txt	Wall Common	resolved	51.2070	-3.0310	coastal_common	Coastal common on N side of peninsula (Wall Common).
37	somerset.txt	Stert	resolved	51.1920	-3.0690	hamlet	Stert Drove / margin of Steart; coastal wetland fringe.
38	somerset.txt	Stert Point	resolved	51.2222	-3.0252	headland	Tip of Steart Peninsula; West Somerset Coast Path E end.
39	somerset.txt	Pawlett	resolved	51.1800	-3.0020	village	Levels village N of Bridgwater; Bridgwater Bay SSSI (Hams).
40	somerset.txt	Pawlett Hams	resolved	51.1765	-3.0180	saltmarsh	Pawlett Hams coastal grassland / saltmarsh toward bay.
41	somerset.txt	Huntspill	resolved	51.1960	-2.9960	village	Huntspill village (West Huntspill parish); Huntspill River area.
42	somerset.txt	West Huntspill	resolved	51.1955	-2.9954	parish_centre	West Huntspill civil parish; Huntspill village core.
43	somerset.txt	East Huntspill	resolved	51.2023	-2.9397	village	Huntspill Level E of Highbridge; River Brue corridor.
44	somerset.txt	Highbridge	resolved	51.2189	-2.9730	town	Market town; River Brue / Bristol Channel edge with Burnham.
45	somerset.txt	Edithmead	resolved	51.2371	-2.9598	hamlet	Burnham Without; S of Burnham-on-Sea toward Highbridge.
46	somerset.txt	Burnham-on-Sea	resolved	51.2390	-2.9967	town	Seaside town; Bridgwater Bay mudflats / foreshore.
47	somerset.txt	Burnham Jetty	resolved	51.2345	-3.0070	jetty	Seafront jetty / esplanade structure; central beach.
48	somerset.txt	Burnham Lower Lighthouse	resolved	51.2484	-3.0058	lighthouse	Low lighthouse on legs; leading light (foreshore).
49	somerset.txt	Burnham High Lighthouse	resolved	51.2489	-2.9991	lighthouse	Pillar High Lighthouse (Berrow Road); historic leading light.
50	somerset.txt	Berrow	resolved	51.2631	-3.0111	village	Coastal village N of Burnham; Berrow Flats.
