line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	south-ayrshire.txt	Glenapp	resolved	55.0289522	-5.0136231	hamlet	OSM Glenapp Church on A77; settlement label for Glenapp (castle estate nearby)
2	south-ayrshire.txt	Glenapp Kirk	resolved	55.0289522	-5.0136231	church	OSM names this Glenapp Church; matches kirk on coastal list
3	south-ayrshire.txt	Ballantrae	resolved	55.1014603	-5.0044737	village	OSM place node (village); mouth of River Stinchar
4	south-ayrshire.txt	Ballantrae Beach	resolved	55.0984000	-5.0075000	beach	Judged shingle/sand shore immediately south of Ballantrae village (no separate OSM hit)
5	south-ayrshire.txt	Ballantrae Bay	resolved	55.0920000	-5.0105000	bay	Judged bay mouth / foreshore centre south of village (human-map coastal feature)
6	south-ayrshire.txt	Ballantrae Harbour	resolved	55.1020000	-5.0035000	harbour	Judged small harbour pocket north of village centre (no OSM harbour polygon)
7	south-ayrshire.txt	River Stinchar	ambiguous			river	Multiple long OSM stretches; no single centroid for the whole river in this county context
8	south-ayrshire.txt	Stinchar Mouth	resolved	55.0928000	-5.0055000	estuary	Judged estuary/mouth at Ballantrae (coastal reading; not a single named OSM point)
9	south-ayrshire.txt	Bennane Head	resolved	55.1378421	-4.9963454	headland	OSM named coastal headland
10	south-ayrshire.txt	Snib's Cave	resolved	55.1330791	-4.9952351	cave	OSM named cave beside A77 coast
11	south-ayrshire.txt	Sawney Bean's Cave	resolved	55.1463820	-4.9842729	cave	OSM named cave (Bennane Head cliffs)
12	south-ayrshire.txt	Sawney Beans Beach	resolved	55.1462000	-4.9845000	beach	Judged foreshore at foot of Sawney Bean cave cliffs (no OSM beach name)
13	south-ayrshire.txt	Lendalfoot	resolved	55.1639018	-4.9409130	village	OSM place node
14	south-ayrshire.txt	Lendalfoot Beach	resolved	55.1661154	-4.9397323	beach	OSM named beach
15	south-ayrshire.txt	Varyag Monument	resolved	55.1636614	-4.9478820	monument	OSM Varyag Anchor beside A77 (memorial cluster)
16	south-ayrshire.txt	Russian Cruiser Varyag Memorial	resolved	55.1634689	-4.9474245	memorial	OSM Varyag Memorial plaque cluster at Lendalfoot
17	south-ayrshire.txt	Balsarroch	ambiguous			farm	No coastal OSM match between Lendalfoot and Bargany; Alloway-area Balsarroch farms are wrong coastal context
18	south-ayrshire.txt	Bargany	resolved	55.2645903	-4.7674248	hamlet	OSM place node (Bargany estate area)
19	south-ayrshire.txt	Ardstinchar Castle	resolved	55.0990900	-5.0000400	castle ruin	Canmore/HES-style coords for scheduled monument remains near Stinchar (NRHE centre)
20	south-ayrshire.txt	Knockdolian	resolved	55.1216302	-4.9604452	hamlet	OSM place node (second OSM Knockdolian node exists inland; this matches Carrick coast belt)
21	south-ayrshire.txt	Girvan	resolved	55.2413151	-4.8553579	town	OSM town node
22	south-ayrshire.txt	Girvan Beach	resolved	55.2392000	-4.8585000	beach	Judged main sandy beach south of Water of Girvan (no separate OSM beach name)
23	south-ayrshire.txt	Girvan Promenade	resolved	55.2371753	-4.8609540	promenade	OSM addr:street Promenade
24	south-ayrshire.txt	Girvan Harbour	resolved	55.2442000	-4.8568000	harbour	Judged harbour/pier basin north of town centre (no OSM harbour search hit)
25	south-ayrshire.txt	Girvan Boating Pond	resolved	55.2425547	-4.8612732	pond	OSM named boating pond
26	south-ayrshire.txt	Girvan Quay Zone	resolved	55.2437467	-4.8610345	leisure	OSM The Quay Zone (matches list label)
27	south-ayrshire.txt	Burnfoot	not_found			hamlet	Common name; no unambiguous coastal Carrick feature in OSM/Nominatim (street hits elsewhere are wrong)
28	south-ayrshire.txt	Grangeston	resolved	55.2587100	-4.8278500	industrial	Wikipedia coords for Grangeston Halt / Grangestone distillery site NE of Girvan
