line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	stirling.txt	Drymen	resolved	56.06496	-4.45107	village	Wikipedia/GeoHack village centre (Stirling).
2	stirling.txt	Drymen Loch Lomond	resolved	56.06496	-4.45107	village	List label for the Loch Lomond gateway village; same settlement as Drymen.
3	stirling.txt	Milton of Buchanan	resolved	56.0807	-4.5032	village	Wikipedia coordinate line; Buchanan parish.
4	stirling.txt	Cashel	resolved	56.1122	-4.5814	hamlet	East Loch Lomond settlement/camping locality near Strathcashel Point; deg coords from campsite listings (G63 0AW area).
5	stirling.txt	Milarrochy	resolved	56.1000	-4.5618	hamlet	Centroid near Milarrochy Bay on east shore (approx. NS 407 926).
6	stirling.txt	Milarrochy Bay	resolved	56.09972	-4.56056	bay	Wikipedia coordinate infobox.
7	stirling.txt	Milarrochy Bay campsite	resolved	56.0996	-4.5604	campsite	Camping and Caravanning Club site beside the bay.
8	stirling.txt	Strathcashel Point	resolved	56.10375	-4.58495	headland	Canmore NS39329 93120 (spelled Strathcashell in record); cashel promontory east shore.
9	stirling.txt	Sallochy	resolved	56.12778	-4.60875	hamlet	Centre of NS 379 958 square (Sallochy car park/WHW access).
10	stirling.txt	Sallochy Bay	resolved	56.1279	-4.6089	bay	Lochside bay at Sallochy (same shoreline strip as car park access).
11	stirling.txt	Sallochy Bay campsite	resolved	56.1277	-4.6086	campsite	Forestry Scotland / park-managed lochside camping (G63 0AW vicinity).
12	stirling.txt	Sallochy Oakwood	resolved	56.1278	-4.6088	woodland	Named oakwood strip in Sallochy Forest / WHW corridor.
13	stirling.txt	Balmaha	resolved	56.08521	-4.53836	village	Walkhighlands start grid NS 421 909 (visitor hub/car park area).
14	stirling.txt	Balmaha pier	resolved	56.083772	-4.548112	pier	Wikimedia Commons camera location metadata (Balmaha Pier).
15	stirling.txt	Balmaha boatyard	resolved	56.08350	-4.54855	marina	Inchcailloch ferry boatyard on loch shore S of the pier.
16	stirling.txt	Balmaha Visitor Centre	resolved	56.08521	-4.53836	information	Loch Lomond & The Trossachs NP visitor centre at Balmaha car park (NS 421 909).
17	stirling.txt	Balmaha Bay	resolved	56.0842	-4.544	bay	Sandy bay at Balmaha (NS 4190 shore).
18	stirling.txt	Balmaha beach	resolved	56.0840	-4.545	beach	Shingle beach beside Balmaha Bay.
19	stirling.txt	Balmaha ferry	resolved	56.083772	-4.548112	ferry	Waterbus/ferry uses Balmaha Pier (same pin as pier).
20	stirling.txt	Inchcailloch	resolved	56.08111	-4.55583	island	Wikipedia coordinate infobox (island centroid).
21	stirling.txt	Inchcailloch ferry Balmaha	resolved	56.08345	-4.54840	ferry	Mainland boarding for island boats at Balmaha boatyard/loch shore (distinct from pier waterbus).
22	stirling.txt	West Highland Way Balmaha	resolved	56.0850	-4.5375	trail	WHW corridor through Balmaha visitor centre / plantation edge.
23	stirling.txt	Pass of Balmaha	resolved	56.0864	-4.5345	col	Bealach on Conic Hill route above Balmaha (Highland Boundary Fault crossing).
24	stirling.txt	Conic Hill	resolved	56.09079	-4.52908	hill	Summit area ~NS 427 915 (sub-2000 Marilyn; WHW nearby).
25	stirling.txt	Garadhban Forest	resolved	56.06609	-4.45093	forest	FLS Garadhban car park / WHW–Rob Roy Way junction (NS 475 886 area).
26	stirling.txt	Rowardennan	resolved	56.15582	-4.64286	village	Centroid ~NS 359 990 east Loch Lomond settlement.
27	stirling.txt	Rowardennan Hotel	resolved	56.14941	-4.64142	hotel	Canmore NS 36012 98333.
28	stirling.txt	Rowardennan Hostel	resolved	56.15798	-4.64367	hostel	Listed building grid NS 35911 99293 / Hostelling Scotland lodge coords.
29	stirling.txt	Rowardennan pier	resolved	56.15225	-4.64413	pier	Canmore NS 35856 98656.
30	stirling.txt	Rowardennan jetty	resolved	56.15225	-4.64413	pier	Canmore records pier also as “The Jetty”; same structure as line 29.
31	stirling.txt	Rowardennan ferry	resolved	56.15225	-4.64413	ferry	Seasonal Cruise Loch Lomond waterbus uses Rowardennan Pier (same structure as lines 29–30).
32	stirling.txt	Rowardennan Memorial Park	resolved	56.1536	-4.6432	memorial	Ben Lomond National Memorial: Doug Cocker sculpture at lochside viewpoint (short Memorial Trail from FLS car park).
33	stirling.txt	Rowardennan campsite	resolved	56.15798	-4.64367	campsite	Rowardennan SYHA tent pitches / WHW camping focus (Hostelling Scotland grid NS359993 area).
34	stirling.txt	Ben Lomond path Rowardennan	resolved	56.15225	-4.64413	trailhead	Ben Lomond hill path starts at Rowardennan Pier car park (NS358986 / Walking Britain).
35	stirling.txt	Loch Lomond east shore	ambiguous			shoreline	Label matches many miles of east loch in Stirling; no single tide pin without a milepost.
36	stirling.txt	Loch Lomond WHW shore	ambiguous			trail	WHW east-loch section is a long corridor (Rowardennan–Inverarnan etc.); not one coordinate.
37	stirling.txt	Rob Roy's Cave Loch Lomond	resolved	56.25316	-4.69421	cave	Scottish Cave & Mine Database / Geograph NN33185 10003 (east shore, N of Inversnaid).
38	stirling.txt	Aberfoyle	resolved	56.175	-4.3797	village	Wikipedia infobox coordinates (Stirling).
39	stirling.txt	Loch Ard	resolved	56.1830	-4.4712	loch	Wikipedia coordinate infobox (loch centroid).
40	stirling.txt	Loch Ard north shore	resolved	56.1860	-4.4580	shore	Representative mid-point along north shore (distinct from Kinlochard at the loch head).
41	stirling.txt	Loch Ard south shore	resolved	56.1613	-4.4178	shore	Representative: Milton (Milton Morenish) on south shore (OS settlement area).
42	stirling.txt	Milton Morenish	resolved	56.1613	-4.4178	hamlet	Milton on the Morenish peninsula, Loch Ard (same cluster as south-shore Milton).
43	stirling.txt	Kinloch Ard	resolved	56.188	-4.491	village	List label matches Kinlochard (“head of Loch Ard”); Wikipedia grid NN454022.
44	stirling.txt	Ledard	resolved	56.1880	-4.4842	hamlet	Ledard Farm / Ledard Burn access NN459023 (WalkHighlands / SOBT Ben Venue walk).
45	stirling.txt	Loch Ard Forest	resolved	56.163	-4.405	forest	Queen Elizabeth Forest Park Loch Ard hub: Milton car park off B829 (FLS FK8 3TF area).
46	stirling.txt	Forest Holidays Loch Ard	not_found			holiday_park	No Forest Holidays-branded site at Loch Ard found; operator's Trossachs-adjacent site is Ardgartan (Loch Long).
47	stirling.txt	MacGregor picnic site Loch Ard	not_found			picnic	No POI with this exact name in FLS/NP listings; not pinned to avoid guessing among forest picnic tables.
