line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	suffolk.txt	Lowestoft	resolved	52.4766308	1.7537638	town	Nominatim (administrative boundary; town).
2	suffolk.txt	Ness Point	resolved	52.4811973	1.7627129	viewpoint	Nominatim (tourism=viewpoint).
3	suffolk.txt	Kirkley	resolved	52.4616414	1.7354321	suburb	Nominatim (suburb of Lowestoft).
4	suffolk.txt	Pakefield	resolved	52.4523644	1.7271522	suburb	Nominatim (suburb of Lowestoft).
5	suffolk.txt	Pakefield Beach	resolved	52.4519	1.7325	beach	Approximate Pakefield seafront; no clean Nominatim feature.
6	suffolk.txt	Lowestoft Harbour	resolved	52.4733978	1.7392513	harbour	Nominatim (Lowestoft Inner Harbour water area).
7	suffolk.txt	Lowestoft North Beach	resolved	52.4800	1.7585	beach	Approximate north Lowestoft seafront (Ness Point–town); no direct hit.
8	suffolk.txt	Lowestoft South Beach	resolved	52.4711059	1.7502453	beach	Nominatim POI on Marine Parade near South Beach shoreline.
9	suffolk.txt	Kessingland	resolved	52.4197397	1.7122444	village	Nominatim (town boundary).
10	suffolk.txt	Kessingland Beach	resolved	52.4140	1.7280	beach	Approximate Kessingland seafront; Nominatim only listed a holiday park.
11	suffolk.txt	Benacre	resolved	52.3942148	1.6919537	village	Nominatim (parish/town administrative polygon).
12	suffolk.txt	Benacre Broad	resolved	52.3862837	1.7131541	lagoon	Nominatim (natural=water).
13	suffolk.txt	Benacre Ness	resolved	52.3800	1.7100	headland	Approximate dynamic shingle foreland (literature ~TM538877); no Nominatim hit.
14	suffolk.txt	Covehithe	resolved	52.3763500	1.7055067	hamlet	Nominatim (hamlet boundary).
15	suffolk.txt	Covehithe Beach	resolved	52.3698966	1.7059869	beach	Nominatim (locality).
16	suffolk.txt	Easton Bavents	resolved	52.3417240	1.6876446	hamlet	Nominatim.
17	suffolk.txt	Easton Wood	resolved	52.3631529	1.6974255	woodland	Nominatim (landuse=forest).
18	suffolk.txt	Southwold	resolved	52.3260841	1.6793095	town	Nominatim (town boundary).
19	suffolk.txt	Southwold Beach	resolved	52.3275	1.6795	beach	Approximate main seafront; no direct Nominatim hit.
20	suffolk.txt	Southwold Denes	resolved	52.3210	1.6755	beach	Approximate Denes shingle shore S of centre; no direct hit.
21	suffolk.txt	Southwold Harbour	resolved	52.3172	1.6660	harbour	Wikipedia / Blyth Navigation infobox coords (harbour on Blyth estuary).
22	suffolk.txt	Southwold Pier	resolved	52.329786	1.685384	pier	Wikipedia/GeoHack coords; Nominatim matched wrong building on Pier Avenue.
23	suffolk.txt	Gun Hill Southwold	resolved	52.3230016	1.6792134	promenade	Nominatim (Gun Hill village_green by seafront).
24	suffolk.txt	Reydon	resolved	52.3383192	1.6687647	village	Nominatim (village boundary).
25	suffolk.txt	Reydon Marshes	resolved	52.3420	1.6620	marsh	Approximate grazing marsh N of Reydon; diffuse feature, no single OSM place.
26	suffolk.txt	River Blyth Mouth	resolved	52.3133	1.6750	estuary	Wikipedia mouth coordinates (North Sea between Southwold and Walberswick).
27	suffolk.txt	Walberswick	resolved	52.3139687	1.6616522	village	Nominatim (village boundary).
28	suffolk.txt	Walberswick Beach	resolved	52.3110	1.6585	beach	Approximate village seafront; no Nominatim hit.
29	suffolk.txt	Walberswick Ferry Reach	resolved	52.3155	1.6630	ferry	Approximate mid-channel for Walberswick–Southwold ferry reach.
30	suffolk.txt	Blythburgh	resolved	52.3209345	1.5979437	village	Nominatim (on tidal River Blyth upstream of coast).
31	suffolk.txt	Dunwich	resolved	52.2769243	1.6284725	village	Nominatim (village boundary).
32	suffolk.txt	Dunwich Beach	resolved	52.2695	1.6255	beach	Approximate Dunwich seafront S of village; no clean Nominatim feature.
33	suffolk.txt	Dunwich Heath	resolved	52.2578050	1.6190378	heath	Nominatim (natural=heath).
34	suffolk.txt	Dunwich Cliffs	resolved	52.2680	1.6280	cliff	Approximate eroding cliffs S of Dunwich; diffuse feature, no Nominatim hit.
35	suffolk.txt	Westleton Heath Shore	resolved	52.2656467	1.5965449	heath	Nominatim Westleton Heath; pointer is heath near coast (shore margin diffuse).
36	suffolk.txt	Minsmere	resolved	52.2473144	1.6056743	protected_area	Nominatim (RSPB / protected_area polygon).
37	suffolk.txt	Minsmere Beach	resolved	52.2345	1.6295	beach	Approximate shingle beach at reserve coast E of sluice; no direct Nominatim hit.
38	suffolk.txt	Minsmere Sluice	resolved	52.2373	1.6286	sluice	Wikipedia / Minsmere River mouth coordinates (tidal sluice at sea end of New Cut).
39	suffolk.txt	Minsmere Marshes	resolved	52.2424706	1.6272038	marsh	Nominatim wetland “The Scrape” as representative managed marsh complex; diffuse wider marshes.
40	suffolk.txt	North Warren	resolved	52.16806	1.60361	nature_reserve	Wikipedia / RSPB reserve coordinates (coastal marshes N of Aldeburgh); Nominatim matched a road name only.
41	suffolk.txt	Sizewell	resolved	52.2078964	1.6202752	hamlet	Nominatim (hamlet).
42	suffolk.txt	Sizewell Beach	resolved	52.2090	1.6225	beach	Approximate Sizewell seafront N of power station; Nominatim only returned a café POI.
43	suffolk.txt	Sizewell Bay	resolved	52.2060	1.6180	bay	Approximate open bay along Sizewell front; no Nominatim feature.
44	suffolk.txt	Sizewell Gap	resolved	52.2078224	1.6211808	coastal_locality	Nominatim (road named Sizewell Gap in the coastal gap).
45	suffolk.txt	Sizewell Marshes	resolved	52.2030	1.6150	marsh	Approximate grazing marsh S of Sizewell; diffuse, no Nominatim hit.
46	suffolk.txt	Sizewell Power Station	resolved	52.2132	1.6175	power_station	Centroid between Sizewell A and B (Nominatim industrial polygons).
47	suffolk.txt	Theberton	resolved	52.2372350	1.5683522	hamlet	Nominatim (hamlet boundary).
48	suffolk.txt	Knodishall	resolved	52.1998367	1.5503934	village	Nominatim (village boundary).
49	suffolk.txt	Aldringham	resolved	52.1938781	1.5785584	village	Nominatim (village node).
50	suffolk.txt	Thorpeness	resolved	52.1793334	1.6147103	village	Nominatim (village node).
51	suffolk.txt	Thorpeness Beach	resolved	52.1775	1.6160	beach	Approximate Thorpeness seafront; no Nominatim hit.
52	suffolk.txt	Thorpeness Meare	resolved	52.1795883	1.6112103	lake	Nominatim (“The Meare” natural=water; source spelling Meare).
53	suffolk.txt	Aldeburgh	resolved	52.1523814	1.6015691	town	Nominatim (town boundary).
54	suffolk.txt	Aldeburgh Beach	resolved	52.1535	1.6005	beach	Approximate main shingle seafront; no Nominatim hit.
55	suffolk.txt	Aldeburgh Marshes	resolved	52.1650	1.5950	marsh	Approximate grazing/reed marsh N of town (North Warren area); diffuse.
56	suffolk.txt	North Beach Aldeburgh	resolved	52.1570	1.5970	beach	Approximate N end of Aldeburgh frontage; no Nominatim hit.
57	suffolk.txt	River Alde Mouth	resolved	52.0401	1.4607	estuary	Wikipedia mouth coordinates (Ore/Alde to North Sea near Shingle Street).
58	suffolk.txt	Slaughden	resolved	52.1429898	1.5991958	hamlet	Nominatim (hamlet).
59	suffolk.txt	Slaughden Beach	resolved	52.1410	1.5980	beach	Approximate shingle S of Slaughden; no Nominatim hit.
60	suffolk.txt	Snape	resolved	52.1695036	1.5004691	village	Nominatim (village boundary).
61	suffolk.txt	Snape Maltings	resolved	52.1634227	1.4967704	attraction	Nominatim (tourism=attraction).
62	suffolk.txt	Snape Quay	resolved	52.1642	1.4965	quay	Approximate River Alde quay by Snape Maltings; Nominatim returned no quay feature.
63	suffolk.txt	Iken	resolved	52.1413811	1.5227027	village	Nominatim (village boundary).
64	suffolk.txt	Iken Marshes	resolved	52.1320	1.5280	marsh	Approximate tidal reedbeds/marsh by River Alde near Iken; diffuse, no Nominatim feature.
65	suffolk.txt	Orford	resolved	52.0949765	1.5344399	town	Nominatim (town boundary).
66	suffolk.txt	Orford Quay	resolved	52.0908583	1.5392189	quay	Nominatim (Orford Quay parking polygon; quay frontage).
