line_index	county_file	place_name	status	latitude	longitude	feature_kind	notes
1	swansea.txt	Jersey Marine	resolved	51.63022	-3.8645	village	Wikipedia / OS Open Names coastal village; Neath Port Talbot side of Swansea Bay
2	swansea.txt	Crymlyn Burrows	resolved	51.62360	-3.86182	area	Nominatim (Crymlyn Burrows, Fabian Way); dunes/SSSI margin
3	swansea.txt	Crymlyn Bog	resolved	51.63694	-3.88938	wetland	Nominatim Crymlyn Bog; fen/NNR complex inland of Bay Campus
4	swansea.txt	Swansea Bay Campus	resolved	51.62008	-3.88002	campus	findlatitudeandlongitude / university Bay Campus on Fabian Way frontage
5	swansea.txt	Fabian's Bay	resolved	51.62187	-3.93075	bay	Nominatim hit Fabian's Bay Church; Fabian Way coastal margin / small bay
6	swansea.txt	Prince of Wales Dock	resolved	51.61893	-3.92419	dock	Nominatim Prince of Wales Dock; SA1 waterfront docks
7	swansea.txt	Kings Dock	resolved	51.61745	-3.92085	dock	Approx. historic basin within Swansea docks; no clean OSM name hit
8	swansea.txt	Queens Dock	resolved	51.61625	-3.91795	dock	Approx. historic basin within Swansea docks; no clean OSM name hit
9	swansea.txt	Swansea Docks	resolved	51.61650	-3.91840	port	Latitude.to / Wikipedia aggregate “Swansea docks” centroid
10	swansea.txt	Swansea Marina	resolved	51.61568	-3.93908	marina	Nominatim; former South Dock / Maritime Quarter
11	swansea.txt	Maritime Quarter	resolved	51.61500	-3.94000	area	Wikipedia centroid; waterfront quarter inc. marina
12	swansea.txt	SA1 Waterfront	resolved	51.62093	-3.92593	development	Nominatim SA1 Swansea Waterfront district
13	swansea.txt	Swansea Beach	resolved	51.59200	-3.96400	beach	Wikipedia / GeoHack “Swansea Beach” centroid along bay sands
14	swansea.txt	Swansea Bay	resolved	51.59097	-3.98787	bay	Nominatim named bay; large feature — point is illustrative inshore label
15	swansea.txt	Swansea seafront	resolved	51.61350	-3.94100	promenade	Representative Oystermouth Road / city-centre beach frontage
16	swansea.txt	St Helens	resolved	51.60680	-3.96920	beach	Promenade/foreshore section (not St Helens Avenue); between city centre strip and Blackpill
